26482,26492,26516,26553,26604,26668,26744,26832,26930,27039,27157,27281,27412,27547,27684,27820,27955,28089,28220,28350,28479,28607,28734,28860,28981,29093,29192,29276,29334,29363,29359,29323,29263,29187,29106,29033,28982,28955,28942,28945,28971,29025,29091,29172,29276,29403,29548,29704,29869,30019,30151,30271,30387,30503,30619,30731,30839,30942,31041,31136,31226,31313,31396,31475,31551,31623,31692,31758,31821,31881,31939,31994,32044,32091,32137,32180,32223,32261,32298,32333,32367,32399,32431,32468,32521,32604,32712,32843,32999,33178,33375,33581,33789,33991,34184,34363,34524,34666,34785,34881,34952,34997,35016
1520,1520.4,1521.4,1523,1525.1,1527.7,1530.9,1534.7,1539.1,1544,1549.5,1555.6,1562.3,1569.6,1577.5,1586,1595,1604.3,1614.2,1624.5,1635.4,1646.8,1658.9,1671.7,1685.7,1700.7,1716.9,1734.6,1753.9,1774.8,1797.7,1822.4,1849.1,1877.4,1906.5,1936.6,1967.3,1998.5,2030,2061.7,2093.3,2124.7,2155.8,2186.6,2216.8,2246.3,2274.9,2302.6,2329.3,2355.2,2380.1,2404.1,2427.2,2449.8,2471.9,2493.5,2514.4,2534.5,2553.9,2572.6,2590.7,2608.1,2624.9,2641,2656.4,2671.2,2685.4,2699.1,2712.2,2724.8,2736.8,2748.4,2759.5,2770.2,2780.4,2790.1,2799.4,2808.3,2816.7,2824.8,2832.4,2839.6,2846.3,2852.3,2857.2,2861.2,2864.4,2866.9,2868.3,2869.2,2869.8,2870.3,2870.6,2870.9,2871,2871.1,2871.3,2871.5,2871.7,2871.6,2871.7,2871.7,2871.7
0.05,0.049895,0.04965,0.049262,0.048753,0.048139,0.047415,0.046557,0.045493,0.044191,0.042698,0.041106,0.039207,0.036988,0.034549,0.032059,0.02966,0.027526,0.025699,0.024076,0.022795,0.021454,0.020505,0.019237,0.017245,0.01499,0.012679,0.0095092,0.0054648,0.0015801,-0.0024077,-0.0055814,-0.0076179,-0.0084692,-0.0080584,-0.0063541,-0.0035583,-0.0017643,-0.00057869,0.0011339,0.0035134,0.0051879,0.0057788,0.0073441,0.0089044,0.01059,0.011202,0.012029,0.011747,0.0099984,0.0088062,0.0082179,0.0080323,0.0080048,0.0078642,0.0074772,0.0071741,0.0068047,0.0065334,0.0062504,0.0060043,0.0057489,0.005515,0.0052957,0.0050832,0.0048993,0.0047122,0.0045628,0.0043817,0.0042894,0.0041545,0.0039765,0.0036869,0.0036379,0.0034608,0.0035814,0.0034195,0.003067,0.0033127,0.0030748,0.0031296,0.0029992,0.0034901,0.0044915,0.0074593,0.011251,0.014711,0.018663,0.023373,0.028212,0.032455,0.036153,0.039116,0.041635,0.043722,0.045459,0.046785,0.047875,0.048683,0.049234,0.049636,0.049891,0.05
1562,1561.7,1560.9,1559.8,1558.2,1556.1,1553.7,1550.8,1547.5,1543.8,1539.7,1535.2,1530.3,1525,1519.3,1513.2,1506.7,1499.8,1492.5,1484.7,1476.6,1467.9,1458.9,1449.3,1439.2,1428.6,1417.4,1405.6,1393,1379.5,1364.9,1349.2,1332,1313.5,1293.8,1272.8,1250.7,1227.8,1204.1,1179.5,1154,1127.9,1101.5,1074.4,1046.8,1019,991.25,963.39,935.9,908.94,881.85,854.6,827.28,800.02,772.92,746.08,719.39,692.93,666.66,640.65,614.9,589.45,564.31,539.49,515.03,490.92,467.22,443.91,421.05,398.61,376.65,355.19,334.27,313.78,293.89,274.43,255.65,237.51,219.76,202.78,186.33,170.55,155.24,140.34,125.69,111.55,98.124,85.471,73.426,62.292,52.182,43.147,35.127,28.092,21.902,16.665,12.217,8.5467,5.5734,3.212,1.5261,0.45285,-1.8942e-13
-0.00077753,-0.00077478,-0.00077141,-0.00077149,-0.00072542,-0.0007057,-0.00068884,-0.00072906,-0.00079306,-0.00085738,-0.00083506,-0.00085016,-0.00095847,-0.00099678,-0.001,-0.00091495,-0.00081939,-0.00064277,-0.00056434,-0.00042196,-0.0003804,-0.0003341,-0.00023512,-0.00044349,-0.00054007,-0.00055016,-0.0005878,-0.00087572,-0.00087697,-0.00085462,-0.00079469,-0.00052648,-0.00030407,-3.433e-05,0.00018951,0.0004755,0.0004886,0.00021033,0.00026392,0.00036367,0.00044482,0.00012146,0.00018905,0.00028614,0.00029348,0.00021178,7.6182e-05,0.00014035,-0.00024802,-0.00026484,-0.00014935,-5.1138e-05,-2.0196e-05,4.7527e-06,-6.0319e-05,-5.4017e-05,-6.0849e-05,-5.4436e-05,-4.6889e-05,-4.6203e-05,-4.3335e-05,-4.4108e-05,-3.9786e-05,-3.9422e-05,-3.6118e-05,-3.4247e-05,-3.169e-05,-3.0922e-05,-3.0013e-05,-1.5508e-05,-3.3337e-05,-4.9729e-05,-4.5789e-05,-3.7549e-06,-4.2024e-05,6.498e-05,-0.00014615,4.4285e-05,-1.5758e-05,-2.3849e-05,-1.4368e-05,2.5928e-05,0.00020216,0.00052674,0.00095885,0.0011617,0.0012827,0.001608,0.0019942,0.0019266,0.0018489,0.0016432,0.0014822,0.0013808,0.0012919,0.0011634,0.001047,0.0010231,0.00084395,0.00080087,0.00080568,0.00080107,0.000805
1.6814,1.6814,1.6814,1.6815,1.6815,1.6815,1.6816,1.6816,1.6817,1.6817,1.6818,1.6818,1.6819,1.682,1.6821,1.6822,1.6823,1.6824,1.6825,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6833,1.6834,1.6835,1.6836,1.6838,1.6839,1.684,1.6842,1.6843,1.6844,1.6845,1.6847,1.6848,1.6849,1.6851,1.6852,1.6853,1.6855,1.6856,1.6858,1.6859,1.686,1.6862,1.6863,1.6864,1.6866,1.6867,1.6868,1.687,1.6871,1.6872,1.6873,1.6874,1.6875,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6884,1.6885,1.6886,1.6887,1.6888,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
-5e-05,5e-05,-2.7713e-05,5e-05,5e-05,1.6798e-05,-1.3047e-06,-5e-05,-4.4504e-05,-2.2456e-05,2.9303e-05,-5e-05,-3.2737e-05,-1.2437e-05,1.964e-05,3.2558e-05,5e-05,5e-05,2.1223e-05,5e-05,-1.6436e-05,5e-05,-2.5409e-05,-5e-05,-1.01e-05,7.5775e-06,-4.5963e-05,-5e-05,2.6954e-05,-1.2927e-05,4.7312e-05,4.9376e-05,5e-05,5e-05,4.6247e-05,5e-05,-4.9521e-05,-2.2657e-05,2.0837e-05,2.4631e-05,-2.2523e-05,-5e-05,5e-05,-1.5248e-05,1.8339e-05,-5e-05,2.2803e-05,-3.892e-05,-4.9109e-05,2.3671e-05,1.677e-05,1.1112e-05,5.2886e-06,-4.0466e-06,-8.3905e-06,4.1051e-06,-3.1083e-06,3.4727e-06,-3.1522e-07,3.8269e-07,7.2805e-07,-9.4561e-07,2.4046e-06,-2.331e-06,3.7953e-06,-3.6075e-06,5.2773e-06,-6.1293e-06,8.8455e-06,-7.3614e-06,4.3858e-06,-1.4109e-05,2.2567e-05,-1.9691e-05,2.8837e-05,-2.4231e-05,-1.3912e-05,4.9647e-05,-4.7245e-05,3.1774e-05,-2.2672e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-1.6201e-05,-5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05
0,0.13529,0.45342,0.95306,1.6337,2.4947,3.5353,4.7545,6.151,7.7237,9.4711,11.391,13.483,15.744,18.172,20.764,23.519,26.434,29.506,32.732,36.11,39.635,43.305,47.116,51.065,55.148,59.36,63.699,68.16,72.739,77.432,82.233,87.14,92.146,97.248,102.44,107.72,113.08,118.51,124.02,129.59,135.22,140.9,146.64,152.42,158.23,164.08,169.96,175.86,181.78,187.71,193.65,199.58,205.51,211.43,217.33,223.21,229.06,234.87,240.65,246.39,252.07,257.7,263.27,268.78,274.21,279.57,284.85,290.04,295.14,300.15,305.06,309.86,314.55,319.13,323.59,327.93,332.14,336.23,340.17,343.99,347.66,351.18,354.56,357.78,360.86,363.77,366.53,369.12,371.55,373.81,375.9,377.82,379.57,381.14,382.54,383.75,384.8,385.66,386.34,386.84,387.15,387.29
36070,36031,35941,35802,35615,35383,35109,34799,34457,34091,33708,33312,32915,32529,32163,31821,31508,31222,30963,30731,30521,30339,30179,30050,29985,29992,30097,30323,30722,31321,32151,33224,34527,36017,37614,39255,40833,42315,43748,45107,46310,47311,48206,48970,49529,49861,50000,50000,49870,49805,49840,49910,49968,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49983,50000,50000,50000,50000,50000,49978,49886,49632,49117,48383,47459,46338,45056,43685,42293,40935,39653,38469,37406,36473,35681,35025,34504,34125,33883,33781
1533.8,1533.2,1532.4,1531.8,1524.7,1520.9,1517.1,1521,1528.3,1535.1,1527.5,1526.4,1541.7,1543.5,1539.2,1517.9,1493.2,1460,1448.5,1424.8,1421,1415.6,1404.3,1444,1458.3,1468,1503.6,1531.9,1540.5,1546.3,1546.6,1520.8,1499.4,1453.1,1409.5,1360.2,1327.2,1308.3,1267.3,1222,1175.9,1155.9,1117.8,1076.9,1040.6,1009.3,981.2,939.85,932.25,898.49,853.18,814.69,790.16,773.25,760.37,741.57,718.35,694.76,674.31,655.34,636.35,617.83,599.29,581.63,564.59,548.63,533.68,519.96,507.24,494.33,484.81,475.83,465.71,452.88,447.3,429.52,439.56,415.78,413.84,407.49,400.04,390.09,367.03,323.93,273.19,242.76,217.01,165.42,118.3,114.28,108.96,112.95,113.8,110.61,107.34,125.67,113.6,143.07,116.91,121.68,121.1,118.98,118
7.1625,7.168,7.1783,7.1902,7.2432,7.2794,7.3176,7.3117,7.2875,7.2653,7.3166,7.3356,7.2666,7.2612,7.2847,7.3971,7.5363,7.7419,7.8294,7.9969,8.0418,8.0953,8.1867,7.9268,7.8267,7.7477,7.4591,7.2121,7.0918,6.9719,6.8608,6.9416,6.9445,6.9862,6.9763,7.0277,6.8376,6.4056,6.2963,6.2432,6.1927,5.7873,5.756,5.7664,5.7089,5.5819,5.4109,5.4589,5.0184,4.9798,5.0894,5.1773,5.188,5.1941,5.0976,5.0872,5.0628,5.0553,5.0497,5.0359,5.0255,5.011,5.0034,4.9912,4.9832,4.9736,4.9649,4.954,4.9431,4.9506,4.9162,4.8837,4.8779,4.9235,4.8619,4.9966,4.7031,4.9508,4.8605,4.8409,4.8455,4.8924,5.1261,5.5542,6.1032,6.387,6.5983,7.0784,7.6554,7.7296,7.8117,7.7337,7.7114,7.7555,7.789,7.3965,7.6892,7.1566,7.6245,7.5256,7.5494,7.5973,7.6172
5.076,5.0772,5.0803,5.085,5.0915,5.0996,5.1095,5.1211,5.1345,5.1497,5.1668,5.1855,5.2063,5.2291,5.254,5.2806,5.3088,5.3384,5.3696,5.4024,5.4369,5.4735,5.5119,5.5531,5.5981,5.6463,5.6989,5.7567,5.82,5.889,5.9649,6.0473,6.1367,6.2317,6.3297,6.4306,6.5332,6.6372,6.742,6.8473,6.9518,7.0552,7.1574,7.2583,7.3569,7.4528,7.5454,7.6346,7.7203,7.8035,7.8837,7.9609,8.0355,8.1084,8.1794,8.2488,8.3159,8.3805,8.4428,8.503,8.561,8.6169,8.6706,8.7223,8.7718,8.8194,8.865,8.9087,8.9507,8.991,9.0299,9.067,9.1013,9.1335,9.1644,9.194,9.2222,9.2496,9.275,9.2996,9.3227,9.3448,9.365,9.3825,9.3956,9.4041,9.4086,9.4092,9.4049,9.3976,9.3885,9.3785,9.3679,9.3574,9.347,9.3375,9.3289,9.322,9.3159,9.3104,9.3066,9.3041,9.303
0.61903,0.61954,0.62076,0.62273,0.62506,0.6283,0.63226,0.63739,0.64347,0.65023,0.65588,0.66291,0.67286,0.68111,0.68895,0.69393,0.69826,0.7003,0.70747,0.71182,0.72147,0.73141,0.74022,0.76476,0.78388,0.80314,0.83329,0.86362,0.89019,0.91862,0.94888,0.97161,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
