26558,26566,26585,26614,26653,26701,26757,26821,26890,26963,27040,27117,27193,27265,27331,27390,27437,27473,27496,27509,27513,27512,27510,27516,27529,27555,27592,27643,27710,27791,27894,28029,28197,28384,28583,28776,28963,29143,29317,29483,29643,29795,29941,30093,30276,30504,30784,31109,31451,31763,31996,32137,32195,32184,32112,32002,31889,31811,31778,31777,31777,31776,31782,31804,31845,31899,31958,32007,32050,32094,32135,32173,32214,32251,32282,32309,32341,32388,32465,32572,32707,32864,33039,33224,33413,33598,33775,33940,34089,34218,34323,34402,34453,34475
1520,1520.6,1521.9,1523.9,1526.8,1530.4,1534.7,1539.9,1545.8,1552.5,1560,1568.4,1577.7,1587.9,1599,1611.2,1624.4,1638.7,1654.1,1670.9,1688.9,1708.7,1730.2,1753.8,1780,1808.8,1840.3,1873.2,1906.7,1940.7,1975,2009.5,2043.8,2077.4,2110.3,2142.3,2173.8,2204.5,2234.4,2263.5,2291.7,2319.1,2345.5,2370.9,2395.5,2418.9,2441.2,2462.3,2482.7,2502.1,2520.2,2537.3,2553.5,2569.2,2584.3,2598.8,2612.8,2626.6,2640.3,2654.1,2667.9,2681,2693.7,2705.6,2717.3,2728.6,2739.9,2750.8,2760.9,2770.6,2779.9,2788.6,2796.8,2804.8,2812.4,2819.3,2825.5,2830.3,2834.2,2837.5,2840.2,2842.5,2844.5,2846.3,2847.9,2849.1,2849.7,2850.6,2851.8,2852,2852.4,2852.5,2855.4,2858.7
0.034453,0.034298,0.033936,0.033366,0.032593,0.03161,0.030429,0.029037,0.027455,0.025659,0.023684,0.02149,0.019136,0.016548,0.013836,0.010841,0.0080105,0.0053145,0.0030201,0.0012603,0.00013517,-0.00028911,0.00014712,0.0012751,0.0022709,0.0038238,0.0049137,0.0065826,0.0076287,0.0090715,0.011355,0.014209,0.016044,0.017011,0.016624,0.015478,0.014638,0.013631,0.012879,0.01201,0.011358,0.010549,0.010171,0.011269,0.013873,0.016921,0.020384,0.02233,0.022028,0.018052,0.012084,0.0062298,0.0014816,-0.0028535,-0.006217,-0.0076971,-0.0065142,-0.003641,-0.00076873,0.00017552,-0.00020178,0.00017586,0.00077383,0.0023088,0.0034805,0.0043198,0.0040949,0.0033588,0.0034437,0.0034345,0.0031945,0.0033856,0.0035716,0.0031074,0.002673,0.0028401,0.0038216,0.0067075,0.010753,0.015074,0.019485,0.023792,0.028002,0.031749,0.034971,0.037856,0.040535,0.042982,0.045133,0.046873,0.048198,0.04915,0.049748,0.05
1562,1561.6,1560.8,1559.5,1557.6,1555.3,1552.5,1549.2,1545.4,1541.1,1536.2,1530.8,1524.8,1518.2,1511,1503.1,1494.5,1485.1,1474.8,1463.6,1451.4,1438,1423.3,1407.3,1389.7,1370.4,1349.3,1327,1303.7,1279.4,1254,1227.7,1201,1174,1146.9,1119.7,1092.2,1064.4,1036.4,1008.2,979.76,951.3,922.61,893.43,863.87,834.45,805.38,777.46,751.03,726.64,703.6,680.97,658.19,635.33,612.03,587.87,562.59,536.63,510.65,485.47,460.96,436.47,412.19,387.97,364.35,341.38,319.4,298.23,277.35,257.18,237.74,218.83,200.61,183.39,166.87,150.88,135.34,119.98,105.1,91.083,78.002,65.966,54.949,45.082,36.321,28.624,21.844,16.097,11.285,7.3826,4.3266,2.0324,0.60053,2.3331e-16
-0.001,-0.00099966,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.000999,-0.001,-0.00083709,-0.00078185,-0.00054369,-0.000424,-0.0001679,-4.6999e-05,0.00026229,0.0002022,0.00031805,0.00027484,0.00028094,0.00031681,0.00017789,0.00038444,0.00050406,0.00049513,0.00021602,0.00010611,-0.00022024,-0.00014001,-0.00018475,-0.00013133,-0.00015157,-0.00011556,-0.00012702,-0.00011635,1.9763e-05,0.00034794,0.00045121,0.00056627,0.00047513,0.00016227,-0.00033053,-0.0008934,-0.001,-0.00087645,-0.00072321,-0.00068348,-0.0004173,-4.5268e-05,0.0004128,0.00052973,0.00040023,-5.4378e-05,1.1377e-05,7.3622e-05,0.00020739,0.0002968,0.00018136,0.00010477,-0.00017572,-6.3174e-05,4.7661e-05,-5.563e-05,-1.6497e-05,8.489e-05,-3.2239e-05,-0.00016655,-2.9526e-05,0.00011632,0.00054326,0.0011675,0.0013881,0.0015603,0.0016329,0.0017434,0.0017699,0.0016626,0.0015983,0.0016465,0.0017257,0.0018027,0.0018092,0.0017359,0.0016856,0.0016596,0.0016387,0.0016368
1.6819,1.6819,1.6819,1.6819,1.682,1.682,1.682,1.6821,1.6821,1.6822,1.6823,1.6823,1.6824,1.6825,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6834,1.6835,1.6836,1.6838,1.6839,1.684,1.6842,1.6843,1.6845,1.6846,1.6847,1.6849,1.685,1.6852,1.6853,1.6855,1.6856,1.6858,1.6859,1.6861,1.6862,1.6864,1.6865,1.6867,1.6868,1.6869,1.6871,1.6872,1.6874,1.6875,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6892,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-5e-05,2.2456e-05,-1.7704e-05,1.4742e-05,-1.3259e-05,1.2448e-05,-1.2059e-05,1.1991e-05,-1.2216e-05,1.2751e-05,-1.3664e-05,1.5103e-05,-1.7386e-05,2.13e-05,-2.8291e-05,5e-05,2.0383e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-3.0021e-05,5e-05,-5e-05,5e-05,-5e-05,2.6043e-05,2.6141e-05,3.0112e-05,-5e-05,-2.2424e-05,-5e-05,-2.5928e-05,1.8072e-05,-1.196e-05,1.4436e-05,-9.292e-06,1.2139e-05,-9.6272e-06,1.2399e-05,4.0264e-05,4.635e-05,2.9643e-06,2.2356e-05,-5e-05,-5e-05,-5e-05,-5e-05,2.3214e-06,3.6824e-05,3.5642e-06,2.7552e-05,5e-05,5e-05,5e-05,3.5219e-06,-5e-05,-5e-05,4.1018e-05,-6.5839e-06,5e-05,-2.5459e-05,-2.0512e-06,-5e-05,-2.6909e-05,5e-05,-1.1008e-05,-1.6126e-05,3.0033e-05,2.1179e-06,-5e-05,1.3576e-06,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,2.1478e-05,5e-05,-3.3508e-05,-5e-05,-5.1527e-06,5e-05,5e-05,5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,5e-05
2.8422e-14,0.15416,0.51662,1.0858,1.8611,2.8415,4.026,5.4132,7.0015,8.7892,10.774,12.954,15.327,17.89,20.64,23.574,26.688,29.98,33.445,37.079,40.879,44.84,48.958,53.228,57.644,62.204,66.9,71.727,76.682,81.757,86.946,92.245,97.647,103.15,108.74,114.41,120.16,125.99,131.88,137.82,143.82,149.87,155.95,162.06,168.2,174.36,180.52,186.69,192.86,199.01,205.15,211.26,217.35,223.39,229.39,235.34,241.23,247.05,252.8,258.48,264.07,269.57,274.97,280.27,285.46,290.53,295.49,300.31,305.01,309.57,313.99,318.26,322.37,326.34,330.14,333.77,337.23,340.53,343.64,346.57,349.32,351.89,354.26,356.44,358.43,360.21,361.8,363.19,364.37,365.35,366.13,366.7,367.06,367.21
35638,35619,35575,35509,35422,35321,35209,35093,34981,34880,34800,34752,34747,34799,34921,35134,35447,35873,36419,37085,37869,38765,39754,40810,41951,43150,44406,45638,46789,47862,48777,49439,49819,49984,50000,50000,50000,50000,50000,50000,50000,50000,50000,49899,49514,48740,47534,45991,44352,42934,42025,41640,41780,42368,43371,44646,45917,46965,47695,48203,48710,49195,49615,49890,50000,50000,49964,49981,50000,49992,50000,50000,49971,49954,49978,50000,49966,49756,49283,48555,47606,46497,45282,44018,42765,41561,40425,39410,38528,37762,37152,36697,36478,36437
1516.6,1517.1,1518.3,1520.2,1522.8,1526.1,1530,1534.6,1540.1,1545.6,1551.9,1559.5,1568,1576.7,1587.1,1598.6,1586.5,1591.7,1571.8,1571.1,1553.4,1556.7,1535.3,1556.6,1554.2,1559.8,1541,1496.9,1459.5,1404.5,1352.1,1304.2,1266.5,1221.9,1188.4,1148.9,1112.3,1070.5,1033.9,994.58,958.16,921.07,875.92,823.99,782.6,736.83,712.31,705.63,722.39,738.12,724.61,698.2,669.32,653.79,616.28,570.11,531.02,514.88,511.03,538.93,520.53,503.28,477.73,457.79,460.86,460.07,480.46,460.06,438.72,442.07,430.01,410.8,417.29,423.46,403.83,381.65,324.18,248.47,216.43,179.51,156.38,138.26,124.26,119.71,106.29,55.365,-5.2465,-18.988,-16.484,-4.4948,-66.016,-82.966,-41.636,-53.522
