25977,25981,25988,26000,26016,26036,26060,26088,26119,26153,26189,26226,26265,26303,26341,26378,26417,26458,26504,26560,26626,26706,26802,26915,27047,27199,27372,27559,27752,27940,28119,28285,28439,28585,28733,28883,29036,29190,29342,29498,29649,29793,29932,30066,30193,30315,30433,30548,30659,30767,30871,30971,31066,31157,31245,31329,31409,31486,31560,31630,31698,31762,31824,31882,31939,31993,32043,32089,32133,32176,32217,32255,32292,32327,32360,32391,32426,32470,32528,32603,32695,32805,32931,33073,33227,33391,33559,33729,33894,34050,34194,34324,34435,34525,34594,34638,34657
1520,1520.5,1521.8,1523.8,1526.5,1530,1534.3,1539.4,1545.4,1552.3,1560.1,1569,1578.9,1590,1602.3,1615.9,1630.8,1647.1,1664.9,1684.4,1705.8,1729.2,1754.9,1782.6,1812.9,1844.7,1876.7,1908.7,1940.4,1971.8,2002.8,2033.5,2063.9,2094,2123.8,2153.3,2182.3,2210.9,2238.9,2266.2,2292.9,2318.8,2343.9,2368.3,2391.8,2414.5,2436.7,2458.4,2479.7,2500.5,2520.7,2540.1,2558.8,2576.9,2594.4,2611.3,2627.6,2643.2,2658.2,2672.7,2686.6,2699.9,2712.7,2725,2736.9,2748.2,2759.2,2769.6,2779.6,2789.2,2798.3,2807.1,2815.4,2823.3,2830.9,2837.9,2844.3,2850.1,2855.3,2860,2864.1,2867.6,2870.6,2873.1,2875.1,2876.7,2878.2,2879.5,2880.6,2881.4,2881.6,2881.7,2881.7,2881.7,2881.7,2881.8,2881.8
0.015195,0.015167,0.015096,0.014985,0.014844,0.014648,0.01444,0.014135,0.013704,0.01323,0.012561,0.011691,0.010867,0.0098688,0.0090369,0.008502,0.0083255,0.0085679,0.0093292,0.01057,0.012001,0.013832,0.0154,0.017387,0.01904,0.020908,0.022113,0.022356,0.021591,0.019837,0.017854,0.016034,0.014368,0.01358,0.013696,0.013166,0.013319,0.012702,0.012611,0.01235,0.011454,0.010897,0.010214,0.0096726,0.0090777,0.0086415,0.0082628,0.0079779,0.0076562,0.0073417,0.0069831,0.0066577,0.0063519,0.006094,0.0058361,0.0055966,0.0053611,0.0051496,0.0049426,0.0047588,0.0045845,0.0044247,0.0042637,0.0041486,0.004047,0.0038359,0.0036004,0.0034728,0.0034071,0.0033327,0.0032554,0.0031632,0.0031189,0.0030708,0.0028716,0.0030421,0.00385,0.0052381,0.0071269,0.0094372,0.012092,0.015017,0.018138,0.021387,0.024693,0.028002,0.031205,0.034018,0.03651,0.038757,0.040796,0.042601,0.044138,0.045379,0.046287,0.046871,0.04712
1562,1561.6,1560.8,1559.5,1557.6,1555.3,1552.4,1549.1,1545.2,1540.7,1535.7,1530,1523.8,1516.8,1509.1,1500.6,1491.2,1480.9,1469.6,1457.3,1443.8,1429.1,1413.1,1395.7,1376.9,1356.8,1336.2,1315.1,1293.7,1272,1249.9,1227.2,1204,1180,1155.4,1130.5,1105.1,1079.5,1053.6,1027.5,1001.4,975.05,948.64,922.1,895.53,868.87,842.19,815.52,788.91,762.38,735.98,709.7,683.57,657.6,631.85,606.32,581.06,556.06,531.37,507,482.99,459.34,436.09,413.24,390.82,368.91,347.49,326.53,306.08,286.16,266.81,248.04,229.84,212.25,195.34,178.93,162.94,147.43,132.48,118.16,104.53,91.644,79.564,68.316,57.93,48.417,39.804,32.125,25.369,19.467,14.366,10.056,6.5306,3.7996,1.8064,0.53723,-2.5246e-16
-0.00020405,-0.00020496,-0.00022333,-0.00020245,-0.00021137,-0.00021174,-0.00019545,-0.00028719,-0.00029273,-0.00031101,-0.00043109,-0.0004103,-0.00039218,-0.00042404,-0.00024357,-0.00015621,3.1376e-05,0.00013011,0.00035375,0.00036222,0.00049902,0.00044726,0.00045999,0.00048439,0.00039667,0.00043677,0.00012798,-1.9216e-05,-0.000318,-0.00040006,-0.00042061,-0.00033222,-0.00031465,2.0524e-05,-6.9847e-05,-3.3861e-05,-1.0375e-05,-0.00013256,5.3039e-05,-0.00016297,-0.00011323,-0.00011669,-0.00010408,-0.00010247,-9.1163e-05,-6.9962e-05,-5.5703e-05,-5.1082e-05,-5.5353e-05,-5.8111e-05,-6.1163e-05,-5.4365e-05,-4.9466e-05,-4.3911e-05,-4.4785e-05,-4.1618e-05,-4.0637e-05,-3.7119e-05,-3.6531e-05,-3.2231e-05,-3.1649e-05,-2.9971e-05,-2.917e-05,-1.634e-05,-2.9635e-05,-5.1878e-05,-3.9052e-05,-1.6941e-05,-1.4155e-05,-1.7809e-05,-1.8242e-05,-2.1863e-05,9.3004e-07,-3.9163e-05,-3.1973e-05,0.00013583,0.00031111,0.00049008,0.00065021,0.00081351,0.00095777,0.0011056,0.0012322,0.0013657,0.0014707,0.0015983,0.0016009,0.0015303,0.0015435,0.0015813,0.0016559,0.0016998,0.0017553,0.0017601,0.0017633,0.0017826,0.001789
1.6821,1.6821,1.6821,1.6821,1.6822,1.6822,1.6822,1.6823,1.6823,1.6824,1.6824,1.6825,1.6826,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6834,1.6835,1.6836,1.6837,1.6839,1.684,1.6841,1.6842,1.6844,1.6845,1.6847,1.6848,1.6849,1.6851,1.6852,1.6853,1.6855,1.6856,1.6858,1.6859,1.686,1.6862,1.6863,1.6864,1.6866,1.6867,1.6868,1.6869,1.6871,1.6872,1.6873,1.6874,1.6875,1.6876,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6884,1.6885,1.6886,1.6887,1.6888,1.6889,1.6889,1.689,1.6891,1.6891,1.6892,1.6892,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,-1.8572e-05,5e-05,-5e-05,5e-05,-5e-05,-5e-05,1.7411e-05,-5e-05,-5e-05,5e-05,-4.1908e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-3.4253e-06,4.7029e-05,-5e-05,5e-05,-4.8183e-05,2.9111e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5.4013e-06,1.0298e-05,5.2752e-06,3.4725e-05,5e-05,-4.8284e-05,5e-05,-5e-05,3.4095e-05,-9.7808e-06,-2.6721e-05,1.9516e-05,-1.0001e-05,9.0393e-06,-5.2341e-06,7.7748e-06,-1.6232e-07,4.5797e-06,-2.6801e-06,1.4309e-06,-2.4997e-06,1.9195e-06,-1.4337e-07,2.1599e-06,-6.9677e-07,1.0124e-06,-3.7589e-07,1.1463e-06,-3.3721e-07,1.0738e-06,-5.7038e-08,7.5394e-07,-5.9453e-07,1.9798e-06,9.9937e-07,-5.514e-06,-1.4244e-06,5.4492e-06,2.6815e-06,-9.2717e-07,4.6969e-09,-1.3537e-06,2.6765e-06,2.0841e-06,-1.6573e-05,2.8519e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-4.5531e-05,-1.0688e-05,1.4026e-05,5e-05,5e-05,5e-05,5e-05,-2.2924e-05,5e-05,5e-05,5e-05
2.8422e-14,0.13993,0.46895,0.98566,1.6895,2.5796,3.6552,4.915,6.3578,7.9819,9.7858,11.767,13.925,16.255,18.757,21.427,24.262,27.26,30.416,33.729,37.194,40.808,44.567,48.467,52.503,56.672,60.97,65.39,69.93,74.583,79.346,84.212,89.178,94.237,99.384,104.61,109.92,115.3,120.75,126.25,131.81,137.42,143.07,148.76,154.47,160.22,165.98,171.75,177.53,183.31,189.08,194.84,200.58,206.3,211.99,217.64,223.24,228.8,234.31,239.75,245.13,250.44,255.67,260.82,265.88,270.84,275.71,280.47,285.13,289.66,294.09,298.38,302.55,306.59,310.49,314.25,317.86,321.33,324.64,327.8,330.79,333.63,336.3,338.8,341.13,343.29,345.27,347.07,348.7,350.14,351.4,352.48,353.37,354.07,354.59,354.92,355.06
39056,39064,39082,39111,39152,39207,39278,39368,39481,39621,39794,40011,40274,40597,40982,41433,41945,42512,43120,43754,44409,45059,45714,46341,46942,47454,47796,48014,48145,48268,48427,48645,48911,49217,49470,49676,49830,49927,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49996,50000,50000,49946,49793,49511,49084,48504,47776,46914,45943,44889,43788,42673,41581,40543,39574,38692,37915,37258,36732,36343,36093,35986
1497.9,1499.1,1503.8,1504.9,1511.1,1517.6,1523,1543.9,1554.4,1567.4,1593.9,1603.5,1614.1,1631.1,1623.7,1627.6,1618.2,1618.8,1602.9,1612.1,1603.5,1613.4,1612,1604.4,1599.3,1552.2,1519,1476.5,1442.4,1398.1,1352.8,1304.6,1258.6,1202.9,1169.6,1132.9,1095.4,1066.5,1020.6,998.9,961.1,927.23,893.38,859.76,825.75,797.81,778.52,763.29,747.35,727.45,704.22,680.67,659.83,640.65,622.47,604.1,586.31,568.9,552.61,536.93,522.63,509.19,496.71,483.84,474.44,466.51,455.58,444.23,435.37,427.62,419.91,412.82,403.43,400.45,393.16,369.73,342.9,314.37,291.05,267.06,241.23,210.96,183.61,150.62,124.02,109.79,99.64,92.491,62.288,13.144,-31.221,-42.79,-69.289,-88.261,-90.628,-135,-151.66
