24902,24913,24940,24982,25039,25110,25195,25293,25404,25525,25655,25793,25936,26081,26229,26375,26517,26652,26777,26893,26999,27096,27188,27281,27381,27495,27635,27803,27990,28187,28382,28571,28754,28933,29106,29274,29436,29592,29743,29887,30026,30159,30286,30409,30528,30644,30756,30864,30967,31066,31161,31252,31339,31422,31501,31577,31650,31720,31786,31850,31910,31968,32022,32075,32120,32165,32209,32250,32290,32327,32364,32396,32427,32465,32520,32599,32706,32838,32996,33175,33374,33586,33802,34015,34220,34412,34586,34740,34870,34976,35055,35106,35128
1520,1520.8,1522.6,1525.6,1529.6,1534.7,1540.9,1548.2,1556.7,1566.4,1577.3,1589.4,1602.8,1617.5,1633.6,1651.2,1670.2,1690.8,1713.1,1737.3,1763.3,1791.7,1821.7,1852.6,1884.1,1916.2,1948.8,1981.5,2013.9,2046,2077.4,2108.2,2138.6,2168.6,2198.1,2227,2255.3,2282.8,2309.7,2335.8,2361.1,2385.5,2409.1,2432.1,2454.6,2476.7,2498.3,2519.2,2539.4,2558.8,2577.6,2595.8,2613.3,2630.1,2646.3,2661.8,2676.7,2691.1,2704.9,2718.1,2730.8,2743,2754.7,2765.9,2776.7,2786.8,2796.6,2805.9,2814.9,2823.3,2831.4,2839.1,2846.1,2852.4,2857.8,2862.5,2866.5,2869.9,2872.7,2874.9,2876.7,2878.4,2880,2881.4,2882.6,2883.5,2884.3,2885.1,2885.5,2885.7,2885.8,2885.9,2885.9
0.05,0.049891,0.049633,0.049234,0.048679,0.047996,0.047141,0.046186,0.045003,0.043522,0.041706,0.039578,0.037227,0.034883,0.03239,0.029464,0.026465,0.023272,0.020315,0.017443,0.015038,0.013282,0.012248,0.012048,0.012743,0.014477,0.017054,0.018858,0.019634,0.019256,0.017989,0.016862,0.015914,0.014999,0.01411,0.013278,0.012502,0.011761,0.01107,0.010417,0.0098148,0.0092147,0.0087205,0.0083194,0.0080153,0.007686,0.0073671,0.0069914,0.0066627,0.0063322,0.0060807,0.0057943,0.0055694,0.0052998,0.0051145,0.0048626,0.0047254,0.0044821,0.0044195,0.0042014,0.0040703,0.0039099,0.0037715,0.0035671,0.00321,0.0034509,0.0031802,0.003246,0.0030166,0.0031391,0.0030083,0.0026831,0.0030511,0.0043245,0.0066687,0.0097692,0.01328,0.017076,0.021099,0.0254,0.029694,0.033457,0.03667,0.039398,0.041689,0.043598,0.045173,0.046481,0.047647,0.048607,0.049328,0.049796,0.049997
1562,1561.6,1560.5,1558.9,1556.6,1553.7,1550.3,1546.1,1541.4,1536,1529.9,1523.2,1515.7,1507.4,1498.4,1488.5,1477.8,1466,1453.2,1439.2,1423.8,1406.8,1388.4,1368.8,1348.2,1326.4,1303.5,1280.1,1256.3,1232.3,1208,1183.2,1158,1132.5,1106.5,1080.3,1053.8,1027,1000,972.89,945.59,918.19,890.69,863.12,835.51,807.94,780.42,753.01,725.69,698.52,671.5,644.69,618.09,591.76,565.69,539.95,514.51,489.48,464.77,440.54,416.72,393.37,370.5,348.18,326.45,305.05,284.42,264.27,244.84,225.93,207.76,190.34,173.35,156.74,140.53,124.89,110,95.946,82.788,70.535,59.283,49.163,40.159,32.207,25.267,19.254,14.175,9.9714,6.4881,3.7803,1.807,0.5394,2.2311e-13
-0.00071922,-0.00072382,-0.00071815,-0.00072272,-0.0007213,-0.00071695,-0.00073054,-0.00069939,-0.00081699,-0.00087321,-0.00098438,-0.00099995,-0.001,-0.0008778,-0.001,-0.0009923,-0.001,-0.00093714,-0.00083304,-0.00075087,-0.00054363,-0.00035983,-0.00015413,5.8887e-05,0.00026152,0.00051846,0.00052108,0.00025229,6.1414e-05,-0.00020441,-0.00025015,-0.00019097,-0.00017286,-0.00016795,-0.00015674,-0.00014341,-0.00013459,-0.00012502,-0.00011726,-0.00010614,-0.00010369,-9.455e-05,-7.5219e-05,-5.7073e-05,-5.1503e-05,-5.4181e-05,-5.782e-05,-6.0795e-05,-5.4512e-05,-4.9551e-05,-4.3234e-05,-4.5403e-05,-3.9925e-05,-4.1968e-05,-3.3982e-05,-3.9599e-05,-2.5428e-05,-4.1312e-05,-2.4797e-06,-6.6783e-05,4.7358e-06,-6.3634e-05,1.2779e-05,-0.00011314,2.7179e-05,-8.3359e-06,-3.399e-05,1.6485e-06,-4.7268e-05,5.8092e-05,-0.00011542,4.7008e-07,0.00019592,0.00050719,0.00079745,0.0010155,0.0011594,0.001325,0.0014845,0.001695,0.0016775,0.0015575,0.0014459,0.0013561,0.0012563,0.0011955,0.0011175,0.0011645,0.0012476,0.0012763,0.0013056,0.0013245,0.0013267
1.6821,1.6821,1.6821,1.6821,1.6821,1.6822,1.6822,1.6823,1.6823,1.6824,1.6825,1.6825,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6834,1.6835,1.6837,1.6838,1.6839,1.684,1.6842,1.6843,1.6844,1.6846,1.6847,1.6849,1.685,1.6852,1.6853,1.6854,1.6856,1.6857,1.6859,1.686,1.6862,1.6863,1.6864,1.6866,1.6867,1.6868,1.6869,1.6871,1.6872,1.6873,1.6874,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6892,1.6893,1.6893,1.6894,1.6895,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,-4.963e-05,-5e-05,-3.1104e-05,-9.9675e-06,3.7742e-05,9.4205e-06,-5e-05,2.7745e-05,-1.7582e-05,5e-05,7.2482e-06,5e-05,4.9343e-05,5e-05,5e-05,5e-05,4.9903e-05,5e-05,-5e-05,-4.3527e-05,-5e-05,-3.8954e-05,1.1927e-05,6.8288e-06,1.301e-06,1.3658e-06,2.3308e-06,2.3566e-06,9.8234e-07,2.2293e-06,7.8963e-07,2.4481e-06,-9.7454e-07,4.1991e-06,1.8875e-06,3.9466e-06,-2.0508e-06,1.5997e-06,-3.1193e-06,2.8527e-06,-1.6477e-06,4.0714e-06,-3.0908e-06,3.9205e-06,-3.8435e-06,5.3327e-06,-5.4581e-06,7.4613e-06,-8.1579e-06,1.1158e-05,-1.0616e-05,5.7262e-06,-1.1481e-06,-4.3776e-07,1.3831e-06,-1.7226e-05,4.3561e-05,-4.384e-05,3.5211e-05,-3.2669e-05,3.4162e-05,-2.2784e-05,-1.6136e-05,4.9942e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-4.9282e-05,-5e-05,-5e-05,-5e-05,-5.0095e-05,-4.5523e-05,-3.6034e-05,4.9282e-05,4.4853e-05,4.9282e-05,4.9282e-05,5e-05,-5e-05
0,0.1513,0.50704,1.0657,1.8265,2.7887,3.951,5.3123,6.8708,8.6248,10.572,12.711,15.039,17.552,20.249,23.126,26.179,29.406,32.802,36.364,40.088,43.968,48.001,52.183,56.507,60.97,65.566,70.29,75.136,80.098,85.172,90.351,95.63,101,106.46,112,117.61,123.29,129.03,134.83,140.68,146.56,152.48,158.43,164.4,170.38,176.37,182.36,188.34,194.31,200.26,206.18,212.06,217.91,223.7,229.45,235.13,240.74,246.28,251.74,257.11,262.39,267.57,272.64,277.6,282.45,287.17,291.77,296.23,300.56,304.74,308.77,312.65,316.38,319.94,323.33,326.56,329.61,332.49,335.19,337.7,340.03,342.17,344.11,345.87,347.43,348.79,349.95,350.91,351.67,352.23,352.59,352.74
46307,46270,46186,46055,45881,45669,45423,45148,44853,44549,44248,43966,43715,43508,43355,43283,43308,43453,43732,44162,44749,45498,46359,47247,48111,48879,49459,49805,49964,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49994,50000,50000,50000,49983,50000,50000,50000,50000,50000,50000,49987,50000,50000,49914,49662,49195,48501,47596,46503,45256,43901,42501,41117,39791,38559,37438,36451,35604,34893,34327,33911,33645,33531
1684.2,1685.2,1686.1,1688.6,1691.2,1693.8,1698.7,1699.3,1715.1,1724.7,1739.7,1744.5,1747.3,1736.4,1750.3,1749.5,1749.1,1740.3,1726.6,1713.9,1689.1,1666.1,1615.2,1558,1502.1,1444.8,1398.2,1360.5,1320.4,1285.7,1237.6,1191.9,1157,1121.5,1084,1046.9,1010.8,974.64,938.77,903.73,869.57,834.16,803.28,781.61,765.51,749.32,729.33,705.51,681.06,659.37,639.38,620.61,601.31,583.16,564.73,548.57,531.51,518.52,501.03,494.75,475.77,471.83,453.65,456.14,433.06,428.21,422.4,410.99,408.08,390.22,400.06,382.31,355.37,310.86,274.72,241.85,212.35,179.75,141.34,113.22,105.25,101.59,96.03,86.226,77.339,46.899,93.305,36.988,-30.118,-21.888,-43.898,-56.198,-60.919
