23724,23731,23747,23775,23815,23858,23891,23934,23986,24047,24116,24193,24276,24368,24465,24569,24680,24796,24919,25047,25180,25319,25463,25612,25768,25927,26088,26255,26425,26598,26775,26955,27138,27322,27510,27698,27889,28080,28272,28469,28674,28860,29059,29250,29440,29634,29830,30005,30206,30394,30587,30776,30964,31114,31286,31454,31617,31772,31953,32112,32260,32405,32544,32677,32806,32929,33045,33156,33259,33358,33449,33535,33612,33684,33747,33805,33854,33898,33933,33960,33981,33995,34001
1508,1508.9,1511,1514.4,1519.2,1524.6,1528.6,1533.8,1540.2,1547.7,1556.2,1565.7,1575.9,1574.7,1589.7,1598.7,1611.4,1626.1,1638.2,1663.1,1671.7,1695.9,1712.1,1736.2,1756,1783.2,1819.1,1843.6,1868.6,1894.2,1920.9,1947.9,1976.4,2004.9,2035,2064.8,2096.3,2127.2,2160.2,2193.7,2229,2261.5,2297,2331.4,2365.4,2401.8,2439,2470.3,2496.4,2522.1,2543.2,2565.7,2587.7,2608.9,2629,2648.9,2664.9,2680.8,2697.9,2712.7,2724.2,2736.9,2749.2,2759.6,2768.2,2777.9,2785.3,2792.8,2799.8,2806.6,2812.1,2818.4,2823.1,2826.8,2829.8,2832.2,2833.1,2833.6,2834.1,2834.5,2835.3,2835.5,2835.7
0.024839,0.025187,0.02612,0.028029,0.028969,0.019526,0.014791,0.018393,0.018266,0.019652,0.018695,0.01966,0.018995,0.01983,0.018829,0.019492,0.018621,0.019161,0.018402,0.018645,0.018036,0.018307,0.017566,0.017944,0.01745,0.017312,0.016501,0.016935,0.016043,0.016424,0.015593,0.015968,0.015147,0.015507,0.014696,0.015052,0.014186,0.01465,0.013624,0.015079,0.013292,0.013436,0.013302,0.01286,0.012401,0.01355,0.01156,0.012317,0.012808,0.012245,0.012494,0.012657,0.011129,0.010183,0.012143,0.011073,0.011065,0.011665,0.013292,0.010563,0.011839,0.01069,0.011575,0.010596,0.0116,0.010547,0.011448,0.010558,0.011363,0.010537,0.01128,0.01052,0.011231,0.010495,0.011213,0.010521,0.011084,0.010981,0.010435,0.010748,0.011009,0.012058,0.012337
1562,1561.4,1560,1557.8,1554.7,1550.8,1546,1540.4,1533.9,1526.4,1518.1,1508.7,1498.3,1487.2,1475.2,1462,1447.9,1432.6,1416.3,1398.6,1379.8,1359.8,1338.4,1315.8,1291.6,1266.2,1238.6,1209.6,1179.9,1149.5,1118.7,1087.1,1055.1,1022.6,989.64,957.46,928.46,896.48,864.17,835.47,805.69,776.88,745.51,713.15,680.8,649.3,617.2,582.2,551.28,520.73,488.25,457.1,426.9,398.75,372.5,346.87,321.38,295.72,271.68,250,227.15,206.85,188.23,169.82,152.06,136.49,121.03,106.9,93.963,81.88,70.745,60.126,50.25,41.201,32.963,25.696,19.138,13.534,8.9376,5.2824,2.5884,0.74962,2.4994e-14
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0018698,0.002,0.0018907,0.002,0.0019959,0.002,0.002,0.002,-0.0001759,-0.00085975,0.002,-0.00082821,-0.001,-0.001,-0.00088414,0.00068428,0.00047357,0.0006629,-0.00020984,0.002,0.0019699,-0.00044944,0.001752,0.0019716,0.0011306,0.00084021,9.9236e-05,-0.0001888,0.00031154,0.00072218,0.0013105,-0.00033716,0.00055708,0.0009732,-0.00042363,-0.00021244,0.00050485,-0.00011935,-0.00045404,0.00036543,-0.0006112,-0.00021647,-0.00058887,-0.00015428,-1.6234e-05,0.00042166,0.00033433,0.00070229,0.00037398,0.002,0.0008523,0.002,0.00096276,0.002,0.002,0.0013681
1.9998,1.9998,1.9998,1.9998,1.9998,1.9998,1.9998,1.9998,1.9999,1.9999,1.9999,1.9999,2,1.9999,2,1.9999,2,1.9999,2,1.9999,2,1.9999,2,1.9998,2,1.9998,2,1.9994,2,1.9991,2,1.9982,2,1.9965,2,1.9243,1.8393,1.8754,1.7815,1.703,1.7184,1.7103,1.7161,1.7117,1.7159,1.7119,1.7173,1.7003,1.6859,1.6887,1.6875,1.6884,1.688,1.6885,1.6884,1.6887,1.6886,1.6888,1.6888,1.689,1.689,1.6892,1.6892,1.6893,1.6894,1.6894,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
5.783e-06,-5.264e-06,3.7444e-06,-3.3127e-06,2.9327e-06,-2.6794e-06,2.5009e-06,-2.3711e-06,2.2752e-06,-2.204e-06,2.1511e-06,-2.1119e-06,2.0825e-06,-2.0592e-06,2.0382e-06,-2.0149e-06,1.9832e-06,-1.9348e-06,1.8572e-06,-1.7309e-06,1.5245e-06,-1.1845e-06,6.1268e-07,3.8684e-07,-2.2643e-06,6.4822e-06,-1.4368e-05,-3.3298e-06,1.8149e-05,-2.6976e-05,4.0206e-05,-3.2405e-05,2.6485e-05,-9.7535e-06,-2.1033e-05,-5e-05,5e-05,1.5636e-06,-5e-05,5e-05,-5e-05,5e-05,-1.5636e-06,1.5636e-06,-5e-05,-1.5636e-06,5e-05,-5e-05,1.5636e-06,5e-05,-5e-05,-1.5636e-06,-1.5636e-06,1.5636e-06,-1.5636e-06,2.4438e-05,5e-05,-4.8608e-05,-5e-05,5e-05,-5e-05,-2.3525e-05,8.032e-06,5e-05,-5e-05,5e-05,-5e-05,5.3884e-06,-5e-05,4.8655e-05,1.5636e-06,5e-05,-1.5636e-06,5e-05,-5e-05,5e-05,-1.5636e-06,1.5636e-06,-1.5636e-06,-5e-05,5e-05,-5e-05,5e-05
0,0.18102,0.60656,1.2747,2.1843,3.3342,4.7226,6.3475,8.2066,10.297,12.616,15.16,17.926,20.909,24.105,27.509,31.117,34.923,38.922,43.107,47.474,52.015,56.724,61.595,66.619,71.79,77.101,82.542,88.108,93.789,99.578,105.47,111.44,117.5,123.64,129.83,136.09,142.38,148.72,155.08,161.46,167.85,174.25,180.63,186.99,193.32,199.62,205.88,212.07,218.21,224.27,230.24,236.13,241.92,247.6,253.17,258.61,263.92,269.09,274.11,278.98,283.69,288.23,292.6,296.79,300.79,304.59,308.2,311.6,314.8,317.78,320.55,323.09,325.41,327.5,329.36,330.99,332.37,333.52,334.43,335.1,335.53,335.71
54973,54979,54992,55000,54995,55000,55000,55000,55000,55000,55000,55000,54981,54105,54290,54006,53909,53897,53642,54178,53589,53953,53748,53985,53880,54186,54971,54997,55000,54992,55000,54987,55000,54982,55000,54976,55000,54964,55000,55000,55000,54992,55000,55000,54974,54991,55000,54913,54360,53898,53180,52575,51949,51590,51017,50463,49812,49220,48484,47788,47052,46399,45785,45156,44512,43951,43375,42842,42351,41893,41457,41078,40717,40359,40041,39740,39462,39200,39002,38843,38741,38663,38629
1466.1,1467.8,1471.6,1477.5,1485.3,1493.8,1500,1507.6,1516.3,1525.5,1534.2,1542.6,1551.1,1539,1551.3,1553.1,1558.7,1564.3,1564.3,1573.1,1565.2,1567.9,1561.7,1558.4,1551.1,1543.7,1530.7,1502.8,1458.5,1424.8,1380.8,1341.1,1298.5,1256.1,1211.8,1253.1,1228.6,1079.2,1128.3,1091.4,1043.6,1005.7,933.7,903.78,845.98,855.14,691.42,661.06,763.24,615.23,586.01,593.97,587.91,628.31,624.71,562.25,503.85,453.89,556.17,451.68,401.56,517.5,487.94,392.87,452.81,475.31,370.11,470.8,421.03,452.97,393.39,365.43,305.73,310.98,252.59,293.13,3.1516,213.98,-4.4523,188.96,-9.3048,-10.465,136.14
