25746,25751,25763,25781,25805,25836,25874,25918,25969,26027,26093,26166,26243,26324,26410,26500,26597,26700,26816,26947,27094,27248,27402,27562,27721,27872,28030,28201,28374,28547,28717,28885,29052,29224,29399,29570,29737,29898,30054,30205,30350,30490,30624,30754,30878,30997,31112,31224,31332,31436,31536,31632,31724,31813,31898,31980,32056,32126,32194,32259,32321,32380,32436,32490,32542,32591,32638,32683,32727,32770,32811,32849,32886,32922,32954,32984,33013,33040,33067,33091,33111,33133,33169,33226,33307,33405,33516,33632,33749,33860,33962,34051,34125,34180,34216,34232
1520,1520.6,1522,1524.2,1527.3,1531.1,1535.9,1541.4,1547.9,1555.4,1563.9,1573.5,1584.3,1596.3,1609.7,1624.5,1640.7,1658.1,1676.8,1697,1719.1,1743.8,1770.2,1798.7,1829,1859.6,1890.7,1921.7,1952.7,1983.6,2014.2,2044.6,2074.6,2104.2,2133.3,2161.9,2190,2217.6,2244.6,2271,2296.7,2321.7,2346,2369.6,2392.5,2414.6,2436.2,2457.2,2477.8,2497.7,2517,2535.7,2553.9,2571.5,2588.3,2604.6,2620.3,2635.4,2649.8,2663.7,2677,2689.8,2702,2713.7,2725,2735.9,2746.2,2756.1,2765.6,2774.7,2783.3,2791.6,2799.5,2807,2814.2,2820.9,2827.3,2833.3,2839,2844.5,2849.6,2853.7,2856.7,2858.6,2859.8,2860.8,2861.6,2862.2,2862.6,2862.8,2863,2863,2862.9,2862.8,2862.7,2862.7
0.021311,0.021252,0.021121,0.020942,0.020749,0.020617,0.020642,0.020824,0.021053,0.021186,0.021387,0.020999,0.020251,0.019862,0.019165,0.019011,0.018896,0.01958,0.020679,0.022049,0.023002,0.021781,0.021154,0.020646,0.018842,0.01755,0.018345,0.018391,0.017693,0.0169,0.015849,0.015226,0.014828,0.01485,0.014412,0.013528,0.012896,0.012095,0.011407,0.010813,0.010188,0.0096447,0.009117,0.008611,0.0081665,0.0077496,0.0073995,0.0071234,0.0068199,0.0065285,0.0062189,0.0059706,0.0057415,0.0054703,0.0052721,0.0049901,0.004568,0.0043863,0.0042476,0.0040851,0.0039461,0.0037844,0.0036573,0.0036064,0.0034188,0.0033253,0.0032542,0.0032121,0.0032151,0.0031489,0.0030587,0.0029439,0.0030777,0.0028702,0.0027068,0.0027133,0.002638,0.0027127,0.0026446,0.0024648,0.0022184,0.0033668,0.0060501,0.0098069,0.013945,0.017796,0.021271,0.02435,0.027017,0.029246,0.031148,0.032614,0.033777,0.034672,0.035249,0.035497
1562,1561.6,1560.6,1559.1,1557.1,1554.5,1551.2,1547.4,1543,1537.9,1532.2,1525.8,1518.8,1511,1502.4,1493,1482.7,1471.5,1459.3,1446.1,1431.9,1416.5,1400,1382.2,1363.3,1343.6,1322.8,1301.4,1279.5,1257.2,1234.3,1210.9,1186.9,1162.4,1137.7,1112.8,1087.5,1061.9,1036.2,1010.2,984.02,957.68,931.3,904.78,878.14,851.47,824.79,798.11,771.52,745,718.6,692.33,666.22,640.32,614.63,589.22,564.12,539.23,514.68,490.48,466.62,443.19,420.17,397.55,375.46,353.82,332.65,312.03,291.96,272.42,253.46,235.11,217.39,200.24,183.79,167.97,152.83,138.38,124.6,111.62,99.304,87.31,75.637,64.455,54,44.483,35.931,28.351,21.728,16.034,11.245,7.3323,4.263,2.0242,0.60306,4.0196e-14
-0.00039459,-0.00038339,-0.00035025,-0.00029663,-0.00020527,-6.3052e-05,8.1902e-05,0.00014885,0.0001041,7.5754e-05,3.1474e-05,-2.5932e-05,-7.7717e-05,-0.00015066,-7.2486e-05,2.637e-05,0.00010709,0.00038164,0.00041713,0.00048968,1.9299e-06,-0.0001784,-2.3779e-05,-0.00027062,-0.0003826,4.9392e-05,0.00019421,-3.9602e-06,-0.00011586,-0.00020758,-7.5267e-05,-0.00010181,2.3651e-06,-4.9203e-06,-0.00014802,-0.00012956,-6.8368e-05,-0.00013284,-9.0865e-05,-0.00010746,-5.1725e-05,-8.7171e-05,-8.3358e-05,-3.8182e-05,-2.5329e-05,-2.3653e-05,-2.9759e-06,-3.4159e-06,-3.2617e-06,-5.4668e-08,5.6366e-06,8.5103e-06,1.334e-05,1.4034e-05,2.359e-05,-1.8868e-05,9.9608e-07,3.2654e-05,2.0375e-05,2.66e-05,2.6821e-05,1.8272e-05,3.9133e-05,2.0969e-05,6.8172e-06,3.0997e-05,2.9683e-05,1.415e-05,2.5625e-05,2.6953e-05,3.6291e-05,3.1757e-06,2.8844e-05,3.4392e-05,1.1973e-05,3.6158e-05,1.4694e-05,4.0971e-05,1.0041e-05,-7.162e-05,0.00015168,0.00071683,0.0012264,0.0016772,0.0017822,0.0017749,0.0017299,0.0016926,0.0016445,0.0016135,0.0015623,0.001554,0.0015626,0.0015899,0.0016117,0.0016191
1.774,1.774,1.774,1.7741,1.7741,1.7741,1.7741,1.7742,1.7742,1.7743,1.7743,1.7744,1.7744,1.7745,1.7746,1.7746,1.7747,1.7748,1.7749,1.775,1.7751,1.7752,1.7753,1.7754,1.7755,1.7756,1.7757,1.7758,1.7759,1.776,1.7761,1.7762,1.7763,1.7764,1.7765,1.7767,1.7768,1.7769,1.777,1.7771,1.7772,1.7773,1.7774,1.7775,1.7776,1.7777,1.7777,1.7778,1.7779,1.778,1.7781,1.7782,1.7782,1.7783,1.7784,1.7785,1.7785,1.7786,1.7787,1.7787,1.7788,1.7788,1.7789,1.779,1.779,1.7791,1.7791,1.7793,1.7794,1.7794,1.7795,1.7795,1.7796,1.7796,1.7796,1.7797,1.7797,1.7797,1.7797,1.7798,1.7798,1.7798,1.7798,1.7799,1.7799,1.7799,1.7799,1.7799,1.7799,1.78,1.78,1.78,1.78,1.78,1.78,1.78
9.9867e-05,6.6688e-05,0.00010704,8.8865e-05,0.0001475,0.00013427,0.00010462,-9.1708e-06,-2.2636e-05,-1.6953e-05,-2.5036e-05,-2.5608e-05,-2.3469e-05,-1.697e-05,6.4784e-05,1.493e-06,8.2854e-05,3.6566e-05,2.8662e-05,-2.6204e-05,-2.7401e-05,4.9571e-05,-1.5371e-05,-9.8967e-06,3.402e-05,0.00010284,-2.0816e-05,-1.3573e-05,-2.6991e-05,1.9818e-05,1.4828e-05,2.2804e-06,2.7117e-05,-1.7039e-05,-1.6135e-05,1.4861e-05,-7.3295e-06,3.8379e-06,3.5545e-06,8.1817e-07,6.8555e-06,2.1758e-09,4.7407e-06,2.3149e-06,1.5929e-06,6.8106e-07,3.7068e-06,-2.1259e-06,2.3586e-06,-1.8964e-08,1.9558e-06,7.0941e-07,9.9013e-07,1.8489e-06,-2.023e-06,-5.822e-06,9.5856e-06,-4.4152e-07,-2.4533e-07,1.2988e-06,-9.4702e-07,1.0276e-06,3.1337e-06,-6.2328e-06,4.2054e-06,3.0356e-06,-1.2751e-06,-3.0989e-07,2.1402e-06,1.9346e-06,-5.6219e-07,-5.1083e-06,1.3775e-05,-2.2304e-06,7.5484e-06,2.1271e-06,2.7725e-06,-9.3295e-07,-1.7971e-05,-5.854e-06,0.00016145,0.00019033,0.00019554,0.00012015,-2.5631e-06,-7.8317e-06,-2.7361e-05,-1.8217e-05,-2.9067e-05,-2.5098e-05,-1.5968e-05,1.9929e-05,2.2641e-05,8.5013e-05,2.4083e-05,0.0001091
2.8422e-14,0.1535,0.51441,1.0812,1.8532,2.8295,4.0092,5.3909,6.9732,8.7543,10.732,12.905,15.27,17.825,20.567,23.493,26.601,29.885,33.344,36.973,40.769,44.726,48.842,53.111,57.529,62.091,66.793,71.628,76.593,81.681,86.886,92.205,97.629,103.15,108.78,114.48,120.28,126.14,132.08,138.08,144.14,150.25,156.4,162.59,168.81,175.05,181.31,187.58,193.86,200.13,206.39,212.63,218.85,225.04,231.19,237.3,243.36,249.36,255.3,261.17,266.96,272.67,278.29,283.81,289.24,294.56,299.76,304.85,309.81,314.65,319.35,323.91,328.33,332.6,336.72,340.67,344.47,348.1,351.56,354.84,357.95,360.87,363.62,366.17,368.54,370.71,372.69,374.47,376.05,377.43,378.61,379.59,380.36,380.93,381.29,381.44
40510,40510,40511,40513,40517,40525,40535,40545,40557,40573,40593,40625,40687,40781,40912,41077,41269,41468,41642,41786,41900,42081,42327,42621,42981,43392,43762,44019,44237,44422,44604,44777,44914,44988,44997,44999,44998,44994,44998,44998,44998,44998,44998,44998,44998,44997,44998,44998,44999,44998,44998,44999,44999,44999,44998,44999,44999,44999,44999,44999,44998,44997,44999,44996,44995,44999,45000,44999,44989,44976,44962,44957,44944,44924,44923,44920,44920,44913,44905,44905,44919,44891,44729,44381,43856,43205,42477,41718,40966,40257,39616,39063,38612,38274,38054,37960
1572.2,1571.8,1569.9,1566.8,1560.3,1548.7,1537.8,1537,1550.3,1562.2,1576.2,1592,1607.3,1624.8,1625.3,1622.4,1618.4,1589.3,1588.6,1580.6,1634.7,1647.8,1623.5,1634.3,1602.3,1531,1478,1442,1401.3,1359.3,1309.5,1266.9,1217.7,1175.4,1146.8,1109.7,1070,1038.9,1001.2,967.68,929.7,899.28,867.57,833.48,801.04,774.78,753.25,735.58,716.3,694.97,673.27,652.96,633.31,614.36,594.8,581.42,561.7,541.48,526.53,510.4,495.86,483.29,468.28,458.81,449.75,436.6,427.49,420.98,411.29,403.48,395.05,393.02,383.05,376.23,373.81,365.16,363.14,354.75,354.42,360.49,326.97,259.1,190.56,132.04,122.3,116.91,112.79,106.35,99.941,89.26,82.761,65.844,44.855,21.591,7.106,2.2503
