23732,23737,23748,23763,23782,23813,23857,23892,23936,23989,24042,24110,24180,24259,24343,24424,24520,24618,24721,24828,24944,25058,25183,25307,25440,25575,25712,25860,26002,26157,26303,26466,26620,26784,26948,27116,27278,27456,27621,27796,27970,28148,28319,28511,28684,28866,29038,29206,29381,29555,29733,29903,30063,30242,30409,30583,30762,30929,31097,31257,31411,31571,31719,31867,32008,32150,32284,32414,32541,32664,32778,32894,33004,33101,33211,33287,33388,33463,33542,33613,33670,33737,33789,33836,33881,33912,33937,33966,33988,34002,34009
1504.9,1505.7,1507.5,1510.3,1514.4,1519.1,1524.4,1528.7,1534,1540.6,1547.1,1555.5,1564.2,1573.8,1584.5,1594.9,1607.1,1619.6,1633,1646.8,1662.1,1677.2,1694,1710.6,1728.8,1747.2,1766.4,1787.1,1807.3,1829.5,1850.7,1874.7,1897.6,1922.2,1947.1,1973,1998.3,2026.4,2052.8,2081.2,2109.6,2139.3,2168.1,2200.8,2230.7,2262.6,2293.2,2323.3,2355.2,2387.4,2411.5,2438,2459.7,2483.5,2503.9,2524.8,2542.6,2562.1,2578.8,2597,2610.1,2626.6,2635.9,2651.9,2664.8,2677.5,2682.3,2699.9,2708.8,2728.9,2743.8,2761.7,2780.3,2796.6,2822.6,2817.2,2841.4,2861.6,2865.3,2870.9,2872.1,2873.6,2876.6,2878.6,2880.3,2881.9,2883.3,2884.4,2885.1,2885.4,2885.4
0.020895,0.021337,0.020106,0.016589,0.017819,0.025433,0.021897,0.015284,0.021811,0.017741,0.01959,0.020879,0.019174,0.021207,0.018435,0.019108,0.019973,0.018847,0.019012,0.018775,0.018987,0.017811,0.019174,0.017003,0.019271,0.016298,0.01897,0.016309,0.018064,0.016126,0.017121,0.016538,0.016198,0.016099,0.016207,0.015073,0.015795,0.01537,0.014629,0.014965,0.014799,0.01416,0.014565,0.014906,0.013171,0.014358,0.012215,0.013182,0.012797,0.013012,0.012875,0.011773,0.012233,0.013046,0.011796,0.013553,0.012396,0.012595,0.012265,0.011754,0.012033,0.012207,0.011463,0.011963,0.011284,0.012212,0.0109,0.011892,0.011037,0.011791,0.010421,0.012711,0.0094155,0.012773,0.010037,0.010525,0.0124,0.0090714,0.012714,0.00864,0.011571,0.011562,0.0099807,0.011507,0.011256,0.0078706,0.011598,0.014151,0.01399,0.014653,0.014845
1562,1561.5,1560.3,1558.3,1555.7,1552.3,1548.1,1543.2,1537.5,1531.1,1523.8,1515.7,1506.7,1496.8,1486.1,1474.3,1461.6,1447.9,1433.2,1417.3,1400.5,1382.5,1363.5,1343.2,1322.7,1301.2,1277.2,1253.3,1229.6,1205.3,1180.6,1155.4,1129.8,1103.7,1077.5,1050.8,1024,996.24,968.14,941.18,913.62,886.39,858.79,831.53,804.03,776.57,747.1,717.97,687.72,657.78,629.6,601.34,576.67,549.5,524.46,497.73,471.05,447.26,422.03,397.17,371.77,348.55,323.74,303.11,283.05,263,241.71,224.75,208.06,190.94,171.6,156.48,136.59,115.68,107.34,87.767,71.41,63.002,54.1,46.411,37.982,30.134,24.089,18.56,13.687,9.7411,6.4741,3.9046,1.9454,0.61321,2.2232e-16
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.001,0.002,0.002,-0.001,-0.001,-0.001,-0.00096435,-0.00091502,-0.0009253,-0.00085712,-0.001,-0.00078224,-0.001,-9.0998e-05,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00039282,0.00049709,0.00010436,0.0014965,-8.588e-05,0.00061521,-0.00080786,-0.00093291,0.00028786,-0.001,0.002,-0.00056656,0.00044421,0.00043936,0.002,0.00082613,0.002,0.0016866,-0.00051025,0.00045257,0.0017786,0.001585,-0.001,0.00087336,0.002,0.00086182,-0.00026382,-0.00057812,-0.001,-1.2888e-05,0.0013058,-0.00062998,-0.001,-0.001,-0.00049875,0.002,9.2068e-05,-0.00085848,0.0001894,-0.0005121,-0.00049602,-0.0006614,-0.00036753,7.6334e-05,0.0013953,0.0018716
1.9991,1.9991,1.9991,1.999,1.9992,1.999,1.9993,1.999,1.9994,1.9989,1.9995,1.9988,1.9997,1.9987,2,1.9984,2,1.9979,2,1.9971,2,1.9961,2,1.9954,2,2,1.884,1.331,1,1.0508,1.019,1.0426,1.0245,1.0406,1.027,1.0403,1.0286,1.0406,1.0297,1.0414,1.0305,1.0425,1.0309,1.0441,1.0307,1.0465,1.0294,1.0507,1.0247,1.0619,1,1.2734,1.5554,1.4833,1.5336,1.4847,1.6078,1.6974,1.6853,1.6895,1.6882,1.6885,1.689,1.6885,1.6893,1.6886,1.6894,1.6888,1.6896,1.689,1.6896,1.6891,1.6897,1.6893,1.6898,1.6895,1.6898,1.6896,1.6899,1.6897,1.6899,1.6898,1.69,1.6899,1.69,1.6899,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-3.8135e-05,4.5693e-05,-3.5086e-05,5e-05,-5e-05,5e-05,-5.0069e-05,5e-05,3.5382e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-3.8919e-05,5e-05,-5e-05,5.0196e-05,3.5606e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,6.3628e-06,-5e-05,5e-05,1.284e-05,5e-05,-5e-05,5e-05,-5e-05,4.2632e-05,5.0409e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,5e-05,5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,5e-05,5e-05,5e-05,-5e-05
0,0.1486,0.49798,1.0466,1.7938,2.7386,3.8799,5.2163,6.7462,8.4678,10.379,12.477,14.761,17.226,19.87,22.69,25.683,28.844,32.171,35.658,39.302,43.099,47.044,51.131,55.357,59.716,64.203,68.812,73.538,78.376,83.318,88.36,93.496,98.718,104.02,109.4,114.85,120.35,125.91,131.52,137.18,142.86,148.58,154.31,160.06,165.81,171.57,177.32,183.05,188.76,194.45,200.1,205.71,211.27,216.78,222.23,227.6,232.91,238.13,243.27,248.31,253.25,258.09,262.81,267.42,271.91,276.27,280.49,284.58,288.53,292.32,295.97,299.46,302.78,305.94,308.94,311.76,314.4,316.87,319.15,321.25,323.16,324.88,326.41,327.75,328.89,329.83,330.58,331.13,331.48,331.63
54675,54689,54728,54802,54936,55000,55000,55000,55000,55000,55000,55000,55000,54982,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54595,54344,53958,53504,52994,52447,51741,51195,50536,50008,49326,48736,47974,47462,46899,46269,45442,45088,44471,44251,43924,43679,43503,43340,43376,42693,42739,42834,42407,42099,41753,41355,41102,40857,40610,40460,40340,40187,40067,39984,39945
1506.5,1508,1511.5,1517.1,1525.6,1533.8,1541.6,1547.6,1554.8,1562.7,1569.7,1577.8,1585.1,1592.4,1599.5,1605.2,1611,1615.5,1617.8,1618.7,1617.8,1616.6,1612.5,1608,1831.6,1595.6,1589.3,1774.8,1743.6,1715.4,1683.4,1638.7,1601.1,1551.9,1526.1,1457.6,1434.2,1336.2,1334,1285.4,1238.6,1189.7,1146.6,1100.1,1059,1032.5,960.17,943.72,824.31,851.48,792.2,832.28,814.58,746.59,774.37,597.35,716.81,627.23,604.67,480.65,536.1,420.05,435.01,591.45,488.17,334.12,340.27,569.34,398.29,188.55,344.89,435.8,453.79,474.52,344.49,171.6,401.19,416.59,411.5,356.92,40.896,270.05,384.7,248.41,339.18,334.3,353.55,311.97,249.42,82.414,-37.68
7.3337,7.3311,7.3245,7.3132,7.2938,7.2778,7.2657,7.2552,7.2411,7.2243,7.2074,7.1873,7.1676,7.1454,7.1202,7.0985,7.0703,7.0466,7.0189,6.989,6.9632,6.9353,6.9103,6.8844,4.8035,6.8327,6.797,4.5661,4.4876,4.4498,4.4372,4.4425,4.396,4.4217,4.2593,4.4224,4.1925,4.9969,4.1266,4.0948,4.0598,4.0264,3.9906,3.9533,3.9149,4.4892,5.3683,4.9509,6.2695,4.7025,5.4558,3.9352,3.8355,5.2165,3.7554,7.0202,4.3134,5.5787,5.6191,7.3237,6.1495,7.4803,7.2181,4.5948,5.919,7.5426,7.408,4.0261,6.6571,8.1096,6.7066,5.1933,4.7036,4.0385,5.57,7.4426,4.629,4.0059,4.0312,4.881,8.2139,5.8995,4.3499,6.0959,4.9867,5.0276,4.7476,5.2736,6.0055,7.9409,8.6093
5.0567,5.0593,5.0654,5.0747,5.0883,5.1035,5.1209,5.1347,5.1523,5.1738,5.1948,5.2224,5.2507,5.2819,5.3171,5.3507,5.3905,5.4313,5.4749,5.52,5.5697,5.6187,5.6734,5.7276,5.7867,5.8467,5.909,5.9761,6.0418,6.1139,6.1827,6.2605,6.3348,6.4149,6.4954,6.5792,6.6612,6.7524,6.8379,6.9296,7.0216,7.1176,7.2106,7.3163,7.4129,7.5157,7.6147,7.7118,7.8145,7.9182,7.9952,8.0799,8.1489,8.2246,8.2889,8.3549,8.4105,8.4718,8.5239,8.5813,8.6217,8.673,8.701,8.7508,8.7906,8.8247,8.8333,8.8841,8.9065,8.966,9.0086,9.0611,9.116,9.1642,9.2431,9.2214,9.295,9.3565,9.3644,9.3786,9.3795,9.3805,9.3874,9.3912,9.3941,9.3978,9.4009,9.4028,9.4039,9.404,9.4038
0.5971,0.59816,0.60074,0.60465,0.61039,0.61681,0.62408,0.62992,0.63728,0.64633,0.65518,0.66675,0.67857,0.69162,0.70632,0.72034,0.73683,0.75376,0.77067,0.78755,0.80617,0.82477,0.84446,0.86397,0.92298,0.90639,0.92887,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
-0.32514,-0.32404,-0.32121,-0.31693,-0.31081,-0.30156,-0.28889,-0.27902,-0.26688,-0.25212,-0.23944,-0.22709,-0.21639,-0.19825,-0.1781,-0.15648,-0.12124,-0.10527,-0.066251,-0.03442,0.0010215,0.045956,0.11066,0.15889,-0.62676,0.27582,0.32972,-0.511,-0.47559,-0.46127,-0.46646,-0.48062,-0.49327,-0.51232,-0.52261,-0.5549,-0.55951,-0.4691,-0.55101,-0.53584,-0.51085,-0.48775,-0.48374,-0.46518,-0.43764,-0.44959,0.02803,-0.15464,1.3369,-0.071748,0.85101,0.26519,0.47339,1.0372,0.76495,3.1681,0.7708,2.0108,2.1636,4.0566,2.8998,4.4972,4.2109,1.61,3.0401,4.9543,4.8021,1.8269,4.0569,5.8738,4.3369,2.8742,2.5221,2.3987,3.6483,5.6974,2.8417,2.7344,2.753,3.21,6.5366,4.2587,2.8993,4.4635,3.3209,3.3609,3.1499,3.6269,4.3962,6.2722,6.7931
