24806,24810,24819,24834,24854,24879,24910,24948,24992,25044,25105,25178,25264,25366,25484,25617,25763,25920,26085,26252,26415,26569,26714,26855,26999,27157,27338,27542,27755,27962,28157,28351,28546,28753,28977,29218,29468,29705,29899,30051,30160,30221,30266,30308,30369,30447,30541,30652,30757,30859,30955,31048,31136,31220,31300,31377,31451,31522,31588,31652,31727,31829,31961,32111,32262,32409,32560,32715,32869,33027,33183,33336,33491,33648,33809,33974,34141,34307,34469,34625,34770,34901,35015,35108,35179,35224,35244
1520,1520.8,1522.6,1525.4,1529.4,1534.4,1540.6,1548,1556.7,1566.7,1578.1,1591,1605.6,1622,1640.4,1661,1683.7,1708.8,1736.3,1766.3,1798.6,1832,1865.9,1900.3,1935,1970,2005.2,2040.1,2074.4,2107.8,2140.8,2173.5,2205.9,2238,2269.2,2299.7,2329,2357,2383.8,2410.3,2435.5,2459.2,2483,2507,2530.9,2554.3,2577,2599.2,2620.5,2641.1,2660.9,2680,2698.3,2715.9,2732.8,2749,2764.6,2779.6,2794,2807.7,2820.6,2832.6,2844,2855,2865.6,2875.2,2883.9,2892.1,2899.4,2906,2912.2,2917.6,2922.1,2925.9,2928.9,2931.3,2933.1,2934.5,2935.5,2936.4,2936.8,2936.9,2936.8,2936.8,2936.8,2936.8,2936.8
0.015513,0.015517,0.01553,0.015552,0.015611,0.015736,0.015961,0.01633,0.01689,0.017698,0.018812,0.020297,0.02208,0.023698,0.025,0.025908,0.026332,0.026176,0.025343,0.02372,0.021318,0.018878,0.017022,0.016088,0.016204,0.017443,0.019235,0.020003,0.019392,0.017609,0.01642,0.015973,0.015825,0.016778,0.017413,0.018314,0.017832,0.015425,0.011779,0.0090889,0.0054327,0.0031952,0.0027225,0.0030843,0.0046718,0.0052742,0.0067227,0.0069173,0.0064746,0.006234,0.0059448,0.005688,0.0054663,0.0052368,0.0050698,0.0048622,0.0047727,0.004622,0.0042849,0.0045817,0.0061074,0.0085067,0.010606,0.011601,0.011634,0.011945,0.012892,0.013368,0.014201,0.015043,0.015402,0.016177,0.017436,0.019064,0.020979,0.023092,0.025323,0.027595,0.029839,0.031989,0.033988,0.035785,0.037335,0.0386,0.039552,0.040168,0.040428
1562,1561.5,1560.4,1558.6,1556.2,1553.1,1549.3,1544.8,1539.5,1533.4,1526.4,1518.5,1509.7,1500,1489.2,1477.3,1464.3,1450.2,1434.7,1417.9,1399.7,1380.4,1360,1338.4,1315.7,1291.7,1266.8,1241.5,1215.8,1190,1163.5,1136.2,1108.4,1080,1051.3,1022.4,993.98,966.21,938.87,911.15,883.6,855.32,826.1,796.31,765.83,735.57,705,674.98,645.37,615.89,586.69,557.76,529.15,500.9,473.04,445.63,418.66,392.22,366.4,340.91,315.58,290.67,266.72,244.13,222.91,202.6,183.08,164.77,147.39,131.05,115.92,101.69,88.341,75.919,64.45,53.949,44.426,35.879,28.306,21.68,15.98,11.186,7.2717,4.2161,1.9966,0.59381,1.9912e-14
2.3974e-05,2.7152e-05,3.5863e-05,4.5278e-05,9.5293e-05,0.00014249,0.00021125,0.00028264,0.00037128,0.00046705,0.00057302,0.00068659,0.00066937,0.00050617,0.00037511,0.00020304,5.0464e-05,-0.00013985,-0.00030933,-0.00052745,-0.00061686,-0.00051701,-0.00032024,-9.1726e-05,0.0001417,0.00035491,0.00029824,6.0295e-06,-0.00024278,-0.00035163,-8.5402e-05,-0.0001075,0.00011042,0.00013926,0.00013765,8.8163e-05,-0.00024397,-0.00056183,-0.00053415,-0.00046423,-0.00061852,-0.00011163,-8.5117e-05,0.00024982,0.00014875,0.00016125,0.00019801,-8.9449e-05,-3.7454e-05,-5.1291e-05,-4.2066e-05,-4.3017e-05,-3.646e-05,-3.6894e-05,-2.8747e-05,-3.5505e-05,-3.8552e-06,-6.0683e-05,-3.3595e-05,0.00017038,0.0004201,0.00050188,0.00033602,8.8057e-05,-2.1911e-05,0.00019126,0.00018199,0.00011666,0.00028765,0.00012997,0.00013735,0.00032404,0.000476,0.00062496,0.00076378,0.00088964,0.0010096,0.0011134,0.0012131,0.0012951,0.0013743,0.0014337,0.0014918,0.0015278,0.0015665,0.0015652,0.0015618
1.6823,1.6823,1.6823,1.6823,1.6824,1.6824,1.6825,1.6825,1.6826,1.6826,1.6827,1.6828,1.6828,1.6829,1.683,1.6831,1.6832,1.6834,1.6835,1.6836,1.6837,1.6839,1.684,1.6841,1.6843,1.6844,1.6845,1.6847,1.6848,1.685,1.6851,1.6853,1.6854,1.6856,1.6857,1.6859,1.686,1.6862,1.6863,1.6865,1.6866,1.6867,1.6869,1.687,1.6871,1.6873,1.6874,1.6875,1.6876,1.6877,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6888,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-5e-05,5e-05,-5.8992e-06,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,3.5991e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,6.0221e-06,3.6662e-05,5e-05,5e-05,5e-05,2.7903e-05,-5e-05,-5e-05,-5e-05,2.9076e-05,2.8936e-05,-1.0246e-06,5e-05,-2.6299e-05,2.3412e-05,-5e-05,-5e-05,-4.6797e-05,5e-05,-4.8629e-05,5e-05,5e-05,1.1957e-05,5e-05,-5e-05,4.596e-05,-5e-05,-1.278e-05,7.114e-06,-2.2503e-06,7.2078e-07,1.6267e-06,-1.4689e-06,3.4382e-06,-3.3293e-06,5.5121e-06,-1.9007e-06,-1.0755e-05,2.3946e-05,5e-05,4.0109e-05,-1.1489e-05,-5e-05,-5e-05,1.6466e-05,5e-05,-4.6489e-05,3.872e-05,4.1926e-06,-5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-5e-05,5e-05
0,0.16672,0.55869,1.1741,2.0122,3.0718,4.3514,5.8495,7.564,9.4927,11.633,13.982,16.537,19.294,22.25,25.401,28.742,32.27,35.979,39.865,43.922,48.146,52.531,57.07,61.758,66.589,71.556,76.653,81.873,87.209,92.654,98.201,103.84,109.57,115.38,121.26,127.21,133.21,139.26,145.35,151.47,157.62,163.78,169.95,176.12,182.29,188.43,194.56,200.65,206.7,212.7,218.64,224.52,230.33,236.06,241.7,247.25,252.7,258.03,263.25,268.35,273.32,278.15,282.83,287.37,291.76,295.98,300.04,303.93,307.63,311.16,314.5,317.65,320.61,323.37,325.92,328.27,330.41,332.34,334.05,335.55,336.83,337.89,338.73,339.35,339.74,339.9
47017,47035,47078,47145,47239,47359,47507,47681,47880,48098,48329,48562,48782,48987,49182,49374,49576,49808,50103,50496,51033,51681,52399,53157,53881,54481,54859,55000,55000,54974,55000,55000,54952,54761,54370,53789,53053,52379,51982,51911,52110,52633,53284,53965,54483,54829,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54991,55000,55000,54866,54470,53810,52945,52051,51174,50250,49300,48339,47349,46382,45431,44467,43483,42476,41452,40427,39420,38455,37551,36719,35976,35342,34830,34449,34205,34100
1570.7,1571.8,1574.2,1578.4,1580,1583.7,1586.7,1590.5,1593,1595.2,1596.5,1596.7,1609.4,1634.5,1653.3,1672.9,1686.9,1701.1,1710,1715.5,1689,1628.3,1564.5,1497.7,1431.3,1368.6,1320.2,1280.6,1237.7,1189.1,1141.7,1106.7,1067.8,1027.5,988.89,952.47,929.61,907.4,881.86,823.99,815.88,756.81,750.69,725.72,705.89,685.14,662.06,657.31,633.59,614.02,593.46,574.71,556.68,540.66,525.63,513.13,498.53,490.77,477.63,452.53,421.63,402.17,404.26,411.85,408.19,375.89,363.57,357.22,324.4,329.52,315.21,276.44,246.85,215.3,178.5,144.05,105.05,79.906,69.917,40.34,-17.86,-70.709,-76.159,-67.845,-64.245,-65.767,-66.772
