25408,25407,25403,25398,25394,25394,25398,25413,25440,25484,25549,25638,25749,25889,26051,26223,26407,26605,26823,27058,27304,27550,27789,28023,28254,28479,28698,28911,29118,29314,29507,29694,29874,30048,30216,30376,30530,30678,30825,30953,31082,31207,31326,31442,31552,31658,31759,31855,31947,32034,32112,32188,32260,32327,32395,32454,32512,32568,32620,32671,32721,32773,32811,32862,32893,32933,32973,33010,33043,33111,33225,33361,33508,33660,33823,33990,34170,34346,34507,34651,34781,34897,34994,35068,35117,35138
1520,1520.6,1522.2,1524.6,1528,1532.4,1537.9,1544.6,1552.7,1562.2,1573.4,1586.6,1601.6,1618.8,1639.3,1661.9,1686.8,1713.9,1743.3,1775.2,1809.7,1845.1,1880.4,1915.6,1950.5,1985.2,2019.5,2053.3,2086.6,2119.2,2151.3,2182.8,2213.7,2243.7,2273,2301.5,2329.1,2355.8,2381.7,2406.5,2430.6,2454,2476.8,2498.9,2520.3,2540.9,2560.7,2579.8,2598.1,2615.7,2632.5,2648.5,2663.9,2678.5,2692.5,2705.9,2718.5,2730.8,2742.3,2753.4,2764.5,2775.6,2784.6,2793.2,2802.9,2811.9,2820.9,2829,2836.6,2843.6,2850.4,2856.6,2862.4,2867.5,2872.2,2876,2878.9,2880.9,2882.8,2884.1,2884.3,2882.6,2882,2880.8,2879,2878.3
-0.0063126,-0.0059306,-0.0050263,-0.0036215,-0.0016792,0.00072149,0.0036856,0.0070138,0.010798,0.014744,0.018968,0.02231,0.025559,0.02891,0.029144,0.028638,0.028595,0.029154,0.029817,0.029947,0.028832,0.026745,0.024451,0.023033,0.02135,0.020056,0.018406,0.017412,0.01597,0.014814,0.014051,0.013184,0.01229,0.011589,0.010735,0.01022,0.009333,0.0092833,0.0083792,0.0074341,0.0076691,0.0069549,0.0068949,0.0063312,0.0062014,0.0057399,0.0056092,0.0052096,0.0051133,0.0045363,0.0043722,0.0041255,0.0039973,0.0038441,0.0038255,0.0031896,0.0036245,0.003055,0.0034214,0.0028293,0.0037134,0.0026373,0.0031865,0.0030238,0.0021253,0.0033941,0.0028021,0.0028332,0.0034223,0.0087179,0.011753,0.014477,0.01563,0.018296,0.020225,0.023371,0.027038,0.027866,0.028778,0.029698,0.031732,0.034088,0.035818,0.037041,0.037906,0.03827
1562,1561.5,1560.2,1558.2,1555.4,1551.8,1547.4,1542.2,1536.1,1529.1,1521.1,1512.1,1502.1,1491,1478.8,1465.6,1450.8,1434.7,1417,1397.9,1377.2,1355.7,1333.4,1310.2,1286.3,1261.7,1236.6,1210.7,1184.3,1157.4,1129.9,1102,1073.8,1045.2,1016.3,987.09,957.77,928.06,898.49,868.85,838.8,809.04,779.11,749.42,719.71,690.25,660.88,631.82,602.93,574.48,546.24,518.4,490.93,463.89,437.31,411.4,385.7,360.84,336.36,312.73,289.96,268.49,246.24,224.99,205.75,186.99,169.38,152.42,136.19,120.64,106.2,92.78,80.389,69.003,58.621,49.091,40.08,32.05,25.011,18.989,13.563,8.7599,5.1272,2.4568,0.7313,7.7378e-14
0.0019949,0.0020002,0.0019958,0.0019994,0.0019993,0.0019821,0.002,0.0019061,0.0018838,0.0017297,0.0015934,0.0012899,0.001299,0.00056101,-0.00019035,-7.1441e-05,6.6436e-05,0.00017188,0.00012765,-0.00010729,-0.00034197,-0.00050649,-0.00034018,-0.0002856,-0.00027911,-0.00025197,-0.00025626,-0.00015559,-0.00027906,-0.00010872,-0.00014741,-0.00012779,-0.00013378,-0.00010504,-0.00011895,-7.9936e-05,-0.00011812,3.187e-05,-0.00026621,4.8493e-05,-8.0084e-05,-3.4327e-05,-5.6296e-05,-4.2272e-05,-4.8063e-05,-3.6365e-05,-4.5401e-05,-2.5863e-05,-5.2824e-05,-6.2954e-05,-2.3904e-05,-2.271e-05,-4.1338e-05,2.7875e-05,-9.9065e-05,9.2359e-06,-5.9735e-06,-3.8975e-05,1.916e-07,-0.00010898,-0.00039378,-0.00029528,0.00061724,-0.00045415,-0.00045539,-0.00054579,-0.00064176,-0.00054694,-0.00046786,-0.00044718,-0.00056899,-0.00052482,-0.00055928,-0.00050546,-0.00052581,-5.2615e-05,0.00042568,0.00035635,0.00043975,0.00087048,0.0018205,0.0019265,0.001673,0.0018622,0.0019131,0.0019065
1.6817,1.6817,1.6817,1.6817,1.6817,1.6818,1.6818,1.6819,1.6819,1.682,1.6821,1.6822,1.6823,1.6824,1.6825,1.6826,1.6827,1.6828,1.683,1.6831,1.6833,1.6834,1.6836,1.6837,1.6839,1.6841,1.6842,1.6844,1.6846,1.6847,1.6849,1.685,1.6852,1.6854,1.6855,1.6857,1.6859,1.686,1.6862,1.6863,1.6865,1.6866,1.6868,1.6869,1.6871,1.6872,1.6874,1.6875,1.6876,1.6877,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-5e-05,5e-05,-4.5005e-05,4.5959e-05,-5.011e-05,3.9717e-05,-5e-05,-1.5677e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,5.0128e-05,3.2514e-05,1.1212e-05,-3.3189e-05,-5e-05,-4.2822e-05,-8.2118e-06,5e-05,-2.1613e-05,2.6923e-05,-2.2622e-05,3.4354e-05,-2.298e-05,1.2849e-05,1.2458e-05,-4.5165e-06,-6.1866e-07,7.5095e-06,-7.867e-06,1.4478e-05,-1.7603e-05,2.9245e-05,-2.5376e-05,-4.6523e-06,3.9473e-05,-3.844e-05,2.9995e-05,-2.4228e-05,2.0779e-05,-1.7186e-05,1.6112e-05,-1.4359e-05,1.5312e-05,-1.9585e-05,1.6702e-05,-7.0231e-06,6.0239e-06,-4.0049e-06,9.4596e-06,-2.759e-05,4.4778e-05,-4.4487e-05,3.9841e-05,-4.0163e-05,9.4516e-06,-5e-05,5e-05,-3.8924e-05,-5e-05,3.7103e-05,-5e-05,5e-05,-1.3312e-05,5e-05,-5e-05,1.1593e-05,-1.2017e-05,1.4414e-05,-7.4783e-06,5e-05,5e-05,5e-05,-2.8702e-05,5e-05,5e-05,5e-05,-5e-05,5e-05,5e-05,-7.4783e-06,-7.4783e-06
0,0.1917,0.64237,1.35,2.3135,3.5316,5.0028,6.7248,8.6956,10.912,13.372,16.071,19.007,22.174,25.57,29.188,33.025,37.075,41.333,45.792,50.448,55.293,60.321,65.526,70.9,76.436,82.126,87.963,93.939,100.05,106.28,112.62,119.07,125.62,132.25,138.97,145.75,152.6,159.49,166.43,173.4,180.4,187.41,194.43,201.44,208.43,215.4,222.34,229.24,236.09,242.87,249.58,256.22,262.77,269.22,275.56,281.79,287.9,293.87,299.71,305.4,310.94,316.31,321.52,326.54,331.39,336.04,340.5,344.76,348.81,352.65,356.27,359.66,362.83,365.77,368.46,370.92,373.14,375.11,376.83,378.31,379.52,380.49,381.19,381.65,381.84
42733,42781,42892,43060,43278,43534,43813,44098,44367,44603,44780,44899,44950,44920,44900,44912,44948,44970,44964,44934,44929,44931,44948,44966,44972,44973,44975,44980,44973,44993,45000,45000,45000,45000,45000,45000,45000,45000,44957,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,44979,45000,45000,45000,45000,45000,45000,44987,45000,44912,45000,45000,45000,44994,45000,44731,44137,43383,42553,41686,40755,39803,38765,37763,36868,36074,35355,34681,34144,33723,33428,33302
1269.2,1270.8,1277.1,1285.1,1296.1,1311.8,1323.9,1352.4,1370.9,1406,1436.9,1491.4,1494.4,1606.3,1688.8,1678.5,1663.4,1647.2,1640.4,1647.9,1636.9,1589.3,1521.1,1463.1,1409.5,1355.7,1305.5,1251.6,1208.4,1154.1,1116.7,1075.5,1036.3,995.49,957.84,917.74,884.96,842.95,823.84,772.09,755.51,731.34,711.97,687.03,664.59,641.66,621.63,598.89,581.51,563.07,540.39,522.51,507.1,484.45,483.03,456.63,445.71,438.14,422.42,427.69,455.06,434.31,316.23,436.45,428.85,429.71,430.5,415.25,401.38,391.8,394.59,380.35,373.78,356.94,348.02,270.03,185.38,180.61,151.26,121,-214.76,-367.96,-162.89,-821.06,-950.64,-1016.7
