24418,24423,24436,24456,24483,24518,24561,24611,24670,24737,24813,24898,24992,25096,25210,25335,25469,25615,25772,25941,26121,26310,26505,26705,26906,27105,27300,27493,27682,27867,28048,28226,28399,28568,28732,28894,29054,29206,29355,29500,29641,29777,29909,30036,30158,30275,30388,30499,30607,30711,30813,30911,31005,31096,31183,31267,31348,31426,31500,31572,31641,31706,31770,31830,31888,31944,31998,32047,32093,32138,32181,32222,32261,32299,32334,32368,32400,32431,32460,32490,32522,32553,32581,32603,32618,32628,32638,32653,32679,32716,32763,32820,32881,32943,33002,33055,33100,33134,33157,33166
1520,1520.7,1522.2,1524.6,1527.9,1532.2,1537.4,1543.6,1550.8,1559.1,1568.5,1579.1,1591,1604.2,1618.7,1634.7,1652.3,1671.3,1692.1,1714.5,1738.7,1764.7,1792.6,1821.6,1850.6,1879.7,1908.8,1937.8,1966.7,1995.5,2024.1,2052.4,2080.3,2107.9,2135.2,2162.3,2189.1,2215.4,2241.4,2266.8,2291.7,2316.1,2339.8,2363,2385.5,2407.3,2428.5,2449.3,2469.8,2490,2509.6,2528.7,2547.1,2565,2582.3,2599.2,2615.4,2631.2,2646.3,2661,2675.1,2688.7,2701.7,2714.4,2726.5,2738.3,2749.6,2760.5,2770.9,2781,2790.6,2799.8,2808.7,2817.2,2825.2,2833,2840.3,2847.3,2853.9,2860,2865.9,2871.5,2876.8,2881.9,2886.7,2891.2,2895,2898,2900.3,2901.9,2902.9,2903.5,2904,2904.4,2904.7,2904.9,2905.1,2905.2,2905.2,2905.3
0.027371,0.027386,0.027429,0.0275,0.027643,0.027818,0.028029,0.028298,0.028607,0.028915,0.029273,0.029611,0.029991,0.030318,0.030727,0.031053,0.031272,0.031739,0.03213,0.03234,0.032277,0.031869,0.031098,0.029891,0.0283,0.026621,0.024949,0.023657,0.022127,0.020953,0.019673,0.018694,0.017424,0.016565,0.015658,0.015132,0.014159,0.01332,0.012823,0.012062,0.011496,0.010871,0.010348,0.0097246,0.0092669,0.0087301,0.0084272,0.0080902,0.0078452,0.007522,0.007227,0.0068776,0.0066068,0.0063256,0.0061004,0.0058427,0.0056281,0.0053936,0.0052031,0.004994,0.0048288,0.0046496,0.0045046,0.0043386,0.0042443,0.0041254,0.003915,0.0036775,0.0035742,0.003497,0.0034329,0.0033346,0.0032672,0.0031796,0.0031283,0.003043,0.0030074,0.0029054,0.0029533,0.0033717,0.0035516,0.0034206,0.003036,0.0024303,0.0016758,0.0012318,0.001819,0.0033453,0.0055831,0.0083458,0.011419,0.014421,0.017086,0.01942,0.021408,0.023056,0.024357,0.025313,0.025921,0.02618
1562,1561.6,1560.6,1559.1,1557,1554.3,1551,1547.1,1542.6,1537.4,1531.6,1525.1,1517.8,1509.8,1501,1491.4,1480.9,1469.4,1457,1443.5,1429.1,1413.5,1396.8,1379.2,1361.2,1342.6,1323.5,1303.8,1283.6,1262.8,1241.7,1220,1197.9,1175.4,1152.6,1129.3,1105.8,1082,1057.9,1033.7,1009.2,984.54,959.73,934.83,909.8,884.73,859.55,834.37,809.17,784.04,758.96,733.98,709.08,684.32,659.69,635.25,610.99,586.96,563.15,539.62,516.35,493.39,470.75,448.46,426.51,404.96,383.84,363.15,342.86,323.02,303.65,284.78,266.41,248.58,231.27,214.52,198.33,182.74,167.69,153.11,139.24,126.13,113.77,102.13,91.211,80.83,70.737,61,51.745,43.057,35.025,27.77,21.372,15.825,11.125,7.261,4.2245,2.0055,0.59765,-3.9683e-14
0.00010514,0.00012403,0.00014348,0.00017547,0.00023729,0.00019559,0.00022901,0.00023161,0.00022169,0.00020264,0.00021076,0.00017387,0.00018805,0.00013688,0.00019748,6.1891e-05,0.00014206,0.0001587,0.00011143,1.7797e-05,-5.6325e-05,-0.00018694,-0.00025389,-0.0004133,-0.00040952,-0.00046601,-0.00033219,-0.00035207,-0.00031353,-0.00027806,-0.00025038,-0.00023613,-0.00025148,-0.00015924,-0.00017263,-9.853e-05,-0.00025417,-7.2104e-05,-0.00015429,-0.00010923,-0.00012844,-9.1326e-05,-0.00012256,-8.8714e-05,-0.00010113,-7.3417e-05,-5.7528e-05,-5.173e-05,-5.0853e-05,-5.6166e-05,-5.9761e-05,-5.7028e-05,-4.9655e-05,-4.592e-05,-4.3893e-05,-4.4049e-05,-4.1329e-05,-3.9988e-05,-3.7222e-05,-3.6142e-05,-3.2356e-05,-3.1741e-05,-3.0424e-05,-2.8291e-05,-1.569e-05,-3.3948e-05,-5.3006e-05,-3.75e-05,-1.4969e-05,-1.6245e-05,-1.7562e-05,-2.1541e-05,-1.6178e-05,-1.9944e-05,-1.3136e-05,-2.2282e-05,-6.7328e-06,-3.9046e-05,8.8851e-05,0.00011604,-2.6924e-06,-8.2874e-05,-0.00017962,-0.00025642,-0.00029163,5.2076e-06,0.00049942,0.00091505,0.001325,0.0016874,0.001965,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0019995,0.002
1.7747,1.7747,1.7747,1.7747,1.7747,1.7748,1.7748,1.7748,1.7749,1.7749,1.7749,1.775,1.775,1.7751,1.7752,1.7752,1.7753,1.7754,1.7755,1.7755,1.7756,1.7757,1.7758,1.7759,1.776,1.7761,1.7762,1.7763,1.7764,1.7764,1.7765,1.7766,1.7767,1.7768,1.7769,1.777,1.7771,1.7772,1.7773,1.7774,1.7775,1.7776,1.7776,1.7777,1.7778,1.7779,1.778,1.7781,1.7781,1.7782,1.7783,1.7784,1.7784,1.7785,1.7786,1.7786,1.7787,1.7788,1.7788,1.7789,1.7789,1.779,1.7791,1.7791,1.7792,1.7792,1.7793,1.7793,1.7793,1.7794,1.7794,1.7795,1.7795,1.7795,1.7796,1.7796,1.7796,1.7797,1.7797,1.7797,1.7798,1.7798,1.7798,1.7798,1.7798,1.7799,1.7799,1.7799,1.7799,1.7799,1.7799,1.7799,1.78,1.78,1.78,1.78,1.78,1.78,1.78,1.78
-3e-05,0.0002,-3e-05,0.00016935,-3e-05,1.5211e-06,1.8628e-05,5.8575e-06,-3e-05,1.8932e-05,-2.9707e-05,1.4652e-05,-3e-05,2.0757e-05,-2.0403e-05,-3e-05,4.7837e-05,-2.1031e-05,-1.8566e-05,-3e-05,-3e-05,-3e-05,-3e-05,-3e-05,4.6742e-06,-5.8159e-06,4.1683e-05,-3e-05,3.8739e-05,-1.9929e-05,3.2412e-05,-3e-05,3.5563e-05,-1.5125e-05,3.0599e-05,-3e-05,1.0019e-05,1.7936e-05,-1.7253e-05,1.4072e-05,-7.0273e-06,8.4709e-06,-8.4397e-06,1.1185e-05,-8.1342e-06,1.3312e-05,-5.4645e-06,6.6449e-06,-5.689e-06,3.5256e-06,-4.2934e-06,4.9571e-06,-2.4018e-06,3.7558e-06,-3.0012e-06,3.1441e-06,-2.3636e-06,3.0674e-06,-2.2846e-06,3.0473e-06,-2.0555e-06,2.7147e-06,-2.609e-06,4.5402e-06,-1.9375e-06,-3.8406e-06,-2.7558e-06,8.4031e-06,-5.7779e-07,1.9346e-06,-3.6788e-06,3.5549e-06,-3.3712e-06,4.4619e-06,-5.0846e-06,6.4316e-06,-8.2218e-06,9.6263e-06,4.3762e-05,-3e-05,-3e-05,-3e-05,-3e-05,-3e-05,3.2511e-05,0.0002,0.0002,0.0002,0.0002,0.0002,9.71e-05,-1.7466e-05,1.4251e-05,-1.2012e-05,1.0957e-05,-1.0732e-05,1.1332e-05,-1.3469e-05,1.5908e-05,-3e-05
0,0.1294,0.43365,0.91148,1.5624,2.3857,3.3806,4.5461,5.8811,7.3841,9.0538,10.888,12.886,15.045,17.363,19.837,22.466,25.246,28.175,31.25,34.468,37.825,41.319,44.945,48.701,52.582,56.585,60.705,64.938,69.281,73.729,78.277,82.921,87.657,92.479,97.382,102.36,107.42,112.54,117.72,122.95,128.24,133.58,138.96,144.37,149.81,155.28,160.76,166.26,171.77,177.28,182.79,188.29,193.77,199.24,204.68,210.09,215.47,220.8,226.09,231.33,236.51,241.63,246.68,251.67,256.57,261.39,266.13,270.77,275.32,279.77,284.11,288.34,292.46,296.47,300.35,304.1,307.73,311.22,314.58,317.8,320.87,323.8,326.58,329.21,331.68,334,336.16,338.16,339.99,341.66,343.17,344.5,345.67,346.66,347.49,348.14,348.61,348.92,349.05
50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50007,50010,50005,49994,49974,49960,49953,49983,50010,50010,50008,50010,50010,50008,50010,50010,50010,50006,50010,50010,50010,49996,50010,50010,50010,50010,50010,50007,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,50010,49981,49926,49874,49840,49841,49882,49957,50010,49988,49863,49624,49281,48860,48402,47939,47499,47105,46774,46521,46355,46284
1668.1,1667.1,1667.2,1667.3,1665.5,1674.5,1677.4,1683.7,1691.5,1700.1,1706.2,1716,1720.7,1730,1728.1,1742,1734.6,1730.5,1729.2,1729.1,1724.1,1719.7,1704.1,1665.2,1615.4,1569,1511.8,1464.8,1416.1,1369.5,1325.5,1281.2,1236.4,1194.8,1163.8,1131.1,1105.2,1063.8,1035.5,1001.4,970.64,936.56,908.78,874.56,841.85,810.95,789.51,774.64,760.99,744.35,723.06,700.27,679.51,661.2,643.26,625.55,607.81,590.52,573.72,557.82,542.6,528.58,515.49,503.17,490.78,481.69,473.23,462.32,451.2,442.6,434.45,426.89,418.81,411.8,404.14,398.2,390.4,387.28,369.49,361.25,367.55,370.1,374.34,376.35,375.02,345.51,288.63,240.6,191.84,144.78,105.2,97.28,93.456,90.312,87.988,86.431,85.408,84.728,84.314,84.118
