25483,25490,25507,25534,25570,25616,25671,25735,25808,25890,25979,26077,26181,26292,26405,26520,26634,26745,26850,26947,27032,27103,27162,27210,27253,27301,27358,27429,27517,27625,27751,27892,28042,28199,28360,28525,28692,28860,29023,29183,29338,29487,29631,29769,29903,30032,30161,30297,30440,30579,30710,30829,30935,31018,31085,31145,31206,31274,31349,31423,31496,31569,31637,31701,31763,31823,31881,31938,31993,32044,32093,32138,32183,32229,32274,32313,32344,32375,32404,32433,32462,32495,32535,32586,32653,32740,32854,32991,33150,33325,33509,33696,33880,34057,34221,34370,34501,34612,34702,34769,34811,34830
1520,1520.5,1521.7,1523.6,1526.2,1529.5,1533.6,1538.3,1543.8,1550.1,1557.1,1565,1573.7,1583.4,1594,1605.8,1618.6,1632.6,1647.9,1664.5,1682.6,1702.3,1723.8,1747.1,1772.3,1799.5,1828.5,1858.5,1889,1920,1950.9,1981.2,2011.4,2041.2,2070.7,2099.7,2128.2,2156.2,2183.8,2211,2237.7,2263.8,2289.3,2314.2,2338.4,2362,2384.8,2406.7,2428,2448.7,2469,2489,2508.4,2527.3,2545.8,2563.6,2581,2597.7,2614,2629.6,2644.8,2659.3,2673.4,2686.9,2700,2712.5,2724.7,2736.4,2747.7,2758.7,2769.6,2780,2790,2799.6,2808.8,2817.4,2825.1,2832.5,2839.7,2846.6,2853.1,2859.1,2864.5,2869.2,2873.2,2875.9,2877.8,2879.1,2879.9,2880.5,2880.8,2881.1,2881.2,2881.3,2881.3,2881.2,2880.9,2880.8,2880.8,2880.8,2880.7,2880.7
0.037503,0.03746,0.037357,0.0372,0.036986,0.036727,0.036406,0.036045,0.035625,0.03518,0.034687,0.034127,0.033344,0.03203,0.030284,0.02832,0.026025,0.023453,0.020695,0.01762,0.014212,0.011166,0.0088434,0.0068781,0.0066957,0.0073123,0.008626,0.010305,0.012111,0.013933,0.015319,0.016189,0.01646,0.016399,0.016235,0.01611,0.015772,0.015148,0.014327,0.013657,0.01289,0.012223,0.011402,0.010957,0.010286,0.0098488,0.010005,0.010614,0.0105,0.0099731,0.0090987,0.0082738,0.0068518,0.0051432,0.0044516,0.0042118,0.0045104,0.0051356,0.0053229,0.0051916,0.0052571,0.0050482,0.0047587,0.0044803,0.0044549,0.0043721,0.0042612,0.0042257,0.0040922,0.0038327,0.0037095,0.0035905,0.0037347,0.0038378,0.003713,0.0030568,0.0027416,0.0027497,0.0028003,0.0028649,0.0031476,0.0037524,0.0050246,0.0068583,0.0092477,0.013051,0.017257,0.021786,0.026305,0.030453,0.034229,0.037389,0.04005,0.042256,0.044092,0.04564,0.046906,0.047944,0.048783,0.049405,0.049806,0.049977
1562,1561.6,1560.8,1559.5,1557.7,1555.5,1552.8,1549.5,1545.8,1541.6,1536.9,1531.7,1525.9,1519.7,1512.9,1505.5,1497.6,1489,1479.7,1469.7,1458.9,1447.2,1434.4,1420.5,1405.2,1388.5,1370.4,1351.2,1331.2,1310.3,1288.8,1267,1244.8,1222.2,1199.1,1175.7,1152,1128,1103.9,1079.5,1054.9,1030.1,1005.2,980.07,954.89,929.57,903.98,878.29,852.89,827.68,802.67,777.81,753.32,728.93,704.28,679.58,654.81,630.06,605.56,581.39,557.5,533.92,510.64,487.69,465.01,442.73,420.84,399.34,378.27,357.65,337.42,317.6,298.24,279.44,261.17,243.59,226.47,209.8,193.7,178.16,163.15,148.64,134.58,120.98,107.86,95.055,82.912,71.502,60.91,51.244,42.517,34.761,27.902,21.903,16.709,12.275,8.5413,5.5374,3.2291,1.5463,0.46507,-8.4798e-15
-0.00033906,-0.0003391,-0.0003395,-0.00033152,-0.00032769,-0.00031798,-0.00031897,-0.00030654,-0.00030697,-0.00028082,-0.00031057,-0.00031581,-0.00047168,-0.0006487,-0.00076177,-0.00084496,-0.00091063,-0.00091888,-0.00092876,-0.00087483,-0.0008081,-0.00072797,-0.00059895,-0.00029462,0.00013737,0.00022357,0.00041912,0.00038704,0.00045041,0.00038221,0.00032233,0.00013105,2.6612e-05,-3.7908e-05,-1.2405e-05,-4.2947e-05,-9.1163e-05,-0.00016592,-0.00013291,-0.00015028,-0.00011097,-0.00013259,-0.00011315,-9.0423e-05,-0.00012403,-3.1315e-05,0.00010445,4.5948e-05,-7.3647e-05,-8.7208e-05,-0.00012818,-0.00018237,-0.00033629,-0.00017355,-6.304e-05,-3.7184e-06,9.0113e-05,0.00011421,2.763e-05,1.2483e-05,-1.6687e-05,-1.5766e-05,-3.8652e-05,-1.1109e-05,6.8557e-06,-1.67e-05,-1.0062e-05,-6.4285e-06,-2.552e-05,-2.7917e-05,7.9851e-06,5.3815e-05,2.842e-05,1.3868e-05,-6.0441e-05,-0.00014678,8.3931e-06,2.4527e-05,3.4157e-05,4.6573e-05,0.00014485,0.00024842,0.00048993,0.00063972,0.001111,0.0015542,0.0016813,0.0019483,0.0019539,0.0019517,0.0018048,0.0016658,0.0015578,0.001452,0.0013667,0.0013135,0.0012679,0.0012917,0.0013124,0.0013247,0.001338,0.0013386
1.682,1.682,1.682,1.682,1.682,1.6821,1.6821,1.6821,1.6822,1.6822,1.6823,1.6824,1.6824,1.6825,1.6826,1.6827,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6834,1.6835,1.6837,1.6838,1.6839,1.684,1.6841,1.6843,1.6844,1.6845,1.6846,1.6848,1.6849,1.685,1.6852,1.6853,1.6854,1.6856,1.6857,1.6858,1.686,1.6861,1.6862,1.6864,1.6865,1.6866,1.6867,1.6869,1.687,1.6871,1.6872,1.6873,1.6874,1.6875,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
3.4699e-05,-1.6848e-05,1.7948e-05,6.1048e-06,1.4155e-05,4.8887e-07,8.5492e-06,9.4799e-07,1.3097e-05,7.6835e-07,-1.3779e-05,-2.2468e-05,-3.0078e-05,-2.1521e-05,-2.8868e-05,-2.0087e-05,-2.3339e-05,9.9735e-06,-1.3709e-05,3.8844e-05,3.3257e-06,4.6822e-05,3.0553e-05,3.8696e-05,4.8175e-05,2.8779e-06,3.9166e-05,4.4892e-08,1.0969e-05,-2.0844e-05,-1.5996e-05,-3.7495e-05,-1.0952e-05,-7.4782e-06,6.9368e-06,-1.5037e-05,-6.8738e-06,-8.9916e-06,8.0165e-06,-5.6292e-06,1.3359e-05,-1.3318e-05,1.6076e-05,-1.2056e-05,7.9867e-06,2.2097e-05,1.7809e-05,-3.3607e-05,-9.2586e-07,-1.2184e-05,-4.2232e-06,-2.954e-05,1.0706e-06,3.692e-05,7.2724e-06,1.5385e-05,1.6428e-05,-1.1524e-05,-1.2648e-05,8.0807e-08,-5.0441e-06,4.1438e-08,-4.6079e-06,1.1948e-05,-4.4518e-06,5.5933e-07,9.6599e-07,6.9929e-07,-8.4093e-06,2.0319e-06,7.9298e-06,5.7514e-06,-1.2312e-05,1.2441e-05,-2.5078e-05,1.9744e-05,-6.7316e-06,-5.7291e-06,2.8332e-06,1.8944e-05,1.4997e-05,4.8438e-05,4.7259e-05,3.9684e-05,4.6916e-05,4.5606e-05,4.9567e-05,4.6112e-05,-1.2854e-05,-2.168e-05,-4.6564e-05,-3.915e-05,-4.9423e-05,-4.9452e-05,-3.92e-05,-3.7059e-05,-2.1148e-05,3.4227e-05,-7.7059e-06,3.597e-05,8.3989e-06,2.1865e-05
2.8422e-14,0.12791,0.42869,0.90108,1.5446,2.3586,3.3423,4.4948,5.815,7.3016,8.9532,10.768,12.745,14.881,17.175,19.625,22.228,24.981,27.883,30.93,34.119,37.447,40.912,44.509,48.236,52.089,56.063,60.156,64.363,68.681,73.104,77.63,82.253,86.97,91.775,96.664,101.63,106.68,111.79,116.97,122.2,127.5,132.84,138.23,143.65,149.11,154.61,160.12,165.65,171.2,176.75,182.31,187.86,193.41,198.94,204.46,209.95,215.41,220.83,226.22,231.56,236.86,242.1,247.27,252.39,257.43,262.4,267.29,272.09,276.81,281.43,285.96,290.38,294.7,298.91,303,306.97,310.83,314.55,318.15,321.61,324.94,328.13,331.18,334.08,336.83,339.44,341.89,344.18,346.32,348.29,350.11,351.76,353.25,354.57,355.72,356.7,357.52,358.16,358.63,358.93,359.06
42234,42214,42167,42093,41995,41872,41728,41564,41381,41185,40976,40759,40538,40329,40149,40011,39929,39921,40003,40196,40530,41027,41680,42495,43433,44440,45478,46458,47333,48082,48671,49105,49434,49676,49852,49953,49994,49995,49994,49989,49983,49977,49984,49991,49991,49997,49957,49816,49592,49367,49183,49069,49026,49135,49348,49578,49781,49899,49944,49974,49982,49971,49971,49985,49998,49998,49996,49993,49979,49969,49970,49976,49974,49948,49917,49908,49923,49941,49960,49969,49959,49909,49781,49531,49142,48550,47740,46744,45598,44366,43096,41842,40643,39530,38520,37626,36853,36214,35710,35338,35100,35000
1598.9,1599.3,1600.4,1601,1602.6,1604,1607.2,1609.1,1612.5,1612.7,1619.4,1623.2,1644.5,1668,1684.1,1696.5,1706.8,1710.6,1714.6,1711.6,1707.4,1702,1691.5,1664.5,1621.9,1610.4,1574.4,1535.2,1489.2,1448.2,1406.2,1369.2,1329.9,1290.5,1245.1,1202.7,1169.9,1140.7,1107.2,1074.1,1038.6,1007.1,973.63,939.89,911.8,872.51,829.55,805.21,789.97,775.21,762.54,747.06,731.73,705.25,679.6,657.87,632.96,613.8,604.58,588.97,574.87,559.02,545.91,529.85,515.45,505.21,493.25,482.27,473.75,464.17,451.47,438.21,431.96,424.95,423.24,422.96,403.16,395.37,388.26,381.11,365.82,349.57,316.11,292.24,237.05,175.24,147.41,112.48,106.74,97.634,98.229,98.211,95.204,92.149,87.484,55.803,64.119,98.965,94.932,14.753,-36.507,-41.698
