25076,25087,25112,25152,25206,25273,25352,25442,25543,25652,25769,25891,26018,26147,26275,26401,26522,26634,26737,26830,26914,26992,27068,27146,27234,27340,27470,27627,27808,28004,28203,28395,28582,28764,28942,29114,29281,29443,29599,29749,29894,30034,30167,30294,30417,30536,30652,30765,30873,30977,31076,31172,31264,31352,31436,31516,31593,31667,31737,31804,31868,31930,31989,32043,32094,32142,32189,32233,32275,32315,32353,32390,32423,32454,32492,32542,32607,32691,32794,32915,33055,33208,33374,33545,33718,33885,34042,34186,34313,34422,34510,34576,34618,34636
1520,1520.7,1522.2,1524.6,1527.9,1532.2,1537.3,1543.5,1550.6,1558.7,1567.9,1578.1,1589.6,1602.2,1616.2,1631.6,1648.5,1667.1,1687.5,1709.8,1734.2,1760.8,1790,1821.2,1853.3,1886,1919,1952,1984.7,2016.9,2048.5,2079.6,2110.1,2140.3,2170.1,2199.4,2228.3,2256.4,2284,2310.8,2337,2362.4,2386.9,2410.6,2433.6,2456.2,2478.3,2500,2521,2541.3,2560.9,2579.9,2598.2,2615.9,2633,2649.3,2665.1,2680.2,2694.7,2708.7,2722.1,2735,2747.4,2759.3,2770.7,2781.6,2792,2802,2811.5,2820.5,2829.2,2837.3,2845.2,2852.4,2858.9,2864.7,2869.7,2874.1,2877.7,2880.6,2882.8,2884.3,2885.1,2886,2886.8,2887.6,2888.5,2889,2889.9,2892.3,2893,2892.6,2892.5,2892.4
0.048081,0.047931,0.047581,0.047026,0.046281,0.04532,0.044188,0.042831,0.041337,0.039606,0.037805,0.03581,0.033579,0.031243,0.02855,0.025812,0.0227,0.019728,0.016806,0.014276,0.012317,0.01099,0.010406,0.010635,0.011801,0.013845,0.01609,0.018356,0.019689,0.019817,0.018803,0.017483,0.016492,0.015561,0.014742,0.013889,0.013116,0.012358,0.011673,0.010993,0.010392,0.0097855,0.0091999,0.0086794,0.0083117,0.0080034,0.0077112,0.0073697,0.0070212,0.0066831,0.0064008,0.0061262,0.0058718,0.0056139,0.0053841,0.0051561,0.0049552,0.0047593,0.0045911,0.0044123,0.0042805,0.0041711,0.0039651,0.0037003,0.0035814,0.003496,0.003428,0.0033148,0.0032568,0.0031385,0.003146,0.0030832,0.0027807,0.0031077,0.0041369,0.0057533,0.0078794,0.010423,0.013302,0.016433,0.019736,0.023141,0.026533,0.029588,0.032185,0.034363,0.036172,0.037653,0.038859,0.039894,0.04074,0.041353,0.041745,0.041913
1562,1561.6,1560.6,1559,1556.9,1554.1,1550.8,1546.9,1542.4,1537.3,1531.6,1525.2,1518.2,1510.4,1502,1492.8,1482.7,1471.8,1459.8,1446.6,1432.2,1416.3,1398.8,1379.7,1359.3,1337.9,1315.5,1292.3,1268.7,1244.8,1220.7,1196.3,1171.4,1146,1120.3,1094.3,1068,1041.5,1014.7,987.82,960.72,933.51,906.22,878.86,851.43,824,796.61,769.31,742.11,715.04,688.11,661.36,634.82,608.52,582.48,556.73,531.29,506.2,481.46,457.13,433.2,409.71,386.72,364.24,342.22,320.72,299.78,279.43,259.65,240.51,221.95,204.07,186.95,170.27,154.05,138.35,123.27,108.88,95.264,82.465,70.547,59.521,49.432,40.373,32.346,25.291,19.199,13.933,9.6336,6.4705,3.8487,1.8019,0.53027,1.8648e-14
-0.00099901,-0.00099438,-0.0010002,-0.00099515,-0.00099761,-0.00099995,-0.00098724,-0.001,-0.00096233,-0.001,-0.00088742,-0.001,-0.00091231,-0.001,-0.00096849,-0.001,-0.001,-0.00088602,-0.00082073,-0.00061375,-0.00044581,-0.00024432,-4.6697e-05,0.00015595,0.00038903,0.00049262,0.0005,0.00041804,0.00013796,-8.7702e-05,-0.00027912,-0.00020927,-0.00018563,-0.00015493,-0.00015661,-0.00014433,-0.0001383,-0.00012422,-0.00012046,-0.00010916,-0.00010238,-0.00010142,-9.7036e-05,-7.3456e-05,-5.4714e-05,-4.7941e-05,-5.3045e-05,-5.8076e-05,-5.9043e-05,-5.1171e-05,-4.6449e-05,-4.4163e-05,-4.3965e-05,-4.1452e-05,-3.956e-05,-3.7156e-05,-3.5065e-05,-3.193e-05,-3.1104e-05,-3.0351e-05,-1.9389e-05,-2.5651e-05,-5.3215e-05,-3.8732e-05,-1.6205e-05,-1.5689e-05,-1.8375e-05,-2.1557e-05,-1.3646e-05,-2.7465e-05,2.3215e-05,-7.2176e-05,-2.5131e-05,0.00019302,0.00036471,0.00055,0.00071207,0.00087748,0.0010238,0.0011718,0.0012986,0.001435,0.0014786,0.0013925,0.0012982,0.0012082,0.0011352,0.0010601,0.0010532,0.001118,0.001116,0.0011036,0.001123,0.0011244
1.682,1.682,1.682,1.6821,1.6821,1.6821,1.6822,1.6822,1.6823,1.6823,1.6824,1.6825,1.6826,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6834,1.6835,1.6836,1.6837,1.6838,1.684,1.6841,1.6842,1.6844,1.6845,1.6847,1.6848,1.6849,1.6851,1.6852,1.6854,1.6855,1.6857,1.6858,1.6859,1.6861,1.6862,1.6864,1.6865,1.6866,1.6868,1.6869,1.687,1.6871,1.6873,1.6874,1.6875,1.6876,1.6877,1.6878,1.6879,1.6881,1.6882,1.6883,1.6884,1.6884,1.6885,1.6886,1.6887,1.6888,1.6889,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-4.3317e-05,5e-05,-3.8931e-05,5e-05,-6.6509e-06,-2.1684e-05,3.0694e-05,-5e-05,4.0973e-05,-4.6889e-05,4.9912e-05,6.6846e-06,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-4.3983e-07,6.1826e-06,-5e-05,-5e-05,-5e-05,-9.7109e-06,1.7512e-05,-3.9859e-07,6.7309e-06,-3.0578e-06,4.8227e-06,-6.9872e-07,3.86e-06,-9.7065e-07,3.7608e-06,-9.9615e-07,1.1965e-06,1.2812e-06,5.4086e-06,1.0227e-06,9.846e-07,-2.0742e-06,2.6984e-07,-1.9692e-07,2.2054e-06,-3.955e-07,1.0264e-06,-6.8543e-07,1.3246e-06,-5.4895e-07,1.2892e-06,-4.612e-07,1.4383e-06,-1.1659e-06,2.0528e-06,8.843e-07,-3.7701e-06,-3.7352e-06,7.7835e-06,-2.9693e-07,2.0051e-06,-4.1463e-06,5.0635e-06,-6.1904e-06,9.1423e-06,-2.1969e-06,-2.5233e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-1.885e-05,-5e-05,-5e-05,-5e-05,-5e-05,-4.9633e-05,5e-05,5e-05,-4.5083e-05,2.8129e-05,5e-05,-5e-05
2.8422e-14,0.14987,0.50224,1.0556,1.8092,2.7624,3.9139,5.2624,6.8066,8.5445,10.474,12.594,14.9,17.392,20.065,22.917,25.945,29.145,32.513,36.047,39.741,43.592,47.595,51.745,56.039,60.471,65.037,69.73,74.546,79.48,84.525,89.677,94.928,100.27,105.71,111.23,116.82,122.48,128.2,133.99,139.82,145.69,151.61,157.55,163.52,169.5,175.5,181.49,187.49,193.47,199.44,205.38,211.29,217.17,223,228.78,234.51,240.17,245.76,251.28,256.71,262.06,267.31,272.46,277.51,282.44,287.26,291.95,296.52,300.95,305.24,309.39,313.4,317.25,320.94,324.48,327.84,331.04,334.07,336.92,339.6,342.09,344.4,346.51,348.44,350.18,351.73,353.08,354.23,355.18,355.93,356.49,356.84,356.99
45046,45006,44915,44774,44589,44365,44109,43829,43535,43238,42948,42676,42440,42249,42128,42089,42161,42360,42703,43202,43858,44665,45613,46640,47638,48520,49216,49687,49924,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49991,50000,50000,49926,49731,49384,48873,48196,47359,46391,45312,44163,42999,41866,40796,39820,38941,38194,37608,37111,36722,36476,36370
1709.8,1709.8,1711.3,1712.5,1714.8,1717.6,1719.3,1723.5,1722.9,1730.1,1722.1,1737.1,1731.3,1743.5,1743.2,1749.1,1751.3,1740.8,1734.9,1714.6,1697.9,1677.6,1655.3,1608.9,1550.5,1498.2,1450.1,1405,1367,1329.5,1289.4,1236.7,1193.5,1158,1124.5,1088.3,1051.7,1015.9,980.86,945.42,911.83,877.51,840.16,807.45,785.71,770.49,755.01,734.43,709.96,686.52,666.35,646.82,627.54,608.29,589.53,571.44,554.34,538.22,523.44,509.77,496.23,484.99,476.2,464.53,452.63,443.14,434.43,426.17,417.29,410.6,398.58,399.85,388.97,361.59,337.08,307.94,282.91,258.9,233.72,203.27,175.06,142.39,121.24,117.61,114.54,113.04,110.83,108.14,103.34,97.546,90.725,81.394,71.977,69.451
6.1378,6.1423,6.1414,6.1495,6.1533,6.1571,6.17,6.1621,6.1857,6.1527,6.2242,6.1283,6.1736,6.0805,6.0681,5.9959,5.9349,5.952,5.9153,5.9782,5.9946,6.0255,6.0419,6.0715,6.141,6.1258,6.0563,5.937,5.6684,5.442,5.2391,5.2842,5.2841,5.2903,5.2647,5.2534,5.2358,5.2267,5.207,5.1963,5.1812,5.1606,5.1456,5.1529,5.1538,5.1409,5.1154,5.0918,5.0745,5.0688,5.0594,5.0474,5.0334,5.0228,5.0118,5.0019,4.9919,4.9834,4.9719,4.9602,4.9622,4.9422,4.8941,4.9017,4.9204,4.9103,4.8964,4.882,4.8829,4.8543,4.9142,4.7752,4.8301,5.1198,5.3482,5.5998,5.8296,6.075,6.3127,6.5725,6.8271,7.1149,7.3068,7.3433,7.3712,7.3861,7.3969,7.4433,7.5517,7.6533,7.7791,7.8819,7.9506,7.9659
