25315,25324,25346,25379,25425,25481,25548,25625,25711,25805,25906,26012,26123,26237,26351,26466,26578,26685,26787,26881,26964,27035,27094,27142,27180,27206,27229,27264,27324,27413,27532,27677,27847,28028,28210,28383,28549,28714,28874,29030,29182,29328,29470,29608,29740,29868,29992,30109,30222,30331,30436,30538,30638,30735,30828,30918,31004,31087,31166,31243,31317,31387,31455,31519,31581,31641,31697,31752,31804,31853,31901,31947,31991,32031,32069,32105,32140,32173,32205,32235,32263,32290,32313,32334,32365,32416,32494,32601,32732,32880,33039,33205,33372,33536,33691,33835,33963,34073,34163,34230,34273,34292
1520,1520.5,1521.6,1523.5,1525.9,1529.1,1533,1537.5,1542.8,1548.8,1555.5,1563,1571.4,1580.5,1590.6,1601.6,1613.7,1626.8,1641.1,1656.6,1673.6,1692.1,1712.2,1734.1,1758,1784.2,1812.5,1841.8,1871.6,1901.7,1931.8,1961.8,1991.4,2020.5,2049.1,2077.1,2104.7,2131.9,2158.7,2185.1,2211.1,2236.5,2261.3,2285.6,2309.2,2332.2,2354.6,2376.3,2397.2,2417.4,2437.2,2456.5,2475.6,2494.2,2512.2,2529.7,2546.6,2562.9,2578.8,2594,2608.8,2623,2636.8,2649.9,2662.6,2674.8,2686.5,2697.8,2708.6,2719,2729,2738.5,2747.7,2756.6,2765,2773.1,2780.8,2788.1,2795.1,2801.7,2808,2814.1,2819.8,2824.9,2829,2831.8,2833.3,2834.1,2834.7,2834.9,2835,2834.8,2834.3,2833.6,2832.6,2831.7,2830.8,2830.1,2829.5,2829,2828.8,2828.7
0.047607,0.047481,0.047183,0.046721,0.046092,0.045288,0.044318,0.043174,0.041868,0.040395,0.038762,0.036963,0.035015,0.032903,0.030639,0.028214,0.025662,0.022918,0.020196,0.017288,0.014284,0.011445,0.0088362,0.006804,0.0047341,0.0032614,0.0035428,0.0060869,0.0094025,0.012594,0.015418,0.01775,0.019316,0.019123,0.018054,0.016594,0.015751,0.015136,0.014295,0.013633,0.012863,0.012242,0.011556,0.011017,0.01037,0.0099427,0.0093709,0.0088033,0.0083945,0.0079828,0.0076969,0.0074402,0.0072108,0.0069254,0.0066529,0.0063289,0.0060879,0.0058563,0.0056447,0.0054258,0.0052284,0.0050268,0.0048495,0.0046704,0.0045124,0.0043571,0.004222,0.0040867,0.003962,0.0038462,0.0037776,0.0036934,0.003507,0.0033193,0.0032276,0.0031995,0.0031576,0.003112,0.0030093,0.0029754,0.0029654,0.0026928,0.0024169,0.002905,0.004955,0.0084586,0.013057,0.017919,0.022468,0.026722,0.030646,0.034258,0.037539,0.040495,0.043116,0.045402,0.047339,0.048921,0.050158,0.051059,0.05163,0.051873
1562,1561.7,1560.8,1559.5,1557.8,1555.6,1552.9,1549.7,1546,1541.9,1537.3,1532.2,1526.5,1520.4,1513.7,1506.5,1498.7,1490.3,1481.2,1471.4,1460.8,1449.4,1437,1423.4,1408.7,1392.5,1374.7,1355.4,1335.1,1314,1292.2,1269.9,1247.3,1224.7,1201.9,1178.9,1155.4,1131.6,1107.5,1083.2,1058.7,1034,1009.1,984.04,958.92,933.65,908.37,883.05,857.67,832.3,806.93,781.61,756.38,731.27,706.28,681.46,656.79,632.3,608.03,584,560.21,536.7,513.49,490.59,468.02,445.8,423.95,402.5,381.45,360.83,340.64,320.91,301.7,282.98,264.74,247.01,229.82,213.19,197.15,181.66,166.76,152.56,138.98,125.73,112.61,99.715,87.24,75.476,64.617,54.668,45.631,37.488,30.22,23.8,18.2,13.4,9.379,6.0943,3.5272,1.6702,0.49818,6.6151e-14
-0.00099898,-0.00099329,-0.00099356,-0.00097872,-0.00099076,-0.00099249,-0.0009947,-0.00099867,-0.00099455,-0.00099664,-0.00099597,-0.00099457,-0.00099234,-0.00099402,-0.00099564,-0.00098903,-0.0009961,-0.00098563,-0.00092469,-0.00098874,-0.00088829,-0.00083813,-0.00064393,-0.00054853,-0.00052733,-0.00019883,0.00036993,0.00079207,0.00076318,0.00071814,0.00056049,0.00047888,0.00014566,-0.00016926,-0.00027762,-0.00027111,-9.4902e-05,-0.0001703,-0.00013488,-0.0001451,-0.0001298,-0.00012515,-0.00011449,-0.00010781,-0.00010878,-7.1188e-05,-0.00012791,-7.416e-05,-8.3168e-05,-5.8074e-05,-5.1963e-05,-3.8188e-05,-5.0559e-05,-4.7371e-05,-5.7619e-05,-5.2375e-05,-4.1582e-05,-4.1124e-05,-4.0032e-05,-3.9101e-05,-3.7708e-05,-3.643e-05,-3.401e-05,-3.3485e-05,-3.0516e-05,-2.9716e-05,-2.6724e-05,-2.7719e-05,-2.5461e-05,-2.1383e-05,-1.1081e-05,-3.1092e-05,-4.8782e-05,-3.4366e-05,-1.0649e-05,-7.5832e-06,-1.1296e-05,-1.7555e-05,-3.0082e-05,1.1554e-05,-3.9403e-05,-0.00011085,-2.1575e-05,0.00040938,0.0010101,0.0015511,0.0019533,0.002,0.002,0.002,0.002,0.002,0.002,0.0019992,0.0019968,0.0019917,0.0019672,0.0019432,0.001926,0.0019125,0.0019075,0.0019086
1.7745,1.7745,1.7745,1.7745,1.7745,1.7745,1.7746,1.7746,1.7746,1.7747,1.7747,1.7748,1.7748,1.7749,1.7749,1.775,1.7751,1.7752,1.7752,1.7753,1.7754,1.7755,1.7755,1.7756,1.7757,1.7758,1.7759,1.7759,1.776,1.7761,1.7762,1.7763,1.7764,1.7765,1.7766,1.7767,1.7768,1.7769,1.777,1.7771,1.7772,1.7773,1.7774,1.7775,1.7775,1.7776,1.7777,1.7778,1.7779,1.778,1.778,1.7781,1.7782,1.7783,1.7783,1.7784,1.7785,1.7786,1.7786,1.7787,1.7787,1.7788,1.7789,1.7789,1.779,1.779,1.7791,1.7791,1.7792,1.7792,1.7793,1.7793,1.7794,1.7794,1.7794,1.7795,1.7795,1.7795,1.7796,1.7796,1.7796,1.7797,1.7797,1.7797,1.7797,1.7797,1.7798,1.7798,1.7798,1.7798,1.7799,1.7799,1.7799,1.7799,1.7799,1.78,1.78,1.78,1.78,1.78,1.78,1.78
0.00012035,-1.7454e-06,2.3587e-05,1.2093e-05,-2.5559e-05,1.1106e-05,-1.3183e-05,7.3917e-06,-3.9796e-06,3.2881e-06,-3.4496e-06,5.5635e-06,-4.3005e-06,3.6449e-06,-4.8574e-06,9.2542e-06,-1.4845e-05,3.0761e-05,-1.1102e-05,1.3936e-06,3.372e-05,2.0472e-05,7.0364e-05,-1.3798e-05,4.7348e-05,0.000117,0.00015554,3.2272e-05,-1.4097e-05,-2.2882e-05,-2.9953e-05,-3e-05,-3e-05,-3e-05,-2.3369e-05,3.588e-05,8.9157e-06,-1.3954e-05,1.3434e-05,-9.4958e-06,1.1039e-05,-7.1529e-06,1.0497e-05,-9.1514e-06,1.3225e-05,-8.7696e-06,1.0661e-06,6.6964e-06,-1.9377e-06,5.8641e-06,-2.4345e-07,2.0179e-06,-3.2629e-06,1.8744e-06,-3.4831e-06,4.4367e-06,-8.3865e-07,1.403e-06,-1.042e-06,1.3978e-06,-8.9983e-07,1.4821e-06,-7.7021e-07,1.2955e-06,-5.0248e-07,1.2331e-06,-5.4769e-07,7.2795e-07,-2.1345e-07,2.7673e-06,-5.8881e-07,-6.5342e-06,-1.5925e-07,5.8199e-06,4.1001e-06,-1.9896e-06,8.9672e-07,-6.1899e-06,6.0271e-06,5.6285e-06,-2.9858e-05,-4.6326e-06,7.5815e-05,0.0002,0.0002,0.00019765,8.3618e-05,-1.3113e-05,9.4799e-06,-7.1378e-06,5.8364e-06,-5.1095e-06,4.6998e-06,-6.0518e-06,3.0863e-06,-1.7286e-05,-2.8816e-05,-2.9612e-05,-2.5284e-05,-2.9728e-05,2.4672e-06,1.0488e-05
2.8422e-14,0.12714,0.4261,0.89563,1.5352,2.3443,3.3221,4.4677,5.7798,7.2574,8.899,10.703,12.668,14.791,17.071,19.506,22.093,24.83,27.714,30.743,33.912,37.221,40.664,44.24,47.944,51.773,55.724,59.792,63.974,68.265,72.662,77.16,81.756,86.443,91.22,96.079,101.02,106.03,111.11,116.26,121.46,126.73,132.04,137.39,142.78,148.21,153.67,159.15,164.65,170.16,175.68,181.21,186.73,192.24,197.74,203.22,208.68,214.1,219.5,224.85,230.16,235.42,240.63,245.78,250.86,255.87,260.81,265.67,270.45,275.13,279.73,284.23,288.62,292.92,297.1,301.17,305.12,308.95,312.65,316.22,319.67,322.98,326.15,329.18,332.06,334.8,337.38,339.82,342.1,344.22,346.19,347.99,349.63,351.11,352.42,353.57,354.55,355.35,355.99,356.46,356.76,356.89
43369,43334,43252,43126,42958,42752,42514,42250,41965,41668,41368,41072,40791,40536,40317,40148,40040,40010,40070,40236,40531,40968,41560,42309,43231,44345,45598,46829,47899,48764,49395,49793,49963,49989,49978,49978,49999,50000,50000,50000,50000,50000,50000,50000,50000,50000,49994,50000,50000,50000,49999,50000,49999,49999,49998,49999,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49999,49999,50000,50000,49996,49991,49985,49981,49978,49970,49972,49993,49999,49893,49583,49018,48212,47231,46134,44973,43793,42630,41516,40480,39544,38727,38039,37490,37083,36824,36714
1582.2,1581.9,1582.7,1582.3,1585.1,1587.1,1589.5,1592.3,1594.6,1598,1601.3,1604.8,1608.6,1613.1,1618,1622,1627.9,1632.1,1630.7,1644,1638.6,1639.1,1624.7,1620.2,1621.2,1594,1535.7,1476.8,1439.7,1401.1,1366.2,1326.2,1296.7,1269.5,1230.9,1185.2,1139.3,1110.4,1079.5,1048.8,1015.7,983.62,952.2,921.07,890.61,858.35,834.03,797.97,767.89,742.85,726.13,713.07,700.31,683.51,663.65,642.8,623.79,607.4,591.19,575.14,559.26,543.71,528.53,514.11,500.22,487.28,474.97,463.81,453.15,443,432.96,426.11,419.5,410.53,401.03,393.73,387.42,381.7,376.87,367.34,366.61,367.84,354.96,302.97,231.38,159.83,98.218,82.216,72.66,64.009,52.839,31.388,-3.4778,-42.86,-71.287,-81.379,-87.193,-95.97,-98.987,-97.447,-102.64,-110.12
