26431,26435,26444,26458,26476,26500,26529,26562,26601,26646,26698,26758,26828,26907,26996,27095,27203,27320,27445,27576,27709,27835,27949,28036,28097,28130,28152,28199,28292,28444,28639,28855,29061,29258,29444,29632,29810,29981,30144,30300,30451,30597,30734,30871,30996,31116,31234,31347,31458,31559,31660,31753,31847,31932,32018,32092,32163,32231,32294,32363,32419,32473,32530,32578,32628,32673,32719,32762,32806,32847,32882,32919,32978,33059,33141,33216,33278,33331,33383,33448,33545,33677,33831,33990,34144,34290,34423,34541,34643,34725,34788,34828,34845
1520,1520.6,1521.9,1524,1526.9,1530.5,1535,1540.2,1546.3,1553.1,1560.9,1569.5,1579.3,1590.1,1602.2,1615.5,1630.2,1646.3,1663.9,1683.3,1704.6,1727.9,1753.5,1781.3,1811.1,1842.5,1874.7,1908.1,1942.1,1976.5,2010.8,2044.5,2077.2,2109.3,2140.7,2171.5,2201.5,2230.9,2259.3,2287,2313.8,2339.8,2365,2389.3,2412.6,2435.2,2457.3,2478.7,2499.5,2519.5,2538.8,2557.5,2575.4,2592.8,2609.3,2625.4,2640.5,2655.2,2669,2682.5,2695.4,2707.5,2719.3,2731.1,2742.5,2753.6,2763.9,2773.7,2782.8,2791.8,2800.2,2807.8,2814.3,2820.8,2827,2833.2,2838.9,2844,2848.1,2850.6,2852.2,2853.3,2854.1,2856,2857.4,2858.9,2859.9,2861.1,2861.6,2863.3,2864.5,2864.3,2864.3
0.014818,0.014802,0.014761,0.014704,0.014611,0.014533,0.014504,0.014571,0.01479,0.015203,0.015869,0.016784,0.017586,0.018402,0.018995,0.019675,0.019973,0.020078,0.020167,0.019632,0.018306,0.016097,0.0128,0.0087637,0.005526,0.0022075,0.0031096,0.0065909,0.011768,0.016101,0.018614,0.018042,0.016467,0.0151,0.014387,0.013817,0.012561,0.012023,0.010909,0.010561,0.0099184,0.0092735,0.0087882,0.0085453,0.0074232,0.0075721,0.0068989,0.0070988,0.0061971,0.0062642,0.0057232,0.0056754,0.005366,0.0050531,0.0049517,0.0041872,0.0044583,0.0037874,0.0041562,0.0040507,0.0031777,0.0037561,0.0033189,0.0032237,0.0032904,0.0029674,0.003292,0.0030273,0.0032692,0.0027989,0.0027364,0.0036303,0.00623,0.0073684,0.00735,0.0065321,0.0058457,0.0054199,0.006318,0.0096391,0.015125,0.020688,0.024776,0.027039,0.028764,0.030361,0.0317,0.032858,0.033953,0.03484,0.03551,0.036129,0.036407
1562,1561.6,1560.7,1559.2,1557.1,1554.5,1551.4,1547.6,1543.3,1538.3,1532.7,1526.5,1519.6,1512.1,1503.7,1494.7,1484.8,1474.2,1462.6,1450.2,1436.7,1422.3,1406.6,1389.6,1371,1351.1,1329.3,1305.8,1281,1255.6,1229.9,1204.4,1178.7,1152.7,1126.1,1099.1,1072.1,1044.6,1017.2,989.25,961.31,933.25,905.09,876.82,848.82,820.44,792.39,764.14,736.38,708.44,680.9,653.38,626.2,599.28,572.58,546.43,520.28,494.83,469.43,444.63,420.56,396.52,373.28,350.98,329.31,308.23,287.55,267.32,247.69,228.82,210.59,192.63,174.96,158.28,142.75,128.29,114.67,101.68,89.169,76.622,64.698,53.717,43.823,35.35,27.948,21.43,15.919,11.225,7.4574,4.378,2.0744,0.62903,3.6739e-16
-9.7555e-05,-0.00010222,-9.7611e-05,-9.8521e-05,-0.00010734,-4.355e-05,2.2261e-06,8.6029e-05,0.00016924,0.00025481,0.00036969,0.00036214,0.0002927,0.00026234,0.00017819,0.00020665,-8.2447e-06,8.217e-05,-7.3111e-05,-0.00019182,-0.00046107,-0.00056429,-0.00092699,-0.00071163,-0.0007666,-0.00033307,0.00053998,0.00081617,0.00099391,0.0005987,0.00022737,-0.00032772,-0.0001908,-0.00025522,7.8084e-06,-0.00024128,-8.4479e-05,-0.00017019,-9.8553e-05,-7.7796e-05,-8.5995e-05,-0.00013038,1.3987e-05,-0.00016667,-5.0331e-05,-3.4293e-05,-4.9776e-05,-1.6206e-05,-0.00013186,5.0736e-05,-0.00014144,7.8248e-05,-0.00015616,7.4396e-05,-0.00016071,1.5204e-05,-4.18e-05,-6.5635e-05,0.00011336,-0.00016685,-5.0394e-05,7.5944e-05,-0.00024763,-0.00032378,-0.00038101,-0.00033483,-0.000242,-0.00017049,-0.00021531,-0.00027316,-0.00016955,0.00020864,0.00031896,6.0172e-05,-0.00010367,-0.00026504,-0.0001426,-3.3282e-05,0.00067487,0.0015906,0.0016168,0.002,0.0013858,0.00083584,0.00096929,0.0008686,0.00092265,0.00091026,0.0011375,0.0009497,0.0013792,0.001677,0.0016616
1.6815,1.6816,1.6816,1.6816,1.6816,1.6816,1.6817,1.6817,1.6818,1.6819,1.6819,1.682,1.6821,1.6822,1.6823,1.6824,1.6825,1.6826,1.6827,1.6828,1.683,1.6831,1.6832,1.6834,1.6835,1.6836,1.6838,1.6839,1.6841,1.6842,1.6844,1.6845,1.6847,1.6848,1.685,1.6852,1.6853,1.6855,1.6856,1.6858,1.6859,1.6861,1.6862,1.6864,1.6865,1.6867,1.6868,1.6869,1.6871,1.6872,1.6873,1.6875,1.6876,1.6877,1.6878,1.6879,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6886,1.6887,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,5e-05,-5e-05,5e-05,4.0011e-05,5e-05,5e-05,5e-05,4.2279e-05,5.0048e-05,-5e-05,9.517e-06,-5e-05,2.1991e-05,-5e-05,-1.6695e-05,7.8807e-06,-4.9628e-05,-4.2573e-05,-5e-05,-4.5725e-05,-5.0041e-05,5e-05,-4.966e-05,5e-05,5e-05,5e-05,-5e-05,-5e-05,-5e-05,-2.0695e-05,6.5228e-06,2.0722e-05,8.7896e-06,-3.1383e-05,3.6271e-05,-3.1988e-05,3.5007e-05,-1.8429e-05,6.9582e-06,-2.9737e-06,1.8233e-05,-4.1219e-05,5e-05,-4.4616e-05,4.544e-05,-4.9227e-05,4.5111e-05,-3.1801e-05,2.3572e-05,-1.215e-05,-1.1156e-06,1.3884e-05,-3.3823e-05,5e-05,-4.9789e-05,5e-05,-2.2863e-05,-3.0877e-05,4.8649e-05,-3.1674e-05,-4.6725e-05,1.2042e-06,-1.2419e-05,2.4123e-05,1.2064e-05,9.754e-06,-2.232e-05,2.5551e-06,5e-05,5e-05,-4.6608e-05,-5e-05,-5.0002e-05,-8.0374e-06,4.6574e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-5e-05,5.0051e-05,-5e-05,3.8127e-05,-5e-05,5e-05,-4.0208e-05,8.895e-06,5e-05,5e-05,1.9439e-05
0,0.16698,0.55957,1.1761,2.0157,3.0776,4.3603,5.8626,7.5826,9.5183,11.668,14.028,16.596,19.37,22.347,25.521,28.891,32.452,36.2,40.131,44.24,48.523,52.974,57.589,62.361,67.286,72.358,77.571,82.919,88.396,93.996,99.711,105.54,111.46,117.49,123.6,129.8,136.07,142.4,148.8,155.25,161.75,168.28,174.84,181.43,188.03,194.64,201.25,207.85,214.44,221,227.54,234.03,240.48,246.88,253.22,259.49,265.68,271.79,277.82,283.75,289.57,295.29,300.89,306.36,311.71,316.92,322,326.92,331.69,336.31,340.76,345.04,349.15,353.08,356.83,360.39,363.76,366.94,369.91,372.69,375.25,377.61,379.76,381.7,383.42,384.92,386.2,387.27,388.11,388.72,389.12,389.28
36357,36363,36375,36396,36426,36464,36512,36568,36631,36697,36762,36818,36872,36916,36960,36996,37036,37086,37147,37244,37407,37681,38125,38811,39735,40913,42214,43412,44318,44828,45000,44980,44964,44970,44990,44963,44959,44952,44960,44968,44958,44951,44956,44923,44928,44934,44931,44921,44908,44925,44909,44927,44900,44922,44896,44910,44901,44911,44920,44877,44902,44915,44895,44941,44950,44992,44997,44999,44982,44979,44995,44968,44754,44384,43999,43673,43416,43202,42976,42604,42002,41166,40197,39249,38344,37516,36764,36117,35560,35147,34837,34613,34519
1409.6,1411.3,1412.6,1416.1,1422.1,1417,1416.1,1409.2,1403.7,1399.6,1391.7,1403.2,1424.6,1438.7,1462,1467.1,1508.5,1501.8,1538.4,1560.6,1599.2,1613.5,1655.7,1628,1622,1554.5,1464.4,1406.6,1351.3,1327,1297.2,1272.9,1217.8,1176.5,1120.1,1097.3,1048.7,1016.8,974.61,936.59,902.4,872.02,832.12,807.26,770.71,747.41,729.9,705.64,695.77,655.14,654.26,612.7,617.17,574.84,580.91,544.28,533.01,518.97,489.26,501.61,473.84,448.05,476.72,476,472.43,457.87,437.6,419.78,418.41,418.53,398.42,342.11,324.3,344.01,358.2,372.93,348.65,326.76,231.2,118.38,100.92,14.787,107.75,152.1,126.23,131.22,125.9,102.13,35.515,-91.067,-33.156,-127.31,-123.16
