0,7.0529e-06,1.4106e-05,2.1159e-05,2.8211e-05,6.3476e-05,9.874e-05,0.000134,0.00016927,0.00034559,0.00052191,0.00069823,0.00087455,0.0017562,0.0026378,0.0035194,0.004401,0.008809,0.013217,0.017625,0.022033,0.044073,0.066113,0.088154,0.11019,0.21249,0.31479,0.41708,0.51938,0.62168,0.72398,0.82627,0.92857,1.0309,1.1332,1.2355,1.3378,1.4401,1.5424,1.6446,1.7469,1.8492,1.9515,2.0538,2.1561,2.2584,2.3607,2.463,2.5653,2.6676,2.7699,2.8722,2.9745,3.0768,3.1791,3.2814,3.3837,3.486,3.5883,3.6906,3.7929,3.8676,3.9424,4.0171,4.0919,4.0919,4.1282,4.2137,4.348,4.5309,4.7621,5.0416,5.3689,5.7438,6.1658,6.6345,7.1494,7.7099,8.3155,8.9655,9.6592,10.396,11.175,11.995,12.856,13.756,14.695,15.672,16.685,17.734,18.817,19.934,21.082,22.262,23.471,24.708,25.973,27.263,28.577,29.915,31.274,32.653,34.051,35.465,36.896,38.34,39.797,41.266,42.743,44.229,45.721,47.218,48.717,50.219,51.72,53.22,54.717,56.209,57.695,59.172,60.64,62.097,63.542,64.972,66.387,67.785,69.164,70.523,71.86,73.175,74.465,75.73,76.967,78.176,79.356,80.504,81.621,82.704,83.753,84.766,85.743,86.682,87.582,88.443,89.263,90.042,90.779,91.472,92.122,92.728,93.288,93.803,94.272,94.694,95.069,95.396,95.676,95.907,96.09,96.224,96.31,96.346
29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.191,29.192,29.193,29.198,29.206,29.219,29.234,29.352,29.544,29.812,30.154,30.572,31.064,31.632,32.276,32.995,33.79,34.66,35.607,36.629,37.727,38.902,40.153,41.481,42.885,44.365,45.923,47.557,49.268,51.057,52.922,54.865,56.885,58.983,61.158,63.411,65.742,68.151,70.637,73.202,75.845,78.567,81.366,83.462,85.599,87.779,90,90,91.183,94.005,98.584,105.07,113.76,124.92,139.04,156.55,178.15,204.54,236.54,275.25,321.39,376.98,438.95,493.41,554.15,623.76,704.4,795.75,900.87,1019,1154.2,1304.7,1475.3,1662,1875,2108.8,2320.6,2539.9,2779.1,3041.1,3322.6,3626.5,3949,4293,4659.8,5050.8,5463.9,5901.6,6360.3,6838.1,7319.3,7807.5,8303.6,8815.3,9343.5,9893.6,10461,11040,11618,12195,12763,13325,13886,14453,15013,15563,16103,16630,17145,17647,18137,18616,19088,19557,20009,20432,20833,21210,21568,21909,22233,22539,22827,23096,23345,23575,23784,23971,24139,24288,24420,24535,24635,24720,24793,24855,24905,24947,24981,25007,25027,25041,25050,25053
0,5.0238e-05,0.00010048,0.00015071,0.00020095,0.00045214,0.00070333,0.00095452,0.0012057,0.0024617,0.0037176,0.0049736,0.0062295,0.012509,0.018789,0.025069,0.031349,0.062751,0.094155,0.12556,0.15697,0.31404,0.47116,0.62833,0.78556,1.516,2.2475,2.9801,3.7138,4.4487,5.1846,5.9216,6.6597,7.3988,8.1391,8.8804,9.6228,10.366,11.111,11.856,12.603,13.351,14.1,14.849,15.6,16.352,17.105,17.859,18.614,19.37,20.127,20.885,21.644,22.404,23.165,23.927,24.69,25.454,26.219,26.985,27.753,28.314,28.875,29.437,30,30,30.244,30.815,31.706,32.906,34.404,36.176,38.209,40.468,42.941,45.586,48.418,51.399,54.601,57.972,61.9,67.427,73.469,79.883,86.602,93.696,101.07,108.82,116.82,125.23,133.89,142.98,152.24,161.49,172.17,184.19,196.55,209.16,221.09,232.92,243.46,256.01,270.14,282.5,296.58,308.94,321.74,326.67,326.69,330.68,336.78,347.29,361.55,378.21,392.85,405.08,417.92,432.93,448.84,468.82,491,510.71,532.35,555.85,581.61,608.44,637.05,666.62,698.14,730.74,765.64,800.86,837.14,874.42,911.08,948.71,984.74,1020.3,1055,1089.5,1123,1155.8,1187.5,1218.1,1247.7,1275.8,1302.8,1328.5,1352.8,1375.8,1397.2,1417.2,1435.6,1452.4,1467.4,1480.7,1492.1,1501.7,1509.3,1514.9,1518.5,1520
27880,27880,27880,27880,27880,27880,27880,27880,27880,27880,27880,27880,27880,27880,27879,27879,27879,27878,27878,27877,27876,27872,27868,27864,27861,27843,27825,27807,27789,27771,27753,27735,27717,27700,27682,27664,27646,27628,27610,27592,27574,27556,27539,27521,27503,27485,27467,27449,27431,27413,27395,27378,27360,27342,27324,27306,27288,27270,27252,27234,27217,27203,27190,27177,27164,27239,27233,27218,27194,27162,27122,27073,27016,26950,26876,26794,26704,26606,26500,26387,26265,26137,26000,25857,25707,25549,25385,25214,25037,24854,24665,24469,24269,24063,23851,23635,23414,23189,22960,22726,22489,22248,22004,21757,21507,21255,21001,20745,20487,20228,19967,19706,19444,19182,18920,18659,18397,18137,17878,17620,17364,17109,16857,16607,16360,16116,15875,15638,15404,15174,14949,14728,14512,14300,14094,13893,13698,13508,13325,13148,12977,12813,12655,12504,12361,12225,12096,11974,11861,11755,11656,11566,11484,11410,11345,11287,11239,11198,11166,11143,11128,11121
1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5708,1.5675,1.5676,1.5681,1.5686,1.5691,1.5691,1.5683,1.566,1.5615,1.5539,1.5423,1.5256,1.5033,1.4745,1.439,1.3984,1.3776,1.3604,1.3435,1.3243,1.3068,1.2859,1.268,1.2454,1.2278,1.2036,1.1858,1.1937,1.3688,1.5039,1.5015,1.5402,1.5479,1.5691,1.5647,1.5691,1.5566,1.5657,1.5492,1.5647,1.5488,1.5691,1.5641,1.5691,1.5691,1.5364,1.5056,1.4427,1.4048,1.3459,1.272,1.1803,1.0972,1.0115,0.94591,0.89852,0.8451,0.78815,0.73817,0.68936,0.64459,0.60173,0.56435,0.531,0.50421,0.48285,0.46337,0.4287,0.39862,0.37266,0.34774,0.32794,0.31086,0.29349,0.2774,0.26121,0.24601,0.23067,0.21533,0.19961,0.18475,0.17116,0.15821,0.14596,0.13449,0.12375,0.11391,0.10491,0.096878,0.089762,0.083634,0.078436,0.074202,0.070878,0.068471,0.066946,0.066301
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018475,0.018676,0.019147,0.019888,0.02089,0.022126,0.023591,0.025246,0.02709,0.029056,0.031179,0.033171,0.033984,0.034448,0.034812,0.034907,0.034864,0.034907,0.034844,0.034907,0.034843,0.034907,0.034814,0.034907,0.034907,0.034907,0.034907,0.034907,0.034907,0.033938,0.029102,0.022583,0.015297,0.0082951,0.002491,-0.0018855,-0.0046336,-0.0068883,-0.0066437,0.0051323,0.020209,0.034907,0.034907,0.007738,-0.024667,-0.053872,-0.057783,-0.05712,-0.057315,-0.06623,-0.076948,-0.087266,-0.087266,-0.087266,-0.072173,-0.054622,-0.061997,-0.066223,-0.075487,-0.080557,-0.087266,-0.086338,-0.087266,-0.081847,-0.080473,-0.071113,-0.082075,-0.073706,-0.049028,-0.054866,-0.046046,-0.064978,-0.079408,-0.075003,-0.073945,-0.070781,-0.069033,-0.067421,-0.066714,-0.065782,-0.065522,-0.065333,-0.065568,-0.065881,-0.066459,-0.067083,-0.067858,-0.068633,-0.069464,-0.070251,-0.071018,-0.071699,-0.072299,-0.072754,-0.073099,-0.073313,-0.073406
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1286,6.1286,6.1288,6.1288,6.1293,6.1292,6.13,6.1295,6.1307,6.1298,6.1314,6.13,6.1322,6.1301,6.1329,6.1299,6.1339,6.1297,6.1351,6.1292,6.1367,6.1281,6.1388,6.126,6.1422,6.1219,6.1487,6.1127,6.1643,6.0925,6.2832,5.4117,4.4001,4.9826,5.319,5.7426,5.6748,5.9358,6.0169,6.2832,5.7862,5.3339,5.5655,5.3354,5.7064,4.578,2.3918,1.7102,1.7885,1.7562,1.7772,1.7635,1.775,1.7665,1.7743,1.7682,1.774,1.7694,1.774,1.7703,1.7739,1.771,1.774,1.7716,1.774,1.7721,1.7741,1.7725,1.7742,1.7728,1.7743,1.7731,1.7743,1.7734,1.7744,1.7736,1.7744,1.7738,1.7745,1.7739,1.7745,1.7741,1.7745,1.7742,1.7745,1.7743,1.7745,1.7743,1.7745,1.7744,1.7745,1.7744,1.7745,1.7745,1.7745,1.7745,1.7745
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0054977,0.0054864,0.0054998,0.0054954,0.0054037,0.005265,0.0051691,0.0049291,0.0048583,0.0044533,0.0045758,0.0026853,0.00075696,0.00081847,0.00031981,1.7503e-05,4.2074e-06,2.506e-05,-3.1851e-05,6.1554e-05,-6.2525e-05,7.4715e-05,-0.00011444,0.00019707,-0.00011127,0.00011559,-4.7997e-05,8.4204e-05,-0.00014064,-0.0022697,-0.0051085,-0.0051565,-0.0057801,-0.0045606,-0.0039255,-0.0023417,-0.0019864,-0.0014574,0.00358,0.011185,0.0093857,0.0087029,-0.011747,-0.020717,-0.023135,-0.011154,0.0022346,3.4233e-05,-0.0022884,-0.00836,-0.0068265,-0.0047385,0.0020683,0.00098413,0.0040486,-0.00022684,-0.0041435,-0.0049453,-0.0049535,-0.0045895,-0.0019903,0.00027476,0.0014189,0.003025,0.0034909,0.0036831,0.002786,0.0025296,0.0020089,0.0014727,0.00080295,0.00078222,0.0014525,0.0018741,0.0025103,0.0024763,0.001947,0.0015137,0.0010815,0.0006653,0.00028692,-9.6061e-05,-0.00042545,-0.00077036,-0.0010508,-0.0013577,-0.0015919,-0.0018558,-0.0020402,-0.0022646,-0.0023859,-0.0025822,-0.0025432,-0.0025504,-0.0025562,-0.0025448,-0.0025553
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.269,-0.269,-0.269,-0.269,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26899,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26898,-0.26897,-0.26896,-0.26896,-0.26894,-0.26892,-0.26889,-0.26885,-0.2688,-0.26874,-0.26867,-0.2686,-0.26852,-0.26843,-0.26834,-0.26824,-0.26813,-0.26801,-0.26789,-0.26777,-0.26763,-0.2675,-0.26735,-0.26721,-0.26706,-0.26691,-0.26675,-0.26659,-0.26643,-0.26627,-0.26611,-0.26595,-0.2658,-0.26564,-0.26549,-0.26534,-0.2652,-0.26506,-0.26493,-0.2648,-0.26468,-0.26457,-0.26447,-0.26438,-0.26429,-0.26422,-0.26415,-0.2641,-0.26406,-0.26403,-0.26401,-0.264
