24646,24656,24680,24717,24766,24828,24899,24980,25068,25162,25259,25357,25455,25551,25646,25741,25836,25935,26043,26164,26309,26478,26670,26886,27113,27341,27563,27777,27985,28186,28381,28572,28758,28937,29110,29277,29444,29614,29762,29886,30009,30141,30269,30392,30511,30625,30734,30838,30938,31033,31123,31210,31292,31371,31446,31517,31586,31651,31713,31772,31829,31880,31930,31991,32074,32187,32334,32517,32738,32990,33265,33549,33834,34111,34375,34621,34844,35043,35215,35359,35474,35558,35613,35636
1520,1520.9,1523,1526.4,1531,1536.9,1544.1,1552.6,1562.5,1573.9,1586.8,1601.4,1617.6,1635.7,1655.8,1678,1702.6,1729.8,1759.6,1792.7,1827.9,1863.7,1900.1,1936.4,1972.6,2008.3,2043.5,2078.1,2112.1,2145.6,2178.7,2211.4,2243.7,2275.3,2306.2,2336.3,2365.6,2394.1,2421.5,2447.4,2472.9,2498.4,2523.3,2547.5,2571,2593.8,2615.7,2636.9,2657.3,2676.9,2695.6,2713.7,2731,2747.6,2763.6,2778.9,2793.5,2807.6,2821,2833.8,2846,2857.6,2868.4,2878.4,2887.5,2895.5,2902.5,2908.5,2913.5,2917.8,2921.6,2925.1,2928.2,2930.9,2933.2,2935.2,2937,2938.5,2939.5,2940.2,2940.8,2941.2,2941.5,2941.6
0.038344,0.038169,0.037754,0.037105,0.036217,0.035103,0.033745,0.032173,0.03035,0.028336,0.026041,0.023748,0.021502,0.019466,0.017754,0.016466,0.015696,0.015563,0.016147,0.017613,0.019791,0.021462,0.0231,0.023871,0.023422,0.021889,0.020294,0.018851,0.017576,0.016444,0.015555,0.014635,0.013845,0.012927,0.012224,0.011487,0.011699,0.011029,0.0088219,0.0077347,0.0083033,0.0083995,0.0078376,0.0076042,0.0071719,0.0069222,0.0065437,0.0063058,0.0059686,0.0057518,0.0054646,0.0052919,0.0050505,0.0049167,0.0047106,0.004607,0.0044098,0.0043398,0.0041284,0.0041545,0.0039972,0.003603,0.0041279,0.0056536,0.0080387,0.011179,0.014953,0.019256,0.023909,0.028287,0.031945,0.034918,0.037297,0.039165,0.0406,0.041677,0.042455,0.043029,0.043573,0.043982,0.04429,0.04452,0.044658,0.044719
1562,1561.5,1560.3,1558.5,1555.9,1552.7,1548.7,1544,1538.5,1532.3,1525.2,1517.1,1508.2,1498.1,1486.9,1474.4,1460.4,1444.8,1427.5,1408.1,1387.1,1365.1,1342.1,1318.4,1294.3,1269.7,1244.5,1218.7,1192.1,1165,1137.4,1109.2,1080.6,1051.6,1022.3,992.6,962.36,932.25,902.53,872.26,841.28,810.41,779.76,749.04,718.47,687.96,657.67,627.53,597.68,568.09,538.85,509.96,481.5,453.47,425.97,398.96,372.57,346.74,321.61,297.08,273.33,250.43,227.95,205.92,184.5,163.85,144.15,125.54,108.18,92.269,77.926,65.109,53.734,43.712,34.945,27.344,20.822,15.298,10.672,6.9198,4.0064,1.8954,0.56402,-3.83e-15
-0.00099793,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00086259,-0.00079425,-0.00060878,-0.00049004,-0.00028727,-0.00015066,7.8928e-05,0.00021976,0.00050216,0.00044267,0.00036483,0.00029536,3.2924e-05,-0.00021922,-0.00033671,-0.00028228,-0.00025499,-0.00022087,-0.00017572,-0.0001572,-0.00014551,-0.0001456,-0.00013781,-0.00012426,-6.2515e-05,5.857e-05,-0.00029875,-0.00031745,-1.5336e-05,0.00012152,-9.2855e-05,-4.4142e-05,-6.295e-05,-4.8105e-05,-5.4578e-05,-4.6832e-05,-4.8481e-05,-4.451e-05,-4.2353e-05,-3.8191e-05,-3.4782e-05,-3.3042e-05,-2.8265e-05,-2.9368e-05,-2.4445e-05,-2.9641e-05,-1.791e-05,-3.84e-05,2.739e-05,-0.00010069,-7.7712e-06,0.00023431,0.00045504,0.00066481,0.00087426,0.0010615,0.0012601,0.001355,0.0012585,0.001092,0.0009544,0.00081236,0.00069655,0.000574,0.00048509,0.00037359,0.00038171,0.00039907,0.00033983,0.00036147,0.00033819,0.00033891,0.00034249
1.6824,1.6824,1.6824,1.6824,1.6824,1.6825,1.6825,1.6826,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6834,1.6835,1.6836,1.6837,1.6839,1.684,1.6841,1.6843,1.6844,1.6846,1.6847,1.6849,1.685,1.6852,1.6853,1.6855,1.6856,1.6858,1.6859,1.6861,1.6862,1.6864,1.6865,1.6867,1.6868,1.6869,1.6871,1.6872,1.6873,1.6875,1.6876,1.6877,1.6878,1.6879,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
5e-05,-3.3844e-05,2.3334e-05,-1.9763e-05,1.8191e-05,-1.7688e-05,1.8033e-05,-1.9343e-05,2.2206e-05,-2.8619e-05,4.9695e-05,2.9952e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-5e-05,1.0845e-05,-5e-05,-5e-05,-5e-05,6.1022e-06,4.8744e-06,8.9484e-06,2.9558e-06,1.2103e-05,-4.8422e-06,8.9734e-06,-9.0508e-06,1.2895e-05,-1.0122e-05,3.8307e-05,-2.7912e-05,-5e-05,3.5864e-05,5e-05,-1.841e-05,-2.0663e-05,1.5694e-05,-1.1458e-05,1.0127e-05,-8.2326e-06,8.0421e-06,-6.7922e-06,6.9989e-06,-5.6602e-06,6.738e-06,-5.674e-06,6.7746e-06,-6.098e-06,7.2077e-06,-7.6895e-06,9.4009e-06,-1.1128e-05,1.4699e-05,-9.0241e-06,-1.8215e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-2.3552e-06,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,5e-05,-5e-05,-8.6774e-06,1.0769e-05,-5e-05,5e-05,-5e-05
0,0.17612,0.59018,1.2403,2.1254,3.2443,4.5954,6.1768,7.9863,10.021,12.279,14.756,17.449,20.354,23.467,26.783,30.299,34.008,37.906,41.987,46.246,50.676,55.271,60.024,64.929,69.98,75.168,80.486,85.927,91.484,97.148,102.91,108.76,114.7,120.71,126.79,132.93,139.11,145.33,151.59,157.86,164.15,170.45,176.74,183.01,189.27,195.49,201.68,207.81,213.89,219.9,225.84,231.69,237.45,243.12,248.67,254.11,259.43,264.62,269.67,274.58,279.33,283.93,288.36,292.61,296.69,300.59,304.3,307.82,311.13,314.25,317.15,319.85,322.32,324.58,326.61,328.42,330.01,331.36,332.48,333.36,334.01,334.42,334.6
48230,48209,48161,48089,48000,47902,47804,47719,47661,47646,47693,47821,48045,48381,48834,49413,50108,50918,51804,52746,53603,54262,54710,54933,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54950,54810,54791,54905,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54984,55000,55000,54864,54478,53793,52788,51464,49845,48011,46080,44150,42292,40554,38966,37544,36298,35226,34319,33577,32997,32575,32308,32195
1684.8,1686,1688.4,1692.3,1697.4,1703.6,1710.7,1718.5,1726.8,1735.4,1744.4,1742,1744.7,1736.2,1731.5,1716.9,1706.6,1685.3,1668,1636.4,1591.3,1538.9,1484.3,1440.6,1396.4,1345.4,1287.2,1232.5,1180.6,1136.9,1101.6,1068.8,1033.3,995.12,957.03,919.77,873.07,863.7,817.89,759.1,753.76,747.11,723.58,703.05,681.16,660.36,638.76,617.89,597.14,577.56,559.16,542.29,527.31,513.54,501.08,488.78,477.63,465.8,456.65,442.18,441.12,426.04,399.78,371.74,341.02,305.48,271.96,236.13,202.2,189.43,185.13,176.89,170.3,161.57,155.97,147.49,145.23,124.17,101.03,96.707,83.477,81.611,78.615,77.08
