25090,25098,25115,25142,25179,25224,25278,25340,25410,25490,25580,25679,25789,25911,26052,26210,26383,26569,26766,26966,27163,27359,27545,27726,27914,28106,28289,28458,28619,28778,28965,29180,29391,29594,29795,29982,30166,30333,30461,30565,30683,30827,30990,31171,31345,31473,31541,31578,31616,31688,31796,31925,32064,32184,32277,32355,32435,32519,32605,32705,32823,32964,33126,33306,33499,33697,33891,34074,34241,34386,34504,34593,34651,34675
1521,1521.9,1523.9,1527.1,1531.5,1537,1543.6,1551.2,1559.9,1569.6,1580.4,1592.2,1605,1618.4,1632.8,1648.1,1664.5,1682.2,1701.2,1720.2,1742.4,1765.7,1791.6,1824.7,1859.7,1894.9,1930,1964.9,1999.4,2032.7,2064.4,2096.4,2127.9,2158.7,2189.2,2220.9,2251.7,2279.8,2307.8,2334.8,2359.9,2384.8,2408.4,2431.3,2453.6,2475.9,2496.8,2515.4,2533.9,2552.9,2570.9,2587.8,2603,2617.5,2630.6,2643.6,2656.6,2668.5,2678.9,2687.2,2694.9,2701.6,2707.1,2711.2,2714.4,2717.2,2719.8,2721.7,2723.3,2724.6,2725.7,2726.4,2726.9,2727.1
0.027326,0.027207,0.02693,0.026492,0.025937,0.025351,0.024822,0.024445,0.024348,0.024572,0.024683,0.024768,0.02519,0.026422,0.028129,0.029084,0.029513,0.029756,0.029262,0.027495,0.026098,0.024188,0.021727,0.020925,0.021003,0.01991,0.01758,0.016086,0.014604,0.015254,0.018176,0.018704,0.017091,0.016711,0.015607,0.014591,0.014025,0.011399,0.0083733,0.0079357,0.0099976,0.011425,0.012975,0.013784,0.011769,0.007257,0.003613,0.0024277,0.0039461,0.0074231,0.0097236,0.011487,0.011345,0.0093628,0.0074477,0.007201,0.0082171,0.0085673,0.0098741,0.012329,0.01565,0.019669,0.024055,0.028482,0.032967,0.036865,0.040046,0.04292,0.045234,0.047,0.048306,0.049211,0.049766,0.05
994,993.54,992.46,990.76,988.44,985.5,981.92,977.71,972.86,967.36,961.24,954.52,947.14,939.12,930.46,921.31,911.58,901.15,890.1,878.91,866.19,852.81,838.14,820.09,800.81,781.01,760.84,740.06,718.92,697.25,675.39,653.28,631.3,609.06,586.83,563.31,540.06,518.61,496.31,473.55,450.53,427.63,404.85,382.61,361.52,341.16,321.28,300.88,279.76,258.46,237.98,218.22,199.77,182.69,166.33,150.08,134.21,119.27,104.91,91.078,77.987,65.639,54.269,43.921,35.074,27.57,21.035,15.445,10.745,6.9661,4.0204,1.9017,0.56535,0
-0.00065567,-0.00065253,-0.00064909,-0.00064762,-0.00056302,-0.00045474,-0.00030625,-0.00015764,5.4766e-05,0.00010542,8.7772e-06,7.784e-05,0.00025642,0.00055385,0.00043765,0.00016649,9.176e-05,1.9337e-05,-0.00031383,-0.00043521,-0.00028417,-0.00058549,-0.00037681,-1.4387e-05,-2.8951e-05,-0.00042161,-0.0003832,-0.0002682,-0.0001927,0.00044785,0.00043495,-0.00022811,-0.00019782,-5.1447e-05,-0.00028851,-4.4815e-05,-0.00026614,-0.00058318,-0.00038273,0.00023998,0.00035044,0.00021993,0.00029732,-7.7821e-05,-0.00066301,-0.00088591,-0.00044286,-9.0228e-06,0.0006123,0.00062686,0.00039593,0.00026408,-0.00032487,-0.00049441,-0.00033293,0.00021755,0.00016679,0.00014649,0.00058225,0.00087741,0.0012195,0.0014904,0.0016779,0.0018446,0.0019771,0.0017373,0.001746,0.0017428,0.0015875,0.0014784,0.0013867,0.0013163,0.0012905,0.0012879
-4.2637e-05,4.2637e-05,-2.5696e-05,5.478e-05,0.0001,0.0001,0.0001,0.0001,0.0001,-4.5057e-05,-5.9168e-06,4.2637e-05,9.9811e-05,5.4884e-05,-0.0001,-4.2958e-05,-1.1287e-05,-4.358e-05,-0.0001,4.9562e-05,-3.1224e-05,-3.9635e-05,9.9397e-05,4.0523e-05,-5.2914e-05,-6.308e-05,5.6033e-05,-1.9485e-05,8.4077e-05,9.742e-05,-0.0001,-8.3987e-05,6.7901e-05,-4.0709e-05,5.9935e-06,2.7855e-05,-8.1827e-05,-1.3256e-05,8.5956e-05,9.3626e-05,-4.1378e-05,1.6083e-05,-2.1363e-05,-0.0001,-0.0001,3.7323e-05,9.2166e-05,0.0001,0.0001,-7.5539e-05,1.3021e-06,-0.0001,-0.0001,1.2992e-06,0.0001,0.0001,-8.3898e-05,0.0001,0.0001,0.0001,0.0001,8.7576e-05,4.5799e-05,0.0001,-4.4962e-05,-0.0001,6.8592e-05,-9.291e-05,-0.0001,-0.0001,-0.0001,-0.0001,-1.1738e-05,-4.2637e-05
0,0.18155,0.60829,1.2781,2.1896,3.3413,4.7309,6.356,8.2136,10.3,12.612,15.145,17.895,20.855,24.022,27.389,30.95,34.699,38.628,42.731,47,51.427,56.005,60.724,65.576,70.553,75.644,80.842,86.136,91.517,96.975,102.5,108.08,113.71,119.37,125.07,130.77,136.48,142.19,147.88,153.54,159.17,164.75,170.28,175.74,181.12,186.41,191.61,196.7,201.68,206.53,211.25,215.83,220.25,224.52,228.63,232.56,236.3,239.86,243.23,246.4,249.36,252.11,254.64,256.95,259.04,260.9,262.52,263.91,265.06,265.98,266.65,267.07,267.25
45004,45002,44998,44993,44989,44988,44991,44995,44996,44983,44961,44924,44864,44742,44537,44257,43930,43574,43202,42809,42579,42396,42392,42748,43116,43433,43791,44202,44634,45005,45083,44959,44823,44697,44562,44544,44499,44452,44657,44980,45116,45062,44817,44413,44034,43965,44237,44644,45043,45216,45102,44796,44349,43979,43755,43645,43505,43310,43045,42625,42065,41335,40443,39420,38321,37215,36158,35175,34303,33565,32972,32533,32253,32133
1615.4,1614.4,1612.4,1609.8,1599.3,1585.6,1566.9,1546.8,1515.6,1503.3,1507,1489.2,1455.9,1404.5,1406.3,1420.5,1420.8,1440.4,1431.5,1441.4,1497.4,1459.8,1554.7,1574.4,1531.9,1504.6,1461.6,1413.1,1361.2,1252.9,1213.9,1217.3,1175.8,1132.4,1124.7,1089.1,1058.4,1061.5,1028,932.63,896.29,878.94,826.97,848.3,871.77,895.73,803.75,720.49,722.33,717.44,684.17,663.71,660.46,664,620.79,648.1,635.89,621.42,502.67,457.75,434.49,384.64,319.01,253.94,234.21,242.7,220.53,189.5,196.6,190.41,191.11,196.51,194.18,191.05
5.9834,5.9848,5.9853,5.9826,6.0259,6.0808,6.1564,6.2325,6.3567,6.3711,6.2873,6.3144,6.4187,6.6272,6.5276,6.3377,6.2865,6.2302,6.0045,5.9122,5.9682,5.7425,5.7954,5.9477,5.8647,5.4987,5.4575,5.4745,5.4573,5.9137,5.8712,5.2851,5.2921,5.4014,5.1554,5.3375,5.1006,4.6895,4.87,5.5003,5.5807,5.4383,5.5277,5.1287,4.4348,4.149,4.6198,5.1347,5.7695,5.7577,5.5233,5.3977,4.6679,4.4742,4.6949,5.4171,5.3636,5.3523,5.9005,6.2829,6.8007,7.2239,7.5928,7.9972,8.3477,8.2069,8.4213,8.6195,8.5487,8.569,8.5413,8.5014,8.5185,8.5414
