24360,24362,24366,24374,24384,24398,24415,24437,24463,24493,24524,24560,24598,24638,24683,24729,24777,24833,24881,24934,25000,25066,25136,25205,25277,25353,25433,25511,25594,25677,25764,25852,25944,26034,26126,26223,26321,26425,26529,26633,26738,26842,26950,27053,27169,27280,27391,27502,27618,27733,27849,27968,28085,28205,28325,28444,28560,28682,28799,28918,29034,29154,29266,29391,29501,29619,29732,29846,29958,30073,30180,30295,30388,30511,30616,30723,30823,30932,31024,31124,31227,31314,31412,31494,31591,31675,31759,31846,31920,31993,32077,32145,32215,32280,32346,32408,32466,32519,32573,32628,32674,32716,32756,32794,32831,32862,32888,32912,32934,32954,32971,32984,32994,33000,33003
1524,1524.3,1525.1,1526.3,1527.9,1530.1,1532.6,1535.6,1539,1542.9,1547.1,1551.9,1557,1562.6,1568.5,1575.1,1581.6,1589.2,1596.5,1606.9,1616.9,1626.3,1635.9,1646.4,1655.1,1666.5,1665.8,1658.7,1666.8,1678.8,1697.8,1709.5,1726.3,1746.8,1766.4,1776.8,1796.2,1815.9,1835.7,1855.3,1866.2,1888.7,1908.6,1925.7,1941.9,1962.2,1983.1,2000.2,2019.2,2037.8,2057.6,2077.4,2098.1,2119.1,2140.4,2161.1,2181.4,2200.8,2220.7,2239.6,2258.6,2276.6,2294.4,2311.9,2329.4,2345,2360.9,2376,2391.3,2405.6,2421,2435.2,2449.1,2462.4,2475.2,2486.7,2498.9,2509.4,2519.3,2528.8,2538.6,2547.8,2555.4,2562.5,2570.2,2577.4,2583.1,2588.8,2593.8,2598.6,2602.9,2606.8,2610.4,2613.5,2616.4,2618.6,2620.5,2622.5,2624.2,2625.9,2627.8,2628.3,2631,2634.2,2634.8,2635.9,2637.4,2638.2,2639.3,2640.4,2640.4,2640.9,2641.3,2641.6,2641.7
0.019274,0.019403,0.019728,0.020194,0.020907,0.021678,0.022829,0.023797,0.025666,0.024512,0.023169,0.025057,0.022537,0.023345,0.023812,0.022012,0.023899,0.022744,0.018116,0.023981,0.023755,0.023347,0.022802,0.021922,0.022263,0.022769,0.021989,0.021683,0.022079,0.021281,0.021928,0.020907,0.021471,0.019581,0.020934,0.020116,0.020729,0.020625,0.019931,0.01982,0.019121,0.019099,0.018666,0.018333,0.020021,0.017631,0.018462,0.017636,0.018754,0.017092,0.0186,0.017009,0.018071,0.016958,0.018044,0.015787,0.017532,0.016075,0.016858,0.015527,0.016794,0.014958,0.016582,0.015757,0.015126,0.015693,0.015226,0.014953,0.015768,0.014332,0.015689,0.013789,0.014208,0.017044,0.013529,0.015416,0.013831,0.015815,0.011861,0.017334,0.012342,0.015404,0.01324,0.014284,0.015031,0.013329,0.014911,0.014552,0.011907,0.015486,0.014508,0.01334,0.014149,0.013535,0.014656,0.013668,0.0139,0.013204,0.015372,0.014492,0.013239,0.013609,0.013521,0.014809,0.014195,0.013095,0.01264,0.013739,0.014332,0.015009,0.015274,0.015077,0.015369,0.015381,0.015402
994,993.8,993.34,992.61,991.61,990.35,988.82,987.03,984.97,982.63,980.04,977.17,974.05,970.64,966.98,963.02,958.83,954.31,949.67,944.53,939,933.59,927.79,921.74,915.65,909.89,902.29,893.36,884.57,875.23,865.5,855.12,844.47,832.92,822.47,814.26,802.47,791.2,779.77,763.15,752.77,738.94,725.14,714.99,704.46,691.55,677.86,666.97,654.48,642.39,629.16,616.1,602.02,588.14,572.74,557.66,543.11,527.54,511.17,495.03,478.6,462.46,445.93,430.63,415.45,398.76,384.12,369.91,353.59,339.75,325.33,311.16,297.84,282.4,268.72,254.28,241.92,229.53,216.72,204.34,193.13,182.77,170.77,160,149.08,139.09,128.99,119.75,110.51,102.04,93.62,85.966,78.361,71.493,64.668,58.542,52.415,47.096,41.691,37.13,32.364,28.612,23.583,19.402,16.404,13.939,11.298,8.7849,6.3526,4.054,2.861,1.7448,0.9159,0.24088,1.532e-15
0.001965,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00070625,-0.001,0.0013866,0.00063138,0.0013065,0.0014206,0.00090783,0.00099181,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.00031446,-0.00085619,0.002,-0.00087213,0.002,0.002,-0.00062554,0.002,-0.001,-0.001,-0.00065523,0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.002,-0.001,0.00099118,0.002,0.002,0.002,0.002,0.002,0.002,-0.00039943,0.002,0.002,0.00021649,0.0017891,0.0016525,-0.00086059,0.002,-0.00091932,0.002,0.002,0.0010604,0.002,-0.001,0.002,0.00076724,0.002,-0.001,0.002,0.002,0.002,0.0017889,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00077346,0.00073867,0.002,-0.001,0.00062772,0.002,-0.001,0.002,0.002,0.00084759,0.00056453,0.00017392,0.00022969
-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.00010041,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,-3.5421e-05,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,-2.88e-06,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,9.6773e-05,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,-0.0001,9.1399e-05,-2.0717e-05,-6.3875e-05,0.0001,-0.0001,-0.0001,0.0001,-0.0001,4.2407e-05,0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,5.0115e-05,0.0001,-0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-2.828e-05,-0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0001
0,0.066438,0.22267,0.46808,0.80247,1.2256,1.7371,2.3366,3.0237,3.7978,4.6584,5.6049,6.6364,7.7522,8.9516,10.234,11.597,13.041,14.565,16.167,17.846,19.601,21.431,23.333,25.308,27.353,29.466,31.647,33.893,36.203,38.575,41.008,43.499,46.046,48.648,51.303,54.008,56.763,59.563,62.408,65.296,68.224,71.189,74.191,77.226,80.292,83.387,86.508,89.654,92.822,96.009,99.213,102.43,105.66,108.9,112.15,115.4,118.66,121.92,125.17,128.42,131.66,134.89,138.11,141.31,144.5,147.67,150.81,153.93,157.03,160.09,163.13,166.13,169.1,172.02,174.91,177.76,180.56,183.31,186.02,188.67,191.27,193.82,196.31,198.74,201.12,203.43,205.67,207.85,209.97,212.01,213.99,215.89,217.72,219.47,221.15,222.75,224.28,225.72,227.09,228.37,229.57,230.68,231.71,232.66,233.52,234.3,234.98,235.58,236.09,236.52,236.85,237.1,237.25,237.32
50740,50746,50759,50780,50804,50833,50858,50885,50898,50910,50937,50964,50984,51038,51054,51109,51139,51178,51259,51489,51586,51649,51678,51782,51728,51816,51124,50071,49898,49963,50396,50389,50643,51124,51517,51334,51657,51942,52220,52476,52221,52622,52827,52911,52839,53014,53219,53201,53236,53258,53315,53350,53430,53492,53551,53588,53622,53549,53540,53452,53387,53240,53141,52912,52805,52541,52329,52071,51834,51530,51334,51017,50862,50453,50154,49787,49507,49092,48784,48394,48004,47707,47270,46936,46522,46183,45791,45376,45040,44701,44251,43893,43520,43170,42812,42457,42125,41825,41521,41211,40969,40704,40530,40380,40161,39998,39877,39751,39642,39549,39443,39373,39324,39291,39277
1446.6,1443.4,1442.9,1442,1440.8,1439.2,1437.2,1434.6,1431.4,1427.7,1423.8,1419.4,1414.7,1410,1404.6,1399.3,1394,1388.3,1515.4,1773.5,1432.6,1502,1425.9,1407,1448.6,1431.6,1576.6,1565,1562.6,1566,1572.3,1572.7,1574.8,1577.1,1451.1,1498.2,1565.3,1464.8,1511.4,1483.1,1384.5,1431.3,1380.6,1359,1342.3,1317.6,1299.8,1290.6,1279.9,1269.5,1258.9,1249.5,1240.2,1232.1,1108.3,1193.9,1103.8,1019.6,991.87,964.52,937.27,909.01,881.01,1001.9,828.74,813.56,963,790.73,778.5,899.04,804.1,871.84,753.06,714.98,710.1,659.83,837.71,615.72,669.8,577.09,822.93,539.7,521.65,506.84,502.1,475.74,462.03,447.3,433.81,418.66,396.61,376.11,354.06,333.33,312.5,293.18,274.88,257.54,239.65,221.12,206.34,188.59,352.44,348.56,133.43,521,342.95,108.46,508.17,96.733,91.884,304.77,328.64,398.78,383.9
7.0059,7.0209,7.0196,7.0175,7.0152,7.0123,7.0097,7.0071,7.0057,7.0045,7.002,6.999,6.9967,6.9905,6.987,6.9788,6.9716,6.9618,6.1821,5.1284,6.5328,6.0698,6.4447,6.4881,6.1788,6.1974,6.8318,6.9281,6.927,6.8996,6.8282,6.8057,6.7505,6.6695,5.2762,4.8423,6.5595,4.7067,6.4921,6.4609,4.7634,6.4322,4.3394,4.3027,4.5333,6.3763,4.1808,4.1509,4.1172,4.0865,4.052,4.0169,3.9757,3.9335,6.291,3.8496,5.5107,6.3392,6.336,6.3297,6.3164,6.3135,6.3127,4.2263,6.3435,6.3678,4.8006,6.2253,6.1312,3.784,6.4764,3.7077,6.5458,6.6032,5.7286,6.6995,3.6232,6.7909,5.5757,6.8707,3.6687,6.9506,7.0025,7.0435,6.8676,7.1437,7.1974,7.2565,7.3052,7.355,7.4186,7.469,7.5226,7.5735,7.6263,7.6791,7.7288,7.7746,7.8213,7.8705,7.9089,7.9504,6.4002,6.3673,8.0404,4.1171,6.2736,8.1093,4.1401,8.1431,8.1608,6.6568,6.2598,5.791,5.8606
