24355,24357,24362,24369,24379,24392,24409,24429,24454,24481,24511,24546,24583,24612,24646,24703,24758,24794,24840,24897,24951,25012,25075,25130,25208,25272,25341,25420,25492,25573,25650,25735,25817,25905,25992,26083,26175,26266,26362,26456,26554,26656,26754,26861,26967,27069,27177,27281,27389,27496,27607,27716,27829,27939,28054,28167,28280,28391,28509,28626,28732,28860,28953,29080,29188,29297,29412,29525,29634,29751,29856,29966,30063,30179,30291,30380,30484,30598,30697,30790,30890,30988,31084,31174,31271,31355,31451,31529,31621,31695,31779,31863,31930,32007,32077,32148,32212,32278,32339,32398,32458,32513,32561,32610,32653,32698,32740,32776,32810,32847,32879,32898,32920,32941,32957,32972,32983,32992,32997,32999
1524,1524.3,1525.1,1526.2,1527.8,1529.8,1532.3,1535.2,1538.6,1542.2,1546.5,1550.9,1556.1,1561.2,1567.3,1573.3,1580.3,1586.9,1594.8,1602.1,1611.1,1619.3,1629.9,1638.4,1651.3,1658.2,1672.8,1663.7,1656.2,1678,1690.1,1690.9,1690.1,1716,1724.2,1736.1,1752.1,1778.4,1794.6,1816.5,1835.8,1850.8,1864,1881.8,1884.5,1901.9,1910.1,1911.6,1932.4,1947.1,1966.6,1983.2,2003.5,2019,2036,2056.5,2077.1,2098.5,2119.4,2139.9,2159.6,2179.9,2199.4,2218.4,2236.6,2258.3,2278.6,2294.9,2311.6,2327.9,2343.7,2360,2372.5,2384.4,2400.5,2414.1,2428.4,2440.5,2453.7,2465.7,2476.4,2486.7,2500.1,2512.9,2522.6,2532.5,2541.5,2549.7,2555.4,2562.1,2569.2,2573.1,2577.4,2584.3,2588.9,2593.9,2598.8,2603.2,2607.2,2611.7,2614.5,2617.4,2620.6,2623,2625.2,2627.6,2629.9,2631.9,2634,2636.2,2637.4,2638.5,2639.3,2640.1,2641.1,2641.6,2642.4,2642.8,2643,2643
0.019066,0.019198,0.019488,0.01999,0.020591,0.021486,0.022355,0.023743,0.023918,0.023119,0.023776,0.025286,0.020698,0.01543,0.023868,0.031572,0.01987,0.015914,0.022464,0.021978,0.020503,0.023687,0.018279,0.021294,0.024453,0.01647,0.023794,0.01923,0.021657,0.020092,0.02066,0.020504,0.020234,0.020541,0.019457,0.020784,0.018906,0.019483,0.019151,0.018273,0.019547,0.018119,0.018583,0.019637,0.017749,0.018195,0.018141,0.017481,0.017879,0.017566,0.017875,0.016995,0.017795,0.016535,0.017908,0.016015,0.01743,0.01523,0.018803,0.013725,0.01811,0.014832,0.014587,0.017679,0.013302,0.016096,0.015129,0.015057,0.015151,0.015387,0.013933,0.014684,0.012871,0.017593,0.012297,0.013373,0.015088,0.015668,0.012291,0.014455,0.013508,0.01494,0.012505,0.014812,0.012993,0.014232,0.013512,0.013003,0.014485,0.01137,0.016505,0.01157,0.013433,0.013629,0.013484,0.013291,0.013003,0.013747,0.012814,0.013868,0.014053,0.012617,0.012777,0.013015,0.01264,0.014561,0.012852,0.012627,0.013668,0.016469,0.011261,0.010035,0.01382,0.012976,0.013079,0.013393,0.013412,0.013486,0.013628,0.013667
994,993.81,993.36,992.65,991.69,990.46,988.98,987.24,985.25,982.99,980.47,977.69,974.65,971.35,967.78,963.94,959.86,955.5,950.87,945.98,940.85,935.51,929.91,924.06,918.01,912.03,906.05,898.07,889.26,880.22,870.53,860.58,850.62,840.31,829.06,819.19,809.48,796.01,785.68,774.21,761.76,753.23,744.02,732.18,716.65,702.28,687.24,675.02,664.76,653.97,642.74,631.38,618.53,605.25,592.8,579.61,566.19,552.3,537.66,521.94,506.9,492.26,477.03,461.38,447.24,431.22,414.36,399.33,384.45,368.05,353.54,338.56,324.07,309.76,295.85,282.9,267.79,254.57,242.09,229.92,215.97,204.77,193.11,181.8,172.45,163.04,154.32,144.76,134.26,125.73,116.9,107.68,99.752,92.879,85.761,79.331,72.733,66.355,60.745,55.582,50.168,44.583,39.696,35.175,30.892,26.759,23.103,19.956,17.13,14.41,11.854,9.4377,7.3499,5.2347,3.5554,2.3,1.3581,0.65268,0.19316,1.4802e-13
0.001993,0.002,0.002,0.0020005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0018488,0.0015208,0.00084174,0.0012617,0.00032994,0.00028299,0.00079212,0.0010463,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0003544,0.002,0.002,-0.00024621,0.002,0.00020389,-0.00096559,-0.00095939,0.002,0.002,0.002,0.002,-0.00093978,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.002,0.002,0.00089849,0.00017393,0.002,0.0010213,0.00011417,0.00062575,0.002,0.00082984,0.002,0.002,0.00049243,0.002,-0.00039156,0.002,-0.00037144,0.002,0.002,0.00032391,-0.00044674,0.002,0.002,-0.001,-0.00052214,-0.001,-0.001,-0.0010005,-0.001,0.0018623,0.00065248,-0.001,0.002,0.00093595,-0.00090242,-0.00085195,-0.00026949,-0.001,0.0010441,-0.0005701,-0.00073144,-0.001,0.002,0.00039051,0.00055053,9.683e-05,0.001265,0.00066171,-0.00011936,-0.001,-0.00021228,-0.0002076,0.0015901,0.00044297,0.001571,0.0018713,0.0012701,0.00024933,-3.1816e-05,0.00085758,0.00069712,0.00074023
-0.0001,0.0001,-9.8912e-05,8.0895e-05,-7.1933e-05,6.4465e-05,-6.058e-05,5.7246e-05,-5.5536e-05,5.4734e-05,-5.4766e-05,5.5648e-05,-5.7494e-05,6.0534e-05,-6.5195e-05,7.2272e-05,-8.3406e-05,0.0001,-0.0001,1.8723e-06,-0.0001,2.7862e-05,-1.0012e-05,-0.0001,0.0001,-1.7685e-05,0.0001,0.0001,-8.9084e-05,5.1172e-05,-4.1341e-05,4.6698e-05,-7.0956e-05,0.0001,-0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.00010031,0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,8.9956e-05,-1.7547e-06,-3.9941e-05,6.6601e-05,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,0.0001,0.0001,-0.0001,8.6536e-05,0.0001,0.00010022,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,-7.8337e-05,0.0001,-0.0001,-0.0001,-3.971e-05,-6.6369e-05,-1.8054e-05,-3.6558e-05,0.0001,0.0001,-0.0001,0.0001,0.00010011,-0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-7.0158e-05,0.0001,-0.0001,-0.0001,-0.0001,0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,0.0001,-0.0001
0,0.064333,0.21562,0.45327,0.77711,1.1869,1.6824,2.2632,2.9289,3.6791,4.5133,5.4308,6.4311,7.5134,8.677,9.9211,11.245,12.647,14.128,15.685,17.317,19.024,20.805,22.657,24.581,26.574,28.635,30.763,32.956,35.212,37.531,39.911,42.349,44.844,47.396,50,52.657,55.364,58.119,60.92,63.766,66.654,69.583,72.55,75.554,78.591,81.661,84.761,87.889,91.043,94.22,97.418,100.64,103.87,107.12,110.38,113.65,116.93,120.22,123.51,126.8,130.09,133.37,136.65,139.93,143.19,146.44,149.67,152.89,156.09,159.26,162.42,165.55,168.65,171.72,174.75,177.76,180.72,183.65,186.54,189.39,192.19,194.94,197.65,200.31,202.91,205.46,207.96,210.4,212.78,215.1,217.35,219.54,221.67,223.73,225.73,227.65,229.5,231.28,232.99,234.62,236.18,237.66,239.06,240.39,241.63,242.79,243.88,244.88,245.79,246.63,247.38,248.04,248.63,249.12,249.53,249.85,250.09,250.24,250.31
50774,50779,50793,50813,50840,50865,50897,50919,50945,50966,51006,51014,51055,51156,51275,51205,51208,51341,51477,51484,51617,51639,51802,51888,52057,51966,52309,51100,50070,50742,50851,50217,49525,50348,50142,50104,50299,51080,51233,51721,52013,52031,51971,52075,51361,51486,51056,50305,50547,50461,50584,50576,50709,50613,50555,50681,50786,50947,51020,51069,51167,51100,51265,51132,51113,51231,51234,51065,50937,50727,50585,50423,50199,49805,49608,49484,49268,48894,48671,48443,48116,47790,47594,47423,47076,46836,46477,46219,45776,45495,45154,44710,44409,44112,43770,43439,43154,42845,42557,42300,41981,41708,41488,41242,41021,40801,40596,40426,40272,40100,39933,39842,39730,39624,39546,39472,39423,39380,39352,39340
1444.8,1444,1443.5,1442.6,1441.5,1440,1438,1435.6,1432.6,1429.3,1425.6,1421.3,1416.7,1413.3,1409.4,1402.6,1396.2,1392.7,1388.4,1395.4,1423.9,1487.1,1437.2,1521.2,1515.2,1459.8,1427.3,1576.4,1564.9,1574.4,1576.4,1570.6,1555.5,1572.8,1570.8,1430.6,1568.4,1568.3,1410.4,1537.2,1435.4,1438.7,1422.9,1436.3,1424.1,1398.4,1380.8,1348.5,1335.2,1330,1320.6,1312.7,1302.1,1295.8,1289.5,1281.4,1274.6,1265.8,1114.2,1080.7,1116.3,1136.6,994.55,1046,1094.9,1027.4,882.93,951.26,843.57,833.22,923.81,827.54,987.29,825.22,949.5,780.79,744.15,825.87,897.77,653.37,633.19,851.38,813.51,836.15,826.91,815.2,798.52,513.16,653.29,776.52,461.05,556.82,693.37,666.44,584.93,662.98,441.23,591.1,593.23,605.52,277.39,496.67,438.62,539.83,345.97,379.12,520.04,539.11,502.96,503.15,229.02,368.43,220.33,141.63,275.51,388.3,468.44,302.66,315.08,310.87
7.0154,7.018,7.0166,7.0149,7.0121,7.0095,7.0063,7.0041,7.0016,6.9995,6.9957,6.9945,6.9904,6.9803,6.9671,6.9704,6.9666,6.9496,6.9296,6.843,6.6218,6.1996,6.4192,5.8711,5.8157,6.0948,6.1805,6.8356,6.9303,6.835,6.8028,6.8526,6.9123,6.7921,6.7925,5.845,6.7286,6.6217,5.2846,6.5379,5.4145,4.5393,4.5142,6.4801,6.5388,6.5135,6.5449,4.5112,4.4107,4.386,4.3391,4.3057,4.2598,4.2364,4.209,4.1662,4.124,4.0778,6.5046,6.5169,5.6002,5.0131,6.5333,5.6875,4.8783,5.336,6.4841,5.4929,6.5094,6.5282,5.2091,6.548,4.3092,6.6032,4.3464,6.65,6.6868,5.1244,4.2821,6.8263,6.8739,3.7378,4.2391,3.7279,3.7389,3.7426,3.7582,6.9681,5.6862,3.8052,7.2639,6.1008,3.9862,4.0605,4.77,3.9178,6.4023,4.4618,4.2877,3.9769,7.7421,5.7861,5.989,5.4866,6.9443,6.2073,5.2713,4.0887,5.1806,5.2046,7.5348,6.0474,7.5412,7.943,7.1943,5.8618,5.5115,6.6702,6.4366,6.5004
