25858,25860,25866,25874,25887,25902,25922,25946,25973,26006,26043,26086,26133,26186,26245,26308,26375,26446,26520,26597,26675,26754,26833,26914,26996,27080,27165,27252,27342,27445,27563,27684,27803,27914,28016,28116,28236,28375,28519,28657,28791,28927,29064,29198,29327,29453,29579,29707,29843,29986,30129,30262,30386,30506,30632,30769,30913,31053,31190,31327,31468,31607,31744,31881,32015,32146,32273,32405,32542,32681,32814,32941,33065,33190,33314,33431,33543,33652,33755,33853,33951,34051,34151,34248,34341,34431,34515,34595,34668,34735,34799,34861,34922,34983,35043,35104,35165,35226,35286,35344,35401,35454,35504,35549,35589,35623,35651,35671,35685,35690
1797.9,1798.4,1799.5,1801.2,1803.6,1806.5,1810.2,1814.4,1819.2,1824.7,1830.8,1837.5,1845.1,1853.6,1862.9,1872.5,1882.6,1893,1904.3,1915.9,1927.6,1940,1953.4,1967.8,1982.9,1998.5,2014.5,2031.3,2048.4,2066.2,2084.9,2103.5,2121.9,2139.7,2159,2178,2195.6,2216.6,2239.1,2260.7,2283.2,2305.9,2328.6,2351.1,2373.3,2394.5,2414.8,2433.9,2452.1,2470.6,2489.6,2508.6,2526.4,2542.6,2557.8,2572.7,2587.4,2602,2615.8,2628.9,2641.6,2654.1,2665.9,2677.1,2688.2,2698.7,2708.5,2717.2,2725.5,2733.9,2742.2,2749.8,2756.7,2763.2,2769.4,2775.7,2781.1,2786.2,2791.3,2795.8,2799.8,2803.5,2807.1,2810.7,2814,2817.1,2819.9,2822.8,2825.4,2827.7,2829.8,2831.7,2833.3,2834.5,2835.3,2835.8,2836.1,2836.1,2835.9,2835.6,2835.2,2834.6,2834.1,2833.5,2833,2832.5,2832.1,2831.8,2831.6,2831.5
0.018093,0.018165,0.018335,0.018598,0.018949,0.019385,0.019888,0.020451,0.021057,0.021691,0.022338,0.02298,0.023594,0.024131,0.024497,0.024563,0.024398,0.02404,0.023646,0.023032,0.022152,0.021158,0.020365,0.019855,0.019534,0.019097,0.018598,0.018115,0.018987,0.021789,0.022618,0.021925,0.020348,0.0181,0.016345,0.017253,0.020777,0.022027,0.021164,0.019691,0.019188,0.019169,0.018545,0.017645,0.016675,0.016248,0.015995,0.016526,0.017392,0.017601,0.016765,0.015266,0.014213,0.014242,0.0153,0.01645,0.01658,0.015791,0.015572,0.015994,0.016079,0.015608,0.015647,0.01566,0.015257,0.014839,0.01493,0.015758,0.016437,0.016321,0.015588,0.015161,0.015361,0.015633,0.015348,0.014714,0.014494,0.014245,0.013683,0.01363,0.014093,0.014709,0.014935,0.014774,0.014548,0.014379,0.014039,0.013482,0.012864,0.012556,0.012583,0.012908,0.01348,0.014195,0.015079,0.016093,0.017211,0.018403,0.019631,0.020852,0.022045,0.023179,0.024236,0.025194,0.026037,0.026752,0.027327,0.027752,0.028024,0.02814
994,993.72,993.05,992,990.58,988.77,986.59,984.03,981.1,977.81,974.14,970.1,965.61,960.59,955.21,949.59,943.7,937.54,930.94,924.08,917.05,909.64,901.61,892.88,883.69,874.07,864.12,853.57,842.5,830.5,818.24,806.08,794.01,782.13,769.15,755.44,741.42,726.64,711.55,696.48,681.04,665.31,649.57,633.74,617.81,601.62,585.25,568.59,551.75,534.97,518.44,502.16,485.78,469.16,452.4,435.75,419.5,403.68,387.9,372.17,356.76,341.72,326.81,312.17,297.91,283.94,270.17,256.53,243.26,230.53,218.3,206.32,194.53,183.06,172.08,161.49,151.27,141.42,131.78,122.75,114.52,106.7,99.066,91.551,84.406,77.592,71.125,64.707,58.544,53.007,47.868,43.097,38.6,34.325,30.284,26.485,22.922,19.602,16.533,13.727,11.175,8.8825,6.8543,5.088,3.5848,2.3439,1.3653,0.64873,0.19337,-1.4501e-14
0.0010044,0.0010048,0.0010064,0.00098598,0.00096586,0.00093903,0.00089036,0.00085175,0.000786,0.00073554,0.00066095,0.0005996,0.00050145,0.00038853,0.00016165,-4.096e-05,-0.00018563,-0.00024252,-0.00026972,-0.00044066,-0.00052324,-0.00049791,-0.00031109,-0.00019491,-0.00014208,-0.00024417,-0.00020318,-0.00011977,0.00095097,0.0009242,-0.000142,-0.00036758,-0.00080944,-0.00077923,-0.00035324,0.0010387,0.0010115,-6.4617e-05,-0.00045159,-0.00041009,3.418e-05,-0.00012097,-0.00023807,-0.00033811,-0.00021265,-0.00010266,5.68e-06,0.0002842,0.00018748,-7.9744e-05,-0.00040598,-0.00042682,-0.00017423,0.0001927,0.00038522,0.00023902,-0.00016455,-0.00020656,7.0066e-05,0.0001286,-0.00010109,-9.845e-05,7.2909e-05,-8.4358e-05,-0.00013927,-9.3499e-05,0.00017397,0.0002901,0.00010915,-0.00017963,-0.00023885,-2.546e-05,0.00012563,1.7825e-05,-0.00020703,-0.00017883,-1.8759e-05,-0.00019615,-0.00015104,0.00010028,0.00025019,0.00020086,-8.9183e-06,-0.00010573,-8.0557e-05,-0.00010063,-0.00022228,-0.00031874,-0.0002681,-6.0538e-05,9.1647e-05,0.00028653,0.00040045,0.00053195,0.00066972,0.00080387,0.00092939,0.0010551,0.0011522,0.0012465,0.0013243,0.0013973,0.0014565,0.0015093,0.0015492,0.0015857,0.0015994,0.0016153,0.0016154,0.0016129
-2.0485e-05,2.33e-05,-2.7295e-05,-9.2937e-05,-2.9406e-05,-9.5401e-05,-6.1693e-05,-8.028e-05,-7.4288e-05,-6.7989e-05,-7.3824e-05,-6.6691e-05,-9.3593e-05,-9.1081e-05,-9.0485e-05,-9.9361e-05,-9.4595e-05,1.7896e-05,-8.21e-05,-7.569e-05,-2.9779e-05,7.4747e-05,7.7562e-05,5.5734e-05,-3.4381e-05,-4.9116e-06,-1.4238e-05,9.6534e-05,9.989e-05,-9.7727e-05,-0.0001,-0.0001,-9.8553e-05,5.8963e-05,9.8193e-05,0.0001,-6.7815e-05,-0.0001,-8.148e-05,3.7918e-05,5.6568e-05,-8.3759e-05,-1.6133e-05,-2.0152e-05,7.501e-05,-4.8689e-06,9.151e-05,3.2822e-05,-6.6187e-05,-0.0001,-6.7825e-05,4.6853e-05,0.0001,0.00010019,9.1185e-06,-9.8797e-05,-9.9569e-05,6.9298e-05,6.389e-05,-3.3807e-05,-7.0573e-05,7.1331e-05,-9.1264e-06,-4.6008e-05,-1.6591e-06,4.9068e-05,8.8393e-05,-1.9692e-05,-8.774e-05,-7.6494e-05,4.0742e-05,7.934e-05,9.7165e-06,-7.5514e-05,-5.5324e-05,7.3056e-05,-6.1399e-06,-6.8195e-05,9.3919e-05,7.0838e-05,3.5106e-05,-6.9783e-05,-7.2186e-05,-1.2004e-05,2.095e-05,-4.6674e-05,-5.4712e-05,-3.3933e-05,9.257e-05,9.4213e-05,0.0001,9.9158e-05,6.167e-05,0.0001,9.0799e-05,0.0001,0.0001,0.0001,8.3941e-05,9.4063e-05,8.0103e-05,8.9094e-05,7.6449e-05,8.0343e-05,7.4211e-05,6.6977e-05,3.0983e-05,6.5268e-05,-6.7242e-05,5.6646e-05
0,0.07163,0.24007,0.50464,0.86511,1.3212,1.8724,2.5185,3.2588,4.0927,5.0195,6.0385,7.1489,8.3496,9.6398,11.018,12.484,14.036,15.673,17.393,19.195,21.077,23.038,25.077,27.192,29.38,31.641,33.971,36.37,38.836,41.366,43.958,46.61,49.32,52.086,54.905,57.776,60.695,63.66,66.67,69.72,72.81,75.936,79.096,82.287,85.507,88.753,92.022,95.311,98.618,101.94,105.28,108.62,111.97,115.33,118.68,122.04,125.39,128.74,132.07,135.39,138.7,141.99,145.26,148.5,151.72,154.91,158.07,161.2,164.29,167.34,170.35,173.32,176.24,179.11,181.93,184.69,187.4,190.05,192.65,195.18,197.64,200.04,202.37,204.63,206.82,208.93,210.97,212.93,214.82,216.62,218.34,219.97,221.53,222.99,224.37,225.66,226.86,227.97,228.99,229.92,230.75,231.49,232.14,232.69,233.15,233.51,233.77,233.94,234.01
55686,55694,55713,55743,55781,55827,55877,55930,55982,56032,56075,56112,56150,56199,56240,56259,56264,56258,56268,56271,56266,56287,56361,56480,56611,56750,56892,57066,57218,57277,57253,57185,57112,57076,57189,57293,57143,56985,56860,56724,56663,56584,56486,56393,56321,56218,56068,55833,55486,55087,54715,54418,54146,53834,53430,52917,52346,51799,51262,50686,50078,49484,48887,48270,47668,47038,46413,45736,45011,44291,43619,42984,42350,41708,41083,40504,39946,39409,38912,38434,37952,37459,36968,36498,36052,35630,35230,34865,34534,34227,33937,33654,33372,33085,32793,32495,32195,31893,31594,31301,31018,30751,30502,30277,30078,29910,29774,29672,29607,29579
1445.6,1445.4,1444.8,1445.1,1444.6,1443.9,1444.6,1444,1445.8,1444.6,1444.1,1448.1,1477.1,1483.4,1479.2,1477.4,1467.1,1464.2,1464.1,1444.2,1435.9,1436.7,1437.5,1421.9,1407.2,1392,1378,1366.2,1289.8,1282.8,1321,1295.3,1291.3,1266.1,1257.2,1096.9,1103.2,1276.2,1218.8,1220.3,1227.2,1216.3,1202.9,1186,1136.9,1061.8,999.75,911.97,899.89,920.57,970.75,941.52,844.66,766,729.82,724.25,747.82,733.1,684.08,659.84,669.32,652.3,611.61,616.54,608.15,582.89,526.94,484.68,496.66,526.76,520.59,468.84,437.52,428.54,451.86,431.61,391.44,408.17,389.77,367.97,355,350.22,352.39,346.14,340.62,333.72,328.22,319.68,319.02,305.04,294.27,266.5,219.76,165,107.95,53.985,-2.8984,-61.991,-108.59,-162.51,-205.99,-251.38,-290.86,-325.75,-353.69,-379.29,-393.19,-405.92,-409.98,-410.69
5.22,5.2192,5.2174,5.2052,5.1918,5.1744,5.1449,5.1132,5.0568,5.0101,4.9498,4.8978,4.845,4.7714,4.6076,4.4446,4.333,4.2821,4.2533,4.1152,4.0423,4.0438,4.1712,4.2136,4.2185,4.1258,4.128,4.1613,4.8625,4.8357,4.0782,3.8931,3.5025,3.5081,3.83,4.8496,4.8295,4.0212,3.6912,3.6916,4.0385,3.8941,3.7764,3.6769,3.7687,3.8807,3.9757,4.2298,4.1563,3.9287,3.593,3.5642,3.8467,4.1942,4.3777,4.2641,3.8999,3.8661,4.1706,4.2453,4.0397,4.0635,4.2661,4.1247,4.0852,4.156,4.469,4.634,4.4863,4.1728,4.1416,4.439,4.6214,4.5528,4.3476,4.4042,4.6136,4.4358,4.5203,4.8378,5.0606,5.0332,4.8137,4.7397,4.7986,4.8121,4.6653,4.5576,4.6533,4.9586,5.1794,5.4803,5.6696,5.8517,6.0468,6.2566,6.4685,6.677,6.8247,7.0254,7.1693,7.3141,7.4266,7.5347,7.6238,7.7008,7.7426,7.7822,7.7925,7.7928
