23860,23868,23887,23918,23959,24012,24076,24151,24236,24332,24436,24546,24662,24783,24908,25037,25170,25306,25445,25592,25749,25920,26106,26305,26512,26721,26927,27122,27301,27465,27620,27779,27949,28129,28311,28490,28659,28807,28935,29056,29189,29342,29512,29694,29878,30063,30244,30415,30571,30700,30797,30861,30892,30895,30883,30876,30886,30924,30990,31080,31191,31318,31459,31611,31774,31946,32125,32307,32485,32656,32813,32953,33073,33170,33242,33289,33308
1524,1524.9,1527.1,1530.4,1535.1,1541.1,1548.8,1557.9,1567.8,1579,1591.3,1604.8,1619.2,1633.6,1649,1665.2,1682.4,1700.4,1719.2,1738.6,1758.7,1779.5,1801.7,1824.6,1848.1,1872.7,1896.8,1921.4,1947.4,1976,2009,2043.3,2077.3,2110.7,2143.4,2175.2,2206.2,2236.1,2264.6,2292.4,2320.3,2348.2,2376.4,2404,2430,2453.6,2476.5,2497.9,2519.4,2540.4,2560.1,2578.3,2595.3,2611.3,2625.8,2639.4,2652.6,2666.1,2679.1,2691.4,2702.9,2713.5,2723.1,2731.2,2737.9,2743.8,2749.2,2753.9,2758,2761.6,2764.7,2767.2,2769.4,2771,2772.2,2772.9,2773.3
0.037221,0.037248,0.037308,0.03739,0.037469,0.037508,0.037447,0.037229,0.036802,0.0361,0.035028,0.033565,0.032087,0.03085,0.029545,0.028534,0.027488,0.026207,0.025667,0.025978,0.026703,0.027683,0.028741,0.028987,0.028504,0.027507,0.025513,0.022892,0.020396,0.018105,0.017241,0.017671,0.018513,0.018734,0.01816,0.017252,0.015349,0.012947,0.011357,0.011574,0.013074,0.014751,0.015986,0.01657,0.016595,0.016556,0.015969,0.015024,0.013234,0.01047,0.0076574,0.0044701,0.0014839,-0.00072898,-0.0012278,-2.9983e-05,0.0024567,0.0058895,0.0091618,0.012159,0.015162,0.018004,0.020593,0.02356,0.026921,0.030521,0.034186,0.037601,0.040564,0.043036,0.045043,0.046637,0.047867,0.048783,0.049429,0.049829,0.05
994,993.53,992.45,990.75,988.42,985.41,981.67,977.24,972.34,966.79,960.72,954.06,946.83,939.28,931.15,922.44,913.13,903.28,892.76,881.63,869.85,857.43,844.19,830.51,816.38,801.58,786.81,771.62,755.45,737.65,717.52,696.3,674.59,652.78,631.01,609.2,587.5,565.86,543.82,521.6,499.33,476.47,453.41,430.56,408.54,387.26,366.38,346.23,326.44,307.23,288.59,270.86,253.72,236.29,218.78,201.1,183.34,165.84,149.02,132.99,117.75,103.39,89.997,77.415,65.682,54.864,45.001,36.163,28.395,21.657,15.906,11.105,7.2086,4.1758,1.9767,0.58834,2.0734e-16
0.00018561,0.0001826,0.00017024,0.00013591,8.1249e-05,1.2184e-06,-0.00010991,-0.00022619,-0.00035132,-0.00049678,-0.00066675,-0.000746,-0.00057957,-0.00051457,-0.00047492,-0.00031177,-0.00044471,-0.00033585,-1.6906e-05,0.00017766,0.00023616,0.00031588,0.00020371,-5.7746e-05,-0.00017432,-0.00035041,-0.00060062,-0.00060408,-0.00057793,-0.00040334,-5.3423e-06,0.00016432,0.00016238,-7.3033e-05,-0.00014244,-0.00028754,-0.00049767,-0.0004744,-0.00015543,0.00022242,0.00037235,0.00031925,0.00020437,4.4018e-05,-1.6466e-06,-5.063e-05,-0.00019011,-0.00026192,-0.00057367,-0.00065821,-0.00071728,-0.00079445,-0.00067996,-0.00039418,0.00013202,0.00050327,0.00089935,0.0010374,0.00095638,0.0009689,0.0010257,0.00095433,0.0010321,0.0013166,0.0015301,0.0017538,0.0018564,0.0018353,0.0017273,0.0016149,0.0014911,0.0013935,0.001294,0.0012395,0.0011885,0.0011801,0.0011826
-8.4713e-06,-2.8178e-05,-4.6806e-05,-7.5934e-05,-7.5665e-05,-9.9674e-05,-9.3666e-05,-8.5048e-05,-8.4127e-05,-9.2128e-05,-8.4392e-05,2.4358e-05,8.6013e-05,-1.977e-05,7.1401e-05,1.7609e-06,-3.9974e-05,9.8877e-05,8.5243e-05,3.2737e-05,1.5489e-05,1.3266e-05,-7.0872e-05,-4.8339e-05,-2.5483e-05,-6.4057e-05,-3.7353e-05,1.9057e-05,3.1688e-07,8.6964e-05,6.553e-05,2.1737e-05,-3.4048e-05,-4.2256e-05,-5.5139e-06,-5.3647e-05,-2.3858e-05,3.6444e-05,8.9203e-05,5.9038e-05,6.0346e-06,-2.2047e-05,-2.8106e-05,-3.059e-05,6.2059e-06,-3.4855e-05,-1.2053e-05,-4.5869e-05,-6.2302e-05,5.8478e-06,-4.0631e-05,1.3084e-05,3.1379e-05,9.3487e-05,9.5006e-05,9.9356e-05,9.8028e-05,-1.5765e-05,-1.4691e-05,2.0051e-05,1.441e-06,-2.9355e-05,9.6616e-05,0.0001,9.8177e-05,8.6357e-05,1.7867e-05,-4.4625e-05,-7.3168e-05,-8.7357e-05,-9.2467e-05,-9.847e-05,-9.8501e-05,-7.3273e-05,-9.1204e-05,4.2962e-05,-5.696e-05
0,0.14417,0.48307,1.015,1.7392,2.6542,3.7586,5.0504,6.5277,8.1877,10.028,12.045,14.235,16.596,19.122,21.81,24.655,27.652,30.796,34.082,37.505,41.058,44.736,48.532,52.44,56.454,60.566,64.77,69.059,73.425,77.861,82.359,86.913,91.514,96.154,100.83,105.52,110.23,114.95,119.67,124.39,129.08,133.75,138.39,142.99,147.55,152.05,156.48,160.85,165.14,169.34,173.45,177.47,181.37,185.17,188.85,192.4,195.82,199.11,202.26,205.25,208.1,210.79,213.31,215.67,217.86,219.88,221.72,223.38,224.86,226.15,227.25,228.17,228.89,229.42,229.76,229.91
54942,54938,54924,54899,54866,54837,54822,54809,54759,54713,54656,54617,54589,54512,54452,54400,54366,54352,54352,54308,54202,54017,53768,53437,53068,52721,52364,52115,52043,52223,52683,53162,53503,53702,53821,53900,54004,54216,54510,54808,54995,55004,54863,54584,54195,53693,53186,52695,52324,52149,52172,52391,52835,53464,54156,54782,55241,55483,55454,55191,54724,54078,53291,52370,51325,50203,48979,47729,46514,45377,44346,43445,42688,42083,41637,41351,41230
1694.4,1698.7,1693.9,1695.2,1705.9,1722.4,1727,1723.9,1720.4,1729.9,1709.2,1728,1637.9,1617.2,1600.2,1574.2,1570.2,1545.6,1502.1,1461.3,1431.6,1415.3,1417.5,1404.5,1401.6,1388.6,1365.8,1359.3,1354.3,1384.3,1392.1,1351.2,1304.1,1279.5,1239.3,1204,1178.2,1124.7,1047.7,1050.8,1010.7,1002.4,982.03,960.12,930.32,889.82,877.93,853.24,872.89,854.91,838.66,808.59,795.29,710.36,660.21,607.33,617.01,624.41,610.39,602.17,581.4,569.13,527.27,450.67,409.98,399.39,387.87,375.94,371.33,362.76,360.01,359.97,359.64,355.82,355.28,350.79,347.55
5.7898,5.7868,5.7768,5.7527,5.7151,5.6645,5.5989,5.5123,5.4142,5.3282,5.1858,5.101,5.199,5.2311,5.2287,5.2943,5.176,5.2165,5.3758,5.4763,5.4904,5.5197,5.4251,5.2251,5.1252,4.9593,4.7198,4.6691,4.6406,4.7087,4.9519,5.0081,4.962,4.6905,4.5669,4.4126,4.2092,4.1899,4.4078,4.7086,4.8172,4.7354,4.6059,4.4535,4.4227,4.4157,4.2912,4.2328,3.9494,3.8589,3.7802,3.6556,3.7524,4.0198,4.4675,4.8193,5.2103,5.3232,5.2444,5.2753,5.3705,5.3465,5.4911,5.8511,6.1512,6.4774,6.7212,6.8332,6.8331,6.8753,6.8401,6.8298,6.8073,6.8131,6.8022,6.8285,6.8481
