24292,24306,24338,24388,24455,24538,24636,24748,24873,25007,25150,25299,25450,25602,25749,25888,26021,26148,26278,26421,26591,26797,27033,27285,27543,27795,28043,28288,28520,28734,28917,29081,29250,29426,29603,29773,29933,30093,30243,30383,30523,30643,30760,30880,31005,31139,31260,31336,31369,31390,31422,31487,31590,31732,31923,32169,32463,32788,33128,33470,33801,34113,34399,34657,34882,35075,35235,35362,35455,35514,35540
1524,1525.1,1527.6,1531.6,1537.1,1544,1552.1,1562.3,1574.8,1588.2,1601.4,1615.2,1629.9,1645.5,1661.8,1679,1696.8,1715.4,1734.5,1759.2,1793.1,1831,1868.8,1906.3,1944,1981,2018.2,2054.6,2090.3,2125,2158.8,2191.1,2222.9,2254.1,2284.7,2314.1,2343.3,2372.5,2400.9,2427.5,2453.4,2478.3,2501.3,2523.2,2544,2563.5,2582.9,2601.7,2619.3,2635,2650.8,2666.8,2681.4,2693.7,2704,2712.8,2720,2725.8,2730.3,2733.7,2736.3,2738.3,2739.7,2740.8,2741.5,2742,2742.1,2742.2,2742.1,2742.1,2742
0.049019,0.048835,0.048409,0.047721,0.04683,0.045673,0.044361,0.04299,0.041343,0.039204,0.037216,0.035056,0.032243,0.029495,0.026116,0.023253,0.020662,0.019166,0.019149,0.020815,0.024075,0.026946,0.028352,0.028181,0.026868,0.02502,0.023983,0.022435,0.020284,0.017565,0.014444,0.013664,0.01419,0.014196,0.013771,0.012753,0.012248,0.012042,0.010666,0.010747,0.009902,0.0085257,0.0091008,0.009162,0.010092,0.010302,0.0080733,0.0040377,0.001841,0.0018937,0.0039656,0.0075687,0.011127,0.015863,0.021912,0.028764,0.034858,0.03979,0.043531,0.046266,0.048124,0.049268,0.049837,0.05,0.05,0.04998,0.05,0.049983,0.049973,0.049988,0.05
994,993.47,992.23,990.29,987.64,984.28,980.24,975.29,969.29,962.8,956.04,948.83,941.07,932.71,923.83,914.28,904.12,893.16,881.44,867.06,848.56,828.15,807.34,786.21,764.53,742.72,720.26,697.75,675.04,652.36,629.36,605.79,581.93,558.09,534.27,510.84,486.8,462.17,438.18,413.75,389.87,366.41,342.9,320.14,297.26,275.2,254.51,234.68,214.77,194.48,174.02,153.69,134.16,115.18,97.105,80.485,65.859,53.329,42.752,33.924,26.626,20.614,15.697,11.685,8.4224,5.7905,3.7087,2.1286,1.0024,0.29713,2.0054e-16
-0.001,-0.00099028,-0.00099801,-0.001,-0.00095654,-0.001,-0.00085963,-0.00083049,-0.00094857,-0.001,-0.00073733,-0.001,-0.00093336,-0.00099988,-0.001,-0.00074769,-0.00063532,-0.00016171,0.00015414,0.00065616,0.0007644,0.00050123,0.00011086,-0.00015555,-0.00037779,-0.00029321,-0.00019126,-0.00039713,-0.00041777,-0.00062014,-0.00041277,6.9891e-05,5.759e-05,-3.8507e-05,-0.00013145,-0.00019176,1.4764e-05,-0.00017948,-0.00017223,7.6929e-05,-0.00037396,-6.4317e-06,7.2599e-05,5.905e-05,0.00021381,-0.00018343,-0.00072106,-0.00077384,-0.00016268,0.00018555,0.00075273,0.00083298,0.00098646,0.0014049,0.0018061,0.0019175,0.0016615,0.0014083,0.0011005,0.00086214,0.00059068,0.00038525,0.00015457,3.528e-05,-2.659e-05,1.1895e-05,2.2717e-06,-2.8405e-05,8.9869e-06,6.0296e-05,6.4553e-05
-0.0001,0.0001,-9.8305e-05,0.0001,-5.1986e-05,5.0498e-05,7.7002e-05,-1.9746e-05,-0.0001,9.8911e-05,1.1688e-05,-0.0001,7.6208e-05,-8.9811e-05,0.0001,1.1163e-05,0.0001,0.0001,0.0001,0.0001,-3.5936e-05,-7.7229e-05,-7.808e-05,-4.5598e-05,-3.0235e-05,5.1632e-05,-2.9198e-05,-1.9977e-05,-1.5615e-05,-2.9209e-05,0.0001,4.3696e-05,-2.5391e-05,-9.9179e-06,-2.5339e-05,1.9545e-05,2.1274e-05,-6.5098e-05,7.8178e-05,-4.6383e-05,-3.1425e-05,0.0001,-4.9828e-05,5.6952e-05,-3.4186e-05,-0.0001,-0.0001,0.0001,0.0001,0.0001,0.0001,-2.2056e-05,0.0001,0.0001,0.0001,-4.969e-05,-7.3066e-05,-0.0001,-8.8625e-05,-0.0001,-9.4348e-05,-0.0001,-9.4748e-05,-4.567e-05,-1.0233e-05,3.8071e-05,-5.2194e-05,1.1642e-05,0.0001,0.0001,-0.0001
-5.6843e-14,0.18418,0.61708,1.2965,2.2209,3.3886,4.7972,6.4439,8.3254,10.438,12.778,15.339,18.118,21.109,24.305,27.701,31.29,35.064,39.015,43.138,47.422,51.859,56.441,61.159,66.003,70.964,76.031,81.195,86.446,91.772,97.164,102.61,108.1,113.62,119.17,124.73,130.28,135.83,141.35,146.84,152.29,157.68,163.01,168.26,173.42,178.49,183.45,188.29,193.01,197.59,202.03,206.32,210.44,214.39,218.16,221.75,225.15,228.34,231.34,234.11,236.68,239.02,241.13,243.01,244.66,246.07,247.23,248.16,248.84,249.27,249.45
51286,51247,51156,51018,50835,50618,50365,50127,49938,49716,49418,49097,48812,48570,48404,48329,48335,48419,48498,48779,49339,49801,49990,49995,49934,49842,49764,49636,49544,49522,49669,49877,50001,50025,50001,49963,49971,49966,49997,50011,49987,50069,50090,50031,49885,49616,49443,49580,49997,50434,50792,50891,50642,50006,48928,47357,45406,43281,41124,39050,37124,35391,33865,32551,31440,30517,29769,29190,28771,28507,28395
1709.4,1708.3,1708.1,1706.9,1701.2,1701.7,1685.3,1750.4,1761.5,1691.6,1600.4,1606.3,1579.6,1566.8,1548.5,1508.1,1482.4,1418.3,1405.2,1545.7,1601.5,1573.6,1525.5,1492.6,1451.5,1416.3,1379.4,1343.6,1299.3,1269.5,1192.8,1126.4,1104.9,1080.7,1055.7,1030,982.37,985.77,942.1,870.3,904.33,823.92,789.79,766.68,711,730.29,768.87,757.54,668.26,611.41,640.93,616.75,559.8,461.78,416.41,369.65,332.17,287.77,241.78,200.04,156.19,116.02,80.929,35.587,-13.424,-90.605,-149.14,-188.29,-241.42,-285.12,-297.57
5.3442,5.3504,5.346,5.3451,5.3737,5.3459,5.4372,5.4521,5.3603,5.3062,5.4814,5.2803,5.3183,5.25,5.2301,5.3941,5.4352,5.6984,5.857,6.0831,6.028,5.7459,5.449,5.2182,4.9706,4.9728,5.0073,4.7775,4.7236,4.4679,4.6275,5.0563,4.9907,4.8586,4.7424,4.6479,4.8335,4.5858,4.5687,4.8335,4.3302,4.6942,4.766,4.7349,4.9221,4.4725,3.9126,3.8307,4.4471,4.7986,5.4072,5.4775,5.645,6.1325,6.6829,6.9892,6.9325,6.9089,6.8629,6.7911,6.6971,6.6356,6.5128,6.5402,6.6227,6.8572,6.9823,7.0417,7.1957,7.3429,7.3743
