24419,24429,24453,24490,24541,24604,24679,24767,24866,24976,25097,25230,25375,25529,25692,25861,26031,26198,26356,26506,26649,26790,26933,27085,27256,27449,27656,27867,28074,28273,28468,28660,28840,29018,29189,29354,29513,29667,29814,29956,30092,30223,30348,30469,30584,30695,30801,30902,30999,31092,31181,31266,31347,31425,31500,31571,31639,31703,31765,31824,31881,31935,31986,32033,32077,32118,32158,32195,32232,32265,32296,32334,32384,32450,32536,32642,32766,32908,33063,33229,33400,33573,33741,33899,34044,34171,34275,34354,34405,34427
1520,1520.8,1522.6,1525.5,1529.4,1534.4,1540.6,1547.9,1556.3,1565.9,1576.8,1589,1602.6,1617.6,1634.3,1652.5,1672.5,1694.2,1717.8,1743.3,1771,1801,1832.4,1864.4,1896.9,1929.7,1962.6,1995.3,2027.8,2059.8,2091.4,2122.5,2153.1,2183,2212.3,2240.9,2268.8,2296,2322.5,2348.2,2373.1,2397.3,2420.7,2443.4,2465.3,2486.5,2506.9,2526.7,2545.7,2564,2581.7,2598.7,2615,2630.8,2645.9,2660.4,2674.4,2687.8,2700.6,2712.9,2724.7,2735.9,2746.8,2757.1,2766.9,2776.2,2785.1,2793.5,2801.6,2809.2,2816.3,2822.7,2828.5,2833.6,2838.1,2841.8,2845,2847.5,2849.6,2851.3,2852.5,2853.5,2854,2854.3,2854.4,2854.5,2854.4,2854.4,2854.3,2854.3
0.041114,0.041041,0.040866,0.040592,0.040236,0.039744,0.039097,0.038416,0.037771,0.037208,0.0368,0.036533,0.036031,0.035298,0.03414,0.032441,0.030115,0.027147,0.024084,0.021526,0.01963,0.018501,0.018225,0.018946,0.020534,0.021657,0.021697,0.020669,0.019308,0.017797,0.017154,0.015817,0.014656,0.014036,0.013044,0.01234,0.01155,0.010922,0.010252,0.0097073,0.0091402,0.0086625,0.0081777,0.0077675,0.0073536,0.0069982,0.0066457,0.0063421,0.0060357,0.0057713,0.0055123,0.0052855,0.0050579,0.0048635,0.0046689,0.0045009,0.0043334,0.0041895,0.0040396,0.0039032,0.0037921,0.0037115,0.00353,0.0033207,0.0031786,0.0031214,0.0030395,0.0030312,0.0029878,0.002703,0.0030241,0.0040831,0.0057623,0.0079732,0.010613,0.013592,0.016815,0.020197,0.023653,0.027104,0.030476,0.033701,0.036715,0.039464,0.041888,0.043906,0.045521,0.046724,0.047487,0.047812
1562,1561.5,1560.4,1558.6,1556.1,1553,1549.2,1544.7,1539.5,1533.6,1526.9,1519.4,1511.1,1502,1492.1,1481.2,1469.5,1456.8,1443,1427.8,1411.2,1393.1,1373.6,1353.1,1331.6,1309.5,1286.9,1263.9,1240.5,1216.6,1191.9,1167,1141.6,1115.7,1089.6,1063,1036.2,1009,981.61,953.99,926.19,898.24,870.18,842.02,813.83,785.62,757.44,729.32,701.3,673.41,645.67,618.13,590.82,563.78,537.04,510.62,484.58,458.93,433.7,408.94,384.66,360.88,337.69,315.1,293.1,271.73,251.03,230.98,211.63,193.13,175.13,157.69,140.92,124.82,109.53,95.157,81.752,69.344,57.981,47.684,38.444,30.278,23.149,17.025,11.893,7.7195,4.4703,2.1144,0.62864,-4.2015e-13
-0.00044701,-0.00044897,-0.00046523,-0.00044423,-0.00044078,-0.00051178,-0.00050413,-0.00042844,-0.00034281,-0.00025623,-0.00013309,-0.00014041,-0.00024657,-0.00031355,-0.00048717,-0.00061605,-0.00080774,-0.00087968,-0.00077971,-0.00056458,-0.00038884,-0.00015601,2.7099e-05,0.00029855,0.0003247,0.00013878,-0.0001284,-0.00023755,-0.00030743,-0.00020051,-0.00012767,-0.00030742,-9.7924e-05,-0.00016477,-0.00013965,-0.00012887,-0.00011841,-0.00010778,-0.00010092,-8.94e-05,-8.6628e-05,-7.6196e-05,-7.3821e-05,-6.4373e-05,-6.3624e-05,-5.5109e-05,-5.4289e-05,-4.7439e-05,-4.8076e-05,-4.0747e-05,-4.1228e-05,-3.5954e-05,-3.6778e-05,-3.0818e-05,-3.267e-05,-2.6989e-05,-2.909e-05,-2.3721e-05,-2.8319e-05,-2.1965e-05,-1.7388e-05,-2.0075e-05,-4.6544e-05,-3.3912e-05,-2.2468e-05,-7.518e-06,-2.2938e-05,1.832e-05,-5.9793e-05,-2.658e-05,0.00018973,0.00036707,0.00055753,0.0007235,0.00089215,0.0010418,0.0011899,0.0013214,0.0014489,0.0015612,0.0016676,0.0017602,0.0018444,0.0019193,0.0019561,0.0019573,0.002,0.002,0.001999,0.002
1.6838,1.6838,1.6838,1.6838,1.6838,1.6838,1.6839,1.6839,1.684,1.684,1.6841,1.6842,1.6842,1.6843,1.6844,1.6845,1.6846,1.6847,1.6848,1.6849,1.685,1.6851,1.6852,1.6853,1.6854,1.6855,1.6856,1.6857,1.6859,1.686,1.6861,1.6862,1.6863,1.6865,1.6866,1.6867,1.6868,1.6869,1.6871,1.6872,1.6873,1.6874,1.6875,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6886,1.6887,1.6888,1.6889,1.6889,1.689,1.6891,1.6891,1.6892,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,-8.9165e-06,5e-05,-5e-05,-5e-05,4.7126e-05,5e-05,5e-05,5e-05,4.9529e-05,-5e-05,-1.9063e-05,-5e-05,-5e-05,-5e-05,-5e-05,5.1221e-06,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-3.0709e-05,-4.6116e-05,-5e-05,-3.2201e-06,-1.5789e-05,5e-05,-3.906e-05,1.1484e-05,2.3071e-05,-2.0013e-05,1.6485e-05,-7.7969e-06,9.0466e-06,-4.4192e-06,6.399e-06,-2.8898e-06,4.434e-06,-1.8296e-06,3.4619e-06,-1.3746e-06,2.6422e-06,-9.2619e-07,2.1707e-06,-9.6099e-07,1.8402e-06,-5.7271e-07,1.457e-06,-7.1613e-07,1.4958e-06,-6.5668e-07,1.257e-06,-5.8322e-07,1.1771e-06,-7.4622e-07,6.8726e-07,3.8191e-07,2.0639e-06,-5.1194e-06,-1.0014e-06,2.5795e-06,4.4617e-06,-2.5392e-06,4.0068e-06,1.321e-06,-2.4096e-05,4.4856e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,8.7784e-07,2.7998e-05,4.487e-05,-3.0137e-05,2.8892e-05,-5e-05
2.8422e-14,0.16247,0.54446,1.1443,1.9611,2.994,4.2416,5.7025,7.3748,9.2564,11.345,13.638,16.133,18.826,21.715,24.795,28.063,31.515,35.147,38.954,42.931,47.074,51.377,55.835,60.443,65.195,70.085,75.107,80.255,85.523,90.904,96.391,101.98,107.66,113.42,119.27,125.18,131.16,137.2,143.29,149.41,155.58,161.77,167.97,174.19,180.42,186.64,192.85,199.03,205.2,211.32,217.41,223.45,229.43,235.34,241.19,246.95,252.63,258.22,263.71,269.09,274.36,279.5,284.53,289.42,294.17,298.78,303.23,307.54,311.68,315.66,319.46,323.1,326.55,329.82,332.9,335.78,338.48,340.97,343.27,345.35,347.24,348.91,350.37,351.62,352.65,353.47,354.07,354.45,354.61
49999,49969,49900,49793,49650,49477,49279,49060,48825,48576,48314,48038,47757,47482,47227,47018,46882,46862,46986,47266,47688,48240,48826,49349,49733,49936,50000,50000,49990,50000,50000,49981,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49993,50000,50000,49926,49730,49377,48854,48160,47313,46336,45266,44138,42987,41856,40773,39770,38874,38108,37487,37024,36725,36597
1480.7,1481.4,1484.2,1485.5,1490.6,1503.5,1510.7,1513.2,1516,1519,1518.1,1529.7,1548.8,1563.8,1585.5,1602.3,1620.8,1630.4,1626,1612.2,1599.5,1575.6,1527.1,1471.5,1427.7,1394.3,1364.3,1326,1286,1234.4,1186.7,1156.4,1100.5,1064.3,1023.2,984.29,946.89,910.44,875.76,841.69,809.97,778.6,749.54,720.98,694.81,669.21,645.42,622.3,601.16,580.09,561.03,542.34,525.46,508.76,493.62,478.79,465.52,452.13,440.48,428.35,417.2,407.55,400.79,390.29,380.53,371.26,365.4,355.09,357.17,347.84,322.08,297.45,273.88,251.35,223.06,197.01,168.8,140.77,109.63,84.882,56.294,28.565,-3.2897,-31.989,-52.642,-64.554,-85.947,-96.732,-104.19,-107.8
