25571,25571,25573,25575,25581,25590,25604,25626,25657,25700,25756,25826,25913,26015,26134,26267,26413,26567,26730,26898,27068,27233,27383,27512,27627,27754,27923,28146,28394,28634,28817,28941,29044,29178,29350,29550,29764,29972,30157,30291,30427,30561,30676,30782,30872,30952,31069,31222,31357,31433,31459,31480,31533,31658,31843,32041,32230,32404,32567,32753,32961,33183,33407,33627,33838,34035,34226,34414,34596,34763,34912,35039,35147,35238,35315,35379,35429,35466,35490,35500
1550,1550.6,1551.9,1553.9,1556.8,1560.5,1565.1,1570.5,1576.9,1584.2,1592.5,1601.8,1612,1623.1,1635,1647.7,1661,1675.2,1690.6,1707.3,1724.8,1742.9,1761.4,1783.1,1811.5,1842.5,1873.1,1904.2,1936.3,1967.7,1998.8,2029.3,2058.8,2087.1,2115.2,2142.5,2169.5,2195.3,2220.8,2245.6,2268.7,2292.8,2315.7,2337.4,2358.8,2379.7,2399.9,2419.7,2439.9,2459.5,2477.8,2494.7,2511.6,2529.5,2545.5,2559.3,2571.7,2582.9,2592.5,2600.5,2607.3,2613,2617.9,2621.7,2624.9,2627.4,2628.7,2629.2,2629.9,2630.6,2631.1,2631.6,2631.8,2631.7,2631.4,2630.9,2630.4,2630.1,2629.9,2629.8
0.0013397,0.0015677,0.0021025,0.0029378,0.0040701,0.0054766,0.0071429,0.0090294,0.011097,0.013275,0.015468,0.017513,0.019325,0.020895,0.022174,0.023024,0.02325,0.02306,0.022787,0.022212,0.020967,0.018722,0.01589,0.012839,0.012033,0.014197,0.018887,0.022084,0.022128,0.018601,0.012253,0.008472,0.0086707,0.011892,0.013824,0.015483,0.01502,0.014397,0.010843,0.0086382,0.0095681,0.0082708,0.0073418,0.0065962,0.0053178,0.0059682,0.0094808,0.010075,0.0073733,0.0029216,0.0011775,0.0020112,0.0059302,0.011442,0.0142,0.014237,0.013803,0.012637,0.013588,0.016427,0.018367,0.020087,0.020668,0.021192,0.021031,0.02106,0.022118,0.023407,0.023857,0.023507,0.022552,0.02127,0.02042,0.020001,0.019876,0.019923,0.019971,0.019991,0.020001,0.02
994,993.57,992.56,990.96,988.78,986,982.61,978.61,974,968.78,962.95,956.52,949.53,941.98,933.94,925.42,916.51,907.06,896.91,886.08,874.73,862.94,850.78,837.12,820.22,801.48,782.03,762.18,742.16,722.38,702.66,682.14,660.74,638.98,617.17,595.39,573.84,552.63,531.73,510.31,488.63,466.47,444.63,423.25,401.88,379.83,356.78,335.11,314.64,294.56,274.05,252.78,230.76,208.84,188.43,169.75,152.37,136.31,120.84,106.07,92.663,80.477,69.65,59.908,51.297,43.567,36.507,30.211,24.761,20.087,16.091,12.689,9.7099,7.1386,4.956,3.1976,1.8488,0.87292,0.2603,0
0.0011859,0.0011932,0.0011835,0.0011828,0.0011683,0.0011482,0.0011197,0.0010787,0.0010239,0.00094781,0.00083614,0.00068927,0.00055846,0.00044194,0.0003151,0.00015241,-1.9669e-05,-5.3791e-05,-9.0375e-05,-0.00017794,-0.00038467,-0.00052529,-0.000634,-0.00045247,0.00013941,0.0006683,0.00086487,0.00023104,-0.00021395,-0.00098775,-0.00091594,-0.00032735,0.00040183,0.00043841,0.00027799,0.00011856,-0.00013004,-0.00021769,-0.00071271,0.00010426,-3.8098e-05,-0.00022228,-9.9514e-05,-0.00015058,-0.00018182,0.00045638,0.00042482,-0.00019956,-0.00067258,-0.00060576,-2.0831e-05,0.00034757,0.00096934,0.00081431,0.00018122,-6.8264e-05,-0.00015316,-0.00016843,0.00055638,0.00049189,0.00043307,0.00025939,0.00010726,8.4019e-05,-0.00011053,0.00017612,0.00041592,0.00033023,-2.0067e-05,-0.00024025,-0.00054336,-0.00054171,-0.00032455,-0.00016267,-7.2645e-06,6.3072e-05,3.1102e-05,3.0998e-05,1.9264e-06,-4.1223e-06
0.0001,-4.2416e-06,-1.4875e-05,-9.5601e-07,-2.2175e-05,-1.3215e-05,-2.4894e-05,-2.304e-05,-3.2883e-05,-3.6844e-05,-5.4312e-05,-5.0802e-05,-3.9907e-05,-3.5899e-05,-4.0174e-05,-5.1035e-05,-2.9203e-05,1.1037e-06,-1.7134e-05,-2.849e-05,-5.0415e-05,-1.3872e-05,-2.0763e-05,0.0001,0.0001,0.0001,-6.3423e-05,-0.0001,-0.0001,-0.0001,9.4382e-05,0.0001,9.9413e-05,-6.3715e-05,1.8319e-05,-7.9138e-05,2.5938e-05,-0.0001,4.0667e-05,0.0001,-8.5993e-05,2.6559e-05,9.9256e-07,-1.851e-05,4.3913e-05,0.0001,-0.0001,-7.7616e-05,-6.6933e-05,9.6389e-05,6.0912e-05,0.0001,6.2567e-05,-0.0001,-0.0001,1.7322e-06,-5.0891e-05,0.0001,0.0001,-6.6829e-05,1.8495e-05,-8.6913e-05,2.4652e-05,-6.6203e-05,1.8149e-05,0.0001,3.5225e-05,-0.0001,-0.0001,-0.0001,-0.0001,9.5222e-05,0.0001,0.0001,0.0001,-2.6748e-06,-2.7343e-05,-7.1258e-06,-0.0001,0.0001
0,0.19143,0.64143,1.3479,2.3096,3.5251,4.9925,6.7094,8.6733,10.881,13.329,16.014,18.931,22.075,25.443,29.028,32.826,36.829,41.033,45.429,50.013,54.775,59.709,64.808,70.062,75.465,81.007,86.68,92.475,98.383,104.39,110.5,116.69,122.96,129.29,135.68,142.11,148.58,155.07,161.58,168.09,174.6,181.1,187.56,194,200.38,206.71,212.98,219.17,225.28,231.29,237.2,242.99,248.67,254.21,259.61,264.86,269.96,274.9,279.66,284.24,288.64,292.84,296.85,300.64,304.23,307.6,310.74,313.66,316.34,318.79,321,322.96,324.68,326.15,327.36,328.32,329.03,329.48,329.67
43308,43336,43401,43499,43623,43768,43923,44078,44218,44331,44401,44419,44375,44266,44086,43842,43541,43224,42913,42619,42346,42141,42039,42213,42791,43396,43674,43593,43356,43131,43249,43732,44291,44581,44577,44332,43974,43593,43349,43409,43387,43407,43492,43592,43781,44014,43958,43648,43463,43646,44122,44584,44823,44592,43893,43031,42138,41331,40561,39611,38519,37344,36167,35031,33963,32982,32040,31118,30257,29489,28824,28269,27804,27410,27077,26801,26582,26423,26321,26278
1169.9,1170.5,1174.3,1178.6,1185.3,1193.1,1201.7,1211,1220.4,1229.6,1238.1,1245.5,1250.9,1254.6,1256.4,1257,1256.3,1272.4,1288,1299.8,1299.4,1299,1299.9,1417.8,1462.2,1387.9,1322.8,1347.4,1338.6,1337.3,1311.5,1224.1,1129,1090.3,1063.7,1038.5,1028.6,991.86,1013.7,903.47,891.75,894.83,843.53,832.48,820.59,739.72,713.25,776.92,805.14,772,693.49,626.24,641.25,649.82,585.1,564.64,540.91,522.46,430.63,393.67,351.52,322.24,289.75,241.61,228.05,142.3,34.71,-11.267,35.914,21.659,35.631,2.9587,-68.186,-163.91,-258.26,-347.13,-357.13,-381.29,-378.16,-380.5
7.2808,7.2811,7.2661,7.2516,7.2247,7.1911,7.1502,7.1003,7.0423,6.9748,6.8981,6.8123,6.7198,6.6186,6.5109,6.3977,6.2791,6.2453,6.2083,6.1483,6.024,5.8992,5.7766,5.8354,6.1512,6.4518,6.5911,6.0317,5.6494,4.9292,4.9197,5.4184,5.9519,5.9412,5.7778,5.6211,5.3981,5.3262,4.7455,5.5965,5.4315,5.2142,5.3157,5.2306,5.1539,5.7897,5.7486,5.0742,4.469,4.513,5.1867,5.545,6.2055,6.0187,5.3984,5.1775,5.1338,5.1838,6.1454,6.1761,6.2416,6.1846,6.1512,6.2798,6.1025,6.7442,7.2825,7.3268,6.8788,6.6529,6.1917,6.2917,6.825,7.2169,7.5743,7.7692,7.7616,7.8,7.7694,7.7683
