26539,26554,26591,26647,26723,26817,26928,27055,27196,27351,27517,27693,27876,28066,28261,28458,28656,28853,29053,29251,29446,29639,29822,29996,30161,30321,30471,30612,30754,30879,31003,31126,31241,31347,31452,31549,31644,31733,31815,31896,31972,32042,32096,32155,32211,32262,32309,32353,32394,32427,32450,32470,32491,32515,32540,32566,32591,32611,32625,32631
1797.9,1800.1,1805.2,1813.2,1824,1837.5,1853.6,1872.3,1893.2,1916.3,1941.4,1968.3,1996.7,2026.7,2057.8,2089.8,2122.2,2155.2,2189,2223.1,2257.1,2290.8,2324,2355.5,2386.1,2415.2,2444,2470.8,2497.2,2523,2546.9,2570.5,2593.2,2615,2635.9,2656.2,2675.2,2693.9,2711.2,2727.8,2743.2,2758.5,2772.4,2784.8,2797.1,2808.1,2818.6,2828,2837,2845.5,2853,2859.3,2864.4,2868.6,2872.1,2875.4,2878.2,2880.3,2881.7,2882.3
0.039052,0.038885,0.038499,0.03788,0.037082,0.03601,0.034912,0.033796,0.032763,0.031601,0.03028,0.028817,0.027321,0.026147,0.024627,0.023238,0.021607,0.020645,0.019636,0.018248,0.017377,0.0162,0.014554,0.013621,0.012404,0.011884,0.010407,0.01033,0.0095687,0.0084801,0.0087157,0.0082323,0.0075309,0.0072037,0.0070366,0.006481,0.0066719,0.0058733,0.0060194,0.0056806,0.0057609,0.004653,0.0044194,0.0050632,0.0045624,0.0045955,0.0042717,0.0045065,0.0042073,0.0032586,0.0027616,0.0029441,0.003646,0.004677,0.0058713,0.00708,0.0081781,0.0090568,0.0096366,0.0098837
994,992.94,990.45,986.54,981.22,974.53,966.45,957,946.21,934.15,920.87,906.41,890.8,874.02,856.23,837.42,817.74,797.06,775.55,753.37,730.41,706.9,682.96,658.36,633.39,607.92,582.39,556.33,530.32,504.31,477.98,451.89,426.03,400.3,374.82,349.8,325.01,300.99,277.27,254.3,231.9,210.57,189.79,169.61,150.66,132.53,115.5,99.376,84.519,70.982,58.466,46.944,36.527,27.308,19.354,12.712,7.4309,3.5389,1.0557,-1.4229e-16
-0.00075311,-0.00074319,-0.0007493,-0.00073614,-0.00073213,-0.00074413,-0.00057793,-0.000537,-0.00040964,-0.00050825,-0.00043604,-0.00052782,-0.0003443,-0.00038548,-0.00036732,-0.00038128,-0.00032812,-0.00016447,-0.00028751,-0.00025361,-0.00014041,-0.00034491,-0.00021721,-0.00021782,-0.00014596,-0.00016495,-0.00022238,7.4944e-05,-0.00031916,1.0187e-05,-2.8851e-05,-0.00010087,-0.00014122,3.2172e-05,-0.00014169,2.7363e-05,-8.1745e-05,-8.2204e-05,2.1343e-05,-5.9884e-05,-2.9171e-05,-0.00031901,0.00022329,-6.0115e-05,-4.4881e-05,-3.8234e-05,-3.7023e-05,7.9839e-05,-0.00027014,-0.00028045,-5.7762e-05,0.00020298,0.00041984,0.00062354,0.00078698,0.00093278,0.0010364,0.0011029,0.0011104,0.0011141
-8.0711e-05,8.0711e-05,-6.496e-05,8.0085e-05,-7.733e-05,9.9954e-05,3.293e-05,6.2597e-05,-6.8998e-06,-6.7574e-06,1.607e-06,-2.8412e-06,5.6549e-05,-4.2033e-05,3.3454e-05,-2.9866e-05,5.7904e-05,-6.6778e-06,-2.1737e-05,3.2954e-05,-1.1866e-05,-2.9396e-05,4.7425e-05,-3.1524e-05,5.0649e-05,-6.3152e-05,7.601e-05,-3.8241e-05,-1.4852e-05,5.9984e-05,-3.8353e-05,-1.5607e-06,9.7015e-06,1.3234e-05,-3.0462e-05,5.1939e-05,-6.8103e-05,6.7684e-05,-4.8239e-05,4.6932e-05,-8.4212e-05,5.5506e-05,6.1158e-05,-9.9926e-05,6.8963e-05,-5.8707e-05,7.5449e-05,-6.4054e-05,-8.0579e-05,5.713e-05,9.784e-05,9.9794e-05,9.9708e-05,9.9759e-05,0.0001,9.9994e-05,9.0738e-05,5.1965e-05,-9.4504e-06,6.757e-05
2.8422e-14,0.2224,0.74496,1.5645,2.6788,4.0846,5.7781,7.7545,10.008,12.533,15.322,18.367,21.661,25.192,28.953,32.932,37.118,41.5,46.065,50.801,55.694,60.731,65.898,71.18,76.562,82.031,87.569,93.163,98.796,104.45,110.12,115.77,121.41,127,132.54,138.01,143.39,148.67,153.84,158.88,163.77,168.5,173.07,177.45,181.64,185.62,189.38,192.91,196.2,199.25,202.04,204.56,206.82,208.79,210.49,211.89,213.01,213.82,214.35,214.57
50011,50010,50006,50002,49998,49997,50000,50006,50010,50007,50002,49997,50001,50001,50001,50001,49996,50003,49996,50004,50005,49986,50006,50000,50009,49983,50005,50010,49972,50029,50016,49986,49978,50000,49989,50011,49991,50004,50007,49998,49978,49984,50043,50010,49999,49983,49978,49960,49941,49983,50057,50114,50126,50084,50001,49905,49806,49718,49653,49624
1775.5,1772.9,1768.2,1760,1749.4,1735.6,1711,1688.5,1660.5,1642.6,1611.1,1588,1548.1,1518.8,1481.6,1434.2,1383.1,1353.4,1325,1291.3,1225.7,1211.7,1120.1,1060.8,993.03,949.26,919.36,825.23,863.83,775.54,751.85,734.01,717.48,678.5,677.56,636.44,633.34,615.26,582.61,576.67,554.22,584.71,489.09,516.35,500.96,489.57,480.13,456.82,500.72,494.79,454.24,410.11,373.66,346.02,359.82,400.75,422.32,430.27,430.01,429.99
4.285,4.2932,4.285,4.2933,4.2905,4.267,4.3626,4.367,4.4047,4.2972,4.3195,4.214,4.3263,4.2785,4.2754,4.2172,4.207,4.3199,4.2199,4.1969,4.2729,4.0607,4.1446,4.1406,4.188,4.1593,4.0827,4.3379,3.9388,4.2446,4.2012,4.116,4.0513,4.2099,4.0095,4.1736,4.038,4.0176,4.118,4.0155,4.0464,3.7113,4.3155,3.9824,3.9954,3.9935,3.9831,4.0982,3.6739,3.6478,3.9107,4.1905,4.4106,4.5933,4.7721,4.9264,5.0282,5.0971,5.1082,5.1137
