24460,24465,24478,24499,24529,24571,24625,24694,24780,24879,24982,25087,25200,25322,25467,25636,25809,25986,26167,26355,26532,26683,26835,27007,27177,27330,27508,27731,27972,28191,28429,28689,28935,29173,29395,29584,29763,29952,30130,30327,30518,30680,30836,31003,31148,31255,31375,31537,31724,31902,32069,32236,32406,32574,32737,32894,33040,33178,33312,33446,33580,33712,33839,33957,34064,34157,34233,34291,34328,34344
1524,1524.9,1527.1,1530.5,1535.2,1541.2,1548.4,1556.9,1566.9,1579.1,1595,1610.8,1626,1642.4,1659.2,1677.5,1697.4,1717.9,1740.2,1764.4,1789.3,1814.5,1847.3,1886.2,1914.7,1949.9,1990.5,2030.6,2069.5,2106.8,2143.5,2179.4,2214.2,2246.8,2278.2,2308.8,2339.2,2368.5,2396.2,2422.3,2448.3,2472.5,2495.7,2517.1,2539.1,2558.4,2576.9,2595.6,2612.1,2626.8,2640.7,2654.7,2668.1,2680.3,2691.6,2701.8,2711.1,2718.7,2724.8,2730.3,2735.2,2739.5,2743.1,2746,2748.3,2750,2751.3,2752.2,2752.8,2753
0.018364,0.018654,0.019328,0.020391,0.021798,0.023524,0.025487,0.027763,0.029565,0.02884,0.026063,0.024849,0.024518,0.025203,0.028853,0.029166,0.027442,0.02648,0.026011,0.025096,0.020434,0.017619,0.018615,0.019504,0.016629,0.015996,0.019601,0.022542,0.021026,0.01913,0.022087,0.0212,0.019658,0.018707,0.016274,0.013664,0.014427,0.013987,0.013853,0.015408,0.013188,0.011671,0.012335,0.012697,0.0093974,0.0083007,0.011179,0.014763,0.015639,0.014697,0.014723,0.015582,0.016295,0.016521,0.01684,0.016815,0.016617,0.016912,0.018164,0.01983,0.02157,0.023366,0.025051,0.026594,0.027949,0.029086,0.030008,0.030698,0.031145,0.031333
994,993.46,992.18,990.17,987.43,983.96,979.74,974.81,969.17,962.8,955.15,947.02,938.63,929.38,919.25,908.81,897.76,885.98,873.05,858.97,844.21,828.97,810.16,788.37,770.63,749.48,724.8,699.98,675.51,650.94,625.14,600.18,575.21,550.21,525.5,501.23,476.1,451.45,427.76,403.07,380.27,357.58,334.15,311.52,290.25,268.97,246.92,225.44,205.41,186.88,168.9,151.58,135.22,119.96,105.61,92.333,80.052,68.541,57.683,47.718,38.714,30.684,23.565,17.424,12.246,7.9972,4.6539,2.2079,0.65739,-3.774e-15
0.0015498,0.0015402,0.001535,0.0015299,0.0014703,0.001418,0.0013517,0.0013097,0.0004154,-0.00099549,-0.0009994,-9.7324e-05,-0.00018397,0.00086032,0.000886,-0.00051283,-0.000306,-7.5369e-05,0.0001679,0.00011473,-6.9982e-05,-5.2318e-05,0.00038835,-0.00022058,-0.00066085,0.0004628,0.00075316,0.00025005,-0.00069332,0.00027304,0.00035404,-0.00044972,-0.00010814,-0.00030566,-0.00055073,-0.00019828,0.00024198,-0.00032111,0.00036597,-8.5388e-05,-0.00049335,-6.1355e-05,0.00026348,-0.00025169,-0.00067794,0.00028495,0.00077991,0.00057254,-0.00015008,-0.00013785,0.00012865,0.00024629,8.6144e-05,7.6661e-05,5.5555e-05,-5.8215e-05,-2.7368e-05,0.00027092,0.00058959,0.00068407,0.00079389,0.00087025,0.00090136,0.00094546,0.00095044,0.00097389,0.00098941,0.0010157,0.001011,0.0010066
6.0686e-05,-9.1429e-05,4.8866e-05,-7.6617e-05,7.0793e-06,-7.3523e-05,2.6244e-05,-9.8507e-05,-0.0001,-9.8578e-05,9.7599e-05,1.0088e-05,6.2606e-05,7.1089e-05,-5.351e-05,-9.3857e-05,4.2338e-05,1.2202e-05,4.2129e-05,-2.8818e-05,-3.4374e-05,3.8964e-05,2.4382e-05,-5.5799e-05,9.4596e-05,9.8485e-05,-1.6023e-05,-6.3006e-05,-2.9874e-05,9.2185e-05,-9.6732e-05,7.066e-06,2.4067e-05,-5.2355e-05,-2.3264e-05,9.773e-05,-4.5554e-05,2.4084e-05,5.4546e-05,-8.2143e-05,6.0402e-05,5.196e-05,2.4633e-05,-8.0013e-05,4.8275e-05,8.671e-05,2.0921e-05,-9.5605e-05,-7.6362e-05,6.6518e-05,4.9087e-05,-5.2941e-06,-4.1532e-05,2.0571e-05,-3.547e-05,-1.5348e-05,4.4949e-05,7.8207e-05,5.8407e-05,3.0692e-05,4.9331e-05,-2.1336e-05,2.6377e-05,1.43e-05,6.1418e-06,2.3217e-05,2.1354e-05,3.4e-05,-5.1383e-05,4.2494e-05
-2.8422e-14,0.18709,0.62681,1.3169,2.2558,3.4416,4.872,6.5439,8.4541,10.598,12.973,15.572,18.391,21.424,24.665,28.107,31.743,35.566,39.567,43.74,48.074,52.562,57.194,61.961,66.852,71.859,76.97,82.176,87.465,92.828,98.252,103.73,109.24,114.78,120.34,125.91,131.47,137.01,142.53,148,153.43,158.79,164.08,169.28,174.39,179.4,184.29,189.06,193.69,198.18,202.51,206.69,210.69,214.51,218.15,221.59,224.83,227.86,230.68,233.28,235.66,237.8,239.71,241.38,242.81,244,244.94,245.63,246.07,246.25
49936,49954,49996,50053,50118,50177,50218,50215,50170,50160,50343,50496,50540,50577,50449,50204,50015,49820,49683,49580,49588,49796,50394,51136,51304,51946,52637,52900,52909,52980,52846,52452,52108,51696,51348,51212,51129,50901,50675,50234,49817,49552,49283,48855,48613,48540,48342,47844,47076,46322,45602,44862,44088,43310,42546,41808,41122,40456,39782,39097,38412,37735,37084,36474,35924,35447,35058,34764,34574,34493
1483.5,1484.5,1484.1,1482.8,1485.5,1483,1478.3,1473.1,1551.1,1738.6,1774.2,1564.2,1559.8,1448,1427.3,1543,1504,1455.9,1425,1436.9,1432.8,1438.6,1554.2,1415.7,1362.9,1440.9,1370,1359.8,1306.2,1232.1,1170.3,1202.1,1101.2,1066.2,1037.3,1037.5,962.95,989.89,878.31,893.79,926.41,831.52,769.95,791.8,821.06,665.68,697.59,672.62,653.06,624.61,618.82,638.34,623.61,613.17,592.19,586.89,552.6,458.66,423.35,413.79,397.54,371.32,343.77,312.78,292.12,269.79,251.21,232.63,226.91,225.3
6.8011,6.7902,6.7803,6.7692,6.7295,6.7115,6.6941,6.6703,6.1457,5.2809,5.2115,5.7695,5.6897,6.2627,6.2661,5.4032,5.5149,5.6506,5.7716,5.7024,5.5433,5.4838,5.6201,5.1281,4.6897,5.4496,5.567,5.1276,4.2858,5.0701,5.1329,4.3626,4.6465,4.4542,4.2447,4.5341,4.9699,4.3902,5.0967,4.6281,4.223,4.6576,5.0458,4.4652,4.0349,5.1118,5.6368,5.4668,4.6593,4.7319,5.1398,5.3405,5.2106,5.2669,5.3096,5.226,5.3351,5.7914,6.263,6.4818,6.7368,6.9312,7.0699,7.2296,7.3282,7.4437,7.536,7.6304,7.6622,7.6722
