23860,23862,23868,23878,23893,23914,23944,23984,24037,24103,24185,24280,24379,24482,24584,24688,24789,24894,25008,25133,25270,25417,25571,25731,25901,26072,26242,26406,26561,26724,26893,27071,27259,27441,27614,27787,27975,28163,28348,28525,28692,28865,29043,29226,29399,29558,29718,29873,30021,30170,30329,30489,30639,30770,30890,31006,31118,31219,31307,31388,31464,31539,31613,31687,31759,31828,31892,31949,31997,32034,32058,32069
1524,1524.8,1526.8,1529.9,1534.1,1539.5,1546.1,1553.9,1562.9,1573.2,1584.8,1598.5,1614.1,1631.5,1648.7,1668.3,1689.3,1708.9,1730.5,1752.4,1776,1800,1825.4,1850.8,1877.4,1904.1,1931.7,1958.5,1988.7,2022.7,2058.7,2097,2133.8,2169.2,2205,2240.1,2273.9,2306.6,2337.5,2366.8,2395.3,2423.8,2450.8,2477,2501.2,2525.1,2548.3,2570.4,2590.6,2608.8,2626,2641.9,2657.2,2671.3,2683.9,2695.5,2706.3,2716.2,2725.3,2733.7,2741.3,2748.4,2755.1,2760.8,2765.5,2769.3,2772.4,2774.9,2776.8,2778.2,2779.1,2779.5
0.0097039,0.010011,0.010728,0.011854,0.013393,0.015335,0.017615,0.020124,0.022739,0.025438,0.027704,0.027428,0.026099,0.02427,0.022855,0.021172,0.019336,0.019833,0.020348,0.021409,0.021959,0.022341,0.021887,0.022306,0.022318,0.021299,0.020399,0.018401,0.017694,0.018387,0.01834,0.019168,0.018901,0.017458,0.016439,0.017161,0.017842,0.017191,0.016849,0.015372,0.015333,0.015934,0.016424,0.016425,0.015033,0.014541,0.014914,0.014236,0.014142,0.01514,0.016308,0.016292,0.015058,0.013753,0.013443,0.013887,0.013621,0.01264,0.011906,0.011825,0.012309,0.013231,0.014472,0.015919,0.017468,0.019026,0.020507,0.02184,0.022962,0.023822,0.024379,0.02462
994,993.51,992.36,990.55,988.08,984.92,981.11,976.6,971.45,965.6,959.16,952.08,944.21,935.56,926.59,916.57,905.73,894.62,882.53,869.86,856.37,842.36,827.64,812.31,796.21,779.89,762.66,745.49,726.14,704.3,681.13,656.33,631.79,607.09,582.24,556.69,531.2,506.02,480.98,456.35,431.64,406.9,382.98,359.57,336.69,314.18,291.95,270.66,249.81,229.31,209.5,190.85,173.45,156.9,140.85,125.41,111.08,97.849,85.394,73.627,62.574,52.281,42.789,34.167,26.448,19.682,13.898,9.1013,5.3077,2.5227,0.75246,4.5326e-14
0.0019982,0.0019994,0.0019818,0.002,0.0019936,0.0019928,0.0018793,0.0017791,0.0015532,0.0015218,0.00055785,-0.00055625,-0.00059833,-0.00076664,-0.00036328,-0.00085076,-0.00014468,0.00020851,0.00022149,0.00027203,0.00011391,1.851e-06,-9.7087e-05,0.00020987,-0.00022905,-0.00017654,-0.00034837,-0.00043638,0.00011965,5.6389e-05,5.2894e-05,0.00018062,-0.00027816,-0.0002861,-8.4727e-05,0.00031483,-9.9228e-05,-5.7014e-05,-0.00021837,-0.00024913,0.00016044,8.5332e-05,0.00012467,-0.00019048,-0.00031819,9.3472e-05,-3.7636e-05,-0.00018099,0.00014672,0.00032541,0.00020864,-0.00022148,-0.00041273,-0.00028424,9.6257e-05,8.4219e-05,-0.00026376,-0.00036377,-0.00015714,9.1273e-05,0.00032726,0.00053585,0.00073632,0.00090672,0.0010695,0.0012004,0.0013247,0.001414,0.0015011,0.0015337,0.0015602,0.0015669
0.0001,-5.2512e-05,-3.588e-06,2.1156e-05,-4.3422e-06,-4.0486e-05,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-9.9397e-05,0.0001,-2.4047e-05,-6.8563e-05,0.0001,-7.6483e-05,9.6135e-05,-8.4641e-05,2.0258e-05,-9.9855e-05,9.6287e-05,-3.7415e-05,-7.6338e-05,3.5629e-05,-9.1601e-05,8.5734e-05,9.0366e-05,-7.333e-05,7.7632e-05,-7.2247e-05,-5.6601e-05,1.7244e-05,9.5949e-05,-7.1169e-07,-8.6998e-05,4.9295e-05,-9.341e-05,0.0001,2.019e-05,-5.4713e-06,-1.5581e-05,-9.5635e-05,6.2029e-05,6.3397e-05,-9.1937e-05,4.9989e-05,7.2653e-05,2.0013e-05,-9.3208e-05,-0.0001,-1.028e-05,9.4096e-05,8.9414e-05,-9.4036e-05,-9.9115e-05,3.4452e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,3.6573e-05,0.0001,-6.9443e-05
1.4211e-14,0.15342,0.51402,1.08,1.8501,2.8229,3.9966,5.3688,6.9369,8.698,10.648,12.785,15.102,17.597,20.265,23.099,26.095,29.247,32.549,35.994,39.576,43.288,47.123,51.073,55.13,59.288,63.537,67.87,72.278,76.753,81.286,85.869,90.492,95.146,99.823,104.51,109.21,113.9,118.58,123.23,127.85,132.44,136.97,141.45,145.85,150.19,154.44,158.59,162.65,166.6,170.44,174.15,177.73,181.17,184.48,187.63,190.62,193.46,196.13,198.62,200.94,203.07,205.03,206.79,208.35,209.73,210.9,211.87,212.64,213.21,213.57,213.72
54942,54982,55074,55212,55386,55587,55794,55998,56176,56323,56409,56531,56737,57030,57296,57705,58227,58610,59020,59337,59629,59840,60061,60206,60304,60376,60491,60599,60971,61484,62010,62564,62893,63171,63527,63806,63847,63793,63639,63473,63335,63122,62768,62320,61854,61499,61102,60686,60250,59695,59018,58269,57601,57038,56525,56004,55483,55026,54643,54300,53965,53625,53272,52891,52484,52070,51674,51317,51008,50761,50596,50523
1517.9,1517.1,1517.7,1513.4,1510.6,1506.2,1504.9,1509.8,1528.6,1526,1591.4,1703.4,1722.7,1713.2,1624.5,1739.4,1574,1531.5,1513.7,1490,1482.2,1469.1,1454.6,1390.5,1407,1367.4,1347.2,1318.1,1331.2,1315,1315.7,1291,1225.1,1200.9,1191.8,1108.1,1102.6,1039.2,1004,954.83,946.86,928.8,920.65,876.79,848.15,853.99,835.27,822.14,727.51,695.26,673.26,684.02,693.48,640.7,597.74,585.05,587.27,581.33,560.63,545.49,532.15,541.63,532.69,489.38,440.26,417.12,393.46,378.77,373.01,371.81,371.05,370.63
6.6424,6.6414,6.6251,6.631,6.6199,6.6112,6.5663,6.4934,6.3398,6.2969,5.796,5.1355,5.0407,4.8776,5.0731,4.6545,5.1142,5.2819,5.2276,5.2011,5.0376,4.9013,4.7513,4.942,4.5565,4.5429,4.3816,4.283,4.56,4.4536,4.3735,4.3823,4.0288,3.9841,4.0638,4.2993,3.9784,3.9834,3.8514,3.8164,4.1207,4.0476,4.0738,3.8283,3.7177,4.0734,3.9777,3.8623,4.1626,4.3324,4.266,3.9212,3.7542,3.9118,4.2846,4.2965,3.9992,3.919,4.1369,4.3859,4.65,4.9163,5.1707,5.3845,5.6111,5.7468,5.9114,6.0365,6.153,6.2096,6.2513,6.2642
