26539,26549,26575,26613,26664,26727,26803,26893,26995,27110,27239,27379,27533,27699,27877,28068,28269,28484,28705,28922,29132,29335,29530,29717,29895,30065,30225,30375,30520,30659,30793,30921,31043,31160,31271,31376,31476,31571,31660,31745,31823,31897,31967,32031,32087,32140,32189,32233,32274,32311,32344,32374,32400,32422,32441,32456,32469,32478,32484,32487
1797.9,1799.3,1802.8,1808.2,1815.5,1824.6,1835.5,1848.5,1863.4,1880.4,1899.4,1920.6,1943.8,1969.2,1996.9,2027,2059.2,2093.9,2130.5,2166.8,2202.6,2237.6,2271.8,2305,2337.1,2368.1,2397.7,2425.8,2453.1,2479.6,2505.4,2530.4,2554.4,2577.5,2599.6,2620.9,2641.2,2660.5,2678.9,2696.3,2712.7,2728.2,2742.8,2756.5,2769.3,2781.1,2792,2802.1,2811.3,2819.6,2827.2,2833.9,2839.8,2845,2849.4,2852.9,2855.6,2857.8,2859.1,2859.7
0.026674,0.02651,0.025989,0.025302,0.024548,0.02404,0.02416,0.024106,0.024045,0.023922,0.023908,0.023674,0.023724,0.023542,0.023458,0.023323,0.023104,0.02314,0.021873,0.020081,0.018585,0.01711,0.015784,0.014619,0.013473,0.012467,0.011402,0.01062,0.010057,0.0095514,0.0090913,0.0086235,0.0081801,0.0077905,0.0074201,0.0071104,0.0068004,0.0064979,0.0062319,0.0059988,0.0057173,0.0055839,0.0053554,0.0049849,0.0047108,0.0046413,0.0044972,0.0043889,0.0042847,0.0041615,0.0041315,0.0040104,0.003961,0.0038442,0.0038056,0.0038641,0.0040467,0.003897,0.0037652,0.0037668
994,993.19,991.28,988.27,984.14,978.85,972.35,964.68,955.8,945.68,934.27,921.59,907.54,892.15,875.31,857.01,837.31,815.96,793.57,770.55,746.87,722.59,697.73,672.41,646.73,620.74,594.57,568.18,541.58,514.85,488.15,461.53,435.02,408.67,382.59,356.87,331.57,306.78,282.54,258.94,236.04,213.87,192.55,172.15,152.68,134.13,116.65,100.24,84.961,70.853,57.92,46.249,35.821,26.704,18.878,12.354,7.1407,3.4009,1.0286,1.97e-13
-0.00061772,-0.0008382,-0.001,-0.00068525,-0.00062536,-5.1462e-05,4.7019e-05,-4.1143e-05,-4.2103e-05,-1.7769e-05,-4.0649e-05,-5.0146e-05,2.2788e-05,-8.6369e-05,2.5935e-05,-9.8001e-05,3.089e-05,-0.00010665,-0.00038378,-0.00033177,-0.00028714,-0.00028109,-0.00022307,-0.0002195,-0.0001893,-0.00018664,-0.00017379,-0.00010698,-9.4124e-05,-8.1559e-05,-8.0202e-05,-8.1422e-05,-7.1668e-05,-6.7846e-05,-6.0514e-05,-5.4506e-05,-5.7268e-05,-5.5436e-05,-4.3763e-05,-5.4398e-05,-4.5458e-05,-2.3801e-05,-7.5825e-05,-8.1216e-05,-3.8696e-05,-1.3902e-05,-5.1777e-05,-1.0575e-05,-5.7202e-05,-6.3439e-06,-3.9678e-05,-2.8333e-05,-4.2091e-05,-4.6373e-05,-9.4961e-06,0.00013762,5.3917e-05,-0.00035776,-4.575e-05,-7.245e-06
-0.00064701,-0.001,0.00031917,0.0001457,0.00021438,0.00035164,-0.00011833,3.0493e-05,-3.0106e-05,3.8864e-05,-4.9151e-05,5.2083e-05,-3.6528e-05,1.6846e-05,-3.8568e-06,-1.1853e-05,3.2279e-05,-8.0931e-05,-1.7211e-05,1.948e-05,-4.0154e-07,7.6473e-06,7.7971e-06,-8.2872e-07,8.0103e-06,-5.0863e-06,1.1858e-05,6.3996e-06,1.4792e-06,1.5798e-06,-4.9595e-07,5.5295e-07,2.0654e-06,-2.0496e-07,2.6158e-06,-8.4095e-07,3.9429e-07,6.3302e-07,2.2649e-06,-4.8266e-06,9.385e-06,-6.4604e-06,-8.3302e-06,4.1256e-06,1.5276e-05,-9.6824e-06,4.2306e-06,2.395e-07,-6.8882e-06,1.8641e-05,-2.604e-05,2.5511e-05,-3.4643e-05,3.6282e-05,1.4671e-05,0.00017336,-0.00048507,-3.295e-05,0.00083859,-0.001
2.8422e-14,0.22622,0.75774,1.5914,2.7248,4.1547,5.8773,7.8876,10.18,12.748,15.585,18.683,22.032,25.625,29.45,33.497,37.755,42.212,46.856,51.673,56.65,61.773,67.029,72.401,77.876,83.439,89.072,94.762,100.49,106.25,112.01,117.76,123.49,129.18,134.81,140.38,145.85,151.22,156.48,161.6,166.58,171.4,176.04,180.5,184.76,188.8,192.63,196.22,199.57,202.67,205.5,208.07,210.37,212.38,214.1,215.53,216.66,217.5,218.03,218.25
50012,50008,50001,49996,49997,50002,50001,50001,50000,50001,49999,50002,50000,49999,50000,50000,50001,50000,50000,50000,50001,49999,50001,49999,50001,49999,50001,50000,49999,50001,50000,49999,50000,50000,50000,50000,50000,50000,50001,49999,50001,50000,50000,50000,50001,50000,50000,50001,49999,50001,49999,50000,50000,50002,50005,50004,49996,49994,49995,49995
1529.9,1547.7,1561.1,1531.2,1523.2,1464.1,1453.8,1456.5,1452,1441.6,1439.2,1432.3,1420,1423.2,1406.9,1411.7,1391,1401.8,1376.4,1315.1,1255.2,1195.4,1134.3,1083.7,1029.1,976.37,920.55,870.07,842.18,814.4,789.93,762.46,735.11,709.25,686.31,665.74,645.95,625.52,605.49,588.45,571.71,553.73,545.47,533.12,515.81,501.42,495.34,479.98,477.04,462.61,459.59,451.66,447.66,443.23,435.03,414.61,423.61,463.48,429.62,424.91
4.5886,4.3842,4.2452,4.5164,4.5575,4.983,5.0464,4.9793,4.9746,4.9839,4.9509,4.9078,4.933,4.8233,4.9123,4.7348,4.7922,4.6187,4.2993,4.2679,4.2433,4.2501,4.2741,4.2197,4.205,4.158,4.1206,4.1736,4.1916,4.1698,4.1201,4.1161,4.1286,4.1398,4.1186,4.1053,4.0828,4.0657,4.0601,4.0299,4.0158,4.0248,3.9523,3.9328,3.9709,3.9884,3.9309,3.9649,3.9005,3.9498,3.9024,3.9076,3.8845,3.8728,3.913,4.1171,3.9917,3.4353,3.8578,3.9112
