25235,25244,25265,25298,25342,25396,25458,25528,25604,25684,25765,25847,25928,26006,26081,26153,26224,26297,26377,26467,26575,26702,26857,27041,27248,27473,27702,27926,28142,28353,28557,28754,28945,29128,29305,29475,29638,29795,29945,30089,30227,30359,30486,30606,30721,30832,30937,31038,31134,31226,31314,31397,31477,31553,31626,31696,31762,31825,31885,31943,31997,32048,32094,32139,32199,32282,32397,32552,32752,33000,33294,33619,33961,34310,34654,34987,35301,35593,35859,36098,36309,36491,36644,36769,36867,36938,36983,37002
1520,1520.7,1522.4,1525.1,1528.7,1533.4,1539.1,1545.9,1553.7,1562.7,1572.9,1584.3,1597.1,1611.3,1627,1644.4,1663.7,1685.1,1708.7,1734.9,1763.8,1795.6,1829.5,1864.3,1899.4,1934.7,1969.7,2004.5,2038.8,2072.7,2106,2138.6,2170.6,2201.9,2232.4,2262.1,2291,2319,2346.2,2372.6,2398.1,2422.7,2446.5,2469.5,2491.6,2513,2533.5,2553.3,2572.3,2590.6,2608.2,2625.1,2641.3,2656.9,2671.8,2686.2,2699.9,2713,2725.6,2737.6,2749.1,2760.1,2770.7,2780.4,2789.2,2797.3,2804.4,2810.6,2815.8,2819.9,2823.4,2826.7,2829.6,2832.3,2834.7,2836.9,2838.8,2840.5,2842,2843.3,2844.4,2845.4,2846.2,2846.8,2847.4,2847.7,2848,2848.1
0.033977,0.033818,0.03344,0.032849,0.032013,0.030906,0.029557,0.027983,0.02617,0.02418,0.022029,0.01986,0.017802,0.01577,0.014022,0.012699,0.011896,0.011724,0.012278,0.013535,0.015143,0.017132,0.019697,0.021641,0.022829,0.022858,0.021749,0.020118,0.018713,0.017589,0.016354,0.01533,0.014288,0.013399,0.012512,0.011757,0.011001,0.010358,0.0097092,0.0091735,0.008598,0.0081883,0.0076986,0.0072125,0.0069166,0.0065215,0.0062255,0.0058974,0.0056393,0.0053671,0.005143,0.0049085,0.0047212,0.0045192,0.0043599,0.0041845,0.00405,0.0038808,0.0037991,0.0036625,0.0035309,0.0033201,0.0030155,0.003608,0.0051464,0.0074402,0.010546,0.014366,0.018958,0.024115,0.028916,0.032824,0.035883,0.038197,0.039828,0.040846,0.041404,0.041599,0.041509,0.041211,0.040772,0.040256,0.039716,0.0392,0.038749,0.038392,0.038154,0.03805
1562,1561.5,1560.5,1558.7,1556.4,1553.5,1549.8,1545.6,1540.6,1535,1528.6,1521.4,1513.5,1504.6,1494.7,1483.8,1471.7,1458.4,1443.6,1427.2,1409.2,1389.4,1368,1345.8,1322.8,1299.4,1275.6,1251.3,1226.3,1200.7,1174.6,1148,1120.9,1093.4,1065.4,1037.1,1008.5,979.57,950.41,921.03,891.51,861.82,832.08,802.29,772.44,742.66,712.93,683.31,653.82,624.53,595.44,566.63,538.09,509.91,482.08,454.66,427.68,401.19,375.19,349.74,324.88,300.65,277.11,253.92,231.12,208.9,187.37,166.7,147,128.47,111.41,95.94,82.039,69.616,58.578,48.821,40.222,32.679,26.099,20.4,15.511,11.371,7.9276,5.1403,2.9755,1.4075,0.41848,4.3669e-14
-0.0009064,-0.00090998,-0.00091523,-0.00091799,-0.00097546,-0.001,-0.001,-0.001,-0.00099998,-0.0009625,-0.00093632,-0.00080877,-0.00073703,-0.0006432,-0.00048044,-0.00031546,-0.00014121,4.8991e-05,0.00023017,0.00036342,0.00038497,0.00052902,0.00051408,0.00031184,0.00014817,-0.0001298,-0.00027105,-0.00030781,-0.00020002,-0.00021844,-0.00019021,-0.00017541,-0.00016047,-0.00014428,-0.00013379,-0.00011835,-0.0001127,-9.824e-05,-9.4847e-05,-8.1031e-05,-8.4109e-05,-5.2837e-05,-9.305e-05,-4.659e-05,-5.7351e-05,-5.1251e-05,-4.7983e-05,-4.5159e-05,-4.0243e-05,-3.8955e-05,-3.5406e-05,-3.3797e-05,-3.0166e-05,-3.0199e-05,-2.6096e-05,-2.7025e-05,-2.3738e-05,-2.6307e-05,-9.81e-06,-3.4861e-05,-1.439e-05,-7.3186e-05,2.9552e-06,0.00022701,0.00039,0.00057504,0.00076491,0.000957,0.0011895,0.001284,0.001145,0.00095692,0.00078026,0.0006114,0.00043224,0.00027344,0.00014101,1.6303e-05,-9.5889e-05,-0.00019779,-0.00028786,-0.00036688,-0.00043417,-0.00049001,-0.0005341,-0.00056651,-0.00058715,-0.00059591
1.6818,1.6818,1.6818,1.6818,1.6818,1.6819,1.6819,1.682,1.682,1.6821,1.6822,1.6823,1.6823,1.6824,1.6825,1.6826,1.6827,1.6829,1.683,1.6831,1.6832,1.6834,1.6835,1.6836,1.6838,1.6839,1.6841,1.6843,1.6844,1.6846,1.6847,1.6849,1.685,1.6852,1.6854,1.6855,1.6857,1.6858,1.686,1.6861,1.6863,1.6864,1.6866,1.6867,1.6868,1.687,1.6871,1.6872,1.6874,1.6875,1.6876,1.6877,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6893,1.6893,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,2.2548e-05,-5e-05,-5e-05,-6.6058e-06,5.626e-06,-8.4176e-06,1.637e-05,8.6497e-06,3.2001e-05,5e-05,1.5119e-05,5e-05,5e-05,5e-05,5e-05,5e-05,4.3171e-05,1.512e-05,1.1727e-05,3.5915e-05,-4.2215e-05,-2.8819e-05,-5e-05,-4.3264e-05,-1.7923e-05,1.1137e-05,1.2453e-05,-7.2191e-06,1.1114e-05,-3.5453e-06,7.6263e-06,-2.1947e-06,6.0419e-06,-1.9535e-06,4.9848e-06,-1.9606e-06,4.8852e-06,-3.1482e-06,6.2404e-06,-3.2457e-06,-3.5635e-07,6.514e-06,-4.8139e-06,4.4165e-06,-2.5006e-06,3.0608e-06,-1.5974e-06,2.1944e-06,-1.3282e-06,2.1464e-06,-1.4577e-06,2.092e-06,-1.5824e-06,2.2914e-06,-2.5871e-06,4.2286e-06,-3.0485e-06,5.5686e-07,-1.6313e-06,-9.6988e-06,3.9461e-05,3.8474e-05,3.3177e-05,4.2194e-05,3.9609e-05,5e-05,5e-05,-1.0757e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-4.9778e-05
-2.8422e-14,0.17554,0.58823,1.2362,2.1186,3.2343,4.5819,6.1595,7.9652,9.9967,12.251,14.726,17.418,20.323,23.438,26.759,30.282,34.001,37.913,42.011,46.292,50.749,55.376,60.169,65.119,70.222,75.47,80.857,86.376,92.019,97.78,103.65,109.62,115.69,121.85,128.08,134.38,140.75,147.17,153.64,160.15,166.68,173.24,179.81,186.38,192.95,199.51,206.05,212.55,219.02,225.44,231.81,238.11,244.35,250.5,256.57,262.54,268.41,274.18,279.82,285.34,290.72,295.97,301.07,306.03,310.82,315.45,319.9,324.18,328.28,332.19,335.91,339.43,342.76,345.87,348.78,351.47,353.94,356.2,358.23,360.03,361.61,362.96,364.08,364.96,365.61,366.02,366.19
43921,43900,43850,43776,43683,43578,43470,43370,43290,43244,43248,43316,43459,43692,44026,44463,45003,45636,46344,47094,47858,48614,49255,49690,49925,50000,50000,49992,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49993,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49990,50000,49981,49820,49440,48777,47788,46452,44773,42835,40775,38705,36706,34833,33120,31581,30220,29032,28007,27137,26408,25810,25332,24965,24703,24538,24469
1446.7,1448.3,1451.8,1456.6,1468.2,1478.3,1487.5,1497.9,1509.6,1519.1,1530.8,1534.3,1543.5,1551.6,1554.5,1557.6,1559.9,1560,1558.3,1556.1,1559,1544.1,1512.1,1478.6,1441,1409.7,1369.9,1323.9,1268.4,1222.2,1173.6,1127,1081.6,1037.4,995.16,954.36,915.74,878,842.68,807.91,776.21,743.12,717.65,685.96,660.82,635.61,611.94,589.6,568.32,548.57,529.85,512.4,495.81,480.51,465.7,452.21,439.2,427.59,414.9,407.01,395.27,391.59,375.39,344.74,319.51,290.97,259.67,224.71,179.82,144.49,134.52,129.42,122.29,114.93,111.22,106.75,100.57,96.381,93.241,91.561,90.885,91.239,92.164,93.328,94.679,95.865,96.65,96.998
