24419,24430,24456,24497,24551,24618,24698,24788,24887,24994,25108,25227,25351,25479,25613,25753,25902,26064,26239,26428,26633,26850,27078,27306,27531,27751,27968,28179,28385,28585,28780,28968,29151,29327,29497,29661,29819,29971,30117,30257,30392,30521,30645,30764,30878,30987,31092,31192,31288,31380,31468,31552,31633,31710,31784,31854,31922,31986,32046,32101,32155,32206,32254,32302,32345,32386,32440,32518,32631,32784,32981,33222,33499,33798,34107,34416,34719,35009,35281,35532,35760,35962,36138,36288,36411,36507,36578,36623,36642
1520,1520.9,1522.9,1526.1,1530.6,1536.2,1543.1,1551.3,1560.8,1571.7,1584,1597.8,1613.2,1630.3,1649.2,1670.1,1693,1718.2,1745.9,1776,1808.4,1841.9,1875.6,1909.5,1943.5,1977.4,2011.1,2044.7,2077.8,2110.6,2142.9,2174.6,2205.7,2236.2,2266,2295,2323.4,2350.9,2377.7,2403.7,2428.9,2453.4,2477,2499.9,2522,2543.4,2564,2583.9,2603.1,2621.6,2639.5,2656.6,2673.2,2689.1,2704.4,2719.1,2733.3,2746.9,2759.9,2772.4,2784.4,2795.8,2806.8,2817.2,2827.3,2836.6,2845.1,2852.7,2859.5,2865.3,2870.2,2874.3,2878.2,2881.7,2885,2887.9,2890.5,2892.8,2894.9,2896.7,2898.3,2899.6,2900.8,2901.8,2902.6,2903.2,2903.6,2903.9,2904
0.043608,0.043439,0.043044,0.04242,0.041576,0.0405,0.039214,0.037686,0.03601,0.034185,0.032365,0.030637,0.02908,0.027771,0.026807,0.026259,0.026266,0.026727,0.026966,0.027613,0.027784,0.027815,0.026994,0.025254,0.023697,0.022151,0.020759,0.01941,0.018184,0.017006,0.01594,0.01492,0.013994,0.013116,0.012321,0.011572,0.010883,0.010247,0.0096525,0.0091144,0.0086057,0.0081192,0.0077074,0.007293,0.0069387,0.0065817,0.0062749,0.0059743,0.0057132,0.0054503,0.0052317,0.0050051,0.0048188,0.0046228,0.004459,0.0042819,0.0041943,0.0039611,0.0037011,0.0035413,0.0035028,0.0033517,0.0033687,0.0033,0.0028713,0.0033969,0.0050174,0.0075784,0.010989,0.015123,0.019866,0.024777,0.028919,0.032235,0.034842,0.036822,0.038266,0.039255,0.03987,0.040184,0.040267,0.04018,0.039982,0.039721,0.039442,0.039182,0.038976,0.038837,0.038778
1562,1561.5,1560.3,1558.5,1556,1552.8,1548.9,1544.3,1538.9,1532.8,1525.8,1518,1509.3,1499.6,1488.8,1476.9,1463.7,1449.2,1433.4,1416,1397.2,1377.5,1357.2,1336.4,1314.8,1292.7,1269.8,1246.3,1222.2,1197.6,1172.4,1146.7,1120.6,1094,1067,1039.6,1011.9,983.93,955.71,927.26,898.65,869.89,841.02,812.09,783.11,754.16,725.23,696.4,667.67,639.11,610.73,582.58,554.69,527.11,499.85,472.98,446.47,420.46,394.94,369.89,345.33,321.39,297.97,275.23,253.27,231.64,210.34,189.56,169.45,150.18,131.91,114.84,99.255,85.152,72.471,61.135,51.052,42.129,34.275,27.404,21.44,16.314,11.967,8.3487,5.417,3.1382,1.4855,0.44225,6.0279e-17
-0.001,-0.00099904,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00094401,-0.00091092,-0.00077235,-0.00068051,-0.00052407,-0.00041398,-0.00023002,-0.00011425,0.00012101,7.6637e-05,0.00011642,0.00013666,-7.2127e-06,-2.3334e-05,-0.0003445,-0.00035276,-0.0003228,-0.00029273,-0.00026878,-0.00024369,-0.0002244,-0.00020322,-0.00018605,-0.00017006,-0.00015502,-0.00014188,-0.00012824,-0.00011917,-0.00010797,-9.8696e-05,-9.2331e-05,-8.0124e-05,-8.2489e-05,-6.7899e-05,-6.6249e-05,-5.9473e-05,-5.5843e-05,-5.2222e-05,-4.7461e-05,-4.4124e-05,-4.1577e-05,-3.8347e-05,-3.5306e-05,-3.3814e-05,-3.065e-05,-2.9725e-05,-2.9387e-05,-2.243e-05,-1.9811e-05,-5.4032e-05,-3.5687e-05,-1.8035e-05,-9.0858e-06,-3.3094e-05,3.2224e-05,-8.3669e-05,-2.438e-05,0.00024244,0.00046111,0.00068882,0.00090251,0.0011052,0.0012929,0.0012634,0.0010554,0.00090308,0.00073117,0.00059153,0.00044335,0.00032182,0.00019579,9.438e-05,-9.8438e-06,-8.9823e-05,-0.0001725,-0.0002297,-0.00029201,-0.00031768,-0.00034858,-0.00034836,-0.00034472
1.6837,1.6837,1.6837,1.6837,1.6837,1.6838,1.6838,1.6838,1.6839,1.684,1.684,1.6841,1.6842,1.6842,1.6843,1.6844,1.6845,1.6846,1.6847,1.6848,1.6849,1.685,1.6851,1.6852,1.6854,1.6855,1.6856,1.6857,1.6858,1.686,1.6861,1.6862,1.6863,1.6865,1.6866,1.6867,1.6868,1.6869,1.687,1.6872,1.6873,1.6874,1.6875,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6885,1.6886,1.6887,1.6888,1.6888,1.6889,1.689,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
-5e-05,2.6331e-05,-2.235e-05,1.9035e-05,-1.8376e-05,1.9443e-05,-2.3133e-05,3.5884e-05,8.7672e-06,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-4.0414e-05,5e-05,-5e-05,5.8769e-06,-5e-05,-5e-05,2.0857e-05,-2.5526e-06,1.1327e-05,4.5646e-07,7.5725e-06,9.7228e-07,5.8725e-06,9.3049e-07,4.3799e-06,1.0236e-06,3.4268e-06,1.0515e-06,2.1396e-06,1.5126e-06,1.2119e-06,1.5886e-06,9.6687e-07,1.1165e-07,2.7409e-06,-1.0019e-06,2.4382e-06,-9.6784e-07,2.0391e-06,-6.0264e-07,1.6825e-06,-8.6305e-07,1.9301e-06,-1.132e-06,1.9112e-06,-1.2542e-06,1.8834e-06,-1.9201e-06,4.7434e-06,-6.5568e-06,-1.5497e-07,2.602e-06,5.9024e-06,-7.051e-06,8.3268e-06,-9.4982e-07,-2.5573e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,3.3475e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-2.8429e-05,-5e-05,5e-05,-5e-05
2.8422e-14,0.1685,0.56464,1.1867,2.0338,3.1048,4.3985,5.9132,7.647,9.5977,11.763,14.14,16.725,19.516,22.509,25.701,29.086,32.661,36.422,40.363,44.48,48.767,53.22,57.832,62.598,67.511,72.566,77.756,83.074,88.515,94.07,99.733,105.5,111.36,117.3,123.32,129.42,135.57,141.79,148.05,154.35,160.68,167.04,173.41,179.79,186.18,192.55,198.91,205.24,211.54,217.8,224.01,230.17,236.27,242.29,248.23,254.09,259.86,265.52,271.07,276.51,281.83,287.02,292.08,296.99,301.76,306.37,310.82,315.11,319.23,323.17,326.93,330.5,333.89,337.08,340.07,342.86,345.45,347.83,349.99,351.94,353.68,355.19,356.48,357.55,358.4,359.02,359.42,359.59
49999,49968,49895,49785,49644,49478,49298,49115,48940,48788,48671,48597,48576,48612,48705,48848,49030,49228,49441,49658,49852,49975,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49999,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49984,50000,50000,49863,49500,48842,47854,46529,44901,43082,41194,39321,37527,35852,34320,32943,31724,30660,29746,28973,28334,27819,27422,27135,26955,26879
1625,1626,1628.8,1633.1,1638.8,1645.9,1654,1663,1668.4,1676.1,1676.8,1680.8,1680,1681.8,1677.3,1676.2,1665.7,1669.6,1664,1655.2,1638.4,1594.4,1565.9,1519.5,1470.3,1420.8,1371.7,1322.7,1274.4,1226.8,1180.4,1135,1090.9,1048.3,1007.3,967.98,929.95,893.5,858.64,824.93,793.87,762.81,734.17,706.61,680.7,656.08,632.69,610.68,590.02,570.5,552.11,534.87,518.42,503.13,488.86,474.88,462.17,453.58,440.65,428.4,417.74,410.82,396.2,398.87,385.94,353.26,324.65,293.56,261.24,226.86,188.01,169.35,170.98,164.47,160.92,153.7,149.62,143.35,140.46,135.89,134.75,131.88,132.63,130.85,132.89,129.62,129.99,125.84,123.25
