26903,26901,26895,26886,26875,26867,26888,26948,27046,27154,27289,27429,27607,27709,27715,27738,27742,27724,27675,27659,27658,27692,27774,27815,27935,27934,28019,28059,28142,28205,28321,28385,28479,28608,28656,28794,28950,29068,29214,29326,29555,29842,30193,30905,31577,31899,31813,31939,31661,31859,31908,31828,31802,31837,31878,31810,31967,32067,32037,32138,32180,32234,32096,32168,32200,32272,32380,32530,32687,32777,32814,32867,32884,32937,32998,33071,33126,33225,33281,33390,33435,33564,33708,33721,33820,33988,34130,34158,34259,34362,34438,34489,34510
1520,1520.3,1520.9,1521.9,1523.3,1525.2,1527.6,1530.7,1534.4,1538.5,1543,1548.2,1553.8,1559.1,1564.3,1570.3,1576.8,1584.1,1591.9,1600.5,1610.2,1621.5,1635,1650,1666.6,1684.2,1704.2,1725.6,1748.2,1772.7,1800.8,1831.7,1865.7,1902.7,1940.2,1977,2013.6,2049.4,2084.9,2119.6,2154.3,2185.7,2214.9,2245.5,2271.9,2297.8,2322.4,2344.7,2365.4,2387.5,2408.2,2428.1,2448,2467.5,2486.4,2505,2524.4,2542.4,2559.3,2575.6,2590.9,2606,2620.8,2636,2648.4,2659.6,2671.2,2682.8,2692.5,2702.9,2717.8,2729.6,2738.8,2748.6,2758,2766.7,2773.7,2780.8,2786.7,2789.7,2792,2793.1,2796.2,2799.1,2800.8,2802.2,2802.6,2802.9,2803.3,2803.2,2802.7,2802.1,2801.8
-0.0097977,-0.0093128,-0.0093955,-0.0083849,-0.007896,0.0016689,0.017208,0.031387,0.034449,0.035851,0.037135,0.03828,0.038771,0.0054495,0.0027621,0.003099,-0.00087897,-0.0058214,-0.0070065,0.0010929,-0.001235,0.011957,0.0046603,0.011676,0.0079161,0.00068374,0.011278,0.0016691,0.011355,0.0043034,0.013762,0.0001938,0.016047,0.0027116,0.0088822,0.010664,0.012211,0.0066067,0.012512,0.0056876,0.024435,0.012252,0.039399,0.043892,0.039349,-0.0036297,0.0064915,-0.0065586,-0.008532,0.018657,-0.0091958,0.00048481,-0.0031205,0.0067093,-0.0041789,0.0015647,0.012839,-0.0022866,0.0035477,0.0040095,0.0046938,-0.0037014,-0.0051713,0.0081727,-0.00091474,0.0091439,0.0062051,0.013632,0.0078155,0.0048942,0.0023152,0.0040032,0.00077475,0.00663,0.0048134,0.0066742,0.0063689,0.0098459,0.0061798,0.013563,0.0024881,0.029756,0.004492,0.0088423,0.023555,0.040898,0.013271,0.015558,0.042177,0.039375,0.042786,0.042595,0.043169
1562,1561.6,1560.8,1559.5,1557.7,1555.4,1552.6,1549.3,1545.5,1541.3,1536.7,1531.6,1526.2,1520.4,1514.1,1507.3,1499.9,1491.9,1483.2,1473.9,1463.8,1452.9,1441.2,1428.6,1415.2,1400.8,1385.3,1368.6,1350.8,1331.7,1311,1288.7,1264.5,1238.4,1210.7,1182,1154.4,1127.9,1101,1071.9,1040.2,1008.7,977.15,947.86,920.2,894.11,867.29,840.96,813.6,785.2,757.28,728.58,699.5,670.07,640.71,611.4,582.39,554.1,525.69,497.52,469.73,442.68,415.88,389.33,362.55,336.31,310.94,288.43,267.67,245.91,226.95,207.91,189.05,171.77,155.71,139.97,124.04,109.95,96.38,82.827,70.372,58.627,48.662,39.787,31.464,24.189,17.866,12.582,8.221,4.7684,2.2479,0.66573,8.3436e-14
0.0019955,0.001989,0.0019868,0.0019976,0.0019943,0.0019978,0.0019939,0.002,0.0019816,0.0019967,0.0018157,0.0016063,0.0016597,0.001633,0.0016239,0.0015783,0.0015615,0.0015622,0.0017813,0.0018834,0.0019063,0.0016147,0.0013163,0.0013256,0.0013092,0.0013223,0.0012885,0.0015287,0.0017957,0.0015973,0.00132,0.0012328,0.0011977,0.0011999,0.0016544,0.0015579,-0.00046545,-0.00074457,-0.00059798,0.001316,0.0016562,0.0018647,0.0013194,0.0009878,0.00095161,0.00093834,0.00095357,0.00051074,0.0012328,0.0010955,0.0012872,0.0014086,0.001485,0.001603,0.001524,0.0013286,0.0011688,0.0012419,0.0013395,0.0014238,0.0013277,0.0011677,0.00095165,0.0012595,0.0018762,0.0016108,0.0013576,-0.00062828,0.00071906,0.00033357,-0.00064057,0.00063428,-2.7611e-05,-0.00032438,-0.00056888,0.00043444,0.00046824,-0.00028839,0.0012115,0.0014084,0.0018425,0.0017756,0.00025217,0.0011944,0.0014284,0.001783,0.0017268,0.0015014,0.0018141,0.0018097,0.001806,0.0018092,0.0018115
1.8077,1.8077,1.8077,1.8077,1.8077,1.8078,1.8078,1.8078,1.8079,1.8079,1.808,1.8081,1.8081,1.8082,1.8083,1.8083,1.8084,1.8085,1.8086,1.8087,1.8087,1.8088,1.8089,1.809,1.8091,1.8093,1.8093,1.8095,1.8096,1.8097,1.8098,1.8099,1.81,1.8101,1.8102,1.8104,1.8104,1.8106,1.8106,1.8108,1.8108,1.8111,1.8109,1.8114,1.811,1.8119,1.8105,1.8141,1.7862,1.7133,1.6855,1.6891,1.6878,1.6887,1.6884,1.6888,1.6887,1.689,1.689,1.6892,1.6892,1.6894,1.6894,1.6895,1.6893,1.689,1.6889,1.689,1.689,1.6892,1.6892,1.6893,1.6893,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
2.2741e-05,-1.9617e-05,1.7295e-05,-9.5287e-06,6.9196e-06,-5.3032e-06,4.5902e-06,-2.7389e-06,3.5402e-06,-2.0298e-05,-3.8555e-06,-2.0127e-05,1.9878e-05,-1.8871e-05,1.6036e-06,-1.8061e-05,1.2249e-07,3.7574e-06,1.9212e-05,-2.7551e-06,-2.4836e-06,-2.1803e-05,-3.4316e-06,-1.3101e-05,1.9579e-05,-1.5206e-05,2.4442e-05,-2.5913e-06,2.33e-05,-3.0067e-05,1.2394e-05,-3.3383e-05,1.6647e-05,-2.6296e-05,4.2604e-05,-4.4837e-05,-3.6844e-05,-1.4895e-05,4.3566e-05,4.0482e-05,-1.679e-05,3.3264e-05,-4.9748e-05,2.7123e-05,-2.656e-05,2.4897e-05,-1.6947e-05,4.8718e-05,4.6977e-05,-2.1119e-05,4.3776e-05,-2.0634e-06,6.0572e-06,4.3776e-06,-2.4062e-05,1.4828e-06,-1.6049e-05,3.0237e-05,-4.9503e-06,2.0697e-05,-3.6359e-05,1.5574e-05,-4.9752e-05,5e-05,-1.8557e-05,1.5054e-05,-3.8776e-05,-3.2704e-05,4.9389e-05,-3.5471e-05,3.3548e-05,-1.5054e-05,-3.9358e-05,-2.96e-05,1.7439e-05,5e-05,-4.8407e-05,2.8228e-05,5e-05,-1.5063e-05,1.6065e-05,-1.9359e-05,-4.7334e-05,3.0748e-05,-4.8983e-05,4.7442e-05,-3.1332e-05,4.7453e-05,1.5895e-05,-3.0045e-05,7.0946e-07,3.1768e-05,-5e-05
0,0.17902,0.59992,1.2609,2.1611,3.2995,4.6748,6.2853,8.1293,10.205,12.509,15.039,17.793,20.767,23.958,27.362,30.975,34.792,38.811,43.025,47.431,52.022,56.794,61.741,66.858,72.138,77.576,83.165,88.899,94.771,100.77,106.9,113.15,119.5,125.96,132.51,139.16,145.88,152.67,159.53,166.44,173.41,180.41,187.45,194.51,201.59,208.68,215.76,222.84,229.9,236.94,243.94,250.91,257.82,264.68,271.48,278.2,284.84,291.39,297.85,304.21,310.45,316.58,322.58,328.45,334.19,339.78,345.21,350.5,355.61,360.56,365.33,369.92,374.33,378.54,382.56,386.38,389.99,393.4,396.59,399.56,402.31,404.84,407.15,409.22,411.07,412.68,414.05,415.19,416.09,416.75,417.17,417.35
33752,33778,33837,33930,34052,34175,34172,33988,33633,33241,32738,32240,31579,31294,31470,31599,31843,32225,32795,33237,33645,33934,34061,34470,34512,35250,35614,36285,36765,37429,37928,38855,39723,40491,41789,42468,42990,43722,44235,44926,44785,44091,42879,39474,36430,35462,36702,36698,38980,38515,38894,40029,40856,41281,41654,42722,42354,42284,43056,42900,43115,43241,44723,44719,44903,44764,44381,43699,42915,42629,42849,42853,43026,42970,42845,42617,42460,42009,41812,41179,40954,40161,39339,39340,38777,37796,36974,36816,36244,35659,35223,34932,34806
824.26,828.13,833.97,839.57,851.21,862.13,868.86,864.16,855.58,836.17,859.87,892.47,846.48,843.95,868.59,899.36,929.78,963.9,956.05,969.72,999.35,1088.9,1167.3,1193.6,1209.4,1244,1269.4,1257.3,1234.8,1287.4,1336.5,1357.8,1359.9,1328.3,1256.1,1216.9,1290.9,1257.8,1199.7,1055.7,989.86,929.09,921.59,876.86,817.07,779.27,761.97,771.19,714.81,697.12,663.73,643.73,623.71,593.91,583.29,594.83,583.28,554.32,532.85,499.92,495.51,496.33,513.15,466.86,367.42,387.06,401.49,567.51,440.39,449.38,531.71,391.69,448.89,479.74,494.14,372.46,360.76,441.96,239.02,198.39,109.92,101.65,335.8,193.33,146.67,34.119,25.446,50.995,-0.29024,-96.686,-239,-458.64,-518.82
