24460,24474,24507,24559,24630,24720,24829,24957,25104,25270,25452,25647,25850,26057,26264,26468,26664,26849,27019,27175,27329,27490,27656,27823,28006,28213,28442,28674,28890,29079,29248,29430,29637,29837,30016,30168,30302,30433,30581,30745,30892,31042,31206,31376,31538,31661,31723,31745,31759,31800,31871,31964,32070,32165,32247,32334,32427,32526,32641,32776,32936,33113,33305,33505,33710,33913,34103,34276,34424,34546,34636,34695,34720
1524,1525,1527.4,1531.1,1536.2,1542.6,1550.2,1559.1,1569.1,1580.3,1592.6,1606,1620.4,1635.6,1651.5,1668,1685.2,1702.9,1721,1740.8,1767.6,1800.8,1835.2,1870,1904.5,1938.9,1973.2,2007.9,2042,2075.8,2106.9,2138.5,2170.1,2199.6,2229.1,2257.2,2285.3,2312.1,2337.9,2363.9,2389,2412.5,2435.2,2456.8,2478.1,2498.9,2519,2536.9,2554.5,2572.3,2589.6,2606,2621.1,2634.2,2647.6,2660.7,2673,2683.5,2692,2699.8,2706.8,2712.8,2717.6,2721.1,2723.9,2726.2,2728.3,2730.1,2731.6,2732.7,2733.6,2734.1,2734.3
0.05,0.049998,0.05,0.05,0.049998,0.05,0.049985,0.05,0.049911,0.049411,0.048335,0.046515,0.043877,0.040877,0.037659,0.034258,0.030639,0.026845,0.023135,0.020781,0.020107,0.020104,0.019179,0.01905,0.02055,0.022313,0.022942,0.021294,0.018592,0.015375,0.014592,0.016474,0.01714,0.015211,0.013071,0.010874,0.010022,0.010168,0.012134,0.01176,0.010596,0.011741,0.012504,0.012695,0.011111,0.0069975,0.0027716,0.00096267,0.0018621,0.0046789,0.0066916,0.0087364,0.0090119,0.007664,0.0076288,0.0088824,0.0095349,0.011167,0.013961,0.017612,0.021655,0.025488,0.029406,0.033552,0.037677,0.04107,0.043736,0.045803,0.047364,0.048507,0.049303,0.04979,0.05
994,993.48,992.26,990.34,987.74,984.45,980.5,975.89,970.64,964.8,958.39,951.45,944,936.04,927.57,918.59,909.12,899.14,888.68,877.05,862.24,844.49,825.89,806.53,786.55,766.02,745.23,724.12,702.93,681.33,659.73,636.99,614.11,592.31,570.2,548.38,525.42,502.35,479.42,456.56,434.09,411.53,389.07,367.3,346.25,326.25,306.64,286.64,266.08,245.33,225.24,205.73,187.38,170.32,153.54,137.15,121.7,106.86,92.6,79.128,66.512,55.049,44.53,35.388,27.662,21.013,15.398,10.722,6.9404,4.006,1.8979,0.56479,-1.0345e-13
-2.2859e-05,-4.7279e-06,8.646e-06,-6.7583e-06,5.4672e-06,-8.7175e-06,-2.0807e-06,5.7243e-06,-0.00012329,-0.00034844,-0.00056869,-0.00084988,-0.00099761,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00079877,-0.00033747,-1.2434e-05,-7.8784e-05,-0.00022779,0.00020061,0.00034751,0.00031947,-0.00013131,-0.00042343,-0.00060524,-0.00045759,0.00017495,0.0003638,-0.00018051,-0.00038642,-0.00040334,-0.0002851,-6.753e-05,0.00020348,0.0002923,-0.00035111,6.9403e-05,0.00020432,9.9067e-05,-8.2868e-05,-0.00053633,-0.00092375,-0.0005892,-0.00012051,0.00048668,0.00051639,0.00041731,0.0003549,-0.00023115,-0.0002539,0.00024862,0.0002532,0.0002128,0.00068763,0.00095103,0.0013097,0.0013421,0.0014417,0.001623,0.0019166,0.001905,0.0016979,0.0015336,0.0013994,0.0012703,0.0012042,0.0011323,0.0011329,0.0011409
0.0001,8.5578e-05,-1.5437e-05,-4.9338e-06,9.3989e-06,-1.8351e-05,2.2662e-05,-2.7986e-05,-0.0001,-0.0001,-0.0001,-0.0001,-9.7941e-06,-2.7636e-06,4.4602e-06,-4.7766e-06,3.679e-06,5.7586e-06,0.0001,0.0001,4.4232e-05,-6.7133e-05,4.4883e-05,7.9301e-05,4.7153e-06,-4.0395e-05,-0.0001,-2.4156e-05,-3.3056e-05,9.571e-05,0.0001,-4.6132e-05,-0.0001,1.182e-05,-1.6646e-05,5.8119e-05,1.265e-05,8.652e-05,-0.0001,-2.9705e-05,0.0001,-3.0817e-05,-8.3991e-06,-6.2596e-05,-0.0001,-8.7688e-06,0.0001,0.0001,0.0001,-6.2937e-05,3.2047e-05,-0.0001,-0.0001,8.7584e-05,0.0001,-7.6165e-05,0.0001,0.0001,0.0001,7.126e-05,-5.031e-06,6.207e-05,0.0001,0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-7.0716e-05,-0.0001,0.0001,-0.0001
0,0.18431,0.61754,1.2975,2.2228,3.3918,4.8022,6.4514,8.3363,10.453,12.799,15.368,18.156,21.157,24.367,27.779,31.387,35.183,39.161,43.314,47.632,52.11,56.737,61.506,66.407,71.431,76.568,81.81,87.146,92.567,98.061,103.62,109.23,114.88,120.57,126.28,132,137.71,143.42,149.11,154.76,160.37,165.93,171.43,176.85,182.18,187.42,192.56,197.59,202.49,207.26,211.88,216.36,220.68,224.83,228.81,232.61,236.21,239.63,242.83,245.84,248.62,251.19,253.54,255.66,257.54,259.19,260.6,261.77,262.69,263.37,263.81,263.99
49936,49891,49785,49618,49387,49091,48728,48294,47788,47217,46594,45940,45286,44654,44063,43532,43080,42730,42493,42417,42688,43205,43719,44217,44571,44724,44688,44628,44626,44778,44935,44998,44873,44684,44641,44705,44881,45016,44989,44841,44768,44609,44315,43938,43598,43505,43786,44264,44777,45120,45232,45161,44917,44678,44543,44356,44100,43748,43222,42538,41682,40697,39615,38474,37317,36204,35185,34288,33532,32928,32483,32198,32077
1616,1613.5,1609.8,1606.7,1599.6,1592.9,1582.7,1570.5,1568.5,1572.8,1576,1584.3,1580.6,1562.6,1543.4,1523.4,1501.7,1480.3,1434.7,1486.1,1606.2,1609.4,1572.2,1511.6,1453.3,1405.1,1394.9,1375.5,1348.8,1276.7,1174.2,1166.8,1136.9,1122.1,1098,1052.2,992.29,946.75,927.78,941.94,885.79,833.75,813.81,809.56,827.02,862.51,789.26,704.79,705.98,702.39,684.85,672.75,629.34,615.77,645.07,629.57,615.51,489.94,452.48,430.79,408.68,361.52,291.93,237.61,219.04,219.56,221.65,218.84,222.2,218.32,218.34,215.64,211.73
5.9932,6.0042,6.014,6.0103,6.0247,6.0261,6.0408,6.0602,6.0041,5.8955,5.7847,5.626,5.541,5.5524,5.5625,5.5666,5.5706,5.5597,5.6965,5.9561,6.0538,5.8984,5.7051,5.9367,5.9821,5.9171,5.5318,5.2317,5.0007,5.0938,5.6414,5.7517,5.2586,5.0235,4.9561,5.0635,5.2335,5.4865,5.5525,4.8293,5.3079,5.4519,5.3496,5.1553,4.5863,4.1204,4.4586,5.0155,5.6589,5.6496,5.527,5.4581,4.7361,4.7186,5.3726,5.3895,5.3602,5.9544,6.306,6.85,6.9999,7.2627,7.6558,8.2448,8.4295,8.3486,8.2925,8.2804,8.2302,8.2561,8.2474,8.2961,8.3296
