25775,25784,25805,25836,25879,25932,25995,26066,26145,26231,26322,26417,26513,26610,26706,26797,26883,26960,27026,27081,27125,27160,27188,27212,27239,27273,27323,27397,27506,27648,27818,28006,28202,28392,28574,28752,28925,29094,29258,29421,29573,29716,29858,29995,30126,30252,30372,30489,30602,30713,30820,30923,31021,31116,31206,31294,31378,31458,31534,31608,31678,31745,31810,31871,31930,31987,32039,32088,32135,32180,32223,32264,32303,32339,32376,32408,32439,32476,32523,32585,32665,32763,32879,33013,33161,33322,33492,33667,33843,34013,34174,34321,34452,34564,34654,34722,34765,34784
1520,1520.5,1521.8,1523.7,1526.4,1529.9,1534,1539,1544.7,1551.3,1558.7,1567,1576.2,1586.4,1597.7,1610.2,1623.9,1638.9,1655.5,1673.6,1693.4,1715.2,1739,1765,1793.2,1823.8,1855.6,1887.9,1920.6,1953.2,1985.5,2017.2,2048.3,2078.7,2108.7,2138.2,2167.4,2196.1,2224.3,2251.8,2278.7,2304.9,2330.5,2355.4,2379.4,2402.7,2425.1,2447.2,2468.8,2490.1,2510.7,2530.7,2550,2568.7,2586.8,2604.3,2621.1,2637.4,2653,2668.1,2682.5,2696.5,2709.8,2722.7,2735.1,2747,2758.5,2769.4,2780,2790,2799.7,2808.9,2817.8,2826.1,2834.1,2841.8,2848.9,2855.3,2861,2866.1,2870.4,2874.1,2877.1,2879.4,2881.1,2882.1,2882.8,2883.2,2883.5,2883.6,2883.6,2883.5,2883.3,2883.1,2882.9,2882.7,2882.5,2882.4
0.041371,0.041233,0.040906,0.040394,0.039692,0.038815,0.037743,0.036515,0.035097,0.033509,0.031754,0.029772,0.027636,0.025312,0.02283,0.02017,0.017354,0.014371,0.011374,0.0087207,0.00653,0.0048782,0.0038454,0.0035157,0.0039655,0.0052831,0.0075314,0.010715,0.01435,0.017188,0.018946,0.019605,0.019013,0.017436,0.016483,0.015631,0.014849,0.013916,0.013465,0.012823,0.011397,0.010997,0.01058,0.0099486,0.0093846,0.0088423,0.0084362,0.0081272,0.0078413,0.0075378,0.0071941,0.0068618,0.0065563,0.0062932,0.0060323,0.0057884,0.0055437,0.0053266,0.0051092,0.0049197,0.0047331,0.0045728,0.0044004,0.0042782,0.004172,0.0039754,0.0037164,0.0035928,0.0035082,0.0034471,0.003338,0.0032799,0.0031653,0.0031696,0.0031097,0.0028235,0.0031302,0.0041026,0.0056361,0.0076612,0.010095,0.012862,0.015888,0.019101,0.022431,0.02581,0.029181,0.03245,0.035368,0.037863,0.03997,0.041725,0.043166,0.044361,0.04532,0.046022,0.046473,0.046667
1562,1561.6,1560.8,1559.5,1557.7,1555.4,1552.6,1549.3,1545.5,1541.3,1536.4,1531.1,1525.2,1518.8,1511.7,1504,1495.7,1486.6,1476.7,1465.9,1454,1441,1426.7,1411,1393.7,1374.8,1354.5,1333.1,1310.7,1287.7,1264.4,1240.7,1217,1193.1,1168.7,1144,1118.9,1093.6,1067.9,1042.1,1016.3,990.1,963.75,937.37,910.92,884.41,857.85,831.28,804.74,778.28,751.93,725.7,699.6,673.66,647.91,622.38,597.09,572.06,547.31,522.87,498.77,475.01,451.64,428.64,406.07,383.97,362.35,341.17,320.48,300.3,280.68,261.59,243.09,225.14,207.82,191.2,174.99,159.18,143.87,129.12,115,101.57,88.908,77.045,66.015,55.84,46.545,38.13,30.642,24.068,18.372,13.498,9.3985,6.0851,3.5536,1.6987,0.5052,-4.9443e-15
-0.00099583,-0.001,-0.00099753,-0.00099957,-0.001,-0.00099367,-0.001,-0.00097222,-0.001,-0.00096682,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00099352,-0.00089444,-0.00071625,-0.00055411,-0.00036443,-0.00018759,1.7766e-05,0.00020593,0.00042896,0.00061849,0.00081275,0.00073474,0.00049121,0.00024811,2.4755e-05,-0.00026739,-0.00027452,-0.00014068,-0.00017107,-0.00014505,-0.00016752,-2.3979e-05,-0.00024607,-0.00017597,-2.7866e-05,-0.00011441,-9.9367e-05,-0.00010051,-8.3242e-05,-5.9059e-05,-5.0307e-05,-4.89e-05,-5.721e-05,-5.8734e-05,-5.6498e-05,-4.7833e-05,-4.606e-05,-4.3373e-05,-4.4057e-05,-4.0229e-05,-3.9486e-05,-3.633e-05,-3.4843e-05,-3.1346e-05,-3.1423e-05,-2.9737e-05,-1.9012e-05,-2.5819e-05,-5.3015e-05,-4.0594e-05,-1.7672e-05,-1.5167e-05,-1.7597e-05,-2.2161e-05,-1.3793e-05,-2.7771e-05,2.2371e-05,-7.046e-05,-2.473e-05,0.00018688,0.00035444,0.00053482,0.00069387,0.00085561,0.0010006,0.0011455,0.0012742,0.0014033,0.0015128,0.0016313,0.0016628,0.0015844,0.0015061,0.0014326,0.00137,0.0013376,0.0013675,0.0013691,0.0013692,0.0013912,0.0013922
1.682,1.682,1.682,1.682,1.6821,1.6821,1.6821,1.6822,1.6822,1.6823,1.6823,1.6824,1.6825,1.6826,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6834,1.6835,1.6836,1.6838,1.6839,1.684,1.6841,1.6843,1.6844,1.6845,1.6847,1.6848,1.685,1.6851,1.6852,1.6854,1.6855,1.6857,1.6858,1.6859,1.6861,1.6862,1.6863,1.6865,1.6866,1.6867,1.6869,1.687,1.6871,1.6872,1.6873,1.6875,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6886,1.6887,1.6888,1.6889,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
6.6644e-06,-3.4893e-05,2.9453e-05,-2.9557e-05,2.9249e-05,-2.3778e-05,2.9026e-05,-1.098e-05,3.1314e-06,8.106e-06,-2.2246e-05,1.0953e-05,-6.8383e-06,4.691e-06,-3.4171e-06,2.7061e-06,-2.6133e-06,1.2345e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,4.6198e-05,2.4723e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,4.0371e-05,-3.7692e-06,8.1821e-06,-1.161e-05,2.3126e-05,-4.2546e-06,-3.9557e-05,5e-05,-8.5013e-06,-5.9379e-06,2.9636e-06,4.9061e-08,4.7286e-06,3.051e-06,4.4242e-07,-3.3537e-07,-1.6747e-06,7.1109e-07,4.8846e-07,1.7167e-06,-4.776e-07,9.3657e-07,-5.9562e-07,1.3911e-06,-6.7693e-07,1.4557e-06,-6.0314e-07,1.5549e-06,-1.3882e-06,2.475e-06,5.4983e-07,-3.6814e-06,-4.1969e-06,7.8487e-06,2.3457e-08,2.4688e-06,-4.6089e-06,5.1548e-06,-6.2692e-06,9.2407e-06,-2.0631e-06,-2.5357e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-2.4127e-05,-5e-05,-5e-05,-5e-05,-5e-05,5.9944e-06,3.6906e-05,-2.6543e-05,5e-05,5e-05,-5e-05
0,0.13905,0.46601,0.97948,1.6789,2.5635,3.6324,4.8846,6.3185,7.9329,9.726,11.696,13.841,16.158,18.646,21.301,24.121,27.103,30.243,33.54,36.988,40.585,44.327,48.209,52.229,56.381,60.662,65.067,69.591,74.23,78.978,83.832,88.786,93.834,98.972,104.19,109.5,114.87,120.31,125.82,131.38,136.99,142.64,148.34,154.06,159.82,165.59,171.38,177.18,182.99,188.79,194.58,200.35,206.11,211.83,217.53,223.18,228.8,234.36,239.86,245.3,250.68,255.98,261.2,266.34,271.38,276.34,281.19,285.94,290.58,295.1,299.51,303.79,307.94,311.96,315.84,319.59,323.18,326.63,329.93,333.07,336.05,338.87,341.52,344.01,346.33,348.47,350.44,352.24,353.85,355.29,356.54,357.61,358.49,359.19,359.7,360.03,360.17
40322,40294,40231,40133,40004,39848,39671,39480,39281,39083,38894,38727,38592,38501,38470,38512,38646,38891,39268,39788,40458,41279,42247,43351,44565,45849,47092,48182,49024,49582,49887,50000,50000,49990,50000,50000,50000,50000,50000,49960,49965,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49992,50000,50000,49932,49752,49429,48949,48311,47518,46591,45552,44432,43269,42097,40952,39868,38870,37975,37197,36547,36028,35643,35397,35293
1644.4,1645.2,1645.5,1646.8,1648.2,1649.4,1652.5,1652.1,1658.7,1658.4,1666.2,1670.5,1675.3,1680.7,1686.4,1692.4,1698.7,1704.6,1700.8,1689.3,1680.1,1666.5,1654,1636,1617.4,1583.9,1532,1479,1437,1399.9,1361.2,1324,1289.3,1240.1,1193.7,1160.8,1127.3,1093.7,1051,1027.5,990.65,947.74,921,887.42,851.84,817.39,792.59,776.3,762.11,744.81,722.27,698.64,677.52,658.59,639.72,621.22,602.64,584.79,567.49,551.26,535.88,521.86,508.72,495.74,485.01,476.6,465.5,453.92,444.57,436.12,428.25,419.59,413.16,401.42,402.59,391.98,365.47,341.57,313.2,288.45,265.09,240.99,211.73,183.58,153.28,123.65,107.61,99.158,94.17,87.856,79.883,68.963,39.565,23.498,11.811,-4.7102,-33.144,-34.494
