24460,24471,24496,24535,24588,24654,24732,24821,24920,25029,25144,25263,25384,25507,25632,25760,25892,26029,26170,26320,26484,26679,26913,27178,27463,27750,28022,28265,28483,28677,28840,28982,29122,29271,29439,29609,29779,29951,30108,30248,30388,30528,30663,30776,30878,30985,31097,31211,31318,31400,31453,31493,31539,31610,31707,31829,31980,32162,32372,32605,32850,33095,33332,33553,33755,33932,34082,34203,34294,34352,34376
1524,1525,1527.4,1531.3,1536.8,1543.4,1551,1561.2,1572.3,1582.9,1595.4,1608.5,1622.9,1637.9,1654.2,1671,1689,1707.6,1727.3,1747.3,1774.1,1810.5,1849.1,1888,1925.7,1963.4,1998.8,2032.3,2067.4,2101.1,2135.3,2167.8,2199.6,2229.8,2260.4,2290.9,2320.7,2350.6,2377.3,2403.9,2430.4,2455.7,2480.1,2503.1,2524.7,2545.4,2565.1,2583.6,2601.4,2618,2633.6,2648,2662.3,2676.9,2689.9,2701.3,2710.4,2717.9,2724.3,2729.5,2733.7,2737,2739.6,2741.6,2743,2743.8,2744.4,2744.7,2744.9,2745,2745
0.038902,0.038794,0.038537,0.038126,0.037582,0.036853,0.035913,0.034878,0.033752,0.032264,0.030495,0.028459,0.026552,0.024853,0.023483,0.022643,0.021985,0.021364,0.021095,0.021437,0.023235,0.0267,0.029631,0.031262,0.031009,0.029182,0.025616,0.021957,0.019165,0.016175,0.013036,0.011954,0.011852,0.01308,0.013868,0.013377,0.013591,0.013119,0.011289,0.010625,0.010861,0.010705,0.0097966,0.0079972,0.0081304,0.0087314,0.0091788,0.0092415,0.0082287,0.0056267,0.0037217,0.0036211,0.0053019,0.0082648,0.011202,0.014638,0.018858,0.023724,0.028826,0.033542,0.037403,0.040417,0.042744,0.044539,0.045998,0.047184,0.048124,0.048903,0.049481,0.049845,0.05
994,993.49,992.29,990.34,987.65,984.31,980.43,975.42,969.86,964.19,957.66,950.68,942.93,934.63,925.55,915.89,905.46,894.5,882.74,870.44,855.04,835.38,814.45,792.98,771.61,749.85,728.64,707.95,686.08,664.35,641.86,618.82,595.12,571.69,548.03,524.33,500.49,476.48,454.23,430.84,406.37,382.31,359.11,336.74,314.16,291.98,270.28,249.26,229.13,210.09,191.55,172.87,154.2,135.69,118.2,101.49,85.842,71.544,58.651,47.345,37.653,29.459,22.595,16.9,12.226,8.4563,5.4736,3.0762,1.3976,0.41286,-1.2194e-13
-0.00059761,-0.00059779,-0.00060931,-0.00060859,-0.00060221,-0.00066587,-0.0006728,-0.00060093,-0.0006491,-0.00075614,-0.00078891,-0.00078899,-0.00061306,-0.00053735,-0.00032192,-0.00020926,-0.00017024,-0.00014791,1.3518e-05,0.00018581,0.00068546,0.00077545,0.00051931,0.00014604,-0.0002171,-0.00055904,-0.00079176,-0.00061678,-0.00050677,-0.00064907,-0.00040911,-6.658e-05,6.1803e-05,0.00030305,-5.4863e-05,-2.6305e-05,5.1827e-05,-0.00024837,-0.00032242,5.1637e-05,-1.0725e-05,-3.8236e-05,-0.00035076,-0.0001932,0.00015265,8.8372e-05,7.7044e-05,-7.1825e-05,-0.00041865,-0.00062525,-0.0002112,0.00016738,0.00066279,0.00078656,0.00084425,0.0011157,0.0014113,0.0016678,0.0017683,0.0016436,0.0014099,0.0012055,0.0010301,0.00091683,0.00088225,0.00082113,0.00083012,0.00086978,0.00085647,0.00085355,0.00085439
-4.6753e-05,9.7081e-06,-4.6753e-05,3.7921e-05,-4.2093e-05,-3.9735e-05,2.771e-05,3.463e-05,-7.4162e-05,-1.359e-05,-3.0071e-05,5.2033e-05,4.0326e-05,4.3944e-05,6.3766e-05,1.6389e-05,9.8626e-07,2.7349e-05,3.6004e-05,8.0397e-05,9.858e-05,-5.0194e-05,-5.7228e-05,-9.6253e-05,-5.6797e-05,-8.2108e-05,7.2223e-06,4.162e-05,-8.1317e-06,-1.5706e-05,9.5489e-05,1.0647e-05,6.2729e-05,-1.9037e-05,-5.6057e-05,4.5256e-05,-2.6927e-05,-6.6049e-05,5.3584e-05,3.782e-05,-2.391e-05,-1.8337e-05,-5.8824e-05,0.0001,3.3056e-06,-1.6577e-06,-1.8802e-05,-4.3024e-05,-9.9787e-05,4.3373e-05,9.9978e-05,0.0001,9.9541e-05,-1.4053e-05,5.816e-05,8.2806e-05,9.2911e-05,6.3295e-05,-3.2964e-06,-8.3924e-05,-9.2899e-05,-8.5956e-05,-8.0357e-05,-3.3367e-05,-2.771e-05,-4.0216e-05,5.4987e-05,8.0388e-06,-2.3198e-05,6.4711e-06,4.5623e-07
-5.6843e-14,0.18129,0.6074,1.2761,2.1861,3.3354,4.7219,6.3428,8.1948,10.274,12.577,15.099,17.834,20.778,23.924,27.267,30.799,34.513,38.403,42.461,46.678,51.045,55.556,60.2,64.968,69.85,74.838,79.921,85.089,90.332,95.64,101,106.41,111.84,117.3,122.77,128.24,133.7,139.13,144.54,149.9,155.21,160.45,165.62,170.7,175.69,180.57,185.34,189.98,194.49,198.86,203.08,207.14,211.03,214.74,218.27,221.62,224.76,227.71,230.44,232.96,235.27,237.35,239.2,240.82,242.2,243.35,244.26,244.93,245.36,245.54
49936,49916,49873,49819,49754,49665,49537,49485,49399,49220,49096,48972,48902,48850,48852,48852,48879,48892,48924,48897,49121,49607,49878,49870,49614,49304,48970,48732,48748,48845,49181,49580,49944,50148,50205,50224,50195,50141,50051,50080,50094,50045,49992,50035,50111,50100,50007,49846,49707,49703,49896,50133,50313,50318,50054,49537,48727,47587,46220,44692,43104,41549,40085,38754,37577,36562,35719,35053,34564,34251,34118
1668.7,1667.8,1672.6,1698.7,1661.8,1647.5,1632.9,1618.8,1612.3,1608.3,1598.9,1586,1557.7,1538.1,1504.9,1478.8,1459.5,1440.1,1405.6,1420,1568.8,1588.6,1553.2,1510.9,1467.1,1411.7,1350.8,1350.3,1319.8,1288.5,1220.4,1143.6,1121.1,1064.1,1076.3,1038.3,1013.8,998.77,974.88,894.69,871.61,847.35,858.7,807.18,754.09,735.47,708.84,701.3,703.15,699.08,651.46,599.18,629.83,601.42,564.53,480.34,418.2,384.06,340.07,298.76,272.32,238.54,204.23,167.56,111.54,65.626,9.245,-44.782,-75.115,-97.199,-107.47
5.6667,5.6664,5.659,5.6571,5.6567,5.6157,5.6079,5.6349,5.5937,5.5218,5.4834,5.4636,5.5537,5.5753,5.6829,5.7263,5.714,5.6897,5.7502,5.821,6.0399,5.9753,5.7259,5.4466,5.1637,4.8097,4.5507,4.6649,4.7257,4.5214,4.6996,4.975,5.0288,5.2172,4.8196,4.8179,4.8736,4.5226,4.4299,4.8119,4.7196,4.6748,4.3272,4.4654,4.8404,4.7456,4.7277,4.566,4.2017,3.9807,4.3909,4.7961,5.3454,5.4749,5.5544,5.875,6.2665,6.6727,6.9531,7.0046,6.9322,6.9149,6.8921,6.9097,7.0387,7.1134,7.2665,7.4399,7.5066,7.5588,7.5845
