25602,25608,25624,25648,25681,25720,25765,25815,25867,25921,25975,26027,26078,26126,26173,26219,26267,26320,26383,26464,26564,26691,26850,27039,27253,27482,27715,27943,28164,28379,28587,28789,28983,29171,29352,29526,29693,29854,30008,30156,30298,30434,30564,30689,30808,30922,31031,31135,31235,31331,31422,31509,31593,31673,31749,31822,31891,31958,32021,32078,32133,32195,32263,32320,32372,32431,32504,32605,32741,32920,33139,33395,33678,33978,34282,34582,34871,35145,35398,35628,35835,36016,36173,36304,36411,36495,36555,36594,36610
1520,1520.7,1522.3,1524.9,1528.4,1532.9,1538.4,1545,1552.6,1561.3,1571.3,1582.4,1594.9,1608.9,1624.4,1641.8,1661.1,1682.6,1706.4,1732.8,1762,1794.1,1828.6,1864.2,1900.1,1936,1971.8,2007.2,2042.3,2076.9,2110.9,2144.4,2177.2,2209.2,2240.5,2271.1,2300.8,2329.7,2357.7,2384.9,2411.3,2436.8,2461.5,2485.3,2508.3,2530.6,2552,2572.6,2592.5,2611.7,2630.2,2647.9,2665,2681.4,2697.2,2712.4,2726.9,2740.9,2754.4,2767.3,2779.5,2790.9,2802.3,2813.2,2823.2,2832.6,2841.1,2848.7,2855.3,2861.1,2866.3,2870.6,2874.6,2878.4,2881.8,2884.9,2887.7,2890.3,2892.5,2894.5,2896.2,2897.8,2899.1,2900.2,2901.1,2901.8,2902.3,2902.6,2902.7
0.026157,0.025985,0.025583,0.02495,0.02409,0.023,0.021688,0.020143,0.018411,0.016538,0.014675,0.012911,0.011323,0.0099948,0.00902,0.0084871,0.0085024,0.0091506,0.010571,0.012695,0.014902,0.017859,0.020761,0.022789,0.023889,0.023808,0.022526,0.020897,0.019537,0.018228,0.017028,0.015899,0.01487,0.0139,0.013021,0.012196,0.011451,0.010742,0.010112,0.009508,0.00897,0.008455,0.0079992,0.0075569,0.0071739,0.0067984,0.0064678,0.006146,0.0058719,0.0055915,0.0053598,0.0051201,0.0049258,0.0047149,0.0045555,0.0043513,0.0042553,0.0040746,0.0038383,0.0035394,0.0037082,0.0045791,0.0043535,0.0036535,0.0039438,0.0047356,0.0064928,0.0092374,0.012867,0.017107,0.021176,0.02538,0.028862,0.031525,0.033504,0.034876,0.035742,0.036182,0.036285,0.036123,0.03577,0.035291,0.034746,0.034187,0.033661,0.033234,0.032937,0.032742,0.03266
1562,1561.6,1560.6,1559,1556.8,1554.1,1550.7,1546.7,1542.1,1536.8,1530.8,1524,1516.4,1507.9,1498.4,1487.8,1476.1,1463.1,1448.7,1432.8,1415.2,1395.8,1374.9,1353.1,1330.7,1307.8,1284.5,1260.7,1236.2,1211.2,1185.6,1159.5,1133,1106,1078.5,1050.7,1022.6,994.18,965.5,936.6,907.51,878.29,848.95,819.55,790.11,760.68,731.29,701.99,672.79,643.77,614.92,586.32,557.97,529.94,502.24,474.93,448,421.54,395.59,370.17,345.13,320.43,296.77,273.97,251.49,229.56,208.08,187.17,166.99,147.75,129.76,113,97.716,83.901,71.483,60.375,50.486,41.723,33.997,27.225,21.335,16.262,11.951,8.3559,5.4376,3.159,1.4968,0.44577,-1.2722e-15
-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00096674,-0.00090962,-0.00078451,-0.00067618,-0.00053286,-0.00040329,-0.00023782,-9.1017e-05,9.9937e-05,0.00025601,0.00048897,0.00052234,0.00058567,0.00072236,0.00053319,0.00033817,0.00010902,-0.00014251,-0.00032107,-0.00027422,-0.00024354,-0.00022385,-0.00020539,-0.00018394,-0.00017068,-0.00015239,-0.00014167,-0.00012546,-0.00011827,-0.00010514,-9.7976e-05,-8.8714e-05,-8.2509e-05,-7.4544e-05,-6.9832e-05,-6.3386e-05,-5.8227e-05,-5.4548e-05,-5.0499e-05,-4.5918e-05,-4.3048e-05,-4.0484e-05,-3.6518e-05,-3.5137e-05,-3.1733e-05,-3.0894e-05,-2.826e-05,-2.9852e-05,-1.2582e-05,-4.5245e-05,-4.0125e-05,-5.0003e-05,0.00013488,0.0001052,-0.00016318,-4.3603e-05,0.00012342,0.00023537,0.00051341,0.00069804,0.00096969,0.0010069,0.001065,0.0010738,0.00084564,0.00070154,0.00051905,0.00038317,0.00022758,0.00010832,-2.3562e-05,-0.00012318,-0.00023234,-0.00031059,-0.00039744,-0.00045348,-0.00050615,-0.00047459,-0.00047841,-0.00048126,-0.00047696
1.6819,1.6819,1.6819,1.6819,1.6819,1.682,1.682,1.6821,1.6821,1.6822,1.6823,1.6823,1.6824,1.6825,1.6826,1.6827,1.6828,1.6829,1.683,1.6832,1.6833,1.6834,1.6835,1.6837,1.6838,1.684,1.6841,1.6843,1.6844,1.6846,1.6848,1.6849,1.6851,1.6852,1.6854,1.6855,1.6857,1.6858,1.686,1.6861,1.6863,1.6864,1.6866,1.6867,1.6868,1.687,1.6871,1.6872,1.6874,1.6875,1.6876,1.6877,1.6878,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6886,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6892,1.6893,1.6894,1.6894,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-2.8406e-05,1.1648e-05,-9.065e-06,8.1097e-06,-7.9102e-06,8.3752e-06,-9.9711e-06,1.5936e-05,1.5825e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-1.6314e-05,5e-05,-1.1786e-05,-4.895e-05,-4.1406e-05,-5e-05,-5e-05,-1.0367e-05,1.4673e-05,2.9435e-07,5.655e-06,1.9735e-06,4.2819e-06,1.4632e-06,3.5361e-06,1.1323e-06,3.0419e-06,3.5951e-07,2.9431e-06,-3.4505e-09,2.425e-06,-7.2259e-08,2.1721e-06,-3.8893e-07,2.1784e-06,-5.5013e-07,1.7418e-06,-5.0833e-07,1.8987e-06,-1.0527e-06,2.0729e-06,-1.2086e-06,2.144e-06,-1.6705e-06,2.7395e-06,-3.1191e-06,5.0836e-06,-4.0949e-06,-8.6959e-07,-3.7509e-06,1.3491e-05,3.5397e-05,-5e-05,-2.1716e-05,5e-05,1.2452e-05,4.9095e-05,5e-05,5e-05,5e-05,-1.347e-05,3.818e-05,-4.9912e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-1.366e-05,5e-05,-5e-05,5e-05,-5e-05
2.8422e-14,0.17126,0.57391,1.2062,2.0672,3.1558,4.4708,6.0103,7.7726,9.7553,11.956,14.372,17,19.837,22.879,26.122,29.563,33.197,37.02,41.026,45.21,49.568,54.094,58.781,63.625,68.619,73.757,79.032,84.438,89.968,95.614,101.37,107.23,113.18,119.23,125.35,131.54,137.8,144.11,150.48,156.88,163.32,169.78,176.26,182.75,189.23,195.71,202.17,208.61,215.01,221.38,227.69,233.95,240.14,246.27,252.31,258.26,264.12,269.88,275.52,281.05,286.46,291.73,296.87,301.87,306.71,311.4,315.92,320.28,324.47,328.47,332.29,335.93,339.37,342.61,345.66,348.49,351.12,353.54,355.74,357.72,359.48,361.02,362.34,363.42,364.29,364.92,365.32,365.49
41447,41440,41426,41406,41387,41374,41375,41402,41465,41577,41751,41997,42324,42742,43254,43862,44561,45339,46167,47010,47844,48623,49263,49698,49926,50000,50000,49998,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,49908,49768,49698,49633,49493,49208,48681,47852,46687,45243,43575,41773,39946,38168,36490,34943,33544,32299,31208,30264,29460,28786,28232,27789,27449,27204,27050,26985
1539.3,1540.5,1543.2,1547.4,1553.2,1560.5,1569.2,1579.4,1587.9,1595.6,1598.6,1604.3,1608.2,1613.8,1617,1621.7,1622.5,1624.2,1615.5,1619.8,1614.9,1598.1,1579.2,1542.4,1505.9,1470.3,1430.7,1377.9,1326.4,1276.1,1226.9,1178.5,1131.9,1086.2,1042.8,1000.7,960.67,921.85,885.01,849.54,816.03,783.92,753.5,724.43,697.06,671.19,646.67,623.46,601.71,581.31,561.98,543.99,526.83,510.87,495.75,481.98,467.38,458.23,446.19,436.08,408.58,401.52,416.67,396.84,372.79,353.8,317.79,289.45,249.04,229.94,204.43,180.67,185.41,178.88,178.51,173.04,172.72,169.04,170.13,168.41,171.12,170.84,174.7,175.07,176.9,164.05,159.91,157.37,155.13
