27208,27205,27199,27190,27181,27175,27174,27183,27205,27247,27314,27410,27539,27695,27855,28005,28139,28253,28341,28399,28446,28504,28577,28654,28720,28757,28757,28750,28769,28844,28980,29151,29324,29475,29584,29640,29681,29759,29919,30113,30298,30474,30641,30799,30950,31093,31231,31364,31491,31612,31727,31836,31941,32039,32127,32212,32292,32367,32439,32507,32572,32633,32691,32746,32798,32847,32893,32937,32978,33017,33055,33113,33208,33331,33471,33620,33776,33937,34099,34261,34419,34566,34698,34809,34894,34949,34973
1520,1520.2,1520.8,1521.7,1523.1,1524.8,1527,1529.6,1532.9,1536.6,1541.1,1546.3,1552.7,1561.8,1573.4,1585.9,1599.4,1613.7,1629.3,1645.7,1661.9,1678.9,1698.1,1719.8,1744.3,1771.9,1801.7,1833.3,1867.3,1903.1,1939.6,1976.2,2012.4,2048.1,2083,2117.7,2152.3,2186.9,2221.3,2254.9,2287.5,2318.9,2349,2378,2405.8,2432.6,2458.7,2484,2508.4,2531.9,2554.4,2576.1,2596.8,2616.7,2635.6,2653.6,2670.8,2687.1,2702.7,2717.5,2731.6,2745.1,2757.9,2770.1,2781.6,2792.6,2803,2812.8,2822,2830.8,2838.5,2844.8,2850.2,2855.2,2860.1,2864.2,2867.7,2870.3,2872.3,2873.4,2874.4,2874.8,2874.8,2874.9,2874.8,2874.7,2874.6
-0.0094793,-0.0090694,-0.0081058,-0.0065927,-0.0045324,-0.0019271,0.0012177,0.0049039,0.0091107,0.013878,0.018921,0.024118,0.028824,0.029515,0.02641,0.022578,0.018483,0.014203,0.0095009,0.0059123,0.0059294,0.0074526,0.0082789,0.0076652,0.0053575,0.0015422,-0.00093917,9.7684e-05,0.0035331,0.0086165,0.012096,0.013115,0.011625,0.0093002,0.0052491,0.0027001,0.0030455,0.0073303,0.011466,0.011254,0.010459,0.0097446,0.0091648,0.0085324,0.0080549,0.007612,0.007327,0.0069504,0.0066391,0.0062716,0.0060025,0.005691,0.0054812,0.004977,0.0046714,0.0045216,0.0043069,0.0041409,0.0039876,0.0038394,0.0037251,0.003596,0.0035053,0.003396,0.0033262,0.0032201,0.0031704,0.0030746,0.0030658,0.002911,0.003647,0.0066733,0.010362,0.013279,0.015561,0.017686,0.020079,0.022593,0.025249,0.028309,0.031336,0.034051,0.036395,0.038299,0.039689,0.04056,0.040932
1562,1561.6,1560.7,1559.3,1557.4,1554.9,1551.9,1548.3,1544.2,1539.6,1534.4,1528.7,1522.4,1515.5,1507.8,1499.6,1490.7,1481.1,1470.8,1459.6,1447.6,1434.7,1420.7,1405.6,1389.3,1371.5,1351.9,1330.4,1306.7,1281.2,1255.1,1228.6,1202,1175,1147.7,1119.2,1089.2,1057.5,1025.2,993.63,962.11,930.46,898.71,866.95,835.17,803.45,771.78,740.29,708.97,677.9,647.06,616.55,586.35,556.64,527.29,498.38,470,442.15,414.88,388.23,362.22,336.9,312.28,288.42,265.32,243.05,221.58,201.01,181.27,162.51,144.37,126.63,109.8,94.286,80.148,67.255,55.508,44.943,35.46,27.051,19.946,13.943,9.034,5.2424,2.4803,0.73633,-1.0039e-13
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0018289,0.001779,0.0010014,-0.00050992,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00038082,0.00027594,0.00024184,4.597e-05,-0.00026789,-0.00053636,-0.00065679,-8.5303e-05,0.00035046,0.00072849,0.00070171,0.00034659,-7.0113e-05,-0.00027783,-0.00045062,-0.00056415,-0.00014032,0.00028215,0.00077137,0.00021303,-0.00012969,-9.3454e-05,-8.4027e-05,-8.2115e-05,-7.199e-05,-6.3747e-05,-4.3489e-05,-4.4835e-05,-4.4802e-05,-4.7563e-05,-4.127e-05,-4.1851e-05,-3.171e-05,-4.5991e-05,-7.4242e-05,-1.772e-05,-3.1293e-05,-2.7369e-05,-2.3676e-05,-2.3795e-05,-2.0244e-05,-1.9446e-05,-1.8966e-05,-1.6112e-05,-1.6721e-05,-1.4748e-05,-1.6804e-05,-1.1443e-05,-1.474e-05,-6.5851e-06,-2.1439e-05,0.00045191,0.00084962,0.00089477,0.00071993,0.00064862,0.00073861,0.00091083,0.0010032,0.0012841,0.0015863,0.0016837,0.0017683,0.0018301,0.0018554,0.0018136,0.0018131,0.0018249
1.681,1.681,1.681,1.681,1.681,1.6811,1.6811,1.6812,1.6813,1.6813,1.6814,1.6815,1.6816,1.6817,1.6819,1.682,1.6821,1.6822,1.6824,1.6825,1.6827,1.6828,1.683,1.6831,1.6833,1.6835,1.6836,1.6838,1.684,1.6841,1.6843,1.6845,1.6847,1.6849,1.685,1.6852,1.6854,1.6856,1.6857,1.6859,1.6861,1.6863,1.6864,1.6866,1.6868,1.6869,1.6871,1.6872,1.6874,1.6875,1.6876,1.6878,1.6879,1.688,1.6881,1.6883,1.6884,1.6885,1.6886,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-5.4542e-06,2.271e-06,-1.3492e-06,6.5726e-07,1.1097e-07,-1.1585e-06,2.8198e-06,-5.8879e-06,1.2893e-05,-3.7494e-05,-5e-05,-5e-05,-5e-05,-5e-05,-9.4741e-06,-7.7494e-06,1.0097e-05,-1.6023e-05,5e-05,5e-05,5e-05,-3.0876e-05,-5e-05,-5e-05,-5e-05,4.0012e-05,5e-05,5e-05,5e-05,-5e-05,-5e-05,-5e-05,-2.5764e-06,-5e-05,3.9825e-05,5e-05,5e-05,-5.3315e-07,-5e-05,2.6061e-06,-1.9917e-06,5.2838e-06,-3.7187e-06,5.2245e-06,-1.7371e-06,5.2982e-06,-4.2528e-06,3.5164e-06,-3.4464e-06,4.278e-06,-3.6064e-06,5.4579e-06,-1.0074e-05,6.931e-06,2.1904e-06,-1.3241e-06,5.0444e-07,1.2416e-06,-1.4716e-06,2.7277e-06,-2.7824e-06,3.4925e-06,-3.3447e-06,4.1872e-06,-4.9251e-06,6.3856e-06,-7.7118e-06,1.1887e-05,-1.944e-05,4.909e-05,5e-05,5e-05,-2.5533e-05,-5e-05,8.5758e-06,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-2.498e-05,-5e-05,5e-05,5e-05
0,0.20494,0.68676,1.4433,2.4735,3.7759,5.349,7.1905,9.2981,11.669,14.3,17.188,20.328,23.717,27.351,31.224,35.331,39.668,44.227,49.004,53.992,59.183,64.573,70.153,75.916,81.854,87.96,94.225,100.64,107.2,113.89,120.71,127.65,134.69,141.83,149.06,156.37,163.75,171.18,178.67,186.19,193.75,201.33,208.91,216.5,224.08,231.63,239.16,246.64,254.08,261.46,268.77,275.99,283.13,290.18,297.11,303.93,310.62,317.18,323.6,329.87,335.97,341.91,347.67,353.25,358.64,363.83,368.82,373.6,378.16,382.49,386.6,390.47,394.11,397.5,400.64,403.53,406.16,408.53,410.64,412.48,414.05,415.35,416.38,417.14,417.62,417.83
32175,32200,32257,32339,32439,32545,32643,32713,32735,32680,32529,32260,31871,31467,31144,30911,30783,30785,30955,31295,31682,32040,32409,32843,33437,34308,35474,36768,38031,39040,39703,40130,40512,40985,41688,42711,43841,44715,44999,44999,44999,44999,44999,44999,44999,44999,45000,45000,45000,45000,45000,45000,45000,44998,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,45000,44998,45000,44973,44754,44256,43549,42736,41858,40935,39980,39023,38071,37164,36324,35579,34972,34509,34208,34079
718.82,721.35,727.14,735.75,746.57,758.73,771.24,782.8,792.31,797.6,843.09,849.98,1028.1,1328.2,1431.3,1436.9,1444.8,1459.7,1476.5,1381.7,1290.7,1318.9,1370.4,1450.1,1498.8,1529.5,1471.8,1426.1,1382.8,1349.8,1330.4,1308.6,1271.1,1231.9,1192.4,1127.5,1066.8,1002.8,994.02,976.01,932.18,892.03,854.47,816.28,782.31,756.8,737.38,715.77,691.74,666.82,644.61,622.23,602.85,585.66,559.07,541.91,523.99,507.54,492.91,479.1,466.85,455.73,445.2,435.97,427.09,419.37,411.13,404.5,396.72,392.3,328.28,272.83,256.31,268.12,264.25,236.58,197.41,164.16,127.36,20.239,-33.427,-53.327,-49.471,-56.109,-55.326,-61.085,-76.626
10.18,10.174,10.16,10.14,10.115,10.088,10.063,10.043,10.034,10.042,9.913,9.92,9.2683,7.9035,7.4352,7.426,7.4037,7.3434,7.264,7.8345,8.4053,8.2685,7.9658,7.4154,7.0409,6.7311,7.0813,7.2785,7.4325,7.2473,6.8178,6.3571,6.091,5.8401,5.6185,5.9357,6.2254,6.5938,6.007,5.6211,5.6354,5.6208,5.5983,5.5866,5.5734,5.5742,5.5493,5.5282,5.5053,5.4951,5.4765,5.4718,5.4366,5.3829,5.4428,5.4099,5.4009,5.3915,5.3768,5.3676,5.3548,5.3418,5.3325,5.3187,5.309,5.2939,5.2899,5.2739,5.2751,5.2429,5.8964,6.4277,6.5331,6.3773,6.3667,6.5838,6.9265,7.1818,7.6779,8.2941,8.6182,8.9285,8.8686,8.9577,8.9419,8.9962,9.1105
5.0677,5.0685,5.0705,5.0737,5.0782,5.084,5.0913,5.1001,5.1106,5.1226,5.1368,5.1531,5.1728,5.2014,5.238,5.2782,5.3213,5.3677,5.4185,5.4724,5.5255,5.5813,5.6443,5.7154,5.7959,5.8872,5.9863,6.0912,6.204,6.3218,6.4411,6.5603,6.678,6.794,6.9083,7.0223,7.1366,7.25,7.3613,7.4697,7.5745,7.6753,7.7724,7.8655,7.9548,8.0409,8.1245,8.2058,8.2842,8.3595,8.4318,8.5011,8.5679,8.6305,8.6879,8.7427,8.795,8.8447,8.8921,8.9371,8.98,9.0209,9.0597,9.0967,9.1318,9.1651,9.1965,9.2263,9.2543,9.2809,9.3042,9.3215,9.3339,9.3433,9.3513,9.3565,9.3589,9.3585,9.356,9.3505,9.3449,9.3382,9.3307,9.325,9.3199,9.3165,9.315
0.51755,0.51805,0.51922,0.52101,0.52338,0.52623,0.52949,0.533,0.53656,0.53992,0.54953,0.55428,0.58663,0.64746,0.67787,0.69219,0.70803,0.72645,0.7471,0.74161,0.73486,0.75862,0.79217,0.83994,0.88383,0.92884,0.94414,0.9678,0.9953,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1.4835,1.4808,1.475,1.4671,1.4587,1.4521,1.4501,1.456,1.4739,1.5082,1.444,1.4884,1.0119,-0.067959,-0.15153,-0.10088,-0.067029,-0.013743,0.019781,0.3816,1.0937,1.0926,0.90976,0.84064,0.44348,0.21806,0.79469,1.1919,1.4683,1.2671,0.72395,0.27803,0.044673,-0.069203,-0.14312,0.044947,0.44009,0.90338,0.3971,0.11927,0.27988,0.40735,0.56036,0.73059,0.90162,1.0812,1.2339,1.3733,1.5122,1.6551,1.7991,1.9579,2.0622,2.1305,2.3207,2.4025,2.5107,2.6145,2.7044,2.7949,2.8777,2.9559,3.0313,3.0939,3.1545,3.2027,3.2557,3.2918,3.3429,3.3572,4.1111,4.7004,4.8477,4.6867,4.6929,4.9505,5.3246,5.6041,5.9917,6.5167,6.7659,6.9961,6.9847,7.0497,7.0455,7.0853,7.1574
-0.264,-0.26395,-0.26384,-0.26366,-0.26342,-0.26311,-0.26273,-0.2623,-0.2618,-0.26123,-0.2606,-0.25991,-0.25916,-0.25834,-0.25746,-0.25652,-0.2555,-0.25443,-0.25328,-0.25208,-0.2508,-0.24946,-0.24806,-0.24659,-0.24505,-0.24344,-0.24176,-0.24001,-0.23818,-0.23628,-0.2343,-0.23225,-0.23012,-0.22792,-0.22565,-0.22331,-0.22091,-0.21845,-0.21592,-0.21334,-0.21071,-0.20803,-0.2053,-0.20253,-0.19974,-0.19691,-0.19406,-0.19119,-0.1883,-0.18541,-0.18251,-0.17961,-0.17673,-0.17385,-0.17099,-0.16816,-0.16535,-0.16258,-0.15984,-0.15715,-0.15451,-0.15193,-0.1494,-0.14694,-0.14454,-0.14221,-0.13997,-0.1378,-0.13571,-0.13372,-0.13182,-0.13001,-0.1283,-0.12669,-0.12519,-0.1238,-0.12252,-0.12135,-0.1203,-0.11936,-0.11854,-0.11784,-0.11726,-0.1168,-0.11646,-0.11625,-0.11616
