24319,24325,24338,24360,24389,24429,24462,24490,24530,24575,24628,24685,24750,24818,24894,24974,25060,25149,25245,25344,25449,25558,25670,25787,25909,26033,26162,26295,26432,26572,26715,26858,27007,27156,27309,27463,27620,27777,27938,28098,28261,28424,28589,28752,28918,29082,29255,29432,29604,29766,29929,30080,30222,30371,30547,30712,30862,31020,31165,31318,31461,31605,31741,31885,31998,32134,32290,32415,32536,32652,32765,32874,32978,33078,33174,33263,33347,33430,33500,33576,33643,33702,33758,33807,33851,33889,33922,33948,33970,33986,33996,34000
1508,1508.7,1510.3,1512.9,1516.4,1521.1,1525.2,1528.6,1533.4,1538.9,1545.4,1552.5,1560.5,1569,1578.5,1587.7,1598.6,1609.6,1622,1634.5,1648.2,1662.2,1677,1692.3,1709,1725.5,1743.3,1761.7,1781,1802.5,1821.4,1841.8,1864.7,1887.1,1909.5,1933.1,1956.7,1981.4,2006.4,2031.8,2057.8,2084.1,2111.2,2138.3,2166.1,2193.8,2223.8,2254.5,2284.9,2313.9,2342.8,2369.6,2397.1,2425,2455.5,2489.8,2518.2,2549.8,2577.8,2609.1,2638,2667.4,2692.1,2705.3,2720.7,2732.8,2748.7,2762.8,2773.5,2783.4,2793.3,2802.6,2811.3,2819.2,2827,2834,2840.6,2846.4,2852,2857.1,2862.5,2865.6,2872.8,2877.4,2878.8,2882,2882.9,2883.4,2884.6,2885.6,2885.9,2885.9
0.023453,0.023683,0.02481,0.023831,0.02529,0.024244,0.012959,0.014667,0.015842,0.016672,0.01665,0.017049,0.016834,0.016862,0.016934,0.016939,0.01673,0.016627,0.01662,0.016299,0.016445,0.016068,0.015999,0.015872,0.015776,0.015461,0.015602,0.015291,0.015265,0.015077,0.014635,0.014625,0.014405,0.014228,0.014052,0.013875,0.013711,0.013528,0.013358,0.013189,0.013018,0.012845,0.012667,0.01248,0.012345,0.012251,0.012902,0.012543,0.011915,0.011269,0.011237,0.0098483,0.0099243,0.011073,0.012548,0.010021,0.010985,0.01015,0.010413,0.010196,0.010045,0.0097091,0.010137,0.0094916,0.00811,0.012182,0.010623,0.0094672,0.0097746,0.0095968,0.0096163,0.0095399,0.0096212,0.0094322,0.009689,0.0090812,0.0097645,0.0090527,0.009233,0.010524,0.0088959,0.0096944,0.0091466,0.0095061,0.0092191,0.009459,0.0092372,0.0092878,0.0095018,0.0092002,0.0097436,0.010024
1562,1561.5,1560.4,1558.6,1556.2,1553,1549.2,1544.7,1539.5,1533.6,1527,1519.6,1511.4,1502.5,1492.8,1482.2,1470.9,1458.6,1445.5,1431.6,1416.6,1400.8,1384,1366.2,1347.4,1327.6,1306.7,1284.9,1261.8,1238.6,1214.6,1187.9,1161,1133,1105.1,1076.3,1047.5,1018,988.38,959.87,935.08,905.69,877.72,849.09,820,794.2,767.95,739.42,709.71,683.89,656.83,629.65,599.46,573.31,546.66,519.2,489.63,463.16,436.4,410.06,385.88,364.23,339,314.37,294.37,271.96,250.59,231.54,213.49,194.16,176.79,161.8,146.55,132.24,119.25,107.03,94.963,83.593,73.389,62.728,52.611,43.852,36.762,29.046,22.011,16.504,11.73,7.5056,4.6568,2.3263,0.64617,1.3726e-13
0.0020005,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.001,-0.00097214,0.002,-0.001,0.002,-0.001,-0.001,-0.001,0.002,-0.00061732,-0.00064584,-0.00071308,0.0010692,0.00063096,-0.001,0.00016666,0.0012683,0.0013314,-0.00046566,0.0013463,-8.5111e-06,-0.001,-0.001,0.0017286,-0.001,-0.0008482,0.00052756,-0.00068757,-0.001,-8.4683e-05,0.00048147,-0.001,-0.001,-0.00033349,-0.001,-0.001,-0.001,-0.00024205,-0.001,-0.00024773,0.00072522,0.00062928,-0.001,-0.001,0.002,0.00063769,-6.8435e-05,0.0017925,0.00077385,-0.00084406,0.002,0.002,0.0014177
1.9998,1.9998,1.9998,1.9998,1.9998,1.9998,1.9999,1.9999,1.9999,1.9999,1.9999,1.9999,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1.9998,2,1.9999,2,1.9996,2,1.9996,2,1.9994,2,1.9979,2,1.9943,2,1.9327,1.7508,1.68,1.6892,1.6855,1.6878,1.6866,1.6876,1.6871,1.6877,1.6875,1.6879,1.6878,1.6881,1.688,1.6883,1.6883,1.6885,1.6885,1.6887,1.6887,1.6889,1.6889,1.689,1.6891,1.6892,1.6892,1.6893,1.6893,1.6894,1.6895,1.6896,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
-4.7243e-05,1.561e-05,-1.2571e-05,1.0953e-05,-1.0072e-05,9.6137e-06,-9.4359e-06,9.4696e-06,-9.6799e-06,1.0052e-05,-1.0582e-05,1.1278e-05,-1.2156e-05,1.3241e-05,-1.4569e-05,1.6189e-05,-1.817e-05,2.0606e-05,-2.3628e-05,2.7425e-05,-3.2273e-05,3.8056e-05,-4.7038e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,-3.8246e-08,-5e-05,5e-05,-5e-05,5e-05,5e-05,-5e-05,5.0334e-05,5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,2.1108e-05,5e-05,-5e-05,5e-05,3.123e-05,-5.0483e-05,-5e-05,5e-05,5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,-5e-05,-1.5478e-05,5e-05,5e-05,-5e-05,5e-05,3.3038e-05,-5e-05,-5e-05,5e-05,5e-05,-5e-05,5e-05,5e-05,-5e-05,5e-05,5e-05,-5e-05,5e-05
0,0.15807,0.52971,1.1133,1.9081,2.9132,4.1274,5.5492,7.177,9.0089,11.043,13.276,15.706,18.33,21.145,24.148,27.335,30.702,34.245,37.961,41.844,45.89,50.095,54.454,58.96,63.61,68.397,73.317,78.362,83.527,88.807,94.194,99.683,105.27,110.94,116.69,122.52,128.42,134.38,140.39,146.45,152.55,158.68,164.84,171.01,177.2,183.39,189.58,195.75,201.91,208.04,214.14,220.2,226.21,232.17,238.07,243.9,249.65,255.32,260.91,266.4,271.78,277.06,282.23,287.27,292.19,296.98,301.63,306.14,310.5,314.7,318.75,322.63,326.35,329.89,333.26,336.44,339.45,342.26,344.88,347.31,349.55,351.58,353.41,355.04,356.46,357.68,358.68,359.48,360.06,360.43,360.59
49999,50000,49998,50000,49998,49997,50000,50000,50000,50000,50000,50000,50000,50000,50000,49948,49951,49926,49935,49917,49920,49911,49901,49892,49911,49892,49898,49893,49909,50000,49925,49909,49976,50000,49979,50000,49980,50000,50000,50000,50000,50000,50000,50000,50000,49993,50000,50000,50000,50000,49981,49948,50000,50000,49889,50000,49974,50000,49972,50000,50000,50000,49870,49258,48965,48321,47675,47211,46659,46121,45616,45131,44660,44204,43775,43366,42990,42602,42297,41937,41650,41354,41196,41013,40766,40613,40425,40273,40166,40096,40039,40012
1382,1383.3,1386.1,1390.4,1395.6,1401.8,1406.6,1410.8,1416.8,1424.3,1431.9,1438.4,1444.2,1452.8,1466.1,1475.1,1480.6,1486,1491.9,1494.4,1499.7,1497.5,1496.6,1503.4,1503.5,1501.8,1500.1,1497.1,1492.7,1696.5,1474.4,1461.6,1431.1,1397.9,1364.3,1329.3,1294.1,1257.9,1221.4,1324.8,1281.4,1108.2,1190.4,1036,1115.8,1086.1,1053,893.53,992.04,959.24,926.99,796.11,782.61,837.65,763.07,650.32,621.1,708.74,562.56,627.57,649.76,623.11,404.42,589.09,568.63,436.3,532.91,537.87,459.79,379.37,509.3,500.56,440.78,484.37,476.65,469.64,396.19,456.85,381.9,246.39,252.05,436.43,430.06,-1.3611,225.44,316.62,47.466,195.78,404.95,-31.275,-32.296,115.52
