25416,25422,25435,25456,25484,25519,25560,25607,25659,25716,25776,25839,25903,25968,26033,26098,26162,26227,26292,26358,26425,26497,26575,26662,26760,26875,27007,27157,27324,27505,27695,27890,28083,28273,28454,28626,28788,28940,29088,29239,29394,29544,29693,29839,29986,30138,30294,30449,30596,30727,30838,30925,30998,31056,31100,31134,31159,31182,31208,31237,31270,31313,31370,31448,31548,31675,31829,32011,32219,32449,32694,32947,33205,33463,33720,33972,34217,34452,34674,34883,35076,35253,35413,35553,35674,35774,35854,35912,35950,35966
1524,1524.6,1525.9,1527.9,1530.7,1534.3,1538.7,1543.9,1549.8,1556.7,1564.4,1572.9,1582.5,1593,1604.5,1617.1,1630.9,1646,1662.3,1680.1,1699.5,1720.6,1743.4,1768.1,1794.9,1823.1,1851.8,1880.9,1910.2,1939.5,1968.7,1997.5,2026,2054,2081.6,2108.7,2135.3,2161.4,2187.1,2212.3,2236.9,2260.9,2284.3,2307,2329,2350.3,2371,2390.9,2410.2,2428.7,2446.6,2463.8,2480.4,2496.5,2512.1,2527.2,2541.8,2556,2569.7,2583,2595.8,2608,2619.6,2630.6,2641,2650.6,2659.6,2667.9,2675.5,2682.6,2689.2,2695.3,2700.8,2705.6,2709.9,2713.8,2717.2,2720.3,2723,2725.3,2727.3,2729.1,2730.6,2732,2733,2733.9,2734.6,2735.1,2735.4,2735.6
0.033873,0.033761,0.033501,0.033089,0.032534,0.031822,0.030978,0.029973,0.028862,0.027602,0.02617,0.024588,0.022962,0.021369,0.01985,0.018446,0.0172,0.016156,0.015361,0.014858,0.014699,0.014924,0.015591,0.01673,0.018422,0.02055,0.022397,0.024224,0.025584,0.026305,0.02639,0.025743,0.024491,0.023107,0.021256,0.019779,0.017931,0.01668,0.016339,0.016654,0.016295,0.015505,0.015273,0.014786,0.014966,0.015494,0.015531,0.014981,0.013664,0.011963,0.0096083,0.0076942,0.0064381,0.0049199,0.0038982,0.002826,0.0023277,0.0023539,0.0028844,0.0031265,0.003876,0.0053054,0.0073172,0.0098901,0.012958,0.016484,0.020385,0.024451,0.028423,0.031892,0.03484,0.037305,0.039399,0.041431,0.043193,0.044858,0.046261,0.047379,0.0483,0.049222,0.050022,0.050655,0.051149,0.051526,0.051809,0.052016,0.052164,0.052265,0.052332,0.05236
994,993.72,993.05,992,990.56,988.74,986.52,983.89,980.86,977.4,973.52,969.18,964.37,959.07,953.24,946.85,939.86,932.23,923.91,914.86,904.99,894.26,882.57,869.88,856.04,841.3,826.08,810.34,794.24,777.86,761.29,744.6,727.81,710.84,693.78,676.43,659,641.23,623.03,604.47,586.05,567.71,549.15,530.65,511.98,493.31,474.85,456.74,439.04,421.63,404.55,387.45,370.32,353.39,336.46,319.68,302.86,286.04,269.24,252.75,236.35,220.01,203.84,187.91,172.32,157.15,142.5,128.47,115.19,102.8,91.3,80.686,70.909,61.882,53.619,46.064,39.215,33.043,27.507,22.533,18.117,14.245,10.887,8.0149,5.6089,3.6481,2.1176,1.0043,0.29899,5.4408e-15
-0.00099902,-0.00099555,-0.001,-0.00099607,-0.00099807,-0.001,-0.00098911,-0.001,-0.00095362,-0.001,-0.001,-0.001,-0.00089877,-0.00082707,-0.00070764,-0.00062249,-0.00048982,-0.00039284,-0.00024606,-0.00013945,2.2825e-05,0.00013566,0.0003171,0.00042745,0.00064706,0.00060011,0.0005413,0.00048177,0.00029224,0.00010544,-5.7277e-05,-0.00028955,-0.0003213,-0.00043519,-0.00042518,-0.00038608,-0.00045201,-0.000164,9.1534e-07,7.3491e-05,-0.00023021,-8.2285e-05,-9.3642e-05,-6.786e-05,0.00013014,7.968e-05,-5.6583e-05,-0.00021973,-0.00037121,-0.00046484,-0.00059814,-0.0003049,-0.0003716,-0.00030159,-0.00026142,-0.00021761,-5.7409e-05,9.388e-05,0.00011772,7.5941e-05,0.00032869,0.0004645,0.00067542,0.00081966,0.0010104,0.0011552,0.0013036,0.0013485,0.0013151,0.0011291,0.0010348,0.000853,0.00086488,0.00081919,0.00078435,0.00076567,0.00065399,0.00055581,0.00055302,0.00059743,0.00051553,0.00046551,0.00039623,0.00035677,0.00030379,0.00028174,0.00024711,0.00025135,0.00025266,0.00025
1.685,1.685,1.685,1.685,1.685,1.685,1.685,1.6851,1.6851,1.6851,1.6852,1.6852,1.6853,1.6853,1.6854,1.6854,1.6855,1.6856,1.6856,1.6857,1.6858,1.6858,1.6859,1.686,1.6861,1.6861,1.6862,1.6863,1.6864,1.6865,1.6866,1.6867,1.6868,1.6869,1.6869,1.687,1.6871,1.6872,1.6873,1.6874,1.6875,1.6876,1.6877,1.6878,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6883,1.6884,1.6885,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.6889,1.689,1.689,1.6891,1.6891,1.6892,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
-5e-05,5e-05,-5e-05,5e-05,-5.0195e-05,5e-05,-4.1469e-05,5e-05,-1.3761e-05,-1.5836e-05,-9.723e-06,3.7043e-05,5.0258e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-5e-05,9.2301e-06,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,8.7082e-06,-5e-05,5e-05,-4.5385e-05,5e-05,5e-05,5e-05,-5e-05,-3.1035e-05,5e-05,-3.3197e-05,5e-05,2.0118e-05,-3.3055e-05,-2.8544e-05,-5e-05,-1.2451e-05,-5e-05,2.9164e-05,5e-05,-3.7221e-05,5e-05,-2.2937e-05,5e-05,2.4018e-05,5e-05,-4.1014e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,2.9535e-05,1.0014e-05,-5e-05,-5e-05,-5e-05,-5e-05,2.5728e-05,-5.0162e-05,1.8405e-05,-5e-05,-5e-05,-5e-05,5e-05,-2.913e-05,-5e-05,-5e-05,-5e-05,-5e-05,-5e-05,-3.9152e-05,-5e-05,5e-05,-5e-05,5e-05
2.8422e-14,0.11135,0.37314,0.78422,1.344,2.0519,2.907,3.9082,5.0542,6.3438,7.7752,9.3468,11.057,12.902,14.882,16.993,19.233,21.599,24.088,26.696,29.422,32.261,35.211,38.266,41.424,44.681,48.032,51.474,55.002,58.612,62.3,66.061,69.89,73.782,77.733,81.739,85.793,89.891,94.028,98.2,102.4,106.62,110.86,115.12,119.38,123.65,127.91,132.16,136.41,140.63,144.83,149,153.14,157.24,161.29,165.3,169.25,173.14,176.97,180.73,184.42,188.03,191.56,195,198.35,201.61,204.76,207.82,210.77,213.61,216.33,218.94,221.43,223.8,226.04,228.15,230.13,231.97,233.68,235.25,236.69,237.98,239.12,240.12,240.98,241.69,242.25,242.66,242.92,243.03
42908,42900,42882,42856,42823,42787,42751,42719,42697,42690,42706,42752,42836,42963,43141,43375,43669,44027,44451,44940,45493,46101,46759,47441,48139,48775,49284,49663,49895,50000,50000,49928,49828,49724,49641,49593,49580,49616,49644,49615,49516,49413,49288,49140,48959,48697,48368,48019,47702,47466,47348,47372,47479,47671,47935,48261,48631,49001,49331,49620,49861,50000,50000,49822,49444,48845,48022,46982,45687,44262,42769,41252,39754,38290,36881,35541,34281,33113,32042,31067,30188,29406,28720,28128,27630,27222,26903,26670,26522,26460
1620.2,1620.6,1622.5,1624.7,1628.3,1632.9,1637.5,1644.4,1648,1658.4,1666.3,1674.4,1676,1680,1681,1684.3,1684.6,1686.7,1685.3,1685.3,1680.8,1677.3,1667.5,1658.7,1641.6,1610.1,1575.6,1539.7,1509.1,1478.3,1447.2,1420.2,1382.6,1349.9,1311.1,1271.7,1239.1,1184.8,1139.2,1100.2,1087.1,1044,1012.7,980.72,936.49,910.6,891.43,878.89,862.49,843.88,828.18,789.54,774.65,752.36,733.31,714.85,688.9,663.6,648.43,638.6,605.52,582,552.61,528.64,500.87,475.74,448.64,427.78,411.74,407.96,395.13,390.6,364.33,346.44,329.03,313.04,305.72,298.87,281.3,260.07,253.64,248.44,244.71,239.44,236.25,232.24,230.69,225.31,222.02,221.04
