24460,24472,24499,24540,24597,24666,24748,24841,24944,25054,25169,25288,25409,25534,25663,25796,25928,26054,26173,26294,26426,26582,26770,26985,27219,27461,27700,27935,28169,28404,28629,28837,29020,29181,29345,29515,29683,29846,30006,30161,30323,30469,30587,30681,30783,30892,31003,31112,31208,31295,31370,31426,31471,31523,31597,31694,31811,31958,32137,32349,32590,32846,33107,33363,33607,33832,34035,34211,34359,34476,34563,34619,34643
1524,1525,1527.3,1530.9,1535.8,1541.9,1549.2,1558.1,1568.7,1579.6,1591,1603.4,1616.5,1630.5,1645.2,1660.7,1677.2,1694.4,1712.4,1730.8,1754.2,1786.3,1822,1858.8,1895.9,1932.9,1969.3,2005.9,2042.2,2077.8,2112.2,2145.8,2178.1,2209.3,2239.5,2269.3,2298.2,2326.8,2355.7,2382.8,2408.8,2434.6,2459.3,2482.4,2503.8,2524.8,2544.5,2563.9,2582.1,2599.2,2615.5,2631.2,2645.5,2659.6,2673.8,2687.3,2698.8,2707.9,2715.8,2722.3,2727.6,2731.8,2735.2,2737.8,2739.8,2741.3,2742.4,2743.3,2744,2744.5,2744.8,2744.9,2745
0.043951,0.043778,0.043373,0.042734,0.04187,0.040769,0.039454,0.037922,0.036214,0.034194,0.03211,0.029847,0.027964,0.02667,0.025706,0.024468,0.022239,0.019756,0.018225,0.018081,0.019582,0.022578,0.025218,0.026846,0.027173,0.026307,0.02465,0.023586,0.022732,0.021862,0.019827,0.017606,0.014562,0.013602,0.014092,0.014065,0.013325,0.012998,0.012381,0.012547,0.012477,0.01042,0.0080335,0.0073659,0.0086041,0.0086732,0.0091051,0.0083933,0.0075695,0.0070256,0.0056988,0.0042549,0.0041536,0.005773,0.008558,0.010821,0.013981,0.018202,0.023241,0.028804,0.033828,0.037943,0.041209,0.043847,0.045837,0.047274,0.048277,0.048943,0.04937,0.049656,0.049829,0.04995,0.05
994,993.52,992.39,990.61,988.19,985.14,981.48,977.07,971.86,966.3,960.33,953.77,946.62,938.85,930.49,921.61,912.2,902.28,891.63,880.29,866.51,848.94,829.55,809.36,788.59,767.47,746.12,724.24,701.99,679.48,657.1,634.63,612.16,589.2,566.22,543.17,520.49,497.34,473.82,450.2,426.84,404.51,382.42,360.14,337.75,315.95,294.53,273.62,253.21,233.52,214.35,195.72,177.25,158.73,140.57,123.3,106.72,90.987,76.368,63.058,51.353,41.273,32.707,25.469,19.437,14.462,10.4,7.1356,4.5698,2.6201,1.2332,0.36501,0
-0.001,-0.00099976,-0.001,-0.001,-0.001,-0.001,-0.00099759,-0.00097038,-0.00099332,-0.001,-0.00093064,-0.00089503,-0.00054881,-0.00039343,-0.00028063,-0.00054052,-0.00072585,-0.00061133,-0.00020102,0.00012582,0.00061959,0.0007042,0.00050911,0.00020182,-4.038e-05,-0.00032845,-0.00028153,-0.00019538,-0.00012499,-0.00029524,-0.00041303,-0.00051799,-0.00048652,7.1456e-05,5.1775e-05,-7.7049e-05,-0.00013587,-4.1338e-05,-0.00012653,0.00014955,-0.00025649,-0.00044923,-0.0004096,0.00019256,0.00012168,3.4382e-05,2.6122e-05,-0.00024865,-9.3706e-05,-0.00019417,-0.00037643,-0.00021424,0.00017401,0.0006324,0.00067925,0.0006483,0.001123,0.0013738,0.00178,0.0018478,0.0017025,0.0014404,0.0012869,0.0010964,0.00091018,0.00071543,0.00058279,0.00042331,0.00036738,0.00028037,0.00028827,0.00029433,0.00028554
-9.0714e-05,3.8194e-05,-2.9372e-05,2.4793e-05,-2.2173e-05,2.0155e-05,-1.0974e-05,3.4371e-05,-5.2651e-05,5.7192e-05,-2.0605e-05,0.0001,0.0001,4.9508e-05,-1.6681e-05,-0.0001,-1.185e-05,8.505e-05,0.0001,0.0001,0.0001,-3.9143e-05,-5.1464e-05,-7.094e-05,-5.0022e-05,-4.5749e-05,4.2893e-05,-1.5383e-06,1.4585e-05,-6.5077e-05,1.5913e-05,-5.8007e-05,0.0001,4.9559e-05,-2.0879e-05,-3.4558e-05,2.8622e-05,-2.4223e-05,3.8757e-05,-3.8708e-06,-8.8772e-05,-8.535e-06,6.1803e-05,0.0001,-8.4046e-05,4.7917e-05,-7.4427e-05,5.0258e-06,1.7404e-05,-4.7415e-05,-1.5221e-05,8.299e-05,0.0001,0.0001,-6.6268e-05,0.0001,0.0001,0.0001,0.0001,-3.2694e-05,-7.999e-05,-9.1773e-05,-5.9815e-05,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-4.7991e-05,-0.0001,0.0001,-0.0001,0.0001
0,0.17278,0.57888,1.2163,2.0837,3.1794,4.5016,6.0475,7.8144,9.799,11.997,14.406,17.019,19.833,22.842,26.04,29.422,32.98,36.71,40.602,44.651,48.848,53.185,57.655,62.249,66.959,71.775,76.689,81.691,86.772,91.922,97.132,102.39,107.69,113.02,118.37,123.73,129.09,134.44,139.77,145.07,150.33,155.54,160.69,165.78,170.78,175.69,180.51,185.22,189.81,194.28,198.62,202.82,206.86,210.76,214.49,218.04,221.43,224.62,227.63,230.45,233.06,235.47,237.67,239.65,241.42,242.96,244.29,245.38,246.25,246.89,247.29,247.47
49936,49908,49844,49747,49619,49466,49291,49127,48994,48819,48627,48463,48326,48202,48085,47976,47926,47952,48058,48166,48464,49027,49525,49828,49972,50002,49995,49994,49952,49850,49737,49688,49758,49928,50009,50004,49964,49938,49932,49871,49709,49637,49736,49940,50011,50003,49925,49842,49812,49797,49845,50012,50204,50341,50302,50055,49582,48807,47707,46321,44737,43070,41417,39837,38379,37074,35937,34976,34189,33574,33126,32843,32723
1696,1695.1,1693,1689.7,1685,1679.2,1671.8,1714.5,1697.4,1620.2,1600.2,1583.4,1538.1,1509.1,1481.9,1492,1494.6,1469.6,1413.4,1396.6,1533.7,1590.7,1569.8,1538.2,1503.8,1460.6,1428.8,1395.4,1350.3,1312.3,1271.2,1232.2,1172.6,1113.8,1088.6,1067.7,1041.3,1014.7,997.07,907.07,940.2,935.73,896.8,801.31,783.64,766.74,742.35,742.16,704.61,692.25,685.14,656.19,601.32,629.92,618.06,602.79,483.77,423.69,384.1,334.6,293.85,267.25,223.12,179.99,152.21,125.08,93.854,84.276,54.628,40.401,9.4593,-12.194,-18.01
5.4382,5.4382,5.4377,5.4369,5.4358,5.4337,5.4322,5.4427,5.4124,5.3934,5.4287,5.4364,5.6471,5.7274,5.7829,5.5933,5.4432,5.4843,5.7033,5.867,6.0946,6.0283,5.7834,5.5276,5.3105,5.0305,4.9939,5.0033,5.0169,4.8319,4.6825,4.5302,4.5233,5.0274,4.9628,4.808,4.7245,4.791,4.6635,4.9578,4.4992,4.2936,4.3043,4.9361,4.8287,4.7045,4.6859,4.3881,4.5464,4.434,4.2302,4.3818,4.7993,5.3105,5.3623,5.346,5.8786,6.2198,6.7906,7.037,7.068,6.977,7.0205,7.0231,6.9576,6.8813,6.8604,6.7541,6.7896,6.7525,6.8423,6.9022,6.9094
