27210,27210,27211,27213,27216,27220,27226,27234,27246,27261,27280,27304,27334,27370,27413,27463,27520,27585,27657,27737,27823,27914,28009,28107,28207,28309,28414,28521,28628,28735,28842,28946,29049,29149,29248,29344,29441,29543,29647,29750,29854,29962,30075,30194,30318,30442,30562,30677,30786,30889,30983,31069,31145,31217,31291,31369,31449,31530,31609,31692,31782,31876,31973,32065,32151,32230,32303,32370,32427,32474,32510,32537,32553,32561,32559,32548,32529,32502,32471,32438,32408,32386,32377,32384,32410,32455,32518,32596,32688,32793,32907,33030,33163,33302,33445,33591,33737,33880,34018,34150,34274,34389,34493,34586,34666,34733,34787,34827,34852,34863
1797.9,1798.2,1799,1800.3,1802,1804.2,1806.9,1810,1813.6,1817.7,1822.3,1827.4,1833,1839.1,1845.8,1852.9,1860.6,1868.9,1877.6,1887,1896.9,1907.3,1918.3,1929.9,1941.9,1953.9,1966.3,1979.8,1996.2,2014.4,2032.7,2051.6,2070.7,2090.7,2111.5,2132.4,2150.7,2165.9,2184.2,2204.6,2222.4,2238.4,2255.9,2271.4,2287.9,2306.8,2325,2343.4,2360.9,2378.1,2394.9,2411.4,2427.6,2442.9,2457.7,2472.4,2486.6,2500.5,2514.4,2528.4,2541.7,2554.3,2566.9,2579.2,2591.2,2602.9,2614.2,2625.2,2636.1,2646.6,2656.9,2666.8,2676.4,2685.6,2694.6,2703.3,2712,2720.2,2728,2735.2,2741.6,2747.4,2752.7,2757.4,2761.8,2765.9,2770,2774,2777.8,2781.6,2784.9,2787.8,2790,2791.8,2793.4,2794.7,2796,2797.2,2798.2,2799,2799.7,2800.3,2800.8,2801.2,2801.6,2801.9,2802.2,2802.4,2802.5,2802.5
0.0025899,0.0027241,0.0030403,0.0035342,0.0042059,0.0050485,0.0060609,0.007218,0.0084991,0.0098811,0.01134,0.012851,0.014391,0.015902,0.01738,0.018832,0.02016,0.02134,0.022297,0.023025,0.023467,0.023588,0.023368,0.022828,0.022381,0.022066,0.02174,0.021271,0.020441,0.019677,0.018813,0.017858,0.016925,0.016099,0.015191,0.01471,0.014754,0.015026,0.014767,0.014269,0.014339,0.014635,0.015108,0.015692,0.015805,0.015155,0.014462,0.013463,0.012583,0.011615,0.010467,0.0093112,0.0082616,0.0080998,0.0085757,0.0088786,0.0090128,0.0087506,0.0088738,0.0095411,0.010117,0.0106,0.010495,0.0097905,0.0091274,0.0083632,0.0078299,0.0070066,0.0058444,0.0048084,0.0036012,0.0025021,0.0013681,0.00032913,-0.00080134,-0.001819,-0.0029222,-0.0036968,-0.004237,-0.0042914,-0.0036149,-0.0022367,-0.00020466,0.0024032,0.005376,0.0084089,0.011376,0.014247,0.017142,0.019761,0.02245,0.025337,0.028334,0.031162,0.033847,0.036298,0.038422,0.04032,0.042047,0.043593,0.044948,0.046118,0.047096,0.047904,0.048558,0.049071,0.049461,0.049745,0.049924,0.05
994,993.74,993.14,992.18,990.88,989.24,987.25,984.92,982.26,979.26,975.92,972.26,968.27,963.96,959.34,954.4,949.17,943.62,937.8,931.67,925.28,918.58,911.65,904.33,896.65,888.72,880.45,871.64,861.62,850.81,839.75,828.21,816.27,803.75,790.94,777.68,764.99,753.02,739.84,725.73,712.18,699.14,685.1,671.62,657.64,642.73,627.97,612.99,598.07,583.15,568.27,553.25,538.16,522.8,507.09,491.41,475.95,460.79,445.32,429.5,414.09,399.06,384.36,369.98,355.69,341.6,327.6,313.84,300.31,286.94,273.77,260.77,247.96,235.33,222.91,210.65,198.52,186.54,174.74,163.16,151.62,140.43,129.97,120.29,111.12,102.27,93.747,85.528,77.642,70.037,62.796,55.883,49.356,43.312,37.71,32.547,27.834,23.543,19.652,16.15,13.026,10.266,7.8635,5.7987,4.0622,2.6449,1.537,0.7289,0.21711,-9.2566e-14
0.0017343,0.0017358,0.0017341,0.0017249,0.0017196,0.0017036,0.0016876,0.0016274,0.001574,0.0014935,0.0014191,0.0013282,0.0012329,0.0010995,0.0010283,0.00090846,0.00077506,0.00062449,0.00046503,0.00031512,0.00014031,-1.7699e-05,-0.00019173,-0.00025469,-0.00013865,-0.00014138,-0.0001275,-0.0002734,-0.00031746,-0.00028365,-0.00033981,-0.00034077,-0.00029662,-0.00029458,-0.00026822,-5.1791e-05,6.9551e-05,4.778e-05,-0.0001895,-5.9795e-05,6.6309e-05,0.00011615,0.00016089,0.00015216,-0.00011371,-0.00019932,-0.00023382,-0.00029096,-0.00022663,-0.00031645,-0.00031142,-0.00033329,-0.00019794,9.2891e-05,0.00011774,6.5e-05,-1.8675e-05,-7.3314e-05,0.00014869,0.00017915,0.00015369,8.3967e-05,-0.00014765,-0.00020439,-0.00019879,-0.00020555,-0.00014296,-0.00034406,-0.00030593,-0.00035,-0.00035,-0.00035,-0.00033574,-0.00035,-0.00035,-0.00035,-0.0003445,-0.00020535,-0.00014699,0.00012512,0.00036999,0.00066598,0.00090153,0.0011613,0.00125,0.0013136,0.0012753,0.0013592,0.0013267,0.0012981,0.0014697,0.001641,0.0017116,0.0016762,0.0017012,0.0015752,0.0014874,0.0014448,0.0014314,0.0013744,0.0013338,0.0012583,0.0011904,0.0011255,0.0010699,0.0010134,0.00099839,0.00098957,0.00098013,0.00098131
-7.0508e-05,5.221e-05,-5.9811e-05,4.7861e-06,-4.5466e-05,-5.8515e-06,-7.1289e-05,-7.2736e-05,-8.0701e-05,-8.0701e-05,-8.0701e-05,-7.3929e-05,-0.0001,-7.9185e-05,-5.0352e-05,-9.6675e-05,-7.6808e-05,-0.0001,-7.8396e-05,-8.8004e-05,-8.5108e-05,-7.5974e-05,-7.8231e-05,3.3137e-05,2.9923e-05,-4.6976e-06,-1.2439e-05,-7.2131e-05,3.1221e-05,-2.0264e-05,-5.9347e-06,1.5998e-06,2.4566e-05,-2.2399e-05,5.854e-05,5.5159e-05,3.2107e-05,-6.5197e-05,-2.9338e-05,5.878e-05,1.2291e-05,1.7625e-05,1.2191e-05,-3.9124e-05,-7.9258e-05,1.5336e-05,-3.9292e-05,2.1641e-05,-1.0569e-05,-1.5586e-05,2.9324e-06,-8.8461e-07,7.7487e-05,5.4356e-05,-2.4228e-05,-3.969e-06,-4.3638e-05,3.665e-05,4.9145e-05,-1.6073e-05,5.3805e-07,-5.0032e-05,-5.6419e-05,1.5528e-05,-1.9858e-05,3.1588e-05,-3.1695e-05,-3.739e-05,2.3656e-05,-3.0373e-05,2.0501e-05,-1.5152e-05,1.8664e-05,-2.3788e-05,2.3755e-05,-2.8302e-05,5.0294e-05,1.5852e-05,6.2413e-05,9.9249e-05,0.0001,0.0001,0.0001,7.6856e-05,2.1278e-05,1.0467e-05,-9.0961e-06,5.0686e-05,-6.6748e-05,6.2598e-05,8.7732e-05,9.3162e-05,-2.4851e-05,1.8227e-05,-3.4036e-05,-9.4494e-05,-4.2045e-05,-1.5502e-05,-2.9253e-05,-5.2156e-05,-5.0643e-05,-0.0001,-7.836e-05,-0.0001,-0.0001,-0.0001,6.572e-06,-7.8044e-05,6.572e-06,-6.572e-06
0,0.077364,0.25929,0.54504,0.93436,1.4269,2.0223,2.7201,3.5196,4.4203,5.4213,6.5219,7.7211,9.018,10.411,11.9,13.483,15.16,16.927,18.785,20.731,22.764,24.883,27.085,29.368,31.732,34.173,36.691,39.282,41.945,44.677,47.476,50.341,53.268,56.255,59.3,62.4,65.553,68.756,72.006,75.301,78.638,82.015,85.427,88.874,92.351,95.857,99.387,102.94,106.51,110.1,113.7,117.31,120.93,124.56,128.18,131.81,135.43,139.04,142.64,146.23,149.8,153.35,156.89,160.39,163.87,167.31,170.73,174.1,177.44,180.74,183.99,187.19,190.34,193.44,196.49,199.47,202.4,205.27,208.07,210.8,213.46,216.05,218.57,221.01,223.37,225.66,227.86,229.98,232.01,233.96,235.82,237.58,239.26,240.84,242.33,243.72,245.02,246.22,247.32,248.32,249.22,250.02,250.72,251.32,251.81,252.2,252.48,252.66,252.74
44999,45014,45048,45099,45167,45247,45338,45435,45534,45633,45725,45807,45872,45917,45940,45935,45903,45842,45752,45638,45501,45354,45196,45049,44905,44742,44576,44439,44430,44492,44561,44655,44771,44931,45132,45349,45433,45360,45388,45503,45497,45391,45304,45090,44873,44751,44620,44528,44444,44383,44359,44385,44454,44522,44552,44547,44504,44449,44401,44321,44175,43970,43751,43529,43327,43166,43034,42935,42897,42913,42991,43129,43325,43574,43881,44242,44662,45125,45611,46097,46539,46899,47149,47256,47206,47008,46675,46227,45671,45037,44329,43551,42709,41829,40930,40032,39155,38313,37513,36762,36069,35438,34876,34383,33962,33614,33339,33137,33008,32953
1197.1,1196.6,1196.1,1196.4,1195.5,1195.7,1195.6,1201.8,1206.6,1214.4,1219.8,1225.2,1231.5,1243.8,1248.9,1261.1,1273,1286.5,1300.3,1311.4,1328,1341.7,1369.7,1371,1315.5,1289.9,1269.3,1346.5,1431.7,1432,1414,1383.5,1364.1,1377.8,1382.8,1288.4,1127.4,1104.5,1246.9,1182.2,1084.5,1048,998.41,968.05,1042.9,1044.8,1026.4,1008.9,962.86,956.03,928.33,911.05,854.8,798.88,778.56,762.19,759.19,756.6,723.44,703.6,687.66,676.54,693.28,684.77,668.7,657.67,632.83,650.07,632.13,627.33,617.22,608.24,597.35,592.76,586.43,581.44,576.89,554.44,535.69,488.32,439.41,411.97,396.99,379.87,373.74,367.39,369.91,358.1,360.76,362.21,311.05,251.84,207.18,186.58,150.19,149.89,144.22,125.75,98.564,88.719,75.247,72.157,69.01,67.691,68.293,73.712,67.352,61.814,59.648,56.825
6.31,6.3094,6.3043,6.2928,6.2848,6.2689,6.2524,6.2058,6.1637,6.1035,6.0478,5.989,5.939,5.8396,5.7735,5.6701,5.5882,5.4885,5.3792,5.2764,5.1271,5.0089,4.8779,4.8336,4.9161,4.9151,4.9189,4.7819,4.7031,4.7125,4.6371,4.6035,4.608,4.5756,4.5563,4.726,4.8348,4.7994,4.5326,4.6385,4.7519,4.7807,4.8198,4.8141,4.5449,4.4597,4.4324,4.3773,4.4305,4.3301,4.3258,4.2877,4.4175,4.6746,4.6911,4.6362,4.5508,4.4913,4.6806,4.7056,4.6825,4.6253,4.403,4.3453,4.3505,4.3324,4.4015,4.1751,4.2117,4.1533,4.1432,4.1313,4.1318,4.097,4.0749,4.0469,4.0175,4.101,4.1282,4.4117,4.6312,4.9337,5.1635,5.3937,5.5066,5.5865,5.5703,5.6821,5.6918,5.7117,5.9238,6.1523,6.2946,6.3366,6.4442,6.4029,6.3873,6.4188,6.4833,6.4925,6.5167,6.4962,6.4753,6.4489,6.4207,6.3774,6.3878,6.399,6.4004,6.4089
