26527,26539,26567,26611,26671,26744,26832,26931,27043,27164,27294,27430,27571,27713,27855,27994,28129,28259,28388,28521,28664,28823,28998,29181,29366,29545,29717,29876,30019,30142,30248,30360,30506,30682,30848,30980,31061,31098,31138,31214,31307,31406,31497,31577,31650,31728,31808,31884,31953,32010,32052,32083,32127,32207,32334,32501,32701,32925,33167,33420,33677,33932,34181,34419,34642,34849,35037,35205,35353,35480,35585,35668,35728,35767,35784
1797.9,1799.3,1802.7,1808,1815.1,1824.1,1834.9,1847.3,1861.4,1877,1894,1912.4,1932.1,1952.9,1974.8,1997.7,2021.5,2046.2,2071.7,2097.8,2124.4,2151.5,2179.1,2206.8,2234.6,2262.5,2290,2317.4,2344.1,2370.8,2395.1,2418.6,2442.8,2464.9,2488,2511.8,2536.2,2556.5,2575.9,2594.9,2612.2,2629.8,2647,2663.8,2679.5,2694.3,2709.1,2723.2,2737.3,2750.7,2764,2775.5,2786.1,2798.1,2809.8,2820.9,2831.1,2840.7,2849.4,2857.2,2864.2,2870.4,2876,2880.9,2885.2,2889,2892.3,2895.1,2897.4,2899.4,2901,2902.2,2903.1,2903.6,2903.9
0.045878,0.045733,0.04539,0.044859,0.044123,0.043213,0.042091,0.040845,0.039412,0.037846,0.036095,0.034063,0.031875,0.029548,0.027112,0.024511,0.022103,0.020314,0.019351,0.019341,0.02009,0.021411,0.022047,0.021633,0.020657,0.01903,0.01747,0.015259,0.013253,0.010742,0.0096921,0.011533,0.014975,0.015585,0.01321,0.009245,0.0046695,0.0023882,0.0048257,0.0073399,0.0080218,0.0080773,0.0070453,0.0062174,0.0061775,0.0068646,0.006611,0.0064523,0.0054897,0.0044846,0.0030612,0.0030597,0.0056667,0.010164,0.015036,0.019347,0.023212,0.026622,0.029586,0.032047,0.034029,0.035614,0.036817,0.037667,0.038255,0.038621,0.038837,0.038973,0.039021,0.039001,0.038953,0.038881,0.038835,0.038797,0.038781
994,993.31,991.69,989.14,985.68,981.32,976.07,969.94,962.95,955.1,946.44,937.01,926.8,915.85,904.16,891.75,878.56,864.51,849.57,833.76,817.15,799.84,782.11,764.1,745.78,727.22,708.27,689.14,669.64,649.95,629.6,608.3,586.48,565.2,544.69,524.67,504.76,483.98,461.92,439.87,418.33,397.05,376.2,355.51,334.88,314.36,294.38,274.78,255.79,237.23,219.22,201.31,183.3,165.45,148.16,131.81,116.46,102.19,89.016,76.94,65.948,56.006,47.058,39.057,31.941,25.661,20.163,15.396,11.327,7.9227,5.1505,2.9901,1.4162,0.42168,-1.5522e-13
-0.00098978,-0.00099603,-0.00099224,-0.00099188,-0.00099617,-0.00098551,-0.00099343,-0.00093235,-0.00096969,-0.00090222,-0.00098836,-0.00098486,-0.00099336,-0.00095018,-0.00096908,-0.00092061,-0.00073469,-0.00044612,-0.0001569,0.00012887,0.00030548,0.00035938,-2.9538e-05,-0.00014402,-0.00038167,-0.00035913,-0.000471,-0.00049585,-0.00051842,-0.00051756,8.3204e-05,0.00071052,0.00058613,-0.00028889,-0.00068908,-0.00099382,-0.00087187,3.3522e-05,0.00077871,0.00024063,0.00012955,-0.00015954,-0.00021286,-0.00015132,0.00016268,3.1426e-05,-4.9041e-05,-0.00011525,-0.00026475,-0.00028502,-0.0003102,0.00036376,0.00097967,0.001379,0.0012979,0.001215,0.0011123,0.0010382,0.00091349,0.00079782,0.0006649,0.00057294,0.00043141,0.00034019,0.00023354,0.0001627,9.9912e-05,7.6496e-05,-6.0222e-06,-2.3173e-05,-9.0435e-05,-8.7376e-05,-9.9822e-05,-0.0001107,-0.00010652
8.2579e-05,-8.045e-05,6.8956e-05,-5.9546e-05,5.4498e-05,-4.8296e-05,6.4907e-05,-1.9491e-05,2.4675e-05,-2.7262e-06,-3.7912e-05,1.0774e-05,1.5421e-06,1.3573e-05,-9.9195e-06,4.3523e-05,8.7006e-05,9.1788e-05,9.7854e-05,6.0601e-05,5.5524e-05,-6.2044e-05,-8.4621e-05,-2.2988e-05,-5.6382e-05,2.9961e-05,-6.1121e-05,4.0038e-05,-5.3935e-05,8.9427e-05,8.4875e-05,7.2995e-05,-9.3985e-05,-0.0001,-7.1478e-05,-3.4893e-05,9.5954e-05,0.0001,-1.892e-05,-0.0001,-1.1247e-05,-7.0412e-05,2.1933e-05,3.1203e-05,5.8844e-05,-8.0586e-05,3.4797e-05,-7.2448e-05,2.0316e-05,-5.4205e-05,9.952e-05,8.5016e-05,8.9509e-05,3.4764e-05,-3.9317e-05,-2.1149e-05,-2.9598e-05,-2.9405e-05,-4.2699e-05,-4.6393e-05,-3.9843e-05,-4.7841e-05,-5.3715e-05,-4.3032e-05,-4.8295e-05,-3.9002e-05,-1.9949e-05,-4.0448e-05,-4.7759e-05,-2.5107e-05,-7.3577e-05,4.99e-05,-9.2983e-05,6.0536e-05,-8.2762e-05
0,0.14619,0.48983,1.0292,1.7633,2.6909,3.8102,5.1192,6.6158,8.2971,10.16,12.202,14.418,16.806,19.36,22.076,24.95,27.975,31.148,34.462,37.911,41.489,45.19,49.007,52.933,56.962,61.087,65.299,69.592,73.957,78.388,82.875,87.412,91.991,96.602,101.24,105.89,110.55,115.21,119.86,124.5,129.11,133.69,138.23,142.71,147.14,151.51,155.8,160.01,164.14,168.17,172.09,175.91,179.61,183.19,186.64,189.95,193.13,196.15,199.03,201.74,204.3,206.68,208.9,210.94,212.8,214.49,215.98,217.29,218.41,219.34,220.07,220.61,220.96,221.1
50103,50088,50053,50000,49929,49842,49742,49633,49517,49400,49286,49185,49107,49065,49066,49128,49259,49456,49685,49896,50037,50069,49975,49814,49625,49472,49349,49306,49340,49517,49716,49825,49686,49232,48889,48827,49159,49659,50108,50257,50204,50115,50061,50081,50107,50055,49987,49920,49904,49955,50097,50262,50286,50065,49466,48534,47347,45985,44512,42992,41477,40011,38621,37333,36155,35097,34158,33339,32634,32043,31561,31185,30912,30739,30666
1784.7,1783.7,1780.5,1775.7,1768.5,1758.8,1747.9,1731.6,1718.2,1697,1682.7,1664.2,1645.4,1622.2,1600,1572.3,1537.8,1496.8,1449.3,1396,1357.5,1329.2,1317.7,1293,1285.5,1248.9,1222.5,1184.4,1150.3,1113.8,924.03,959.46,872.26,891.79,959.58,1033.7,948.61,733.19,746.06,673.58,669.79,682.44,671.63,649.99,593.86,594.82,593.07,587.93,596.47,587.1,577.92,467.04,514.68,541.47,529.01,514.86,503.52,495.4,481.15,465.32,450.1,437.4,428.29,418.46,408.93,401.92,393.95,384.19,374.88,368.91,362.59,359.53,356.11,354.05,352.23
4.097,4.091,4.0892,4.0825,4.0702,4.0654,4.0517,4.1069,4.0679,4.1278,4.0381,4.0151,3.9752,3.9682,3.9169,3.9276,4.0525,4.2532,4.4368,4.6096,4.7244,4.752,4.4353,4.3239,4.1097,4.1221,4.0098,3.9539,3.8997,3.8474,4.4001,4.94,4.84,4.0393,3.5798,3.1819,3.3074,4.2767,4.929,4.405,4.3047,4.0191,3.9587,4.0068,4.3084,4.171,4.0621,3.9738,3.7929,3.758,3.713,4.4411,5.0136,5.3998,5.3598,5.3492,5.319,5.3118,5.2991,5.2966,5.2466,5.246,5.1975,5.1877,5.1504,5.1285,5.1088,5.1424,5.076,5.1024,5.0434,5.0846,5.0921,5.0923,5.106
