23860,23869,23892,23927,23975,24036,24110,24196,24295,24405,24526,24657,24796,24941,25088,25236,25386,25535,25691,25855,26032,26226,26433,26643,26843,27030,27213,27394,27573,27748,27932,28129,28325,28517,28694,28845,28981,29130,29296,29466,29640,29808,29961,30095,30215,30317,30403,30483,30569,30666,30767,30865,30966,31074,31195,31340,31505,31682,31870,32066,32272,32484,32701,32914,33116,33302,33467,33607,33719,33803,33857,33880
1524,1525,1527.4,1531.2,1536.5,1543.6,1551.8,1560.8,1570.6,1581,1593.6,1607.5,1622.7,1638.9,1656.4,1674.6,1693.9,1713.9,1734.7,1756.1,1778.9,1803.4,1828.3,1852.8,1877.2,1904.4,1936.6,1972.4,2009.3,2046,2083.1,2119.2,2154.6,2188.7,2222.2,2253.7,2284.7,2315.1,2344.6,2372.7,2399.6,2426.1,2451,2476,2500.3,2523.5,2545.1,2565.1,2584.1,2601.7,2618.8,2634.7,2649.6,2663.1,2676.7,2690,2702.1,2713.1,2722.5,2730.2,2736.7,2742.7,2747.7,2752.1,2756,2759.4,2762.2,2764.4,2766.2,2767.5,2768.4,2768.7
0.037315,0.037323,0.037344,0.037358,0.037386,0.037369,0.037319,0.037128,0.036858,0.036333,0.035643,0.034819,0.033472,0.031803,0.029794,0.028214,0.026285,0.025202,0.025157,0.025169,0.026224,0.027321,0.027196,0.025678,0.022993,0.021075,0.020156,0.019245,0.018159,0.017683,0.018608,0.018665,0.017921,0.016821,0.014556,0.012136,0.011877,0.013571,0.014142,0.014397,0.014392,0.013473,0.012005,0.010492,0.009463,0.007865,0.0069455,0.007134,0.00812,0.0091082,0.0093193,0.0093768,0.010262,0.011583,0.014063,0.017399,0.020026,0.022589,0.025118,0.028133,0.031612,0.035356,0.03898,0.041936,0.044252,0.046043,0.047397,0.048397,0.049108,0.049588,0.04988,0.05
994,993.48,992.26,990.33,987.67,984.14,980.04,975.41,970.27,964.7,958.14,950.9,942.99,934.49,925.34,915.53,905.07,893.92,881.99,869.49,855.91,841.35,826.48,811.62,796.7,780.06,760.69,739.33,716.99,694.25,670.65,646.97,623.3,599.62,575.99,552.34,528.11,503.98,480.08,456.68,433.85,411.19,389.18,366.93,344.56,322.74,301.1,279.53,258.3,237.83,218.04,198.96,180.35,162.25,144.65,127.66,111.86,97.079,83.368,70.599,58.836,48.088,38.451,30.062,22.853,16.741,11.662,7.555,4.371,2.0671,0.61444,-3.2735e-16
4.4338e-05,5.7138e-05,3.6477e-05,2.6965e-05,1.8574e-05,-3.2716e-05,-6.7412e-05,-0.00016365,-0.00017858,-0.00035193,-0.0002867,-0.00046743,-0.00055897,-0.00069976,-0.00060005,-0.00052148,-0.00056443,-7.029e-05,-3.2596e-05,0.00011832,0.00035714,0.0001324,-0.00018391,-0.00052696,-0.00059141,-0.00025931,-0.00018548,-0.00020335,-0.00022788,8.5613e-05,0.00017233,-0.00012647,-0.00014836,-0.0003298,-0.00052339,-0.00033814,0.0002422,0.00027545,1.295e-05,8.0794e-05,-0.00011307,-0.00023518,-0.00035315,-0.00022869,-0.00027299,-0.00033171,-5.9596e-05,0.00013803,0.00027724,0.00014448,-1.8369e-05,0.00010615,0.00031084,0.0004483,0.00093699,0.00089579,0.00078795,0.0008519,0.00094784,0.0012734,0.0014892,0.001718,0.0016446,0.0014447,0.0012729,0.0011281,0.00099465,0.00089599,0.00080341,0.00076074,0.00072517,0.00072042
5.6678e-05,5.0739e-05,-9.6399e-05,4.7069e-05,-7.7006e-05,2.9265e-06,-8.6108e-05,-6.6213e-07,-7.5602e-05,-2.8036e-05,6.0391e-06,-9.9201e-05,-9.9619e-06,-5.7198e-05,9.9829e-05,-6.315e-05,0.0001,9.9861e-05,-2.1985e-05,9.308e-05,-1.8108e-06,-8.1978e-05,-7.3296e-05,-7.3134e-05,5.4007e-05,5.4523e-05,-4.3567e-06,-8.6466e-06,2.1014e-05,7.9592e-05,-5.2671e-05,-3.0939e-05,-6.3702e-06,-5.4031e-05,-1.0661e-05,9.0704e-05,9.2979e-05,-6.8064e-05,-2.6563e-06,-8.2713e-06,-4.2591e-05,-2.0293e-05,-7.9491e-06,3.4772e-05,-4.5296e-05,4.0118e-05,5.2594e-05,4.4386e-05,1.9048e-06,-5.0085e-05,-1.389e-05,6.8855e-05,1.8153e-05,0.0001,0.0001,-8.4137e-05,2.9379e-05,-4.3572e-06,0.0001,0.0001,0.0001,5.1798e-05,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,-5.9752e-05,-0.0001,0.0001
1.4211e-14,0.16678,0.55878,1.174,2.0112,3.0687,4.3446,5.8363,7.541,9.4554,11.576,13.898,16.418,19.13,22.029,25.11,28.367,31.794,35.383,39.128,43.022,47.057,51.226,55.52,59.931,64.45,69.07,73.78,78.572,83.437,88.364,93.346,98.371,103.43,108.52,113.61,118.72,123.82,128.9,133.96,138.99,143.97,148.9,153.76,158.55,163.26,167.88,172.4,176.81,181.11,185.28,189.31,193.21,196.95,200.54,203.97,207.22,210.3,213.2,215.92,218.44,220.76,222.88,224.79,226.5,227.99,229.27,230.32,231.16,231.78,232.17,232.33
54942,54933,54909,54875,54833,54810,54743,54623,54448,54211,54029,53843,53670,53507,53390,53298,53260,53249,53222,53146,53040,52865,52586,52252,51969,51935,52188,52619,53095,53560,53937,54133,54267,54344,54495,54743,55079,55256,55229,55089,54843,54614,54430,54400,54457,54597,54806,54980,55061,54989,54851,54679,54449,54093,53629,52968,52106,51112,50000,48767,47401,46005,44597,43241,41984,40859,39885,39074,38431,37960,37660,37532
1668.7,1667.6,1668.3,1675.2,1704.2,1724.6,1659.4,1667.7,1639.2,1644.1,1626,1629.5,1621.8,1621.2,1596,1573.4,1561.9,1500.6,1474.9,1434.2,1427.6,1421.1,1403.2,1385.2,1372.6,1399.3,1429,1420.9,1384.1,1353.9,1298.7,1275.9,1226.2,1189,1158.2,1077.4,1057.2,1025.6,1009.5,975.69,963.89,940.39,921.15,903.36,875.2,852.45,772.89,742.11,705.27,693.23,682.14,651.9,614.39,587.34,615.66,598.54,586.53,544.32,490.86,419.16,406.12,383.85,363.19,364.84,366.29,365.15,365.26,365.13,366.43,364.26,362.52,360.01
5.7132,5.7182,5.7035,5.6925,5.6808,5.6458,5.6209,5.5572,5.5395,5.4339,5.4747,5.3443,5.2799,5.1486,5.1906,5.2106,5.1323,5.4243,5.4144,5.488,5.6039,5.4349,5.1895,4.8987,4.793,5.0061,4.9589,4.84,4.7305,4.9109,4.9266,4.5986,4.5193,4.3505,4.1543,4.264,4.7115,4.7099,4.4481,4.4974,4.3096,4.2194,4.0962,4.1815,4.1279,4.0536,4.2802,4.4405,4.5663,4.4333,4.2863,4.4059,4.6256,4.7984,5.3595,5.3691,5.3256,5.4765,5.6699,6.1185,6.4957,6.8834,6.9991,6.924,6.8744,6.8199,6.7769,6.7515,6.7227,6.7276,6.7267,6.7413
