25156,25166,25190,25227,25276,25338,25410,25492,25582,25680,25785,25895,26011,26133,26259,26386,26511,26632,26751,26870,26992,27120,27249,27374,27492,27610,27735,27880,28052,28243,28444,28640,28826,29010,29188,29360,29526,29686,29840,29987,30128,30263,30392,30518,30639,30757,30870,30978,31082,31181,31277,31368,31455,31537,31617,31692,31764,31832,31898,31961,32019,32073,32125,32174,32221,32265,32307,32348,32384,32419,32461,32514,32581,32666,32773,32900,33045,33208,33384,33570,33760,33949,34133,34306,34463,34599,34710,34794,34849,34872
1520,1520.7,1522.4,1525,1528.7,1533.3,1539,1545.8,1553.6,1562.6,1572.7,1584.1,1596.8,1610.9,1626.4,1643.7,1662.8,1683.7,1706.6,1731.6,1758.8,1788.7,1820.5,1853.1,1886.3,1919.9,1953.8,1987.9,2021.7,2055,2087.5,2119.2,2150.7,2181.7,2212.2,2242,2271.1,2299.5,2327.1,2353.9,2379.8,2404.7,2428.9,2452.5,2475.8,2498.5,2520.4,2541.6,2562,2581.8,2600.8,2619.1,2636.7,2653.6,2669.8,2685.4,2700.3,2714.6,2728.3,2741.4,2754,2766.1,2777.7,2788.7,2799.3,2809.3,2818.8,2827.8,2836.5,2844.4,2851.7,2858.2,2863.9,2868.8,2873,2876.3,2878.9,2880.8,2882,2882.6,2883,2882.9,2882.2,2881.4,2880.5,2879.8,2879.3,2878.9,2878.7,2878.6
0.041099,0.040936,0.040552,0.039949,0.039128,0.038087,0.036854,0.035486,0.034033,0.032547,0.031079,0.029695,0.028476,0.02742,0.026047,0.024189,0.021906,0.019968,0.018556,0.017691,0.017394,0.017003,0.015953,0.014347,0.013142,0.012863,0.013704,0.015531,0.017343,0.018025,0.017595,0.016069,0.015173,0.014459,0.013519,0.012767,0.011972,0.011318,0.010623,0.0099398,0.0094082,0.0087528,0.0084774,0.0080435,0.0076697,0.0074406,0.0070043,0.0067015,0.0063647,0.0061143,0.0058196,0.0055794,0.0053197,0.0051066,0.0048833,0.0047027,0.0045134,0.0043484,0.0042258,0.0040837,0.003804,0.0036128,0.003548,0.0034637,0.0033443,0.003232,0.0032237,0.0031792,0.0028441,0.0032139,0.004181,0.0055176,0.0074362,0.0098818,0.01273,0.015828,0.019145,0.022618,0.026161,0.029696,0.033146,0.036447,0.039507,0.042171,0.044502,0.046424,0.047917,0.049011,0.049705,0.05
1562,1561.5,1560.5,1558.8,1556.4,1553.5,1549.9,1545.6,1540.7,1535.1,1528.7,1521.6,1513.7,1505,1495.4,1484.9,1473.5,1460.9,1447.1,1432,1415.4,1397.2,1377.8,1357.5,1336.2,1313.7,1290.1,1265.5,1240.1,1214.4,1188.4,1162.4,1135.8,1108.7,1081.4,1053.8,1026,997.88,969.64,941.27,912.75,884.22,855.53,826.91,798.32,769.76,741.38,713.1,685.01,657.09,629.43,602.02,574.92,548.13,521.7,495.65,470.02,444.82,420.09,395.86,372.2,349.07,326.47,304.47,283.12,262.41,242.33,222.96,204.4,186.31,168.75,151.86,135.61,120.08,105.35,91.531,78.645,66.734,55.82,45.925,37.047,29.165,22.274,16.375,11.402,7.3731,4.2714,2.0259,0.60369,1.4625e-14
-0.00099907,-0.001,-0.00099998,-0.001,-0.00099999,-0.001,-0.00096015,-0.00090204,-0.00082415,-0.00074781,-0.00064809,-0.00055311,-0.00041499,-0.00040738,-0.00053601,-0.00066688,-0.00066897,-0.00045158,-0.00032517,-0.00012385,-6.0514e-05,-0.00014783,-0.00033448,-0.00033656,-0.00017142,5.9767e-05,0.00027559,0.00041356,0.00024095,3.5151e-05,-0.00021216,-0.00025946,-9.2784e-05,-0.00016818,-0.000137,-0.00013303,-0.00012336,-0.00010294,-0.00012467,-8.9493e-05,-0.00010111,-8.2804e-05,-3.3422e-05,-9.2641e-05,-2.3635e-05,-6.6108e-05,-5.5363e-05,-5.3825e-05,-4.4894e-05,-4.494e-05,-4.3281e-05,-4.1253e-05,-3.9002e-05,-3.6531e-05,-3.4305e-05,-3.0958e-05,-3.173e-05,-2.6437e-05,-1.7537e-05,-4.1257e-05,-5.1323e-05,-2.0587e-05,-9.6704e-06,-2.4157e-05,-2.2124e-05,-2.2136e-05,1.8005e-05,-6.3798e-05,-3.1067e-05,0.00019645,0.00027906,0.00043684,0.00061337,0.00079553,0.00093234,0.001073,0.0012115,0.0013532,0.0014712,0.0015955,0.0016888,0.0018017,0.0018162,0.0018293,0.0018725,0.0018246,0.001816,0.0018089,0.0018066,0.0018046
1.754,1.754,1.754,1.754,1.754,1.7541,1.7541,1.7541,1.7542,1.7543,1.7543,1.7544,1.7545,1.7545,1.7546,1.7547,1.7548,1.7549,1.755,1.7551,1.7552,1.7553,1.7554,1.7555,1.7556,1.7557,1.7558,1.7559,1.756,1.7562,1.7563,1.7564,1.7565,1.7566,1.7567,1.7569,1.757,1.7571,1.7572,1.7573,1.7574,1.7575,1.7576,1.7577,1.7578,1.7579,1.758,1.7581,1.7582,1.7583,1.7584,1.7584,1.7585,1.7586,1.7587,1.7588,1.7588,1.7589,1.759,1.759,1.7591,1.7591,1.7592,1.7592,1.7593,1.7593,1.7594,1.7594,1.7595,1.7595,1.7596,1.7596,1.7596,1.7597,1.7597,1.7597,1.7598,1.7598,1.7598,1.7598,1.7599,1.7599,1.7599,1.7599,1.76,1.76,1.76,1.76,1.76,1.76
-1.6286e-05,4.0539e-07,-2.1408e-06,3.2494e-06,-5.6228e-06,1.4721e-05,3.9816e-05,4.2298e-05,4.4922e-05,4.1771e-05,4.6467e-05,4.5176e-05,4.7952e-05,-3.9006e-05,-3.9358e-05,-4.1328e-05,4.9995e-05,4.784e-05,4.1568e-05,4.4892e-05,-7.0952e-06,-3.7055e-05,-3.2365e-05,2.5988e-05,4.3001e-05,4.8769e-05,4.083e-05,-6.1967e-09,-4.9968e-05,-3.3337e-05,-4.792e-05,3.3569e-05,3.1198e-06,-9.1342e-06,9.2406e-06,-3.6822e-06,6.2356e-06,-1.8298e-06,-5.8038e-07,7.1603e-06,-7.987e-06,1.5557e-05,-8.1916e-06,2.6264e-06,5.5842e-06,-8.7319e-06,6.577e-06,-3.3267e-06,4.2984e-06,-3.06e-06,2.9554e-06,-1.9146e-06,2.401e-06,-1.425e-06,2.1286e-06,-1.13e-06,1.1092e-06,1.0586e-06,1.9316e-07,-6.7795e-06,4.1951e-06,4.9633e-06,-1.1879e-06,-1.9734e-06,2.6756e-07,4.3936e-06,2.2147e-06,-2.7072e-05,5e-05,3.5888e-05,2.42e-05,5e-05,4.9997e-05,4.8928e-05,3.996e-05,4.8156e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-2.1198e-05,5e-05,-1.5293e-05,-4.1352e-05,3.8974e-06,-2.0894e-05,5.8596e-06,-4.8274e-05
2.8422e-14,0.16338,0.5475,1.1507,1.9721,3.0107,4.2653,5.7343,7.4159,9.3081,11.408,13.714,16.223,18.931,21.836,24.933,28.22,31.691,35.343,39.171,43.171,47.336,51.664,56.147,60.781,65.559,70.476,75.527,80.704,86.001,91.411,96.929,102.55,108.26,114.06,119.93,125.88,131.9,137.97,144.09,150.25,156.44,162.67,168.91,175.17,181.42,187.68,193.92,200.15,206.34,212.51,218.63,224.7,230.71,236.66,242.53,248.33,254.04,259.66,265.18,270.59,275.89,281.06,286.11,291.03,295.81,300.44,304.93,309.25,313.42,317.42,321.25,324.9,328.37,331.66,334.75,337.66,340.37,342.88,345.18,347.28,349.17,350.86,352.33,353.58,354.62,355.44,356.04,356.43,356.59
44480,44450,44380,44274,44137,43976,43799,43615,43432,43259,43104,42974,42872,42802,42776,42821,42964,43220,43579,44035,44564,45177,45859,46595,47386,48193,48940,49525,49869,50000,50000,49981,50000,50000,50000,50000,50000,50000,49996,50000,50000,50000,50000,49990,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50001,50002,50003,49994,50002,50002,49920,49729,49393,48886,48199,47341,46334,45206,43993,42736,41479,40250,39080,38009,37065,36266,35625,35150,34845,34715
1702.2,1702.9,1704.3,1706.5,1709.5,1713.2,1713.4,1712.1,1709.3,1706.7,1701.7,1697.1,1687.7,1691.3,1708,1724.1,1725.8,1705.2,1692.7,1671.6,1661.5,1660,1634.7,1584.7,1523.8,1462.7,1404.3,1349.3,1307,1267.8,1224.3,1184.7,1144.6,1110.8,1071.4,1033.8,996.92,959.2,925.18,887.81,850.69,814.44,788.6,773.14,755.5,736.09,710.13,685.79,664.39,644.22,624.02,604.06,584.61,566.01,548.5,532.1,517.28,503.1,489.6,479.75,469.4,456.19,445.15,436.89,427.71,419.12,407.3,406.56,396.23,367.42,351.88,326.17,297.35,270.85,247.44,218.37,187.39,154.28,122.17,106.33,86.376,15.803,-24.179,-41.209,-48.991,-44.748,-43.456,-46.798,-53.942,-57.938
