23745,23751,23765,23786,23815,23854,23899,23955,24002,24022,24057,24104,24162,24225,24299,24380,24459,24544,24647,24741,24836,24947,25058,25172,25291,25414,25544,25668,25807,25936,26084,26212,26370,26524,26680,26829,26987,27142,27300,27461,27621,27792,27962,28127,28311,28508,28690,28866,29032,29191,29340,29488,29630,29815,29960,30123,30243,30444,30616,30749,30925,31043,31207,31362,31477,31654,31744,31928,32064,32189,32322,32444,32564,32674,32792,32890,32997,33096,33191,33270,33361,33437,33517,33585,33650,33706,33759,33804,33846,33884,33920,33949,33969,33983,33993,33998
1510.9,1511.6,1513.2,1515.9,1519.4,1524,1529.6,1536.4,1542.1,1544.6,1548.9,1554.7,1562,1569.8,1579.1,1589.2,1599.2,1610.1,1559.8,1523.3,1542.1,1549.3,1563.7,1581.3,1602.5,1623.5,1648.4,1673.6,1703,1733.1,1767.9,1803.3,1844.2,1878.6,1906.6,1929.1,1953.1,1977.1,2001.7,2027.2,2052.8,2080.5,2108.3,2135.8,2166.7,2200.2,2231.8,2262.6,2292.1,2320.6,2347.8,2374.9,2401.3,2425.3,2448.5,2470.1,2492.3,2513,2531.3,2550.4,2569.3,2585.9,2601.8,2618.3,2633.6,2648.6,2662.8,2675.2,2687,2697.6,2708.5,2717.7,2727.8,2736.9,2746,2753.6,2762.2,2769.4,2775.7,2782.9,2789.2,2793,2796.4,2801.1,2805.2,2810,2814,2816.6,2815.3,2815.5,2817,2818.3,2818.9,2818.9,2818.9,2818.9
0.030139,0.02869,0.02713,0.028927,0.027893,0.029313,0.028381,0.029398,0.01222,0.0090978,0.015109,0.016772,0.018021,0.018071,0.020029,0.018836,0.017319,0.019905,0.020995,0.017528,0.019735,0.020466,0.018747,0.019641,0.018207,0.019822,0.017479,0.018585,0.017284,0.017625,0.016969,0.015679,0.018697,0.015685,0.016841,0.014488,0.016541,0.014072,0.016025,0.013897,0.015586,0.014629,0.01496,0.013844,0.017036,0.014879,0.015085,0.012819,0.013551,0.010946,0.012563,0.0093724,0.013734,0.011902,0.011937,0.010322,0.010763,0.016869,0.0090744,0.012729,0.011585,0.0088132,0.015513,0.007614,0.013618,0.010263,0.0095981,0.016814,0.0078971,0.013591,0.0097315,0.012691,0.0094639,0.012511,0.00994,0.011469,0.010807,0.011954,0.0095491,0.01122,0.011071,0.011134,0.01127,0.01081,0.010804,0.010367,0.010511,0.010242,0.011034,0.011348,0.012528,0.010676,0.010198,0.010771,0.011341,0.011611
1562,1561.5,1560.5,1558.8,1556.5,1553.5,1549.9,1545.7,1540.7,1535.1,1528.8,1521.9,1514.2,1505.8,1496.6,1486.6,1475.9,1464.2,1452.6,1442.5,1432.1,1421,1409.4,1396.9,1383.4,1369,1353.4,1336.7,1318.5,1298.9,1277.6,1254.7,1230.1,1205.8,1179.6,1152.2,1124.8,1096.9,1068.5,1040.1,1010.7,983.79,956.85,926.56,897.16,866.89,837.08,806.7,776.72,746.34,716.35,686.09,656.25,626.29,597.07,567.62,540.05,512.82,484.5,458.98,434.74,408.76,384.21,361.58,338.33,316.89,297.06,276.34,256.83,236.57,218.08,199.94,183.84,168.83,153.74,139.23,126.88,113.87,102.16,91.63,81.932,71.418,62.248,53.614,45.234,38.733,32.384,26.478,20.348,15.142,10.623,6.7861,3.858,1.8413,0.5448,9.8669e-17
0.0019905,0.0020003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00071559,0.00016118,0.002,0.0016923,0.002,0.002,0.002,0.002,0.002,-0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00051342,0.002,0.002,-0.00011938,0.0010235,0.002,0.00039441,0.00047089,0.0012403,-0.00064535,0.00036131,0.00025978,0.00099772,0.00099326,0.00048264,0.00058198,-0.001,-0.00015761,0.0003851,-0.00075639,-0.001,0.00058747,-0.00098055,-0.001,-0.0005785,0.0015681,-0.001,0.0011579,-0.001,-0.001,-0.00073113,0.002,0.00042585,0.0014717,0.002,0.002,0.002,0.0014815,0.002,0.0019344
1.9999,1.9999,1.9999,1.9999,1.9999,1.9999,1.9999,1.9999,1.9999,2,2,2,2,2,2,2,1.9999,1.9997,1.9998,1.9998,1.9998,1.9998,1.9999,1.9999,2,2,2,2,2,2,2,2,2,1.9999,2,1.9999,2,1.9999,2,1.9999,2,1.9998,2,1.9998,2,1.9998,2,1.9997,1.9999,1.9996,1.9999,1.9994,2,1.9993,2,2,1.9766,1.8482,1.7582,1.7855,1.727,1.6832,1.6905,1.6873,1.6893,1.6882,1.6891,1.6886,1.6891,1.6888,1.6892,1.689,1.6893,1.6892,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
-5e-05,5e-05,-5e-05,4.9674e-05,-4.2927e-05,3.818e-05,-3.5285e-05,3.3205e-05,-3.1676e-05,3.055e-05,-2.9735e-05,2.9172e-05,-2.8824e-05,2.8665e-05,-2.8679e-05,2.8858e-05,-2.9198e-05,2.97e-05,-3.037e-05,3.1217e-05,-3.2257e-05,3.3507e-05,-3.499e-05,3.6734e-05,-3.8766e-05,4.1107e-05,-4.375e-05,4.6592e-05,-4.9221e-05,5.0363e-05,-4.2594e-05,-2.0311e-05,-5e-05,5e-05,5e-05,-2.6818e-05,2.7257e-05,4.7907e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,1.7325e-07,5e-05,-5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,5e-05,5e-05,-5e-05,5e-05,-5e-05,-5e-05,-5e-05,5e-05,-5e-05,2.6757e-06,5e-05,-5e-05,5e-05,5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,-5e-05,5e-05,5e-05,5e-05
2.8422e-14,0.13628,0.45672,0.95994,1.6454,2.5122,3.5596,4.7864,6.1912,7.7726,9.5288,11.458,13.558,15.826,18.261,20.859,23.618,26.534,29.605,32.827,36.197,39.711,43.365,47.155,51.078,55.129,59.303,63.596,68.004,72.521,77.143,81.865,86.681,91.587,96.577,101.65,106.79,112,117.27,122.6,127.98,133.4,138.86,144.36,149.88,155.42,160.98,166.55,172.12,177.69,183.24,188.79,194.31,199.81,205.27,210.69,216.07,221.4,226.67,231.88,237.02,242.09,247.08,251.99,256.8,261.52,266.15,270.66,275.07,279.36,283.54,287.59,291.51,295.3,298.96,302.47,305.84,309.06,312.13,315.05,317.81,320.41,322.84,325.11,327.21,329.14,330.89,332.48,333.88,335.11,336.16,337.02,337.71,338.21,338.53,338.67
55000,54997,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,50780,47708,48166,47760,47807,48014,48390,48707,49194,49720,50367,51106,51954,52970,54036,54734,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,55000,54515,54327,53906,53872,53088,52451,52161,51521,51245,50581,50010,49712,48926,48771,47850,47256,46673,46052,45468,44929,44435,43900,43452,42983,42528,42083,41770,41362,40970,40556,40258,39960,39743,39524,39317,39014,38788,38610,38471,38367,38277,38217,38191
1472.4,1472.5,1475.3,1479.7,1485.5,1492.8,1501.2,1510.8,1518,1521.3,1526.5,1532.6,1539.2,1546.1,1553.8,1560.4,1566,1571.8,1470.1,1369.4,1401.3,1398.5,1412.1,1428.4,1451.2,1468.8,1489.4,1498.6,1514.4,1520.6,1523.2,1519.4,1553.1,1530.4,1400.4,1380.3,1332,1296.1,1259.4,1221.7,1183.8,1260.7,1102.4,1066.5,1028.5,986.09,945.91,907.06,870.36,836.05,802.94,767.6,733.38,704.75,680.32,658.31,727.94,614.58,594.27,698.89,591.39,527.02,604.84,575.31,509.2,626.46,529.93,521.08,451.99,436.61,452.49,433.36,559.51,483.46,407.86,517.29,524.82,349.4,509.39,503.84,463.05,172.91,488.17,209.02,478.56,473.78,446.78,20.962,289.66,129.99,14.777,9.9658,6.3391,107.14,1.7886,6.0123
7.1404,7.1443,7.1407,7.1349,7.1271,7.1165,7.1036,7.0867,7.0726,7.0644,7.052,7.0374,7.0211,7.0017,6.9768,6.955,6.9345,6.9088,7.3775,7.7248,7.6508,7.6794,7.6484,7.6034,7.518,7.4399,7.3265,7.2598,7.1256,7.0239,6.9069,6.7824,5.8254,5.3449,6.591,6.384,6.5878,6.5881,6.5893,6.5918,6.5944,4.1153,6.6055,6.6079,6.6128,6.6191,6.6242,6.6283,6.6318,6.6345,6.6371,6.6405,6.644,6.6876,6.7056,6.7441,5.337,6.8064,6.8555,4.6909,6.0011,6.9734,5.3742,5.5052,6.3656,4.1761,5.4618,5.4098,6.3298,6.3779,5.8352,6.0067,3.8755,5.1125,5.902,4.3004,3.9652,6.2954,4.0417,4.026,4.7091,7.7586,4.0986,7.3101,4.1331,4.1445,4.5992,8.5541,6.4506,7.9295,8.6174,8.665,8.7092,8.0319,8.7772,8.7136
5.0768,5.0791,5.0844,5.093,5.1045,5.1196,5.1377,5.16,5.1786,5.1868,5.2008,5.2198,5.2434,5.269,5.2992,5.3323,5.3649,5.4004,5.2306,5.1068,5.1689,5.1915,5.2385,5.2963,5.3657,5.4345,5.5165,5.5991,5.6958,5.7947,5.909,6.0257,6.1601,6.2731,6.3641,6.437,6.5147,6.5925,6.6725,6.755,6.8379,6.9275,7.0174,7.1063,7.2061,7.3145,7.4164,7.5159,7.6109,7.7029,7.7907,7.8779,7.963,8.0393,8.1135,8.1822,8.2536,8.3184,8.3759,8.4366,8.496,8.5486,8.5982,8.6497,8.6981,8.7442,8.7891,8.8268,8.861,8.8887,8.9173,8.9411,8.9677,8.9916,9.0152,9.0346,9.057,9.0751,9.0908,9.1098,9.1257,9.1337,9.1405,9.1523,9.1621,9.1747,9.1847,9.1908,9.184,9.1828,9.1857,9.1883,9.1892,9.1883,9.1878,9.1876
0.60714,0.60804,0.61028,0.61387,0.61874,0.62509,0.63268,0.6421,0.64992,0.65337,0.65929,0.66727,0.67717,0.68791,0.70058,0.71439,0.728,0.74283,0.67038,0.61686,0.64177,0.64886,0.66607,0.68759,0.71475,0.74135,0.77387,0.80459,0.84298,0.88057,0.92397,0.96856,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
