24377,24379,24385,24395,24409,24427,24452,24483,24520,24564,24614,24664,24721,24782,24832,24832,24907,25053,25140,25216,25328,25439,25534,25631,25725,25835,25936,26047,26159,26280,26388,26502,26625,26756,26881,27015,27145,27279,27386,27534,27675,27817,27954,28094,28240,28388,28536,28697,28825,28980,29108,29247,29389,29536,29662,29802,29939,30082,30210,30344,30481,30603,30777,30782,31026,31106,31210,31343,31433,31555,31645,31768,31851,31959,32044,32150,32221,32303,32357,32416,32480,32555,32627,32695,32748,32789,32837,32871,32901,32930,32954,32972,32986,32995,32998
1524,1524.4,1525.5,1527.1,1529.3,1532.1,1535.4,1539.4,1544,1549.1,1554.8,1561.1,1567.8,1575.2,1582.9,1591.9,1604.1,1616.5,1627.8,1638.7,1652.7,1670.1,1688,1707.6,1728.4,1751,1774.9,1800.7,1827.3,1854.2,1881.1,1908.3,1935.4,1962.5,1989.2,2015.9,2041.9,2068,2091.5,2112.8,2135.6,2159,2185.5,2211.9,2236.1,2260.1,2283.6,2305.2,2328.5,2351.4,2373.3,2394.6,2414,2432.3,2448.9,2466.7,2483.7,2501.2,2516.6,2531.5,2546.6,2560.5,2572.9,2584.8,2598,2611.2,2623.4,2632.8,2641.7,2650.1,2657.8,2664.7,2672.8,2682,2687.8,2693.5,2700.2,2706.4,2710.7,2715.6,2719.7,2722.6,2725.2,2727.6,2729.4,2731.4,2733.4,2734.3,2735.1,2736,2737.2,2737.9,2738.4,2738.7,2738.8
0.018611,0.018809,0.019144,0.019957,0.020498,0.022532,0.024232,0.026322,0.026506,0.028645,0.026586,0.02621,0.02608,0.026549,0.008123,0.0033161,0.047639,0.03802,0.020573,0.026372,0.033159,0.02472,0.024428,0.020977,0.023713,0.022413,0.021603,0.021805,0.022339,0.020924,0.019081,0.019878,0.021495,0.019788,0.020277,0.019486,0.020112,0.016549,0.016885,0.021423,0.01786,0.01927,0.017024,0.018528,0.018415,0.018007,0.019463,0.017545,0.015794,0.018737,0.013442,0.018408,0.015464,0.017722,0.013064,0.019039,0.013504,0.019552,0.010915,0.021758,0.0087181,0.026341,0.0048249,0.013968,0.030416,-0.00028583,0.025474,0.0078833,0.019732,0.010967,0.018634,0.013383,0.015967,0.014462,0.016688,0.015365,0.013197,0.01427,0.0091158,0.014189,0.014859,0.018971,0.01696,0.018731,0.012139,0.016204,0.015771,0.012599,0.014905,0.015479,0.015402,0.015037,0.015249,0.01544,0.015549
994,993.74,993.12,992.15,990.82,989.14,987.1,984.72,981.96,978.87,975.41,971.62,967.44,962.96,958.07,952.87,946.99,941,934.86,928.47,920.73,911.22,901.41,890.64,879.31,866.99,853.99,839.89,825.25,810.06,794.56,778.48,762.17,745.33,728.38,710.89,693.49,675.35,658.99,644.04,628.1,611.35,594.02,576.89,559.26,541.94,523.41,504.84,486.65,467.74,449.23,431.71,415.76,398.02,378.88,359.91,341.39,322.76,306.33,291.37,274.86,258.18,241.53,225.67,211.57,198.98,185.16,171.07,157.15,144.09,131.11,119.03,107.82,98.891,89.23,79.871,71.275,63.49,56.934,50.294,43.895,37.644,31.914,26.698,21.874,17.711,14.119,10.693,7.7037,5.3174,3.5949,2.1631,1.0415,0.31194,-1.7157e-13
0.0019866,0.002,0.0019529,0.002,0.0018192,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,-0.001,-0.001,-0.00095823,0.00072625,0.00052353,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0019788,0.002,0.001959,0.002,0.001893,0.002,0.0018981,-0.001,-0.001,-0.00096246,-0.00063697,-0.001,-0.00065423,-0.00074674,-0.00048941,0.0017744,-2.5145e-05,0.00066322,0.00083418,0.0003944,-0.001,-0.001,0.0016921,0.002,0.002,0.002,0.0019752,-0.001,0.00023343,0.0013918,0.001987,0.0019962,0.00099675,-0.00094547,-0.00080717,0.0011577,0.002,0.0015151,0.0018925,0.002,0.002,-0.0003523,-0.001,0.002,0.00029526,0.0010365,-0.001,-0.00072763,-0.00013518,0.00078856,0.0011976,0.0011157,0.0013074,0.0016359,6.506e-05,0.0010552,0.0019279,0.0016749,-0.00035526,-0.00093847,0.00033477,0.0008764,0.0011517,0.0011268
-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,0.0001,0.0001,1.4125e-05,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,-6.4531e-05,0.0001,-0.0001,0.0001,-0.0001,0.0001,7.9895e-06,-0.0001,0.0001,-0.0001,-5.5691e-05,-0.0001,0.0001,0.0001,3.4036e-05,-0.0001,0.0001,-0.0001,-0.0001,0.0001,3.2971e-05,0.0001,-0.0001,-0.0001,-0.0001,0.0001,0.0001,8.6623e-05,-0.0001,0.0001,-0.0001,-2.5396e-05,-0.0001,0.0001,-0.0001,-0.0001,-0.0001,-0.0001,0.0001,0.0001,0.0001,-0.0001,-2.1758e-05,0.0001,-0.0001,-0.0001,0.0001,-1.4813e-05,-0.0001,-0.0001,0.0001,0.0001,0.0001,0.0001,-0.0001
0,0.088734,0.29737,0.62501,1.0713,1.6356,2.3175,3.1161,4.0306,5.0599,6.2029,7.4584,8.8249,10.301,11.885,13.575,15.37,17.266,19.263,21.358,23.549,25.833,28.208,30.671,33.219,35.85,38.56,41.348,44.208,47.14,50.138,53.201,56.323,59.503,62.737,66.02,69.35,72.723,76.134,79.581,83.059,86.564,90.093,93.642,97.207,100.78,104.37,107.96,111.54,115.13,118.71,122.27,125.82,129.35,132.85,136.33,139.78,143.19,146.56,149.89,153.18,156.41,159.59,162.71,165.77,168.77,171.7,174.56,177.35,180.06,182.69,185.24,187.7,190.08,192.36,194.55,196.65,198.65,200.54,202.34,204.03,205.61,207.09,208.45,209.71,210.85,211.88,212.8,213.59,214.28,214.84,215.29,215.61,215.82,215.91
50602,50610,50629,50657,50692,50728,50753,50765,50763,50749,50718,50720,50701,50688,50780,51363,51526,51129,51144,51200,51173,51338,51666,52068,52554,53004,53597,54209,54844,55410,56061,56667,57167,57583,58015,58336,58640,58898,59233,59065,59020,58992,59169,59300,59236,59129,58981,58611,58628,58353,58272,58054,57706,57263,56924,56503,56080,55631,55210,54718,54214,53776,52856,53311,51855,51747,51395,50718,50361,49731,49335,48661,48334,47869,47434,46826,46527,46121,45871,45603,45268,44821,44395,43989,43674,43449,43179,42977,42793,42629,42501,42399,42322,42271,42250
1442.4,1441,1444.3,1439.2,1453.9,1435.5,1432.5,1428.7,1424.1,1418.6,1412.3,1406.2,1399.4,1392.4,1387.2,1734.4,1762.7,1670,1483.8,1494.2,1575.2,1578.5,1582.6,1586.4,1589.5,1590.5,1589.8,1582.6,1549.8,1513.9,1477.5,1441.4,1400.7,1364.3,1320.9,1287.6,1243,1213.7,1206.6,1190.1,1177.1,1197.8,1141.5,1164.4,1139.9,1131.2,968.1,1006.8,1008.9,950.57,968.62,984.31,959.31,759.15,741.94,750.14,758.11,752.66,779.59,773.16,707.49,616.35,582.45,660.16,789.15,790.32,639.96,498.01,515.58,477.94,461.39,444.13,589.07,660.8,394.37,562.15,407.73,572.94,528.36,500.59,382.76,341.76,332.2,316.55,260.35,459.51,300.65,161.09,205.25,449.09,457.01,344.43,288.15,268.14,269.09
7.0276,7.0328,7.0098,7.0283,6.9396,7.0214,7.019,7.0177,7.0178,7.0188,7.0213,7.0201,7.0197,7.0171,7.0038,5.1792,5.1302,5.1594,6.1612,6.0288,6.8569,6.8113,6.7513,6.6818,6.6012,6.5202,6.4299,6.3465,6.2771,6.2253,6.1724,6.1088,6.0795,6.0125,6.0002,5.9064,5.9471,5.8569,3.7397,3.7063,3.6955,3.9069,3.5354,3.8124,3.702,3.8966,5.709,4.2464,4.8177,4.9751,4.5642,3.2301,3.2261,5.748,6.0312,6.0594,6.0926,6.1141,3.2429,4.5665,5.7307,6.3154,6.4157,5.4337,3.4355,3.631,5.7365,6.6523,6.2056,6.6541,6.8129,6.895,4.3059,3.5567,7.056,5.2045,6.0883,3.6521,4.0298,4.7474,5.9148,6.4729,6.4403,6.6842,7.1214,5.2212,6.5117,7.5886,7.2914,4.7033,3.9706,5.6756,6.3469,6.744,6.7177
