25090,25100,25124,25160,25209,25268,25338,25417,25505,25603,25711,25825,25945,26076,26224,26391,26574,26765,26965,27179,27404,27630,27856,28078,28285,28476,28670,28881,29102,29310,29492,29683,29870,30038,30206,30414,30653,30858,31015,31142,31257,31376,31478,31546,31590,31632,31713,31831,31949,32042,32119,32208,32312,32424,32544,32673,32821,32990,33179,33383,33598,33813,34020,34209,34374,34509,34610,34676,34704
1521,1522,1524.4,1528.1,1533.1,1539.5,1547.1,1555.9,1565.9,1577,1589.3,1602.9,1617.5,1632.7,1649.3,1667.6,1686.4,1706.7,1731,1761.3,1792.6,1827.2,1865.2,1902.4,1939.9,1976.8,2012.6,2047.4,2081.8,2116.1,2149,2180.2,2211.4,2242.8,2273.5,2302,2331,2359.4,2386.3,2411.1,2434.6,2457.2,2479.8,2501.3,2521.3,2540.8,2561,2578.8,2595.2,2611,2626.3,2641.4,2655.4,2668.4,2679.8,2689.2,2697.3,2704.4,2710.3,2714.6,2717.8,2720.6,2723,2725,2726.7,2728,2728.9,2729.5,2729.8
0.032098,0.031924,0.03151,0.030882,0.029978,0.028961,0.027959,0.027085,0.02646,0.026162,0.025432,0.024307,0.02384,0.024384,0.0259,0.026978,0.027019,0.0264,0.026406,0.026689,0.026015,0.024525,0.023357,0.021277,0.018712,0.017057,0.01775,0.018413,0.018094,0.015295,0.014189,0.014835,0.013186,0.011935,0.013147,0.016669,0.01639,0.012529,0.0097777,0.0082236,0.0081658,0.0082607,0.0059533,0.0038884,0.0026648,0.0041682,0.007906,0.0094969,0.0085464,0.0065474,0.0066943,0.0085781,0.009892,0.01117,0.012426,0.014728,0.018088,0.022151,0.026405,0.030975,0.035586,0.039382,0.042558,0.045043,0.046906,0.048262,0.049198,0.049766,0.05
994,993.48,992.25,990.32,987.69,984.35,980.31,975.54,970.06,963.86,956.98,949.44,941.15,932.12,922.16,911.36,900.23,888.31,874.51,858.07,840.92,822.11,801.36,780.42,758.8,736.7,714,691.05,667.83,644.52,621.05,597.61,574.31,550.16,525.21,500.66,476.42,453.45,430.12,407.1,383.96,361.05,338.93,317.02,295.43,273.04,250.54,229.12,209.34,190.63,171.9,153.47,136.04,119.57,104.06,89.339,75.414,62.483,50.622,40.17,31.305,23.769,17.385,12.077,7.8193,4.5207,2.1361,0.6342,3.497e-16
-0.00083424,-0.00084573,-0.00083606,-0.0008353,-0.00086239,-0.00069063,-0.00057053,-0.00037943,-0.00020244,-0.0001241,-0.00041985,-0.00028314,-2.1971e-05,0.00035175,0.000401,0.0001568,-0.00012444,-9.5649e-05,7.0209e-05,5.1077e-06,-0.00028587,-0.00024694,-0.00028644,-0.00046856,-0.00045637,-6.6625e-05,0.00019297,5.1015e-05,-0.00025443,-0.00052127,0.00014871,-0.00010444,-0.00031346,-6.4829e-05,0.00050055,0.00042421,-0.00049504,-0.00061584,-0.00032882,-0.00017211,0.00012415,-0.00021216,-0.00046477,-0.00028712,-7.3122e-05,0.00063622,0.00060037,2.9319e-05,-0.00038645,-0.000302,0.00035412,0.00037826,0.00030026,0.00030748,0.00043113,0.00084953,0.0011545,0.0014204,0.0015622,0.0019184,0.0018792,0.0017427,0.0016584,0.001478,0.0013564,0.001254,0.0011914,0.0011372,0.0011266
9.4454e-05,-9.9488e-05,9.833e-05,-9.8078e-05,9.7997e-05,9.4009e-05,9.8059e-05,8.1609e-05,9.8897e-05,-7.6313e-05,-5.721e-05,9.7164e-05,9.0143e-05,9.3958e-05,-5.136e-05,-7.0128e-05,-4.844e-05,4.7943e-05,1.4546e-05,-4.6866e-05,-4.2803e-05,3.2736e-05,-4.6498e-05,-1.1581e-05,2.3976e-05,9.8516e-05,-1.7514e-05,-1.5399e-05,-9.9745e-05,6.5494e-05,6.5912e-05,-9.2633e-05,2.2566e-05,6.302e-05,8.9568e-05,-0.0001,-0.0001,4.8735e-05,2.7267e-05,4.6507e-05,1.4796e-05,-9.889e-05,2.3842e-05,1.4068e-05,0.0001,0.0001,-0.0001,-9.9217e-05,-6.1051e-05,0.0001,0.0001,-5.152e-05,1.6737e-05,-1.4707e-05,0.0001,0.0001,0.0001,4.6831e-05,0.0001,0.0001,-9.9538e-05,-1.7937e-05,-0.0001,-9.9958e-05,-0.0001,-8.3112e-05,-0.0001,-9.4454e-05,9.4762e-06
2.8422e-14,0.20737,0.69474,1.4595,2.5001,3.8142,5.3991,7.2515,9.3674,11.742,14.372,17.249,20.37,23.726,27.311,31.117,35.137,39.362,43.783,48.39,53.175,58.127,63.235,68.489,73.878,79.39,85.014,90.738,96.55,102.44,108.39,114.39,120.43,126.5,132.58,138.65,144.72,150.76,156.76,162.71,168.6,174.41,180.14,185.76,191.27,196.66,201.92,207.03,211.98,216.76,221.37,225.79,230.01,234.03,237.84,241.43,244.78,247.9,250.78,253.41,255.78,257.9,259.75,261.34,262.65,263.69,264.46,264.94,265.15
45004,44991,44964,44923,44874,44821,44769,44717,44664,44601,44539,44495,44450,44366,44228,44037,43756,43486,43347,43396,43391,43510,43762,43974,44269,44618,44869,44929,44882,44893,45004,44972,44941,45038,45088,44759,44229,43897,43828,43871,43947,43949,44063,44366,44773,45173,45324,45131,44892,44774,44740,44614,44340,43969,43501,42907,42157,41251,40201,39040,37820,36626,35512,34521,33679,33005,32505,32187,32051
1629.8,1629.9,1627.1,1624,1622.4,1603.2,1587.1,1562.3,1536.3,1519,1540,1514.9,1472.3,1413,1431.9,1430,1427.5,1454,1546.7,1575.2,1546.6,1581.5,1538.1,1496.6,1456.3,1382.8,1302.6,1263,1239.5,1221.4,1120.8,1116.2,1108.2,1063.8,981.24,956.32,1014.2,993.79,905.56,869.99,803.41,827.17,824.85,786.47,726.86,722.75,711.46,643.33,686.93,652.85,664.21,642.98,631.03,602.96,541.27,458.05,435.34,391.21,331.48,245.47,237.28,225.84,217.1,221.48,219.52,220.11,219.81,219.73,218.25
5.8813,5.874,5.8781,5.8755,5.8527,5.9461,6.0052,6.1076,6.2045,6.2389,6.0332,6.0983,6.2471,6.4854,6.508,6.3133,6.116,6.1096,6.1479,6.0247,5.7846,5.7185,5.6192,5.4067,5.3379,5.5826,5.7406,5.5852,5.2923,4.9653,5.5738,5.307,5.0626,5.2483,5.7787,5.7184,4.7431,4.59,4.9257,5.0883,5.4105,4.9842,4.6279,4.8021,5.0337,5.7779,5.7176,5.0938,4.5484,4.6551,5.4804,5.5152,5.4443,5.4844,5.6775,6.2224,6.7008,7.152,7.4778,8.1645,8.2957,8.3299,8.425,8.3404,8.3342,8.3029,8.3185,8.3042,8.3118
