24569,24574,24586,24606,24635,24672,24719,24767,24832,24897,24970,25053,25138,25242,25340,25455,25562,25684,25816,25937,26084,26228,26374,26532,26687,26853,27020,27194,27366,27546,27730,27928,28111,28302,28495,28688,28887,29085,29283,29480,29687,29883,30081,30286,30483,30683,30877,31073,31266,31458,31645,31832,32016,32195,32373,32543,32711,32877,33035,33191,33340,33484,33626,33756,33884,34007,34119,34229,34332,34425,34514,34596,34673,34734,34796,34850,34893,34930,34959,34981,34994,35000
1550,1550.8,1552.9,1555.9,1560.4,1565.5,1572.6,1579.6,1589.4,1598.2,1611.4,1621,1636.8,1608.7,1584.8,1609.6,1608.7,1628,1639.7,1659.8,1677.5,1699.6,1724.5,1746.2,1764.9,1785,1808.3,1831.9,1855.3,1881.1,1907.1,1938.1,1971.6,2004.4,2037.7,2071.5,2103.1,2134.8,2165.2,2196.7,2227.8,2255.8,2285.4,2315.3,2340.1,2365.3,2387.1,2409.7,2428.9,2448,2464.6,2481.7,2495.8,2512.8,2528.4,2537.3,2562.3,2592.7,2589.8,2619.6,2643.2,2656.1,2682.9,2691.6,2696,2699.4,2701.7,2703.2,2703.8,2704.5,2706.1,2706.9,2704.7,2703.3,2702.1,2700,2698.7,2697.1,2697.3,2696.7,2696.2,2696.1
0.018093,0.018484,0.019123,0.020864,0.021003,0.022832,0.021015,0.020446,0.023538,0.018437,0.022696,0.018912,0.022063,0.020857,0.02122,0.02147,0.018487,0.022628,0.018843,0.019591,0.021433,0.018344,0.019988,0.018651,0.018932,0.018481,0.018718,0.017869,0.017797,0.017599,0.018212,0.017705,0.016007,0.01716,0.015783,0.016301,0.015651,0.015761,0.01495,0.015362,0.015237,0.014037,0.014897,0.014424,0.014154,0.014055,0.013754,0.013937,0.013606,0.013674,0.013279,0.013711,0.013162,0.013388,0.0131,0.012968,0.013139,0.012895,0.012764,0.012983,0.01229,0.012875,0.012395,0.01217,0.012658,0.012258,0.012061,0.01294,0.011931,0.012504,0.012122,0.013008,0.011986,0.011796,0.013464,0.011918,0.012425,0.012306,0.012885,0.012318,0.011902,0.012
994,993.48,992.25,990.31,987.67,984.31,980.26,975.46,969.96,963.75,956.8,949.03,940.63,931.71,922.78,912.05,901.09,889.05,876.72,862.64,850.1,836.02,821.18,808.95,795.04,781.68,767.3,752.83,737.76,721.88,705.11,685.28,661.49,638.72,614.52,590.97,565.92,541.37,517.14,492.92,468.79,445.87,421.72,399.86,377.01,355.55,335.13,316.46,295.52,276.42,257.73,237.3,220.58,205.26,190.03,174.61,161.12,148.28,134.92,122.74,112.23,100.96,88.964,78.983,70.502,62.337,54.448,47.172,40.447,34.398,29.305,24.466,19.756,15.686,12.161,9.0325,6.459,4.2857,2.5036,1.099,0.33143,1.3461e-15
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0015009,0.0018557,0.0017413,0.0015848,0.0014013,0.002,0.002,0.002,0.002,0.002,0.002,0.00044705,0.002,-0.001,-0.000258,-0.00080578,-0.00099721,-0.00085228,-0.00097077,-0.001,-0.00092874,-0.001,0.0019591,0.0019937,0.0018511,0.0014626,0.0015199,0.0019822,0.0012297,0.0010678,0.0002876,-0.00059304,0.00080773,-0.00082389,-0.00068997,-9.6065e-05,-0.001,-0.00077938,-0.001,0.0010993,-0.001,0.002,0.0005852,-0.001,-0.001,0.00021342,5.6993e-06,-0.001,-0.00042475,0.00078514,-0.001,-0.001,0.0010819,-0.001,-0.001,-0.00077215,-0.00044355,0.00027346,-0.00012157,0.00058977,-0.00060688,-0.00059469,0.00047429,0.002,0.00023949,0.002,0.00073975,0.002,0.0010186,-0.0003859,0.002,0.00053243,-0.00018726
0.0001,-7.2333e-05,5.0812e-05,-3.7572e-05,2.5807e-05,-1.2191e-05,-7.734e-06,4.5655e-05,-0.0001,-0.0001,0.0001,-0.0001,4.2512e-05,-6.9987e-05,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-9.5517e-05,2.9041e-05,2.7656e-06,-5.9133e-05,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-2.1646e-05,-8.5266e-05,-0.0001,3.4077e-05,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,7.1933e-05,0.0001,-0.0001,-1.8888e-05,6.8692e-05,0.0001,-0.0001,-4.4638e-05,0.0001,8.5259e-06,-0.0001,0.0001,-4.9917e-05,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,7.74e-05,0.0001,-0.0001,-6.8127e-05,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001
0,0.173,0.57968,1.2182,2.0874,3.1862,4.5128,6.0653,7.8414,9.8384,12.053,14.483,17.124,19.972,23.023,26.272,29.715,33.346,37.16,41.152,45.315,49.643,54.13,58.77,63.554,68.477,73.531,78.708,84,89.401,94.901,100.49,106.17,111.92,117.73,123.61,129.53,135.49,141.49,147.5,153.53,159.57,165.6,171.62,177.61,183.57,189.5,195.37,201.19,206.94,212.61,218.2,223.7,229.1,234.4,239.57,244.63,249.55,254.33,258.97,263.46,267.79,271.95,275.94,279.76,283.39,286.83,290.08,293.13,295.98,298.62,301.05,303.27,305.26,307.04,308.59,309.92,311.02,311.89,312.52,312.93,313.1
50763,50778,50816,50854,50916,50949,51024,51091,51195,51230,51483,51417,51721,49146,46962,47565,46718,46931,46625,46870,46776,46939,47221,47230,47078,46919,46901,46835,46762,46726,46666,46721,46992,47135,47265,47393,47362,47320,47196,47114,46924,46666,46455,46183,45758,45329,44805,44293,43683,43074,42424,41789,41083,40457,39807,39006,38718,38604,37557,37479,37264,36779,36689,36172,35566,34971,34418,33861,33334,32867,32449,32056,31620,31284,30955,30650,30416,30205,30073,29955,29882,29855
1416.7,1416.1,1414.7,1412.4,1409,1404.6,1399.2,1393.9,1387.4,1429.8,1397,1403.6,1407.2,1381.9,1427.1,1467.2,1434.9,1454,1447.9,1464.1,1357.1,1474.1,1463.6,1363.9,1397.9,1398.6,1355.4,1346.5,1327.5,1334.9,1324.8,1251.3,1202.5,1181.5,1190.5,1137.8,1040.4,1077,1044.9,1074.8,1050,947.8,986.45,977.43,894.34,908.65,909.49,884.04,700.89,825.05,492.34,642.3,730.06,683.03,575.96,553.47,584.4,475.41,292.28,478.21,442.83,122.23,385.89,364.85,366.27,264.18,126.05,139.55,-30.297,197.28,167.4,-86.175,-568.49,-58.686,-652.75,-286.26,-722.34,-406.45,17.704,-786.44,-283.94,-24.14
7.0247,7.0233,7.0195,7.0155,7.0089,7.0041,6.9945,6.9839,6.9665,6.6664,6.8409,6.7646,6.62,6.7478,7.337,7.238,7.3146,7.2609,7.2723,7.2185,6.2533,7.1543,5.167,5.6488,5.2409,5.0364,5.1079,4.9389,4.8606,4.8647,4.7512,7.0119,7.0099,6.8673,6.5176,6.5489,6.9068,6.2561,6.1075,5.4415,4.5302,5.8868,4.2628,4.3781,5.0403,4.058,4.291,4.0773,6.4387,4.1097,7.6728,6.0679,4.1996,4.2296,5.8865,5.6873,4.3125,5.1573,6.9436,4.3753,4.3769,7.4976,4.3908,4.4275,4.8602,5.4869,6.633,6.1082,7.332,5.4744,5.5474,7.3664,10.009,7.1156,10.195,8.1051,10.35,8.6919,6.217,10.49,7.9057,6.6234
