26588,26593,26607,26630,26663,26711,26775,26861,26972,27115,27280,27364,27343,27284,27237,27181,27161,27171,27246,27366,27357,27297,27195,27196,27370,27637,27748,27840,28073,28266,28302,28618,29169,29325,29621,30192,30385,30325,30394,30559,30420,30769,31181,31027,30998,31232,31494,31336,31358,31467,31623,31662,31750,31835,31914,31987,32093,32294,32220,32226,32295,32359,32417,32484,32654,32820,32937,33019,33100,33194,33303,33418,33511,33573,33628,33704,33790,33883,33979,34078,34164,34230,34275,34294
1520,1520.4,1521.4,1523,1525.2,1527.9,1531.3,1535.3,1539.9,1545.1,1550.8,1556.5,1562.4,1569.2,1576.9,1585.4,1595.4,1606.9,1620.2,1634.7,1650.5,1668.4,1688.7,1712.8,1740.6,1770.5,1803.9,1840.6,1879.1,1919.3,1958.5,1998.8,2037.5,2072.9,2107.6,2141.7,2172.9,2202.9,2232.4,2261.4,2289,2318.4,2345.2,2368.9,2393.4,2418.1,2440.8,2461.5,2483,2503.8,2523.4,2541.7,2559.1,2575.8,2591.4,2606.1,2620.1,2632.4,2643.5,2656.7,2671.6,2685.3,2697.9,2709.4,2719.7,2730.3,2740.5,2749.6,2757.2,2763.9,2770.2,2776.4,2783.1,2788.8,2792.9,2795.7,2797,2797.5,2797.9,2798.2,2798.4,2798.4,2798.4,2798.4
0.017546,0.017967,0.0189,0.020494,0.022437,0.025263,0.028089,0.032338,0.035591,0.042515,0.033191,0.004644,-0.01,-0.01,-0.0081227,-0.0080681,0.0011036,0.0025346,0.018081,0.0071927,-0.0053666,-0.01,-0.0085902,0.0090474,0.025161,0.020435,0.0037824,0.015118,0.021096,0.0075248,0.0057103,0.041345,0.026836,0.0052173,0.03671,0.028652,-0.00028004,-0.0032125,0.012492,-0.0005229,-0.0029504,0.037548,0.0018369,-0.0088995,0.0048782,0.021037,0.00070413,-0.0083596,0.0069785,0.0067553,0.0075401,0.00015184,0.008422,0.0017393,0.007471,0.0010952,0.014092,0.0035085,-0.0061536,0.0053209,0.0033269,0.0052524,0.0026398,0.0088712,0.014323,0.010853,0.007954,0.0064311,0.0080815,0.0095377,0.012047,0.011756,0.0092707,0.0065398,0.0093391,0.01301,0.016422,0.019569,0.024514,0.028787,0.030546,0.0322,0.033113,0.033538
1562,1561.6,1560.5,1558.9,1556.7,1554,1550.6,1546.7,1542.2,1537.2,1531.8,1525.8,1519.2,1511.8,1503.6,1494.7,1484.8,1474.1,1462.3,1449.9,1436.3,1421.4,1404.8,1386.4,1366.3,1345,1321.9,1296.7,1269.3,1241.2,1211.9,1180.4,1150.1,1119.5,1088.1,1058,1030.9,1002.3,970.36,938.22,905.12,871.85,839.87,807.3,773.91,740.41,707.85,675.13,641.87,608.78,576.2,544.04,512.14,480.91,450.18,420.04,390.62,362.13,334.67,308.2,284.74,261.69,238.93,216.11,192.99,173.28,155.19,137.87,121.42,105.75,91.123,78.131,66.99,56.604,46.54,37.119,28.581,21.106,14.781,9.6175,5.5815,2.6459,0.78715,-3.8122e-17
0.002,0.0019989,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0018161,0.0017803,0.0016818,0.0016484,0.0019424,0.002,0.002,0.002,0.002,0.002,0.0017412,0.0019122,0.002,0.002,0.002,0.0017572,0.001114,0.0018328,0.0017873,0.0009226,0.002,0.002,0.0015869,0.002,0.002,0.00058043,-0.00057961,0.0013006,0.002,0.0018948,0.002,0.001587,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0019789,0.002,0.002,0.0018831,0.002,0.0018579,0.002,0.0019409,0.0017488,0.00050192,-0.00051122,0.00041248,0.00021995,0.002,0.0013983,-0.00018839,6.9604e-05,0.00011635,0.00040708,0.00056488,0.00046897,-0.00051661,-0.00080738,-0.00013881,0.00066027,0.001342,0.0017863,0.002,0.002,0.002,0.002,0.002,0.002,0.0019886
1.6813,1.6813,1.6813,1.6813,1.6814,1.6814,1.6814,1.6815,1.6816,1.6817,1.6818,1.6819,1.6819,1.682,1.6821,1.6823,1.6824,1.6825,1.6826,1.6828,1.6829,1.6831,1.6832,1.6834,1.6835,1.6837,1.6839,1.6841,1.6842,1.6844,1.6846,1.6848,1.685,1.6852,1.6854,1.6856,1.6857,1.6859,1.6861,1.6862,1.6864,1.6866,1.6867,1.6869,1.687,1.6872,1.6873,1.6875,1.6876,1.6877,1.6879,1.688,1.6881,1.6882,1.6884,1.6885,1.6886,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
5e-05,-2.5442e-05,2.1039e-05,-1.736e-05,1.6138e-05,-1.5708e-05,1.6476e-05,-1.8939e-05,2.6018e-05,-5e-05,-5e-05,-1.6563e-06,-5e-05,5e-05,5e-05,-1.9757e-05,1.9719e-05,-2.1209e-05,2.7428e-05,-5e-05,-1.119e-05,4.2689e-05,2.8755e-07,-1.9958e-06,1.819e-06,-5e-05,-1.966e-05,5e-05,-5e-05,3.5112e-05,5e-05,-5e-05,2.8455e-05,5e-05,-5e-05,-5e-05,5e-05,5e-05,-5e-05,5e-05,-5e-05,6.361e-06,5e-05,-2.2263e-05,1.4006e-05,-1.0029e-05,7.8328e-06,-6.5024e-06,5.7308e-06,-5.9587e-06,1.0501e-06,5.753e-06,-1.3967e-05,-1.6468e-06,9.9738e-06,-2.3822e-05,4.3415e-05,-5e-05,-5.0166e-05,-5e-05,5e-05,3.1243e-05,5e-05,5e-05,-5e-05,-5e-05,3.2909e-05,5e-05,5e-05,5e-05,-5e-05,-5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-2.2717e-05,1.7595e-05,-1.754e-05,2.1781e-05,-4.3549e-05,-5e-05
0,0.206,0.69028,1.4506,2.4859,3.7946,5.3749,7.2246,9.341,11.721,14.362,17.259,20.408,23.806,27.447,31.326,35.438,39.777,44.336,49.109,54.09,59.271,64.646,70.206,75.943,81.85,87.918,94.138,100.5,107,113.63,120.37,127.21,134.16,141.19,148.3,155.47,162.7,169.98,177.3,184.64,192,199.36,206.72,214.06,221.37,228.65,235.88,243.06,250.17,257.2,264.14,270.99,277.73,284.36,290.85,297.22,303.44,309.51,315.41,321.15,326.71,332.09,337.27,342.25,347.02,351.58,355.92,360.03,363.91,367.55,370.95,374.1,377,379.64,382.02,384.13,385.98,387.56,388.87,389.91,390.67,391.15,391.36
35472,35461,35432,35378,35290,35154,34954,34666,34273,33735,33114,32925,33282,33883,34474,35150,35707,36169,36340,36297,37055,38226,39794,40929,41130,40813,41638,42724,42933,43458,45001,44616,42544,42974,42430,40097,40060,41555,42227,42239,44209,42974,41260,43112,44202,43522,42588,44379,45000,45000,44620,45000,45000,45000,45000,45000,44714,43698,44599,45000,45000,45000,45000,44901,44024,43201,42721,42441,42127,41704,41174,40609,40205,39976,39745,39353,38854,38299,37733,37159,36665,36283,36031,35922
923.87,924.53,925.19,926.18,926.79,926.2,923.67,917.31,905.34,885.02,903.29,911.25,966.51,1016.9,994.73,1028.6,1067.9,1101.5,1121.9,1131.9,1219.5,1242.1,1285.6,1322.2,1329.3,1352.5,1442.1,1360.3,1345.1,1356.7,1239,1179,1131.5,1059.2,1004.8,1036.6,1075.7,924.67,850.29,821.94,799.17,780.43,709.62,698.83,679.59,644.85,605.82,601.97,581.8,554.75,525.1,503.36,479.79,472.03,434.61,434.18,389.08,361.23,391.39,502.36,576.88,477.4,477.26,265.42,325.76,481.25,433.35,417.79,380.72,347.4,348.88,462.31,481.53,393.78,293.25,178.86,59.354,25.096,16.598,4.5698,-15.366,-42.948,-69.535,-59.582
9.485,9.4857,9.4908,9.4989,9.5128,9.5353,9.5699,9.6216,9.6953,9.8005,9.7638,9.7675,9.5924,9.4289,9.5615,9.4666,9.3469,9.2461,9.1984,9.1912,8.8099,8.7342,8.5295,8.3272,8.2629,8.0691,7.3331,7.7812,7.7017,6.8897,7.6406,7.6912,7.5967,7.9257,8.0053,6.9137,5.6574,7.4542,8.0714,7.9694,7.8111,7.5508,8.2343,7.9659,7.818,7.9088,8.0404,7.7938,7.7195,7.7248,7.7583,7.7337,7.735,7.6048,7.7378,7.5766,7.7749,7.8443,7.4888,5.9937,4.6284,5.8682,5.6146,7.751,7.14,5.192,5.601,5.6863,6.1037,6.3525,6.2799,4.8853,4.4466,5.5353,6.6908,7.6735,8.385,8.777,8.875,8.9879,9.1439,9.3298,9.4912,9.4305
5.0748,5.0761,5.0793,5.0843,5.0912,5.0999,5.1105,5.1228,5.1369,5.1524,5.1695,5.1877,5.2075,5.2309,5.2572,5.2859,5.3197,5.3578,5.4014,5.4481,5.5008,5.5615,5.6305,5.7107,5.8009,5.8973,6.0071,6.128,6.2528,6.3839,6.5138,6.6432,6.7637,6.8786,6.9892,7.0934,7.1938,7.294,7.3906,7.4839,7.5773,7.6689,7.7504,7.8314,7.9129,7.9905,8.0609,8.1321,8.2025,8.2694,8.3315,8.3909,8.4468,8.5003,8.5505,8.5978,8.6384,8.6684,8.709,8.752,8.7973,8.8391,8.8774,8.9116,8.9363,8.9621,8.9893,9.0145,9.0349,9.0518,9.0664,9.0805,9.0973,9.1127,9.1231,9.1281,9.1276,9.1241,9.1201,9.1157,9.1116,9.1082,9.1058,9.1047
0.54589,0.5463,0.54716,0.54851,0.55026,0.55231,0.55446,0.55646,0.558,0.5587,0.5656,0.57107,0.58431,0.59802,0.60043,0.61306,0.62854,0.64475,0.66053,0.67508,0.70809,0.73021,0.76075,0.79502,0.82659,0.8662,0.93693,0.95236,0.99516,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
