26674,26673,26670,26667,26666,26668,26678,26697,26732,26785,26860,26961,27083,27219,27357,27483,27600,27708,27805,27891,27974,28053,28120,28169,28204,28236,28287,28366,28485,28638,28800,28984,29197,29405,29614,29825,30007,30182,30358,30611,30953,31289,31508,31604,31606,31564,31530,31568,31677,31801,31902,31991,32090,32173,32244,32320,32393,32459,32523,32584,32643,32699,32751,32802,32853,32900,32947,32990,33034,33080,33132,33195,33271,33363,33472,33598,33740,33891,34046,34197,34339,34466,34573,34655,34709,34732
1520,1520.4,1521.2,1522.6,1524.6,1527.1,1530.3,1534.2,1538.9,1544.4,1550.9,1558.4,1567.9,1579.4,1592.5,1606.9,1622.8,1639.9,1658.3,1677.4,1698.2,1721.7,1747.6,1776.3,1807.4,1841.5,1877.2,1913.9,1951.1,1988.5,2025.7,2062.5,2098.7,2134,2168.6,2202.3,2235.1,2267,2297.8,2327.5,2356.1,2383.3,2408.5,2432.4,2455.8,2478.6,2500.8,2522.7,2544.4,2565.8,2586.6,2606.1,2624.8,2642.9,2659.9,2676.3,2691.8,2706.6,2720.7,2734.2,2747,2759.4,2771.1,2782.3,2793.1,2803,2812.4,2821.3,2829.6,2837.1,2844,2850.2,2855.6,2860.1,2863.8,2866.6,2868.8,2870.6,2872.1,2872.8,2872.8,2873,2873.5,2874,2874.5,2874.6
-0.0045084,-0.0041284,-0.0032419,-0.0018351,5.068e-05,0.002475,0.0053009,0.0088175,0.012698,0.016761,0.020773,0.024357,0.025943,0.025431,0.022641,0.019147,0.016811,0.014236,0.012008,0.010198,0.0097696,0.0082399,0.0061616,0.0040701,0.0030001,0.0034784,0.005639,0.008117,0.011364,0.012232,0.012639,0.014437,0.015028,0.013642,0.014265,0.01239,0.011068,0.010305,0.011951,0.018006,0.020774,0.01641,0.0085189,0.0024455,-0.0016548,-0.0025892,-0.00040109,0.0045109,0.0067589,0.0063348,0.0047183,0.0052229,0.0052084,0.0040297,0.004044,0.0043517,0.0039157,0.0037256,0.0037198,0.0035983,0.0035662,0.0034118,0.0032965,0.0034332,0.0033111,0.0034019,0.0032829,0.0033023,0.0036403,0.0040221,0.0051016,0.0066132,0.0084392,0.010933,0.01383,0.017237,0.020896,0.02432,0.027506,0.030497,0.033315,0.035714,0.037628,0.039048,0.03996,0.040346
1562,1561.6,1560.6,1559,1556.9,1554.1,1550.8,1546.8,1542.3,1537.1,1531.2,1524.8,1517.6,1509.7,1501.1,1491.7,1481.6,1470.5,1458.6,1445.6,1431.5,1416.2,1399.5,1381.2,1361.1,1338.8,1314.8,1289.4,1262.9,1236,1208.4,1179.8,1151,1122,1092.6,1063,1032.9,1002.7,971.51,939.37,908.33,879.5,851.97,824.47,796.22,766.55,735.55,703.58,672.19,641.85,612.15,581.99,552.22,523.43,494.6,466.4,438.84,411.82,385.42,359.63,334.57,310.3,286.69,263.92,241.96,220.7,200.28,180.77,162.13,144.3,127.3,111.21,96.063,81.896,68.759,56.679,45.766,36.056,27.576,20.285,14.132,9.117,5.2456,2.4771,0.73762,2.4607e-14
0.001875,0.0018745,0.0018759,0.0018723,0.0018727,0.00186,0.0018482,0.0018281,0.0017806,0.0016765,0.0016001,0.0011561,0.000238,-0.00026036,-0.00047273,-0.00059743,-0.00061183,-0.0004658,-0.0002448,6.1591e-05,-5.3192e-05,-0.00024868,-0.00030559,-0.00019588,4.3941e-05,0.000385,0.00049519,0.00063098,0.00049361,1.9787e-05,0.00023413,0.00031101,-0.00011095,-6.1779e-05,-0.00012956,-7.1925e-05,-6.4905e-05,-7.6239e-05,0.0006756,0.00074846,-2.9318e-05,-0.00072563,-0.00081171,-0.00072738,-0.0003258,9.9873e-05,0.00060261,0.00066884,0.00020758,-8.3916e-05,1.2151e-05,0.00040861,2.3861e-05,8.7609e-05,0.00023489,7.6312e-05,0.00011204,8.2434e-05,0.00010136,9.388e-05,4.2013e-05,3.4503e-05,6.0769e-05,-9.8275e-06,5.228e-05,9.2741e-05,8.6168e-05,7.4516e-05,0.00014187,0.00025802,0.00037958,0.00050372,0.0006797,0.00085423,0.0011117,0.0013476,0.0014653,0.0015512,0.0015717,0.0017454,0.0018618,0.0018747,0.0018943,0.0019165,0.001914,0.0019106
1.6813,1.6813,1.6813,1.6813,1.6813,1.6814,1.6814,1.6815,1.6815,1.6816,1.6817,1.6818,1.6819,1.682,1.6821,1.6823,1.6824,1.6825,1.6826,1.6828,1.6829,1.6831,1.6832,1.6834,1.6835,1.6837,1.6839,1.684,1.6842,1.6844,1.6846,1.6847,1.6849,1.6851,1.6853,1.6854,1.6856,1.6858,1.686,1.6861,1.6863,1.6865,1.6867,1.6868,1.687,1.6871,1.6872,1.6874,1.6875,1.6877,1.6878,1.6879,1.688,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6893,1.6893,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
1.3832e-05,-6.7968e-06,5.8104e-06,-8.9843e-06,3.4435e-06,-1.783e-05,-5.3954e-07,-2.0884e-05,-3.0005e-05,-4.4831e-05,-4.238e-05,-4.482e-05,-4.3415e-05,-4.6132e-05,-4.3443e-05,-2.3835e-05,2.2002e-05,3.6519e-05,3.6639e-05,2.8957e-05,-2.021e-05,-2.2112e-05,2.3292e-06,2.897e-05,4.7104e-05,4.4327e-05,-8.9976e-07,6.5482e-06,-2.2567e-05,-1.4688e-05,2.8365e-05,-3.1086e-05,-3.0232e-05,1.9927e-05,-1.4074e-05,2.0634e-05,-3.4544e-05,4.8023e-05,4.6611e-05,-3.9547e-05,-4.9968e-05,-4.6819e-05,3.7428e-06,1.7738e-05,4.3909e-05,4.1359e-05,3.0964e-05,-3.0928e-05,-3.0757e-05,3.3655e-06,1.0228e-05,-2.1333e-06,9.3892e-07,-1.5036e-06,-8.2418e-06,-1.8758e-06,5.899e-07,-3.8944e-07,2.0985e-06,2.2057e-07,-4.6985e-06,3.2332e-06,-2.2461e-06,-5.3095e-06,1.5309e-05,8.4631e-08,-4.5287e-06,4.1714e-06,2.4199e-05,2.6688e-05,2.6345e-05,3.6719e-05,4.1528e-05,4.4245e-05,4.3794e-05,4.3128e-05,3.8612e-05,1.1943e-05,4.1075e-05,3.2249e-05,2.0111e-05,8.7243e-06,2.707e-05,2.1087e-05,-2.9637e-05,1.5693e-05
0,0.20208,0.67716,1.4231,2.4388,3.7229,5.2737,7.0891,9.1665,11.503,14.096,16.942,20.036,23.375,26.955,30.769,34.814,39.083,43.571,48.273,53.18,58.288,63.588,69.075,74.74,80.575,86.574,92.727,99.027,105.47,112.03,118.72,125.52,132.42,139.41,146.49,153.64,160.86,168.13,175.45,182.8,190.17,197.56,204.96,212.35,219.72,227.07,234.39,241.66,248.87,256.02,263.1,270.1,277,283.8,290.48,297.05,303.49,309.79,315.94,321.94,327.78,333.44,338.93,344.23,349.34,354.24,358.95,363.43,367.7,371.75,375.56,379.14,382.48,385.58,388.42,391.01,393.35,395.43,397.24,398.79,400.08,401.09,401.84,402.31,402.52
34992,35016,35071,35152,35250,35354,35451,35522,35545,35502,35376,35162,34912,34679,34501,34440,34483,34624,34868,35202,35616,36155,36866,37795,38920,40194,41442,42545,43401,44019,44539,44866,44943,44986,44969,44888,44945,44999,44985,44383,43135,41906,41374,41582,42369,43445,44457,44975,44988,44883,44912,44977,44904,44917,44980,44982,44970,44990,44996,44996,44993,44992,44997,44991,44976,44953,44918,44893,44841,44751,44598,44342,43973,43474,42837,42070,41200,40275,39345,38439,37591,36853,36251,35801,35511,35386
925.65,927.89,932.52,940.66,950.03,963.61,977.86,993.77,1014.1,1043.6,1064.9,1151.6,1316.3,1407.5,1455.2,1490,1504.8,1492.6,1469.7,1435,1474,1515.1,1534.3,1531.6,1510.9,1475.2,1426.5,1373.9,1334.7,1308.8,1248.3,1192.3,1163.8,1117.5,1080.3,1035,994.84,956.24,871.24,829.99,833.22,839.3,803.09,781.84,745.14,691.21,641.04,619.97,629.18,636.5,605.57,551.88,564.56,539.07,510.32,505.93,486.45,475.66,460.45,449.53,445.62,436.84,424.31,425.77,409.1,396.02,389.95,385.07,369.41,348.26,328.56,308.45,278.55,244.42,198.45,152.27,133.93,112.33,82.479,-10.204,-43.783,-50.143,-41.55,-37.823,-39.259,-41.879
