24410,24424,24458,24511,24581,24669,24773,24892,25022,25164,25313,25468,25630,25792,25952,26104,26243,26367,26474,26573,26676,26795,26944,27131,27345,27578,27826,28084,28346,28598,28829,29026,29185,29343,29506,29687,29863,30035,30200,30355,30502,30633,30757,30859,30964,31069,31170,31262,31341,31401,31445,31492,31561,31662,31805,32004,32253,32535,32835,33139,33436,33717,33974,34204,34402,34567,34698,34795,34856,34882
1524,1525.1,1527.7,1531.8,1537.3,1544.1,1552.6,1563,1573.9,1585.2,1597.5,1610.5,1624.3,1638.8,1653.9,1669.7,1686.1,1703.2,1720.6,1739.3,1762.5,1794.7,1832.5,1870.9,1910.6,1950.2,1990,2029,2067.3,2104.1,2139.8,2174.1,2207.3,2239.2,2271.6,2302.6,2333.3,2363.6,2392.8,2420.2,2446.3,2471.4,2495.4,2518.2,2539.3,2559.7,2579,2597.4,2614.8,2631.5,2646.8,2661.5,2676.3,2689.2,2699.7,2708.9,2716.7,2723.1,2728.1,2732.1,2735.1,2737.5,2739.2,2740.5,2741.5,2742.2,2742.7,2743,2743.2,2743.3
0.049994,0.049812,0.049379,0.048711,0.047776,0.046665,0.045396,0.043883,0.041932,0.039908,0.037694,0.035744,0.03363,0.030755,0.027874,0.024306,0.020723,0.016828,0.014095,0.013087,0.013805,0.015813,0.019165,0.022013,0.023244,0.024028,0.024325,0.024072,0.023156,0.0209,0.018385,0.014231,0.012411,0.012594,0.013333,0.01404,0.012906,0.013035,0.011632,0.011527,0.010161,0.0096732,0.0084285,0.0074722,0.0082699,0.0079029,0.0077657,0.0068826,0.0058402,0.0041554,0.0036129,0.0050284,0.0079147,0.011629,0.017543,0.024476,0.030901,0.03615,0.040399,0.043689,0.046086,0.047769,0.048867,0.049518,0.049846,0.04996,0.049964,0.049991,0.049996,0.05
994,993.46,992.2,990.22,987.52,984.13,979.97,974.92,969.47,963.61,957.14,950.11,942.54,934.52,925.99,916.99,907.48,897.41,886.68,874.85,860.75,842.71,821.93,800.34,777.82,754.79,731.18,707.42,683.52,659.96,636.31,612.99,588.95,564.67,539.35,514.37,489.96,464.71,440.29,415.6,391.64,367.71,344.35,321.4,298.53,276.43,254.76,233.87,213.49,193.74,174.32,154.91,135.8,117.31,99.306,82.442,67.399,54.397,43.331,34.036,26.327,19.967,14.779,10.584,7.2357,4.623,2.6537,1.2454,0.36894,-2.473e-16
-0.00095571,-0.00096289,-0.00095696,-0.00096194,-0.00096803,-0.00088306,-0.00086276,-0.00094669,-0.00099991,-0.0008904,-0.00089106,-0.00062072,-0.00090519,-0.00086957,-0.0009571,-0.00099982,-0.00099306,-0.00090955,-0.00043717,-3.3279e-05,0.00031832,0.00058183,0.0007523,0.0003807,0.0001748,0.00012354,-1.3089e-05,-7.1551e-05,-0.00031811,-0.00042621,-0.00059306,-0.00070839,1.9678e-05,-1.025e-05,0.00028946,-0.00016423,-3.8956e-05,-0.00011722,-0.00017981,-4.3489e-05,-0.00029629,5.159e-06,-0.00041603,0.00013926,4.0053e-06,-3.529e-05,-0.00010695,-0.00019384,-0.00031061,-0.0003239,0.00010095,0.00056575,0.00079742,0.0012286,0.0018966,0.0019952,0.0018518,0.00156,0.0013878,0.0010925,0.00089182,0.00064639,0.00048327,0.00027985,0.00017342,1.2059e-05,2.9468e-05,2.1874e-05,1.574e-05,2.5517e-05
6.8753e-05,-6.812e-05,6.1984e-05,-6.6979e-05,7.3561e-05,3.0962e-05,5.3958e-06,-9.5024e-05,6.5178e-05,-1.8087e-05,8.8261e-05,8.438e-06,-9.7096e-05,5.3564e-05,-7.4679e-05,4.0292e-05,-3.5842e-05,9.9792e-05,0.0001,0.0001,5.1943e-05,7.2879e-05,-3.1309e-05,-8.0353e-05,-1.0516e-05,-1.9208e-05,-2.2611e-05,-1.4514e-05,-6.1273e-05,1.5678e-05,-8.5511e-05,0.0001,6.3991e-05,8.0224e-06,1.7613e-05,-9.5193e-05,8.6669e-05,-9.7078e-05,8.8284e-05,-8.2792e-05,6.1689e-05,-4.614e-05,6.474e-06,9.1664e-05,-7.7656e-05,3.5709e-05,-5.2936e-05,1.0782e-05,-5.4856e-05,6.817e-05,0.0001,0.0001,3.4665e-05,0.0001,0.0001,-1.0411e-05,-8.9515e-05,-6.6901e-05,-8.8823e-05,-0.0001,-9.5428e-05,-9.9909e-05,-0.0001,-0.0001,-9.5197e-05,-0.0001,8.2526e-05,-9.4979e-05,0.0001,-0.0001
-2.8422e-14,0.19058,0.6385,1.3414,2.2978,3.5058,4.9629,6.666,8.6118,10.796,13.215,15.863,18.734,21.824,25.125,28.631,32.335,36.229,40.305,44.556,48.971,53.543,58.261,63.117,68.1,73.2,78.406,83.709,89.097,94.559,100.08,105.66,111.28,116.93,122.59,128.26,133.92,139.57,145.19,150.76,156.29,161.75,167.14,172.44,177.65,182.75,187.73,192.59,197.3,201.88,206.29,210.54,214.62,218.51,222.22,225.72,229.02,232.11,234.98,237.63,240.05,242.24,244.18,245.88,247.34,248.55,249.51,250.21,250.66,250.85
50338,50294,50194,50040,49837,49586,49312,49043,48706,48314,47920,47518,47116,46749,46431,46200,46080,46111,46273,46554,47038,47864,48739,49338,49753,49976,50050,49972,49794,49595,49474,49530,49802,50011,50178,50130,50088,50039,49988,49928,49860,49867,49874,49995,50020,50008,49979,49977,50038,50212,50457,50652,50671,50377,49662,48492,46853,44983,43032,41109,39299,37652,36196,34943,33894,33044,32385,31908,31608,31480
1697.1,1697.2,1695.7,1694.2,1688.7,1674.2,1712.4,1705.8,1619.6,1589.3,1568.8,1521.6,1525.2,1498.8,1485.6,1470.7,1453.6,1432.1,1365,1379.7,1490.5,1582.2,1546.1,1521.6,1482.7,1445.6,1407.7,1363.9,1328.9,1284.9,1247.5,1207.8,1114,1093.6,1037.3,1041.9,1012,988.14,958.39,883.84,893.64,828.96,847.13,764.62,752.48,730.84,713.44,697.8,687.12,664.1,609.96,617.97,606.55,496.29,428.09,397.05,358.8,328.08,281.07,246.78,202.85,169.83,133.17,108.03,74.165,63.524,28.138,0.66539,-17.21,-27.598
5.4496,5.446,5.451,5.449,5.4442,5.4885,5.4871,5.4471,5.4184,5.4953,5.4939,5.6705,5.4831,5.5059,5.4371,5.3867,5.365,5.3855,5.6853,5.8802,5.9863,5.9903,5.9894,5.6634,5.4522,5.3427,5.1826,5.0766,4.8063,4.662,4.4651,4.3288,4.9885,4.9002,5.1466,4.6654,4.7665,4.6491,4.5567,4.7096,4.4242,4.7112,4.2543,4.8289,4.6531,4.599,4.5109,4.4109,4.2803,4.2496,4.6806,5.2082,5.4505,5.9189,6.682,6.9327,6.9737,6.8658,6.9191,6.7981,6.7935,6.7007,6.6508,6.5532,6.5611,6.3869,6.5397,6.625,6.6704,6.7063
