25752,25759,25777,25805,25842,25889,25943,26005,26073,26146,26223,26303,26382,26461,26536,26606,26669,26725,26774,26817,26856,26894,26930,26963,26995,27030,27100,27227,27405,27611,27816,28017,28210,28396,28573,28748,28917,29080,29237,29389,29535,29676,29813,29943,30069,30186,30299,30408,30517,30623,30725,30821,30915,31004,31090,31171,31250,31325,31397,31466,31531,31595,31655,31712,31767,31819,31871,31918,31963,32006,32046,32083,32118,32151,32183,32213,32243,32269,32293,32324,32389,32523,32702,32900,33107,33315,33519,33717,33903,34074,34229,34364,34479,34572,34642,34687,34706
1520,1520.6,1521.9,1524,1526.9,1530.6,1535.1,1540.4,1546.5,1553.5,1561.4,1570.1,1579.9,1590.6,1602.4,1615.2,1629.3,1644.5,1661.1,1679.1,1698.8,1720.2,1743.9,1769.8,1798.2,1828.4,1859.4,1891.5,1923.8,1955.8,1987.2,2018.2,2048.6,2078.4,2107.6,2136.4,2164.6,2192.4,2219.4,2246,2271.8,2296.9,2321.3,2344.9,2367.8,2389.9,2411.2,2431.9,2452.2,2472.1,2491.8,2510.8,2529,2546.5,2563.4,2579.7,2595.3,2610.5,2625,2639,2652.4,2665.3,2677.8,2689.6,2700.9,2711.8,2722.2,2732.3,2741.9,2751,2759.8,2768.1,2776,2783.6,2790.7,2797.5,2803.9,2810.1,2815.7,2820.2,2822.5,2824.2,2825.9,2827.8,2829.8,2831.7,2833,2834.2,2835.3,2836.4,2837.1,2837.8,2837.8,2838.6,2842.7,2850.6,2855.5
0.035948,0.035821,0.03552,0.035051,0.034406,0.033576,0.032562,0.031359,0.029958,0.028357,0.026547,0.024578,0.022414,0.0201,0.017588,0.015009,0.012487,0.010346,0.0084916,0.0072174,0.0063349,0.0059004,0.0051942,0.004526,0.0042214,0.0059275,0.012135,0.018151,0.022527,0.022561,0.021237,0.019949,0.018409,0.017063,0.016051,0.015389,0.014305,0.013568,0.012612,0.012087,0.011265,0.010827,0.010054,0.0096836,0.0089007,0.0083776,0.0079194,0.0077966,0.0075935,0.0073294,0.0068425,0.0066348,0.0063032,0.0059918,0.005788,0.0054894,0.0053465,0.0050494,0.0049114,0.0047248,0.004519,0.0044405,0.0042221,0.0040886,0.0039418,0.0038861,0.0037873,0.0035063,0.0035792,0.0033336,0.0031973,0.0030744,0.0029813,0.0029547,0.0028779,0.00293,0.0029143,0.0024361,0.0029318,0.0045409,0.012045,0.020929,0.026084,0.029948,0.032811,0.035332,0.037576,0.039719,0.041247,0.042622,0.043863,0.045017,0.046122,0.047051,0.047881,0.048443,0.048681
1562,1561.6,1560.8,1559.4,1557.6,1555.3,1552.4,1549.1,1545.2,1540.8,1535.8,1530.3,1524.2,1517.5,1510.1,1502.1,1493.2,1483.6,1473,1461.3,1448.6,1434.7,1419.6,1403,1384.8,1364.8,1342.9,1320,1296.9,1274.1,1251.2,1227.9,1204.2,1180,1155.5,1130.5,1105.3,1079.8,1054.1,1028,1001.9,975.48,949.08,922.45,895.92,869.25,842.56,815.76,789.06,762.45,736.04,709.65,683.47,657.45,631.62,606.04,580.67,555.63,530.85,506.41,482.32,458.64,435.42,412.48,390.04,367.98,346.48,325.54,305.02,285.05,265.66,246.78,228.55,210.84,193.84,177.35,161.64,146.66,132.14,117.77,103.17,89.334,76.63,65.189,54.928,45.754,37.492,30.158,23.777,18.267,13.504,9.5048,6.1477,3.589,1.6891,0.4804,2.6435e-14
-0.00090861,-0.00091159,-0.00091454,-0.00090723,-0.000927,-0.00093905,-0.0009479,-0.00096458,-0.0009766,-0.00099925,-0.00099939,-0.00099857,-0.001,-0.00099838,-0.00099598,-0.0009397,-0.00081257,-0.0006419,-0.00050668,-0.00029177,-0.00020199,-9.1193e-05,-0.00026052,-6.9319e-05,-1.735e-05,0.0010369,0.0015514,0.0012077,0.00054579,-0.00034229,-0.00018746,-0.00035673,-0.00024209,-0.00029303,-8.7884e-05,-0.0002147,-0.0001385,-0.00018584,-0.00011216,-0.00013595,-0.00010408,-0.00010966,-0.0001063,-8.5763e-05,-0.00014351,-6.6026e-05,-6.7669e-05,-2.4466e-06,-5.4783e-05,-5.4276e-05,-8.4896e-05,-1.2147e-05,-9.2431e-05,-1.383e-05,-6.9355e-05,-2.1546e-05,-5.0622e-05,-3.6922e-05,-2.6257e-05,-4.2599e-05,-2.846e-05,-9.284e-05,-5.352e-05,-1.7708e-05,-4.6828e-05,9.8526e-06,-9.7561e-05,-5.2398e-05,-1.9406e-05,-5.2673e-05,-2.5518e-05,-2.3839e-05,-2.32e-05,7.9242e-06,-4.471e-05,8.1593e-05,-0.00015533,2.1477e-05,0.00017668,0.0011918,0.0019206,0.0018475,0.0016581,0.00137,0.0011736,0.0011341,0.0011868,0.0010899,0.00087537,0.0010148,0.00097179,0.0012018,0.0012493,0.0014662,0.0017115,0.0016938,0.0017227
1.682,1.6821,1.6821,1.6821,1.6821,1.6821,1.6822,1.6822,1.6823,1.6823,1.6824,1.6824,1.6825,1.6826,1.6827,1.6828,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6835,1.6836,1.6837,1.6838,1.6839,1.684,1.6842,1.6843,1.6845,1.6846,1.6847,1.6849,1.685,1.6852,1.6853,1.6854,1.6856,1.6857,1.6858,1.686,1.6861,1.6862,1.6864,1.6865,1.6866,1.6868,1.6869,1.687,1.6871,1.6873,1.6874,1.6875,1.6876,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6887,1.6888,1.6889,1.689,1.689,1.6891,1.6892,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6897,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69,1.69
5e-05,-5e-05,2.9778e-05,-1.7727e-05,-2.1254e-05,-1.1286e-05,-6.9104e-06,-1.6159e-05,-4.5498e-06,-1.7494e-05,1.3098e-05,-1.2189e-05,1.2148e-05,-1.2934e-05,1.7253e-05,1.8996e-05,5e-05,2.9315e-05,5e-05,2.9315e-05,5e-05,-2.9174e-05,3.215e-06,2.9315e-05,4.0424e-05,5e-05,-9.5982e-06,-2.9315e-05,-5e-05,-4.0625e-05,7.7619e-06,-1.5518e-05,1.4234e-05,8.4784e-06,2.4228e-05,-3.0308e-05,2.8447e-05,-2.2788e-05,3.0966e-05,-2.5977e-05,2.8824e-05,-2.6616e-05,2.8377e-05,-2.7691e-05,2.0355e-05,-8.8094e-06,1.9224e-05,-1.0088e-05,1.1498e-05,-1.4797e-05,1.6979e-05,-1.0265e-05,3.067e-06,2.6019e-06,-4.326e-06,7.1222e-06,-7.7619e-06,7.8976e-06,-3.8496e-06,7.6073e-07,-1.715e-06,-1.3702e-05,2.4588e-05,-1.6088e-05,1.7152e-05,-1.3492e-05,-8.6859e-06,1.4308e-05,6.7343e-07,-1.0804e-05,2.0625e-05,-2.2581e-05,3.2446e-05,-3.6809e-05,4.5963e-05,-3.9446e-05,-1.2318e-05,4.7677e-05,5e-05,5e-05,5e-05,-5e-05,-3.9899e-05,-5e-05,-4.9935e-05,7.7619e-06,2.9315e-05,7.7619e-06,7.7619e-06,5e-05,2.9315e-05,5e-05,-2.6596e-05,5e-05,2.9315e-05,5e-05,-7.7619e-06
2.8422e-14,0.13983,0.46859,0.98491,1.6882,2.5777,3.6524,4.9113,6.3529,7.9758,9.7783,11.758,13.914,16.243,18.742,21.41,24.243,27.239,30.393,33.703,37.166,40.777,44.533,48.43,52.463,56.629,60.923,65.34,69.876,74.526,79.285,84.148,89.109,94.165,99.308,104.53,109.84,115.21,120.65,126.15,131.71,137.31,142.96,148.64,154.36,160.09,165.85,171.62,177.39,183.17,188.93,194.69,200.43,206.14,211.82,217.47,223.07,228.63,234.13,239.57,244.95,250.25,255.48,260.62,265.67,270.64,275.5,280.26,284.91,289.44,293.86,298.15,302.32,306.35,310.25,314.01,317.62,321.08,324.39,327.54,330.54,333.37,336.04,338.54,340.87,343.02,345,346.81,348.43,349.87,351.13,352.21,353.1,353.8,354.31,354.64,354.78
40473,40454,40412,40347,40263,40163,40052,39937,39824,39722,39641,39590,39581,39626,39741,39939,40236,40633,41141,41753,42473,43293,44238,45328,46564,47874,48972,49677,49970,50000,49989,49960,49946,49942,49953,49944,49939,49940,49949,49955,49960,49961,49960,49960,49957,49976,49990,50000,49987,49976,49979,49995,49989,49997,49992,49998,49995,49999,49999,49999,49998,50000,49998,50000,49997,49997,49985,49997,50000,49997,49996,49995,49997,50000,50000,50000,49985,50000,50000,49913,49471,48478,47166,45754,44328,42941,41609,40362,39219,38202,37303,36534,35882,35383,35100,35046,35061
1504.5,1505.5,1507.5,1509.1,1515.2,1521.2,1527.6,1535.9,1544.2,1554.4,1562.3,1570.7,1580.2,1589.9,1600,1603.9,1599.9,1591.8,1588.8,1575.4,1576.3,1574,1599.1,1584.7,1579.2,1477.5,1413,1389,1375.1,1370.6,1313.3,1276.1,1225.3,1179.7,1132.2,1103.1,1067.5,1035.6,997.3,965.66,930.73,898.36,866.08,833.48,807.12,769.45,744.09,721.23,711.01,696.79,682.18,655.09,639.95,613.44,600.64,579.38,565.93,548.4,531.63,518.04,502.15,494.58,477.89,462.29,454.05,437.7,438.61,425.18,413.34,408.65,398.2,390.75,383.86,374.25,373.62,354.52,373.02,350.48,327.94,201.17,97.02,92.732,98.896,120.86,129.34,110.75,82.313,78.073,92.22,62.958,52.838,-33.98,-73.181,-240.9,-724.39,-535.86,-259.57
