25976,25978,25984,25993,26007,26027,26052,26086,26128,26180,26243,26318,26406,26506,26618,26741,26873,27011,27152,27290,27423,27548,27669,27788,27911,28038,28175,28323,28474,28619,28759,28908,29068,29240,29422,29603,29769,29912,30038,30147,30240,30331,30436,30557,30687,30809,30917,31008,31086,31164,31242,31311,31371,31429,31482,31531,31576,31618,31660,31701,31743,31788,31841,31904,31979,32065,32159,32261,32369,32480,32591,32700,32802,32895,32976,33042,33093,33125,33139
1797.9,1798.7,1800.5,1803.3,1807.2,1812.1,1818.1,1825.1,1833.2,1842.3,1852.4,1863.5,1876.3,1891.4,1907.5,1924.5,1942.1,1960.5,1979.1,1998.1,2017.7,2038.8,2061.4,2085.6,2111,2138.1,2167.1,2195.7,2223.5,2250.8,2279.1,2307.4,2334.8,2361.1,2387.3,2414.7,2442,2468.1,2492.9,2517.1,2539.1,2558.5,2577,2595.1,2613.3,2631.6,2649.6,2666.8,2682.8,2697.8,2712.5,2726.6,2740.1,2753.1,2765.6,2777.6,2789.1,2799.9,2809.9,2819.5,2828.4,2836.2,2843.2,2849.3,2854.9,2859.8,2864.1,2867.9,2871.2,2874.1,2876.5,2878.4,2879.9,2881.1,2882.1,2882.8,2883.3,2883.6,2883.7
0.010394,0.010609,0.011112,0.0119,0.012949,0.014229,0.015696,0.017305,0.019003,0.020731,0.022427,0.024016,0.025443,0.026658,0.027492,0.027891,0.027753,0.026971,0.025474,0.023499,0.021212,0.019136,0.017845,0.017325,0.017153,0.017367,0.018402,0.01862,0.017784,0.01632,0.016102,0.016977,0.017675,0.018691,0.018917,0.017712,0.015275,0.013017,0.011425,0.0094662,0.0084723,0.0090498,0.010649,0.012004,0.01203,0.010884,0.0094346,0.0078038,0.007262,0.0077483,0.0073037,0.006309,0.0058818,0.0057763,0.0053195,0.0051613,0.0047752,0.0047075,0.0048959,0.00506,0.0054211,0.0064563,0.0081049,0.010171,0.01254,0.014913,0.017506,0.020302,0.023106,0.025845,0.028457,0.03089,0.033066,0.034906,0.03643,0.03763,0.038512,0.039072,0.03931
994,993.51,992.34,990.52,988.03,984.88,981.08,976.64,971.56,965.86,959.55,952.66,944.88,936.06,926.68,916.76,906.38,895.51,884.37,872.92,860.99,847.97,833.67,818.19,801.8,784.35,765.82,747.07,728.16,709.12,689.5,669.42,649.12,628.57,608,587.69,567.63,547.47,527.05,506.79,486.24,465.32,444.24,423.33,402.89,382.98,363.4,344.16,324.85,305.54,286.88,268.77,250.85,233.27,216.2,199.52,183.41,167.74,152.49,137.85,123.72,110.06,96.907,84.41,72.49,61.574,51.965,43.418,35.793,29.021,23.002,17.668,13.059,9.1626,5.9731,3.4704,1.6467,0.4903,2.2661e-13
0.0017376,0.001734,0.0017254,0.0017158,0.0016571,0.0015941,0.0014975,0.0013996,0.0012749,0.0011463,0.00099608,0.0008361,0.00068248,0.00050067,0.00027345,6.7673e-05,-0.00017867,-0.00042945,-0.00064794,-0.00073764,-0.00077682,-0.00054105,-0.00027956,-6.2135e-05,-4.8082e-05,0.00022255,0.0002399,-0.00010329,-0.00034492,-0.00031287,0.00018215,0.00018456,0.00022078,0.00021409,-0.00012064,-0.00046577,-0.00064848,-0.0004122,-0.00042942,-0.00042814,-3.2307e-05,0.00029184,0.00042466,0.00018579,-0.00016818,-0.00034597,-0.00039035,-0.00035819,9.0253e-05,4.2749e-05,-0.00024374,-0.00023332,-8.9429e-06,-0.0001062,-8.9903e-05,-6.4354e-05,-0.00011605,5.9785e-05,4.7255e-05,7.3643e-05,0.00022059,0.00053809,0.00072654,0.0009616,0.0010515,0.0011618,0.0013919,0.0015597,0.0016712,0.0017876,0.0018702,0.0019559,0.0019473,0.0019373,0.0019335,0.0019288,0.0019258,0.0019237,0.0019221
7.4833e-05,-7.4833e-05,1.4484e-05,-7.7576e-05,-8.213e-05,-9.5185e-05,-9.3476e-05,-9.3917e-05,-9.3929e-05,-9.2384e-05,-9.379e-05,-9.2384e-05,-7.6297e-05,-9.692e-05,-9.4706e-05,-9.6939e-05,-9.1069e-05,-9.5578e-05,-5.0001e-05,-3.1833e-05,3.2665e-05,9.3081e-05,7.8289e-05,3.1676e-05,1.9824e-05,9.486e-05,-8.7487e-05,-7.4431e-05,-7.4376e-05,9.0494e-05,8.0818e-05,-3.2564e-05,3.8657e-05,-5.7318e-05,-8.1036e-05,-8.161e-05,1.5648e-05,5.4923e-05,-4.4454e-05,6.6542e-05,9.4076e-05,6.5019e-05,-1.554e-05,-8.4669e-05,-7.755e-05,-9.0701e-06,-2.564e-05,7.6858e-05,8.6471e-05,-8.6839e-05,-4.128e-05,5.0824e-05,3.3044e-05,-5.107e-05,4.9147e-05,-4.4207e-05,4.4389e-05,2.3639e-05,-1.7325e-05,1.8398e-05,9.3541e-05,9.7144e-05,7.4695e-05,8.6272e-05,1.1725e-05,8.6199e-05,9.0185e-05,6.81e-05,7.1041e-05,6.4427e-05,6.585e-05,4.1417e-05,-3.5125e-05,1.1041e-05,-2.1567e-05,7.9501e-06,-2.3303e-05,1.2581e-05,-7.1589e-05
0,0.12388,0.41507,0.8722,1.4945,2.2809,3.2303,4.341,5.6113,7.0392,8.6224,10.358,12.244,14.277,16.453,18.77,21.223,23.809,26.523,29.361,32.319,35.392,38.574,41.861,45.248,48.729,52.298,55.95,59.679,63.479,67.344,71.268,75.244,79.266,83.328,87.423,91.544,95.685,99.84,104,108.16,112.32,116.46,120.58,124.67,128.74,132.76,136.73,140.66,144.52,148.32,152.05,155.7,159.27,162.75,166.14,169.43,172.61,175.68,178.64,181.48,184.19,186.78,189.23,191.55,193.73,195.76,197.64,199.38,200.96,202.39,203.66,204.77,205.72,206.51,207.13,207.59,207.88,208
54656,54683,54743,54833,54948,55079,55217,55351,55471,55564,55620,55625,55623,55636,55598,55507,55365,55202,55027,54881,54808,54872,55050,55305,55582,55897,56203,56372,56464,56563,56737,56825,56751,56501,56149,55846,55663,55615,55640,55773,55940,56000,55901,55631,55297,55022,54854,54793,54794,54743,54677,54660,54695,54727,54778,54834,54904,54975,55018,55042,55036,54959,54778,54481,54070,53523,52869,52146,51366,50557,49742,48948,48203,47532,46953,46481,46126,45897,45799
1370.9,1371,1371,1370.7,1374.8,1377.5,1382.1,1386,1391,1392.7,1391.7,1398.5,1448.4,1479.9,1476.5,1464.5,1448.2,1435.9,1421.3,1411.1,1400.3,1374.9,1348.9,1339.9,1324.5,1345.3,1323.8,1274.2,1225.3,1219.8,1212,1160.8,1098.8,1050.9,1091.4,1130.8,1115.8,1037.2,1001.1,958.99,817.68,740.72,710.16,716.26,741.99,756.3,740.99,709.33,641.66,632.29,637.18,623.4,597.32,595.26,583.39,570.47,566.95,532.07,524.51,511.06,481.13,433.23,403.93,367.19,354.82,336.21,333.24,326.47,318.04,293.22,256.81,220.5,205.08,191.46,178.38,167.81,159.61,154.25,152.11
5.6233,5.6191,5.6095,5.5967,5.5542,5.5074,5.4391,5.3662,5.2721,5.1738,5.066,4.9574,4.8498,4.7093,4.5328,4.3949,4.2312,4.0588,3.8835,3.7944,3.7363,3.8898,4.0351,4.1369,4.1108,4.252,4.2275,3.9543,3.7262,3.7157,4.0921,4.0785,4.0988,4.0912,3.7973,3.4447,3.2312,3.4698,3.4286,3.4049,3.8149,4.1084,4.2144,4.0183,3.657,3.4558,3.3964,3.4228,3.9179,3.858,3.5243,3.5258,3.7711,3.6499,3.6563,3.6734,3.5982,3.7893,3.765,3.7856,3.9348,4.2305,4.4004,4.6256,4.7331,4.8705,5.1435,5.3705,5.5452,5.7255,5.8732,6.0263,6.086,6.1399,6.1936,6.2375,6.2719,6.2945,6.3036
