23860,23865,23879,23900,23930,23970,24022,24086,24163,24255,24361,24483,24621,24774,24940,25115,25293,25472,25641,25801,25957,26120,26296,26492,26707,26933,27150,27353,27551,27757,27976,28200,28426,28645,28840,29003,29147,29295,29455,29615,29782,29954,30120,30273,30411,30524,30619,30715,30831,30964,31093,31195,31265,31323,31388,31471,31579,31713,31875,32061,32264,32476,32686,32886,33072,33236,33377,33490,33575,33630,33653
1524,1525,1527.2,1530.8,1535.7,1541.9,1549.5,1558.4,1568.7,1580.4,1593.4,1607.7,1623.2,1640,1658.1,1677.3,1697.4,1718.7,1740.8,1763.6,1786.7,1811.1,1838.3,1868.5,1901,1932.1,1960.7,1993.8,2031.5,2069.3,2106.7,2143,2178.1,2211.8,2244.7,2275.5,2305.5,2334.8,2363,2391.7,2419.5,2446.2,2472,2496.3,2519.7,2541.8,2562.2,2580.8,2597.8,2614.4,2630.4,2646.4,2660.8,2673.2,2685.6,2697.5,2707.5,2716,2723.5,2730.4,2736.6,2742,2746.8,2751,2754.6,2757.6,2760.1,2762,2763.2,2764,2764.3
0.02101,0.021223,0.021718,0.022515,0.023575,0.024878,0.026303,0.027761,0.029158,0.030429,0.031693,0.032693,0.033725,0.034214,0.03385,0.032661,0.031187,0.028495,0.025212,0.022966,0.021913,0.022309,0.023504,0.024899,0.025874,0.025147,0.022611,0.020649,0.020141,0.020808,0.021107,0.02083,0.020211,0.018658,0.01546,0.012853,0.011954,0.013101,0.013396,0.013311,0.01416,0.014071,0.013287,0.01223,0.010584,0.0085849,0.0078936,0.0091691,0.011425,0.012343,0.011249,0.0081028,0.0060866,0.0061795,0.0079842,0.010892,0.014646,0.019077,0.024028,0.029194,0.033707,0.037603,0.040763,0.043249,0.04518,0.046645,0.047746,0.048635,0.049333,0.049798,0.05
994,993.46,992.2,990.22,987.51,984.07,979.92,975.04,969.45,963.14,956.12,948.41,940,930.94,921.27,911,900.13,888.72,876.75,863.98,850.47,835.84,819.55,801.62,782.37,763.48,745.48,724.95,701.85,678.14,654.09,630.11,606.01,582.16,558.64,535.01,510.94,487.11,463.66,439.75,415.63,392.11,369.15,346.73,324.89,303.64,282.35,260.97,239.89,220.05,201.59,184.42,167.72,150.99,134.42,118.31,102.88,88.264,74.575,61.929,50.574,40.506,31.717,24.138,17.713,12.37,8.0519,4.6792,2.2209,0.66143,-7.4178e-16
0.0012527,0.0012447,0.0012477,0.0012732,0.0012173,0.0011817,0.0010097,0.00090994,0.00069413,0.0006417,0.00048916,0.00041118,0.00033426,2.4105e-05,-0.00027467,-0.00042146,-0.00054368,-0.00095467,-0.00075381,-0.00044561,-6.716e-05,0.00021737,0.00032646,0.00029245,9.3648e-05,-0.00042507,-0.0005417,-0.00026801,5.8994e-05,0.00013754,-1.0659e-05,-9.3184e-05,-0.00016263,-0.00049754,-0.00064217,-0.00036029,5.3687e-05,0.00025344,-0.00010426,0.00013812,9.9949e-05,-0.0001078,-0.0001995,-0.00024885,-0.00044546,-0.00032955,4.9311e-05,0.00050031,0.0004154,1.3096e-05,-0.00059871,-0.00080753,-0.00022107,0.00026862,0.00074032,0.0010147,0.0013792,0.0016212,0.0019669,0.0019801,0.001853,0.0017253,0.0015143,0.0013454,0.0011945,0.0010558,0.0010114,0.0010803,0.0011423,0.0011817,0.0011977
0.0001,-0.0001,0.0001,-5.6631e-05,-2.0548e-05,-0.0001,-0.0001,-8.8121e-05,-0.0001,-7.5525e-06,-0.0001,2.1001e-05,-0.0001,-0.0001,-0.0001,6.2785e-06,-0.0001,-4.3476e-05,0.0001,7.5781e-05,0.0001,4.083e-05,9.4048e-06,-1.98e-05,-8.5837e-05,-9.9813e-05,4.1183e-05,6.2852e-05,5.9317e-05,-2.5621e-05,-2.151e-05,-1.2803e-05,-2.9409e-05,-8.1974e-05,3.5627e-05,5.8311e-05,0.0001,-5.2899e-05,-1.7866e-05,5.5962e-05,-5.3044e-05,-2.5235e-05,-1.0147e-05,-2.6427e-05,-2.7899e-05,6.7994e-05,9.9143e-05,6.6462e-05,-8.7968e-05,-0.0001,-0.0001,9.507e-05,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,0.0001,-6.7707e-05,-3.1809e-05,-0.0001,-0.0001,-0.0001,-0.0001,-0.0001,3.7427e-05,0.0001,0.0001,9.3397e-05,0.0001
-5.6843e-14,0.17014,0.57004,1.1976,2.0516,3.1302,4.4314,5.9526,7.6907,9.6422,11.803,14.17,16.737,19.5,22.452,25.589,28.904,32.39,36.041,39.849,43.806,47.905,52.138,56.496,60.971,65.553,70.234,75.005,79.855,84.775,89.756,94.787,99.859,104.96,110.08,115.22,120.35,125.47,130.58,135.65,140.68,145.66,150.58,155.43,160.2,164.88,169.46,173.94,178.3,182.53,186.63,190.59,194.39,198.04,201.53,204.85,207.98,210.94,213.7,216.27,218.63,220.79,222.74,224.48,226,227.3,228.38,229.24,229.87,230.26,230.44
54942,54964,55013,55084,55170,55262,55349,55422,55469,55483,55450,55366,55219,55011,54765,54513,54272,54091,54028,54066,54136,54213,54319,54415,54455,54286,54024,54108,54457,54706,54794,54738,54593,54399,54348,54451,54661,54784,54728,54689,54541,54282,54023,53792,53650,53647,53719,53699,53434,53023,52613,52426,52432,52446,52408,52198,51722,50977,50004,48818,47451,46048,44678,43397,42242,41238,40399,39730,39235,38918,38782
1568.1,1568.4,1566.9,1562.7,1565.6,1565.7,1575.2,1576.8,1585.4,1580.3,1580.7,1574.6,1566.6,1575.1,1580.6,1574,1567,1586.9,1547.1,1494.6,1429.5,1417.3,1430,1440.2,1420.8,1354.7,1336.3,1382.4,1370.1,1328,1288.7,1243.6,1190,1172.4,1137.1,1044.7,1037.6,995.35,993.84,968.78,933.08,922.92,899.42,868.61,867.7,808.85,745.29,661.89,651.32,677.69,713.6,748.44,622.98,582.5,607.48,553.64,466.04,429.32,410.95,400.63,388.83,384.72,379.75,381.54,380.42,378.1,371.92,349.76,321.47,301.57,293.28
6.3267,6.3197,6.3155,6.3195,6.2752,6.2395,6.1351,6.0679,5.9421,5.8989,5.8067,5.7499,5.6937,5.5012,5.307,5.1916,5.0677,4.7231,4.823,5.0243,5.2518,5.3905,5.3969,5.2955,5.1067,4.6568,4.5191,4.6598,4.842,4.8467,4.6682,4.5471,4.4706,4.183,4.0297,4.2325,4.5483,4.7026,4.3574,4.5466,4.4951,4.3265,4.2327,4.1849,4.0003,4.099,4.4341,4.9162,4.8346,4.4211,3.8396,3.5653,4.2167,4.7156,5.2537,5.5567,5.9593,6.2654,6.7377,6.8769,6.8931,6.8804,6.8285,6.7773,6.7401,6.6694,6.721,6.8972,7.0585,7.1705,7.2176
