26740,26755,26790,26844,26917,27005,27112,27244,27394,27544,27706,27855,28044,28284,28495,28697,28912,29161,29393,29607,29907,30174,30439,30610,30701,30942,31116,31316,31403,31440,31628,31740,31865,31961,31982,32125,32254,32352,32521,32770,33081,33428,33805,34180,34531,34837,35089,35276,35396,35447
1797.9,1800.1,1805.1,1813.1,1823.9,1837.1,1852.6,1870.4,1891.6,1914.7,1940.7,1968.1,1994.4,2025.9,2064.8,2111.1,2155.2,2197.9,2249.5,2287.8,2326.8,2372.5,2411.1,2459,2490,2523.2,2559.9,2590.4,2626.2,2647.5,2672.9,2700,2721,2745.9,2763.6,2778.6,2798.7,2812.1,2822.5,2830.9,2839,2843.5,2846.8,2849.5,2851.8,2853.8,2855.5,2857.2,2858,2858.4
0.023254,0.023177,0.022931,0.022671,0.021786,0.020978,0.021685,0.023042,0.020618,0.019333,0.017733,0.015468,0.021527,0.020032,0.01615,0.015576,0.016293,0.01732,0.012817,0.015752,0.017963,0.013879,0.014569,0.0037372,0.0095181,0.011977,0.0083667,0.0099538,-0.00041553,0.0070472,0.0090334,0.0045995,0.0081233,0.0013166,0.0042311,0.01031,0.0055617,0.008502,0.014813,0.022026,0.027377,0.033872,0.039458,0.043696,0.046557,0.048406,0.049465,0.049689,0.049955,0.049999
994,992.75,989.84,985.17,978.93,971.17,961.6,950.39,937.81,923.68,907.76,890.55,871.65,851.31,827.13,798.95,769.76,739.92,707.37,677.02,646.47,612.06,578.38,545.27,513.16,482.03,446.97,413.11,380.64,348.62,318.9,286.8,255.14,225.71,199.09,172.56,146.48,122.59,101.23,82.031,65.207,50.254,37.482,26.931,18.42,11.734,6.6663,3.1472,0.92388,4.1838e-16
-0.00018947,-0.00025981,-0.00024532,-0.00027283,-0.00058818,-6.5591e-05,0.0005382,-2.4037e-05,-0.00090606,0.00013344,-0.00097225,0.00060817,0.00084938,-0.000983,-0.0002159,-7.7837e-05,0.00034464,-0.00032852,-0.00046711,0.0010034,-0.00063898,0.00011047,-0.00077377,-0.00092555,0.0016275,-0.00099762,0.00055463,-0.00099725,-0.00052275,0.0015923,-0.00099958,0.00034092,-0.00017866,-0.0009969,0.0016661,-0.00032729,-0.00041094,0.0011349,0.0013694,0.0014154,0.001252,0.0018136,0.001305,0.0013348,0.00077556,0.00087103,0.00020496,0.00030501,0.00018446,0.00013479
0.00011357,-0.00027474,0.00020918,-0.00027793,7.4566e-05,0.00026073,0.0001356,-0.0004578,0.00016685,3.3695e-06,-0.00013325,0.00051558,-0.00041645,-3.5981e-05,0.00011507,1.5925e-05,4.2271e-05,-0.00019171,0.0002185,-1.3188e-05,-0.00019381,0.00021479,-0.00037442,0.0004522,-0.00012497,-0.00014603,0.00020635,-0.00038991,0.00050783,-0.00019067,-0.0001665,0.0002892,-0.00038312,0.00033186,0.00011724,-0.00045155,0.0003776,6.569e-05,0.00010151,-0.00013157,0.00016503,-5.8927e-05,-4.3733e-05,-0.00011563,-8.6015e-05,-9.4148e-05,-0.00035243,0.00029726,-0.0005589,0.00079775
0,0.35966,1.2043,2.5277,4.3246,6.5876,9.3077,12.474,16.073,20.092,24.513,29.319,34.49,40.006,45.845,51.983,58.394,65.055,71.937,79.012,86.254,93.631,101.12,108.68,116.28,123.9,131.51,139.07,146.55,153.93,161.17,168.25,175.13,181.79,188.2,194.34,200.18,205.7,210.87,215.67,220.09,224.11,227.71,230.88,233.6,235.86,237.66,238.98,239.83,240.19
48455,48457,48460,48474,48496,48520,48524,48442,48397,48432,48512,48734,48590,48287,48537,49155,49546,49563,50078,50101,49463,49346,48912,49547,50091,49554,49651,49298,49999,50525,50024,50169,49982,50163,50642,50031,49710,49405,48440,46815,44802,42528,40152,37919,35944,34310,33029,32118,31542,31301
1482.2,1500.7,1489.5,1500.3,1490.6,1440.9,1364.9,1406.7,1463,1372.1,1448.1,1253.6,1220.4,1382,1394.3,1399.6,1188.5,1314.5,1275.1,929.4,1206.1,949.74,1119.9,1096.2,673.99,1029.9,679.75,919.37,735.51,519.08,795.94,553.47,601.7,689.49,399.72,568.24,557.77,378,356.87,326.3,306.61,113.44,166.66,84.757,176.63,90.791,255.26,189.51,212.65,215.27
4.8209,4.77,4.7788,4.7581,4.5283,4.8627,5.286,4.8743,4.1963,4.9306,4.0327,5.1862,5.332,3.9268,4.4737,4.4472,4.7925,4.1874,3.9853,5.2325,3.7768,4.4581,3.5366,3.2863,5.7451,3.1184,4.7439,3.049,3.5709,5.6791,2.9458,4.4379,3.8896,2.8755,5.6969,3.6756,3.5678,5.202,5.5446,5.6934,5.68,6.4818,6.0959,6.3329,5.8523,6.1384,5.3844,5.6126,5.5176,5.4782
