27025,27031,27046,27068,27097,27132,27173,27217,27264,27311,27357,27401,27443,27482,27517,27551,27582,27606,27620,27627,27628,27623,27607,27579,27546,27510,27473,27448,27446,27472,27534,27637,27762,27911,28079,28266,28474,28675,28862,29045,29220,29387,29559,29709,29840,29978,30135,30286,30436,30583,30720,30850,30971,31090,31194,31306,31421,31536,31653,31768,31869,31956,32031,32082,32119,32140,32143,32134,32122,32118,32130,32164,32223,32310,32425,32563,32716,32880,33051,33226,33401,33570,33729,33875,34001,34106,34185,34236,34258
1520,1520.5,1521.7,1523.6,1526.3,1529.6,1533.6,1538.4,1543.9,1550.2,1557.1,1564.8,1573,1582,1591.8,1602.4,1614.4,1627.8,1642.6,1658.5,1676,1695.6,1717.6,1741.8,1768.5,1798.5,1831.2,1865.5,1901,1937.5,1974.7,2012.2,2049.6,2086.6,2123.1,2159.2,2194.5,2228.6,2262,2294.5,2326,2356.4,2386.2,2414.5,2440.7,2467,2493,2518,2542.3,2565.8,2588.2,2609.9,2630.5,2650.4,2669.3,2687.2,2704.5,2720.8,2736.5,2751.5,2765.8,2779.4,2792.4,2804.9,2816.6,2827.9,2838.7,2848.8,2858.4,2867.3,2875.6,2883,2889.8,2895.7,2900.9,2905.7,2910.2,2913.9,2916.8,2919.1,2920.9,2922.2,2923.2,2923.9,2924.3,2924.6,2924.8,2925,2925
0.024311,0.024144,0.023751,0.023134,0.022295,0.021232,0.019951,0.018447,0.016737,0.014862,0.012982,0.011186,0.0095492,0.008147,0.007083,0.0063179,0.0050577,0.0032086,0.0016161,0.00060779,-0.00022224,-0.0013002,-0.0029913,-0.0039032,-0.0039926,-0.0042763,-0.0035722,-0.0016093,0.001194,0.0039344,0.0076626,0.010207,0.011479,0.013155,0.013939,0.015482,0.015644,0.014125,0.013097,0.012722,0.011497,0.01153,0.010981,0.0089363,0.0083832,0.0096002,0.010019,0.0092618,0.0095487,0.0087944,0.0084757,0.007626,0.0076896,0.0069516,0.0065816,0.007428,0.0072839,0.0075939,0.0076645,0.0073829,0.0061936,0.0057387,0.0044393,0.0030863,0.0022625,0.00080008,-0.00031307,-0.00098421,-0.00080173,0.00024084,0.0020117,0.004417,0.0073432,0.010702,0.014316,0.017597,0.020494,0.023457,0.026478,0.029472,0.032368,0.0351,0.037609,0.039841,0.041752,0.043303,0.044465,0.045215,0.045536
1562,1561.7,1560.9,1559.6,1557.9,1555.7,1553,1549.9,1546.2,1542.1,1537.4,1532.2,1526.5,1520.2,1513.3,1505.8,1497.6,1488.6,1478.8,1468.1,1456.4,1443.7,1429.7,1414.2,1397.2,1378.3,1357.5,1335,1311.1,1286,1259.6,1232.3,1204.5,1175.8,1146.7,1116.8,1087,1057.4,1027.4,996.99,966.67,935.8,905.06,874.79,843.95,812.51,781.46,750.99,720.36,690.39,660.55,631.24,601.94,573.33,544.99,516.64,489.18,462.11,435.74,410.15,385.57,361.36,338.14,315.59,293.47,272.23,251.48,231.17,211.18,191.54,172.39,153.86,136.08,119.17,103.28,88.604,75.192,62.932,51.817,41.847,33.01,25.282,18.64,13.052,8.488,4.924,2.3333,0.69443,4.8542e-14
-0.00099677,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.00098854,-0.00093615,-0.00081542,-0.00070866,-0.00056858,-0.00044535,-0.0002707,-0.00026936,-0.00048068,-0.00051269,-0.00032927,-0.0002143,-0.0002039,-0.00033242,-0.00035959,-4.2373e-05,-5.6535e-05,6.5565e-06,0.00026656,0.00049217,0.00051546,0.00057302,0.00068069,0.00022653,0.00030317,0.0001862,0.00018236,0.00023079,-0.0001735,-0.00025486,-6.6027e-05,-0.00013301,-0.00015438,8.5426e-05,-0.00029396,-0.00024432,7.0489e-05,0.00023616,-0.00013017,1.352e-06,-3.0747e-05,-0.00011134,-7.1506e-05,-0.00011223,3.9817e-05,-0.00023084,0.00014998,2.8024e-05,1.2104e-05,4.0855e-05,8.3271e-06,-0.00016551,-0.00017437,-9.6114e-05,-0.00036093,-0.00015051,-0.00025739,-0.00029909,-0.00020091,-7.3564e-05,0.00015792,0.00035318,0.0005528,0.0007378,0.00091306,0.0010901,0.001157,0.0010493,0.001084,0.0012267,0.0013382,0.00145,0.0015439,0.0016327,0.0017057,0.0017722,0.0018232,0.0018677,0.0018959,0.0019189,0.0019208
1.6821,1.6821,1.6821,1.6821,1.6822,1.6822,1.6822,1.6823,1.6824,1.6824,1.6825,1.6826,1.6826,1.6827,1.6828,1.6829,1.683,1.6831,1.6832,1.6833,1.6835,1.6836,1.6837,1.6838,1.6839,1.6841,1.6842,1.6843,1.6845,1.6846,1.6848,1.6849,1.6851,1.6852,1.6854,1.6855,1.6857,1.6858,1.686,1.6862,1.6863,1.6864,1.6866,1.6867,1.6869,1.687,1.6872,1.6873,1.6874,1.6875,1.6877,1.6878,1.6879,1.688,1.6881,1.6882,1.6883,1.6885,1.6885,1.6886,1.6887,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-5e-05,-1.8294e-06,-2.8526e-06,3.4104e-06,-3.5453e-06,3.8252e-06,-4.2901e-06,6.0388e-06,8.3184e-06,5e-05,5e-05,5e-05,5e-05,5e-05,4.9759e-05,-5e-05,-5e-05,3.097e-05,5e-05,1.0731e-05,-7.9972e-06,-4.3923e-05,5e-05,4.6605e-05,-2.4185e-05,5e-05,4.5226e-05,3.6344e-05,-1.9734e-05,5e-05,-5.0388e-05,-5e-05,3.0523e-05,-4.7877e-05,4.2943e-05,-5e-05,-5e-05,1.7117e-05,2.6932e-05,-4.0125e-05,5e-05,-1.9167e-05,-5e-05,4.7197e-05,5e-05,-2.2857e-05,-4.3853e-05,5e-05,-5e-05,3.1288e-05,-3.325e-05,4.3998e-05,-3.7059e-05,1.1333e-05,5e-05,-5e-05,3.0546e-05,-1.8122e-05,-5.3898e-07,-5e-05,4.8919e-05,-5e-05,8.3968e-08,3.1513e-05,-4.5751e-05,2.5173e-05,1.367e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-1.8007e-05,-2.841e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,5e-05,-5e-05
2.8422e-14,0.16704,0.55977,1.1764,2.0162,3.0781,4.3606,5.8622,7.5811,9.5149,11.661,14.018,16.581,19.348,22.315,25.479,28.835,32.379,36.108,40.015,44.096,48.347,52.761,57.333,62.058,66.929,71.94,77.085,82.358,87.751,93.259,98.873,104.59,110.39,116.29,122.26,128.3,134.4,140.56,146.77,153.02,159.3,165.6,171.92,178.24,184.57,190.89,197.19,203.47,209.72,215.92,222.08,228.19,234.23,240.2,246.09,251.9,257.61,263.23,268.74,274.13,279.4,284.55,289.56,294.43,299.15,303.73,308.14,312.39,316.47,320.38,324.11,327.65,331.01,334.17,337.14,339.91,342.47,344.83,346.97,348.91,350.62,352.13,353.41,354.47,355.31,355.93,356.32,356.49
33111,33101,33080,33049,33011,32972,32936,32912,32906,32929,32984,33077,33211,33389,33613,33883,34224,34668,35218,35865,36620,37511,38590,39861,41302,42957,44791,46673,48483,50153,51595,52716,53630,54307,54759,55000,55000,54967,55000,55000,55000,55000,54916,54925,55000,55000,54813,54627,54410,54170,53961,53781,53623,53443,53344,53138,52874,52575,52231,51878,51611,51433,51312,51339,51458,51699,52070,52518,52973,53339,53542,53528,53264,52737,51961,50993,49907,48739,47519,46285,45072,43916,42848,41895,41078,40416,39921,39602,39465
1421.3,1422.5,1424.1,1426.8,1430.4,1435.2,1441,1447.4,1452.7,1452.2,1438.2,1425.1,1407,1397.7,1386.1,1403.5,1463.4,1492.4,1486.9,1490.3,1512.1,1552.8,1575.8,1554.9,1571.4,1573.4,1534.5,1481.9,1437.4,1388.8,1335.3,1304.7,1251.5,1199.8,1155.8,1116.1,1086.1,1052.4,1008.8,972.18,935.45,888.16,877.36,815.23,763.67,759.74,753.21,725.77,705.13,687.08,663.57,644.53,613.37,611.36,564.93,554.59,538.25,520.86,508.53,507.64,496.06,479.24,487.48,462.74,461.66,456.67,442.9,427.95,404.22,381.73,357.09,331.25,303.36,276.55,260.06,258.68,242.08,208.63,176.33,144.11,109.94,90.591,82.247,64.196,29.024,-14.371,-43.707,-58.541,-61.808
