26575,26585,26608,26643,26690,26747,26815,26890,26973,27060,27150,27241,27329,27413,27490,27559,27617,27664,27696,27714,27719,27719,27719,27731,27760,27818,27908,28032,28196,28395,28614,28828,29032,29230,29423,29608,29790,29963,30132,30294,30448,30597,30744,30877,31008,31134,31258,31376,31490,31600,31705,31807,31903,31996,32081,32161,32237,32311,32379,32448,32510,32572,32629,32685,32738,32789,32838,32884,32928,32970,33009,33047,33083,33114,33144,33184,33249,33356,33516,33712,33928,34155,34382,34603,34811,35002,35174,35321,35441,35531,35589,35614
1520,1520.6,1522.1,1524.3,1527.4,1531.3,1536.1,1541.7,1548.2,1555.5,1563.7,1572.8,1582.8,1593.8,1605.8,1618.9,1633,1648.4,1665.3,1683.8,1703.6,1725.4,1749,1775.1,1803.8,1835.5,1869.3,1903.4,1938.1,1972.6,2006.8,2040.2,2073.2,2105.4,2137.3,2168.4,2199,2228.9,2258.1,2286.5,2314.2,2341,2367.1,2392.2,2416.6,2440.3,2463.5,2486.2,2508.2,2529.5,2550.1,2570,2589.2,2607.8,2625.6,2642.7,2659,2674.7,2689.7,2704.2,2718.1,2731.4,2744.3,2756.5,2768.4,2779.6,2790.5,2800.8,2810.8,2820,2829,2837.2,2845.3,2852.7,2859.5,2865.1,2869.4,2871.8,2874.2,2876.4,2879,2880.8,2882.8,2885,2888.1,2889.7,2894.3,2897.9,2898.8,2899.4,2899.4,2899.4
0.036768,0.036595,0.036189,0.035547,0.034681,0.03357,0.032253,0.030675,0.028917,0.026882,0.024716,0.022264,0.01971,0.016967,0.014336,0.011549,0.0089125,0.0063798,0.0037007,0.0015181,0.00021513,-0.00015975,0.00053774,0.0023079,0.0045072,0.0079128,0.010477,0.013822,0.016673,0.018921,0.018559,0.017135,0.015842,0.015039,0.014037,0.013296,0.012477,0.011754,0.011145,0.010443,0.009679,0.0095198,0.0087591,0.0079792,0.0079698,0.0073646,0.0073411,0.0067466,0.0067154,0.006164,0.0061344,0.0056294,0.0056324,0.0050926,0.0048647,0.0044905,0.0045007,0.0041676,0.0041728,0.003969,0.0037355,0.0038089,0.0034962,0.0036127,0.0033576,0.0034101,0.0031987,0.0032569,0.0031071,0.0030226,0.0030248,0.0030132,0.0027918,0.0025705,0.0030061,0.0049496,0.0083821,0.014613,0.021099,0.026009,0.030293,0.03372,0.036793,0.039117,0.041305,0.043622,0.045307,0.046702,0.047854,0.048644,0.049172,0.049402
1562,1561.6,1560.7,1559.3,1557.4,1555,1552.1,1548.6,1544.6,1540.1,1535,1529.3,1523,1516.1,1508.6,1500.3,1491.3,1481.4,1470.7,1458.9,1446,1431.8,1416.2,1399.1,1380.3,1359.5,1337.3,1314.3,1290.4,1265.9,1241.4,1216.7,1191.4,1165.7,1139.5,1113,1086.1,1058.9,1031.3,1003.6,975.7,947.47,919.23,890.95,862.32,833.89,805.23,776.83,748.27,720.02,691.7,663.74,635.77,608.26,580.85,553.88,527.04,500.75,474.67,449.2,424.1,399.53,375.5,351.99,329.1,306.75,285.07,263.99,243.66,223.88,204.83,186.44,168.91,152.13,135.9,120.07,104.7,89.845,76.082,63.572,52.409,42.568,33.95,26.461,20.174,14.769,10.525,6.8783,3.9725,1.9001,0.56106,-3.1568e-14
-0.00099728,-0.00099187,-0.00099885,-0.00099347,-0.0009987,-0.00099492,-0.00099647,-0.00099835,-0.00098986,-0.00099982,-0.00096675,-0.00099911,-0.00093562,-0.00092999,-0.0008044,-0.00085469,-0.00065587,-0.00073215,-0.00060384,-0.00045882,-0.00015102,-2.4423e-05,0.00033911,0.00033936,0.00062404,0.00056814,0.00052795,0.00061001,0.00046579,0.00021849,-0.00025343,-0.00021094,-0.00019258,-0.00010917,-0.00017967,-7.8807e-05,-0.00016238,-6.4839e-05,-0.0001235,-9.5196e-05,-0.00010161,6.4114e-06,-0.00021356,2.2101e-05,-9.5137e-05,-1.0534e-05,-6.9679e-05,-3.1675e-05,-4.9193e-05,-4.3826e-05,-3.2631e-05,-5.1445e-05,-1.3834e-05,-9.3015e-05,-1.7396e-05,-6.0229e-05,1.4872e-05,-7.8788e-05,4.969e-05,-0.00013195,5.0445e-05,-0.00013511,1.401e-05,-0.00013255,-1.4933e-05,-0.00011671,-2.1049e-05,-0.00013726,-4.2186e-05,-6.2975e-05,4.64e-06,-4.5317e-05,-6.3541e-05,-2.5558e-05,0.00031577,0.00066328,0.0013978,0.0018436,0.0018398,0.0016547,0.0014833,0.0013727,0.0012984,0.0010712,0.0014298,0.0014064,0.0011856,0.0013433,0.0012511,0.0012522,0.0013188,0.0013365
1.6814,1.6814,1.6814,1.6814,1.6815,1.6815,1.6816,1.6816,1.6817,1.6817,1.6818,1.6819,1.682,1.6821,1.6822,1.6823,1.6824,1.6825,1.6826,1.6827,1.6829,1.683,1.6831,1.6832,1.6834,1.6835,1.6837,1.6838,1.684,1.6841,1.6843,1.6845,1.6846,1.6848,1.685,1.6851,1.6853,1.6854,1.6856,1.6858,1.6859,1.6861,1.6862,1.6864,1.6865,1.6867,1.6868,1.687,1.6871,1.6872,1.6874,1.6875,1.6876,1.6877,1.6879,1.688,1.6881,1.6882,1.6883,1.6884,1.6885,1.6886,1.6887,1.6888,1.6888,1.6889,1.689,1.6891,1.6891,1.6892,1.6893,1.6893,1.6894,1.6894,1.6895,1.6895,1.6896,1.6896,1.6897,1.6897,1.6898,1.6898,1.6898,1.6899,1.6899,1.6899,1.6899,1.69,1.69,1.69,1.69,1.69
-5e-05,4.9277e-05,-4.8181e-05,4.3293e-05,-4.1865e-05,4.0986e-05,-4.0686e-05,4.0812e-05,-3.901e-05,4.2936e-05,-3.4241e-05,3.4994e-05,-1.6219e-05,4.9972e-05,-1.315e-05,3.5324e-05,1.9052e-05,-7.9267e-06,4.0675e-05,4.9247e-05,5e-05,4.9956e-05,5e-05,-2.2418e-06,4.9948e-05,-3.8962e-05,3.4062e-05,-3.5054e-05,-4.0956e-06,-5e-05,-2.4437e-05,5.01e-06,1.746e-05,-9.0366e-06,9.3791e-06,-2.1299e-06,8.6873e-07,6.1999e-06,-5.275e-06,-9.0932e-07,1.6389e-05,-1.4176e-05,-7.4865e-06,3.2204e-05,-3.2021e-05,3.2652e-05,-3.2988e-05,3.2908e-05,-3.2391e-05,3.2575e-05,-3.1936e-05,3.3123e-05,-3.3904e-05,2.7287e-05,-2.3424e-05,3.0111e-05,-3.0547e-05,3.145e-05,-2.9628e-05,1.8022e-05,-9.538e-06,-1.2406e-06,3.6041e-06,-9.7872e-06,1.0841e-05,-1.0584e-05,1.0025e-05,-1.9157e-05,2.683e-05,-1.1601e-05,1.8699e-05,-2.324e-05,3.3417e-06,4.2965e-05,3.5504e-05,5e-05,5e-05,3.3934e-05,-2.6766e-05,-2.9046e-05,-3.0916e-05,-1.1779e-05,-4.9373e-05,-3.374e-06,3.3784e-05,-8.8674e-06,-2.2302e-05,-3.15e-06,-3.7372e-05,1.0876e-05,5e-05,-2.6148e-05
0,0.17391,0.5828,1.2249,2.0994,3.2052,4.5411,6.1054,7.8964,9.9119,12.149,14.607,17.28,20.167,23.265,26.568,30.074,33.779,37.677,41.765,46.038,50.49,55.116,59.911,64.87,69.986,75.253,80.665,86.216,91.899,97.708,103.63,109.67,115.82,122.06,128.39,134.8,141.29,147.85,154.46,161.13,167.84,174.58,181.36,188.15,194.96,201.77,208.58,215.37,222.15,228.89,235.6,242.27,248.89,255.44,261.93,268.34,274.67,280.91,287.06,293.1,299.02,304.83,310.52,316.07,321.48,326.75,331.86,336.82,341.62,346.24,350.69,354.97,359.05,362.95,366.66,370.16,373.47,376.56,379.45,382.13,384.58,386.82,388.84,390.63,392.19,393.53,394.63,395.51,396.15,396.56,396.73
35541,35515,35456,35366,35249,35110,34955,34794,34634,34486,34360,34272,34231,34255,34351,34537,34825,35228,35774,36469,37304,38262,39316,40421,41549,42631,43600,44334,44805,44994,45000,44985,44993,44997,44996,45000,44996,45000,44994,44990,44997,44996,44967,44995,44992,44996,44992,44996,44995,44995,44995,44994,44996,44996,44996,44994,45000,44993,45000,44984,45000,44990,45000,44995,45000,44996,45000,44998,45000,44999,45000,44987,44988,45000,45000,44883,44553,43878,42851,41606,40274,38909,37595,36370,35285,34282,33482,32806,32223,31791,31506,31386
1482.2,1481.9,1484.1,1485.2,1488.5,1491.1,1495.2,1500,1503.8,1511.2,1512.8,1525.7,1524.6,1533.9,1523.9,1544.6,1525.8,1553.7,1550.8,1547.3,1522.8,1525.3,1498.9,1513.5,1490.8,1493.2,1452.7,1403.7,1364.2,1327.3,1299,1250.3,1202.8,1154.8,1120.9,1076.9,1045.2,1002.3,970.25,932.26,897.86,858.06,839.25,791.1,772.87,746.96,734.39,710.68,690.47,667.93,646.41,628.77,605.37,595.47,568.02,555.01,529.26,524.81,494.32,503.78,467.62,480.65,449.97,460.13,435.08,440.53,419.59,427.52,407.81,403.86,388.34,388.76,384.84,374.59,325.23,280.93,172.38,123.27,108.56,113.79,115.03,108.58,67.271,118.53,-28.991,-39.45,41.21,-51.198,-38.542,-56.476,-122.3,-124.05
