26278,26286,26304,26332,26370,26417,26472,26535,26605,26681,26763,26851,26945,27044,27149,27260,27377,27497,27621,27747,27875,28008,28149,28300,28456,28621,28794,28970,29148,29326,29504,29679,29847,30000,30143,30288,30426,30538,30622,30699,30791,30904,31016,31110,31186,31267,31357,31450,31537,31620,31697,31771,31849,31916,31968,32005,32031,32061,32107,32180,32288,32437,32624,32841,33084,33349,33629,33916,34204,34484,34753,35005,35237,35448,35636,35800,35941,36057,36149,36217,36260,36278
1764,1764.9,1766.8,1770,1774.2,1779.6,1786,1793.6,1802.1,1811.8,1822.3,1833.5,1846,1859.6,1874.7,1890.7,1908,1926.2,1945.5,1965.7,1987.3,2010.7,2036.2,2062,2088.9,2117.8,2146.8,2175.6,2204.6,2233.4,2261.9,2289.8,2317.3,2344.2,2368.9,2392.5,2417,2442.4,2465.3,2485.8,2505.3,2524.7,2544.4,2564.3,2582.8,2600.1,2617.1,2633.8,2650.3,2665.8,2681.1,2695.1,2709,2722.9,2736.1,2749,2760.7,2771,2780,2787.7,2795,2801.3,2807.3,2812.6,2817,2820.8,2823.9,2826.8,2829.6,2832.3,2834.8,2837.1,2839.3,2841.2,2842.9,2844.3,2845.3,2846.1,2846.7,2847.2,2847.4,2847.5
0.034216,0.034088,0.033786,0.033318,0.032665,0.031874,0.030906,0.029871,0.028818,0.027832,0.026998,0.026307,0.025512,0.024983,0.024706,0.024096,0.023669,0.02289,0.022095,0.021269,0.020752,0.020629,0.021172,0.02122,0.021111,0.021652,0.02138,0.020874,0.020241,0.019719,0.019021,0.01788,0.016349,0.014424,0.013895,0.013774,0.012007,0.0087307,0.0069653,0.0073055,0.0092739,0.010237,0.0092505,0.0071774,0.0065361,0.0075063,0.007986,0.0080532,0.0072984,0.0071445,0.0064967,0.0069516,0.0068278,0.0053989,0.0042411,0.0028189,0.0025103,0.0035964,0.0059473,0.0094354,0.013947,0.019113,0.023723,0.028267,0.032682,0.036755,0.04053,0.043565,0.045872,0.047565,0.048733,0.049468,0.049859,0.049998,0.05,0.049994,0.05,0.04999,0.049998,0.05,0.05,0.05
994,993.55,992.48,990.8,988.51,985.62,982.14,978.04,973.35,967.98,962.1,955.65,948.55,940.69,932,922.79,912.76,902.21,890.91,878.93,866.02,852.17,837.05,821.4,804.98,787.38,769.58,751.37,732.85,713.94,694.83,675.56,656.18,636.66,616.69,596.47,576.56,556.92,536.73,515.88,494.64,473.6,453.1,432.96,412.54,391.81,371.4,351.23,331.52,311.91,292.72,273.57,254.97,237.03,219.43,202.23,185.18,168.16,151.79,136.61,122.6,109.52,97.188,85.62,74.828,64.875,55.754,47.529,40.162,33.601,27.783,22.663,18.185,14.294,10.939,8.0642,5.645,3.6754,2.1325,1.0108,0.30089,-2.6584e-15
-0.00099033,-0.00099767,-0.00099018,-0.00099432,-0.00099816,-0.00096131,-0.00096989,-0.00082907,-0.00075489,-0.00057217,-0.00044152,-0.00036302,-0.00040297,-9.5153e-05,-0.0002244,-0.00019875,-0.00021119,-0.0003105,-0.00027383,-0.00024465,-0.0001052,6.6382e-05,0.00016877,-0.00011393,0.00011744,6.5198e-05,-0.00014694,-0.00012815,-0.00017225,-0.00010457,-0.00025093,-0.00028255,-0.00046754,-0.00032198,1.561e-05,-0.00015285,-0.00065906,-0.00065914,-0.00013926,0.00029758,0.00044818,-4.2373e-05,-0.00037403,-0.00043592,0.00016253,0.00015615,0.00010482,-0.00013519,-9.8894e-05,-8.3743e-05,-9.1715e-05,0.00020035,-0.00029897,-0.00030773,-0.00034808,-0.00029296,0.00013023,0.0004639,0.0008554,0.0011614,0.0015417,0.0015703,0.0014593,0.0015854,0.0015081,0.0015177,0.0013818,0.0011282,0.00090287,0.00069401,0.00049372,0.00031954,0.0001561,3.6483e-05,-1.7975e-05,1.1799e-05,-1.0588e-05,2.7461e-07,1.3742e-05,-2.9558e-06,3.4058e-06,-1.4572e-06
0.0001,-9.9612e-05,9.681e-05,-9.6282e-05,9.8702e-05,-4.9619e-05,9.7577e-05,7.2546e-05,9.8315e-05,9.8841e-05,8.6835e-05,-3.605e-05,8.33e-05,8.4085e-05,-9.9468e-05,7.6426e-05,-7.9755e-05,2.3739e-05,-1.5202e-05,4.9685e-05,2.7547e-05,8.5463e-05,-6.3237e-05,-2.0286e-05,7.9441e-05,-8.8289e-05,-1.9237e-06,-1.411e-05,1.3691e-05,-1.0179e-05,-3.0026e-05,-1.3303e-05,-4.1008e-05,0.0001,2.2232e-05,-9.1161e-05,-9.9336e-05,0.0001,0.0001,0.0001,-6.4933e-05,-9.9981e-05,-6.6157e-05,8.3164e-05,9.9115e-05,-4.8397e-05,-3.2439e-06,-7.114e-05,6.7158e-05,-6.5235e-05,9.8912e-05,-4.5839e-05,-9.9626e-05,4.237e-05,-4.5899e-05,9.2152e-05,0.0001,0.0001,0.0001,9.7777e-05,9.5081e-05,-6.5691e-05,2.9301e-05,7.5916e-06,-2.3415e-05,3.6277e-07,-0.0001,-0.0001,-9.9558e-05,-9.963e-05,-9.9988e-05,-9.7355e-05,-9.3561e-05,-6.7841e-05,9.1781e-07,1.6718e-05,-3.587e-05,5.6242e-05,-3.6375e-05,2.9411e-06,2.3843e-06,-8.6868e-05
0,0.12882,0.43164,0.90706,1.5543,2.3725,3.3603,4.5163,5.8388,7.3259,8.9752,10.784,12.751,14.871,17.143,19.562,22.126,24.83,27.67,30.642,33.742,36.965,40.306,43.761,47.324,50.989,54.752,58.607,62.548,66.569,70.665,74.829,79.054,83.336,87.667,92.041,96.451,100.89,105.35,109.83,114.32,118.82,123.31,127.79,132.25,136.69,141.1,145.48,149.81,154.09,158.31,162.48,166.57,170.6,174.54,178.39,182.15,185.82,189.38,192.84,196.18,199.4,202.5,205.47,208.31,211.02,213.58,216,218.27,220.39,222.36,224.17,225.82,227.3,228.63,229.78,230.77,231.59,232.24,232.71,233.01,233.14
50164,50151,50121,50075,50017,49949,49875,49801,49727,49666,49596,49520,49458,49418,49396,49372,49373,49375,49400,49444,49532,49661,49814,49895,49973,50061,50069,50033,49971,49883,49762,49630,49527,49494,49433,49304,49249,49426,49709,49937,50004,49908,49819,49868,50001,50046,50007,49926,49875,49827,49802,49756,49665,49667,49753,49932,50146,50278,50226,49915,49309,48358,47134,45695,44088,42382,40630,38903,37253,35713,34304,33034,31908,30923,30071,29345,28737,28243,27857,27577,27400,27325
1597.2,1597.1,1595,1592.9,1589.9,1582.1,1578.6,1565.5,1557,1538.9,1500.7,1502,1497.6,1491.5,1491.4,1491.5,1487.7,1474.5,1455.3,1441.3,1446,1457.9,1427.1,1401.6,1394.6,1399.4,1361.4,1334.4,1309,1265,1243.1,1199,1194,1104.8,989.67,983.28,1080.9,1041.1,872.15,784.58,754.25,780.66,810.55,799.33,702.85,685.44,672.64,679.71,659.43,641.84,627.08,578.55,625.17,613.99,607.33,589.87,516.52,466.6,411.18,409.02,382.79,361.09,354.71,292.96,267.48,219.85,201.58,213.87,223.08,233.08,245.72,258.56,270.98,274.38,262.94,224.87,209.63,185.77,164.41,158.82,148.5,147.1
4.2311,4.2258,4.2303,4.2263,4.2218,4.2446,4.2347,4.3261,4.3694,4.4841,4.5617,4.6011,4.5576,4.7465,4.6349,4.6308,4.5986,4.5039,4.4977,4.4819,4.5339,4.6167,4.6684,4.4272,4.5865,4.5033,4.2924,4.2928,4.2517,4.2959,4.151,4.1129,3.9377,4.0578,4.3369,4.197,3.6542,3.6207,4.1445,4.4972,4.6161,4.1828,3.833,3.74,4.3292,4.309,4.2505,4.005,4.033,4.0406,4.0246,4.3075,3.7841,3.761,3.6926,3.7359,4.1852,4.4664,4.853,5.1874,5.6241,5.7298,5.7287,5.9891,6.0823,6.2868,6.3478,6.26,6.1843,6.1222,6.035,5.9702,5.899,5.8548,5.8946,6.0529,6.1161,6.2165,6.3056,6.329,6.3717,6.3776
