27210,27214,27225,27242,27266,27301,27346,27405,27478,27561,27653,27750,27856,27976,28105,28237,28372,28512,28652,28793,28932,29078,29243,29416,29583,29745,29911,30077,30243,30410,30570,30721,30856,30972,31074,31167,31255,31357,31473,31590,31715,31848,31985,32145,32313,32493,32687,32865,33021,33161,33307,33454,33611,33762,33900,34036,34175,34328,34488,34633,34767,34904,35035,35152,35256,35347,35428,35497,35557,35607,35650,35686,35715,35739,35758,35773,35782,35786
1797.9,1798.7,1800.6,1803.6,1807.7,1812.9,1819.3,1826.8,1835.8,1846.2,1857.8,1870.7,1884.7,1900,1916.7,1934.6,1953.9,1974.4,1996.3,2019.6,2044.4,2070.5,2098.3,2127.6,2156.7,2185.5,2214,2242.1,2269.4,2296,2322,2347.2,2371.5,2394.9,2417.4,2439.2,2460.4,2481,2501.5,2521.7,2540.8,2559.8,2577.5,2594.3,2611,2626,2641,2655.7,2669.7,2682,2693.3,2703.9,2713.6,2723.8,2732.7,2740.7,2747.3,2752.8,2759,2765.8,2770.5,2774.5,2779.4,2783.9,2788,2791.6,2794.9,2797.9,2800.6,2803,2804.9,2806.4,2807.9,2808.7,2809.2,2809.7,2809.9,2810
0.014704,0.01502,0.015706,0.016695,0.017932,0.019569,0.021699,0.023827,0.02503,0.024668,0.024012,0.023342,0.024022,0.024611,0.023774,0.022754,0.021852,0.021063,0.019901,0.018802,0.017817,0.018907,0.019852,0.018919,0.017386,0.016663,0.016434,0.015768,0.015392,0.014701,0.013681,0.012203,0.010437,0.0088552,0.0077597,0.007008,0.0071204,0.0085969,0.0089726,0.0088741,0.0099606,0.0098721,0.011013,0.012569,0.012664,0.014438,0.01429,0.012762,0.011103,0.011044,0.011669,0.012162,0.013082,0.011935,0.011711,0.012067,0.013244,0.015143,0.015248,0.013902,0.014512,0.015252,0.014643,0.01387,0.012995,0.012311,0.011604,0.010884,0.010187,0.0095619,0.0091427,0.0089,0.0084621,0.0085861,0.008735,0.0087614,0.0088807,0.0089183
994,993.44,992.14,990.09,987.31,983.77,979.44,974.39,968.71,962.49,955.57,947.87,939.21,929.79,919.76,908.96,897.29,884.74,871.38,857.09,841.81,825.22,807.61,789.4,770.77,751.54,731.79,711.75,691.33,670.7,649.91,629.01,607.99,586.76,565.28,543.53,521.41,498.88,476.56,454.36,432.01,410.07,388.11,366.4,345.42,324.56,304.68,285.67,267.24,249.01,231.21,214.02,197.38,181.79,166.66,152.05,137.98,124.48,112.02,100.51,89.351,78.865,69.279,60.397,52.179,44.564,37.575,31.214,25.461,20.301,15.715,11.701,8.316,5.447,3.1732,1.5188,0.45168,-2.4696e-17
0.0019844,0.0019747,0.001744,0.0016454,0.0015161,0.0017579,0.0016785,0.0012604,0.0001696,-0.00034494,-0.00035,-9.0258e-05,0.00049154,-0.00012626,-0.00035,-0.00034827,-0.00021356,-0.00031647,-0.00030117,-0.00035,-2.5344e-05,0.00043218,-3.3658e-05,-0.00034247,-0.00030804,-3.5833e-05,-0.00011884,-0.00011464,-8.724e-05,-0.00018663,-0.00024065,-0.00034508,-0.00034004,-0.00026942,-0.00016655,-0.00010985,0.00019219,0.00025809,-8.6999e-05,0.00014167,0.00013199,-3.3524e-05,0.00043826,4.6034e-05,0.00019281,0.00028927,-0.00027925,-0.00031889,-0.00027006,0.00020142,1.3473e-05,0.00027677,-5.5211e-05,-0.00026074,8.9879e-05,0.00011438,0.00047709,0.00035792,-0.00031669,-0.00019115,0.00040994,-5.527e-05,-0.00023931,-0.00030919,-0.00028373,-0.00027353,-0.00030508,-0.00035,-0.00033078,-0.00035,-0.00013613,-0.00031848,-0.00020267,0.00033687,-9.9152e-06,0.00022752,0.00031209,0.00015522
0.001,-0.0006778,-0.00030598,-0.00023315,7.6654e-05,0.00017657,-0.00020404,-0.00048053,-0.00065525,2.1608e-05,-6.1166e-05,0.00033779,-3.5444e-05,-0.00024373,1.3289e-05,1.0074e-05,3.0907e-05,-5.018e-05,2.9908e-05,-2.3718e-05,0.00018771,-2.4391e-05,-0.00012786,-3.0572e-05,5.3174e-05,3.0729e-05,-3.4792e-05,2.6969e-05,-2.1278e-05,-9.6601e-06,-2.0683e-05,-1.1223e-05,8.1704e-06,2.1381e-05,1.1019e-05,2.8215e-05,6.7403e-05,-5.5507e-05,-2.513e-05,7.0353e-05,-7.4565e-05,6.3896e-05,2.6313e-05,-9.3528e-05,0.00011553,-0.00011133,-4.4905e-05,-1.6894e-05,8.3065e-05,3.1067e-05,-2.3589e-05,5.817e-05,-0.00015746,8.8614e-05,1.4062e-05,5.5423e-05,6.7257e-05,-0.00013491,-0.00014813,0.00021794,2.2953e-06,-0.00016271,3.4818e-06,-3.4013e-05,3.5799e-05,-2.3378e-05,-8.0743e-06,-1.4705e-05,5.1756e-06,3.6715e-05,0.00011634,-0.00028855,0.0006288,-2.476e-05,-0.0002983,0.00084527,-0.00072733,-0.001
0,0.15817,0.52998,1.1136,1.9081,2.9122,4.1241,5.5418,7.1632,8.9854,11.005,13.22,15.626,18.218,20.994,23.947,27.074,30.369,33.827,37.442,41.208,45.119,49.168,53.349,57.656,62.08,66.615,71.253,75.987,80.808,85.71,90.683,95.72,100.81,105.95,111.13,116.34,121.57,126.81,132.06,137.3,142.53,147.74,152.91,158.05,163.15,168.18,173.16,178.06,182.88,187.61,192.25,196.79,201.21,205.52,209.7,213.75,217.66,221.42,225.04,228.5,231.79,234.92,237.87,240.65,243.24,245.65,247.86,249.88,251.7,253.32,254.74,255.95,256.96,257.75,258.34,258.71,258.87
44999,45010,45031,45061,45091,45109,45103,45059,44984,44903,44827,44761,44682,44565,44450,44358,44296,44259,44267,44323,44442,44554,44598,44640,44692,44750,44759,44733,44663,44558,44450,44371,44364,44437,44565,44728,44895,44944,44874,44789,44606,44353,44035,43473,42860,42116,41294,40581,40001,39478,38899,38297,37624,37009,36450,35886,35277,34574,33869,33271,32690,32090,31555,31084,30678,30323,30018,29759,29542,29361,29210,29079,28978,28886,28811,28758,28721,28705
1261,1261.6,1281.1,1290.4,1301.9,1275.2,1280.8,1310.6,1410,1446.7,1445.3,1421.5,1372.7,1417.9,1429.7,1420.4,1404.5,1409.1,1405.7,1402,1376.7,1336.4,1375,1361.1,1306.7,1248.2,1209.3,1161.3,1107.8,1072.3,1029.8,994.68,950.55,903.52,854.68,826.44,780.64,755.59,765.27,723.58,702.4,697.67,619.93,647.93,607.47,568.43,621.7,606.71,583.04,496.95,510.61,448.77,484.8,498.27,428.19,409.56,310.52,317.3,438.82,402.76,246.64,345.99,376.96,379.48,362.77,350.53,350.12,353.82,342.49,341.26,277.54,323.04,288.18,130.6,229.63,159.62,132.46,177.73
6.4538,6.4455,6.2877,6.2326,6.1601,6.2975,6.2483,5.9835,5.2689,4.898,4.8765,5.0456,5.456,4.9813,4.8041,4.8038,4.8909,4.7798,4.7537,4.6935,4.9096,5.2406,4.8167,4.5417,4.5536,4.7501,4.647,4.6289,4.64,4.5236,4.4627,4.3442,4.3203,4.3446,4.4187,4.4603,4.7406,4.7763,4.4296,4.6481,4.6357,4.465,4.9564,4.5683,4.7648,4.9076,4.322,4.306,4.3838,4.9483,4.7608,5.1121,4.7656,4.5615,5.0122,5.0805,5.5902,5.5011,4.6782,4.8819,5.7275,5.1515,4.9361,4.8703,4.94,4.9834,4.9594,4.9066,4.9553,4.9401,5.2737,5.0166,5.195,5.9902,5.493,5.8481,5.9723,5.7531
