24355,24357,24363,24373,24387,24405,24429,24456,24485,24519,24555,24598,24643,24691,24744,24799,24859,24921,24988,25056,25131,25204,25286,25368,25453,25541,25632,25726,25822,25921,26021,26125,26231,26341,26451,26564,26677,26795,26912,27031,27151,27273,27395,27520,27646,27772,27900,28029,28159,28291,28421,28549,28680,28809,28939,29067,29197,29325,29453,29580,29706,29832,29956,30079,30201,30322,30441,30559,30673,30789,30900,31011,31119,31225,31328,31429,31529,31625,31719,31809,31898,31982,32065,32144,32219,32294,32362,32428,32492,32551,32607,32660,32708,32754,32795,32833,32867,32897,32923,32945,32964,32980,32991,32998,33000
1524,1524.4,1525.4,1527,1529.1,1531.8,1535.1,1538.9,1543.3,1548.2,1553.8,1559.8,1566.5,1573.6,1581.5,1589.5,1598.6,1607.6,1617.9,1627.7,1640.2,1646.2,1649.3,1656.8,1667.1,1676,1685.9,1697.4,1707.7,1735.3,1751.9,1772.4,1772.9,1778.2,1811.1,1827.7,1847.9,1860.5,1875.4,1895.8,1900.7,1916,1933.2,1949.9,1966.5,1989.1,2000.5,2008.6,2031.2,2053.8,2078.9,2102.4,2127.3,2149.2,2174.5,2197.6,2219.2,2241,2261.9,2283.1,2302,2322,2341.5,2358.9,2375.9,2393.3,2409.4,2425.7,2442.1,2456.1,2470.1,2484,2496.1,2508.9,2520.7,2530.4,2539.7,2550.1,2558.6,2566,2572.3,2578.8,2585.9,2592.4,2597.9,2603.2,2608.6,2613.2,2617.3,2620.5,2624,2627.1,2629.8,2632.4,2634.8,2637.2,2639.4,2640.7,2641.8,2642.7,2644,2644.9,2645.4,2645.8,2645.9
0.019325,0.019492,0.019911,0.02051,0.021426,0.022447,0.023384,0.022045,0.021909,0.021491,0.02167,0.022718,0.020896,0.022243,0.020991,0.021821,0.020746,0.021393,0.020617,0.021354,0.020331,0.020497,0.021388,0.020009,0.020825,0.019872,0.02051,0.019655,0.020277,0.019145,0.019302,0.019131,0.019492,0.019085,0.018866,0.018436,0.018393,0.018382,0.018008,0.017837,0.017713,0.017625,0.017367,0.017516,0.017215,0.017088,0.01703,0.017064,0.016931,0.016843,0.016057,0.016237,0.015918,0.015655,0.015639,0.015317,0.015422,0.015007,0.015031,0.014802,0.014676,0.014561,0.014557,0.014186,0.014398,0.014071,0.014116,0.013827,0.013935,0.013873,0.013579,0.013829,0.013421,0.013615,0.013308,0.013517,0.013361,0.013313,0.01325,0.013227,0.013251,0.013049,0.013304,0.012925,0.013327,0.013196,0.012608,0.013191,0.013104,0.012856,0.013189,0.013036,0.012767,0.013125,0.012693,0.013279,0.012867,0.012574,0.012877,0.012955,0.013486,0.013377,0.013044,0.012847,0.012762
994,993.75,993.15,992.21,990.92,989.29,987.32,985,982.34,979.33,975.97,972.26,968.21,963.79,959.03,953.9,948.43,942.58,936.42,929.9,923.07,915.98,908.98,900.4,889.96,879.58,867.5,854.82,843.19,830,818.35,808.43,798.16,785.93,769.53,756.12,742.3,725.25,709.16,691.85,677.52,665.83,653.47,641,627.91,614.44,600.42,586.29,571.96,556.13,538.54,522.02,505.25,487.03,469.92,452.54,435.21,418.04,399.88,382.98,364.44,347.62,330.39,313.23,296.11,280.49,265.6,248.63,234.28,221.97,208.7,194.81,182.94,171.34,160.68,149.82,139.16,129.58,119.7,109.79,100.21,91.709,83.803,76.461,69.039,61.689,55.175,49.405,43.524,37.877,33.114,28.581,24.271,20.425,17.135,13.966,11.22,8.6609,6.1777,4.2354,2.7463,1.5886,0.75523,0.22507,-6.737e-16
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0020004,0.001749,0.0016663,0.0013149,-0.00050066,1.8987e-05,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.00076912,-8.9448e-05,0.00013321,0.002,0.002,-8.4185e-05,0.002,0.002,0.002,0.002,-0.00067176,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.002,0.002,-0.001,0.002,0.002,-0.00038673,0.00090344,0.00030869,0.002,0.00043299,0.001643,0.002,5.3747e-05,0.002,0.0013127,0.002,-0.00046182,0.002,0.002,-0.0004663,-0.00049591,0.0010559,-0.00013463,-0.001,-0.00098023,-0.00082688,-7.0007e-05,-0.0010001,-0.001,-0.00021009,0.00019846,-0.00019932,-0.00087652,-0.001,-0.001,4.7637e-05,-5.6065e-05,-0.001,-0.001,0.00061536,-0.00056844,-0.001,-0.00042538,-0.0002615,-0.001,-0.001,-0.00053048,-0.001,0.00097575,0.0010508,-0.00059981,-0.00098532,-0.00097215,-0.001,-0.00098731,-0.001
-0.0001,4.0307e-05,-3.009e-05,2.511e-05,-2.2048e-05,1.9944e-05,-1.8401e-05,1.7225e-05,-1.6304e-05,1.5572e-05,-1.4982e-05,1.4491e-05,-1.4046e-05,1.3542e-05,-1.2709e-05,1.0711e-05,-4.2542e-06,-3.2449e-05,-0.0001,8.3083e-05,-0.0001,-0.0001,0.0001,0.0001,-0.0001,5.5779e-05,-2.5177e-05,-1.2732e-07,3.9265e-05,-0.0001,-0.0001,-6.0706e-05,0.0001,0.0001,-0.0001,4.0932e-05,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,-6.603e-05,4.1024e-05,-2.3078e-05,4.8198e-06,2.2908e-05,-8.6444e-05,0.0001,0.0001,-0.0001,-8.0383e-06,0.0001,-0.0001,5.8843e-05,0.0001,6.3255e-05,0.0001,-0.0001,0.0001,-0.0001,0.0001,-1.1254e-06,0.0001,-0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-8.6804e-05,-0.0001,0.0001,0.0001,4.0626e-05,-0.0001,-0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,0.0001,-1.046e-06,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,0.0001,-0.0001,-0.0001,-0.0001,-0.0001
0,0.085602,0.28689,0.60303,1.0337,1.5786,2.2371,3.0087,3.8926,4.8882,5.9944,7.2102,8.5347,9.9665,11.504,13.147,14.893,16.74,18.688,20.733,22.875,25.111,27.44,29.859,32.366,34.959,37.636,40.393,43.23,46.142,49.127,52.184,55.308,58.497,61.749,65.059,68.426,71.847,75.317,78.835,82.396,85.998,89.637,93.311,97.015,100.75,104.5,108.28,112.07,115.88,119.7,123.52,127.35,131.18,135,138.82,142.63,146.42,150.2,153.95,157.68,161.39,165.06,168.7,172.3,175.87,179.38,182.85,186.27,189.64,192.95,196.2,199.39,202.52,205.57,208.56,211.47,214.31,217.06,219.74,222.33,224.84,227.26,229.59,231.82,233.97,236.01,237.96,239.81,241.55,243.2,244.73,246.17,247.49,248.71,249.81,250.81,251.69,252.46,253.12,253.67,254.1,254.41,254.61,254.7
50778,50785,50803,50827,50858,50889,50920,50952,51006,51056,51128,51174,51251,51315,51399,51469,51567,51638,51756,51816,51997,51772,51298,51099,51043,50876,50739,50681,50524,51356,51527,51882,51045,50472,51452,51479,51692,51443,51311,51459,50759,50603,50536,50419,50277,50429,50001,49398,49496,49574,49772,49892,50047,50068,50228,50280,50252,50225,50162,50106,49949,49843,49710,49499,49279,49073,48829,48597,48390,48078,47802,47517,47191,46904,46596,46230,45861,45558,45206,44838,44449,44097,43758,43418,43074,42732,42442,42144,41845,41551,41291,41034,40804,40589,40394,40223,40068,39920,39785,39671,39590,39521,39465,39433,39419
1444.2,1444,1443.3,1442.2,1440.6,1438.4,1435.7,1432.4,1428.8,1424.7,1420.3,1415,1409.7,1404.1,1398.3,1392.5,1386.7,1399.7,1396.7,1398.2,1425.8,1582.2,1530.4,1575.8,1576.5,1575.7,1575.3,1575.6,1574.6,1581.1,1457.7,1425.3,1423.7,1561.7,1542.9,1418,1486.7,1463.7,1438.8,1408.8,1367,1352.3,1334.7,1328.7,1322.2,1310.5,1308.2,1302.3,1295,1185.8,1158,1267.4,1087.1,1053.6,1182.5,1096.4,1088.6,926.2,1036.4,899.61,853.83,1018.6,834.8,818.97,823.24,958.53,764.92,722.15,912.58,890.56,703.31,788.04,845.16,836.66,824.89,696.33,801.35,794.32,652.54,584.72,610.9,677.92,686.98,665.04,552.72,534.65,613.55,599.97,442.76,533.85,566.62,491.15,493.83,541.47,534.49,473.54,517.18,312.1,304.01,462.39,500.99,498.15,497.24,495.85,495.73
7.0182,7.0174,7.0157,7.0133,7.0102,7.0071,7.0041,7.001,6.9959,6.9911,6.984,6.9786,6.9698,6.9608,6.9485,6.9356,6.9174,6.8997,6.7393,6.6688,6.4178,5.3716,5.7259,6.848,6.831,6.8264,6.8177,6.7992,6.7913,6.666,5.9496,5.3944,5.5789,6.6784,6.5629,5.3006,6.527,6.5419,6.5422,6.5113,4.7147,4.4358,4.4063,4.3792,4.3527,4.2987,4.2989,4.3152,4.2674,6.6498,6.6131,4.1161,6.599,6.6149,4.5259,5.6524,5.1521,6.5915,5.2369,6.2869,6.6024,4.8282,6.618,6.0097,6.6499,4.295,6.713,6.7555,4.284,4.2613,5.9029,4.6723,3.7605,3.7876,3.9694,4.8386,3.7972,3.8087,4.7448,5.2831,4.8156,4.035,3.9027,3.9191,5.2581,5.1478,3.9686,3.9847,6.0289,4.5624,4.0336,4.806,5.0575,4.0765,4.0889,4.7246,4.1093,6.7729,6.8976,4.6703,4.1594,4.1807,4.1492,4.1675,4.1524
