24354,24357,24364,24375,24390,24411,24438,24465,24498,24535,24577,24622,24672,24725,24782,24844,24908,24978,25050,25126,25206,25289,25376,25466,25559,25655,25754,25858,25959,26070,26179,26292,26407,26524,26644,26766,26889,27014,27141,27269,27398,27529,27662,27795,27929,28064,28201,28337,28473,28609,28746,28882,29018,29154,29290,29424,29559,29691,29823,29954,30085,30212,30338,30463,30587,30708,30828,30944,31060,31172,31282,31389,31495,31597,31696,31792,31885,31975,32062,32145,32224,32301,32374,32442,32509,32569,32625,32683,32728,32775,32816,32854,32887,32916,32941,32959,32976,32988,32996,32999
1524,1524.5,1525.6,1527.4,1529.7,1532.9,1536.4,1540.9,1545.7,1551.5,1557.4,1564.7,1571.7,1580.4,1588.3,1598.6,1606.5,1616.4,1625.7,1639.2,1649.3,1667,1666.3,1674.3,1687,1699,1710.8,1713.7,1743.6,1748.6,1769,1788.6,1806.9,1823.5,1835.7,1842.5,1866.6,1880.5,1902.5,1918.8,1943.1,1954.8,1974.1,1990.7,2012.8,2020.7,2033.8,2056.9,2078.9,2097.8,2113.4,2135.6,2152.8,2179.7,2201.7,2226,2246.6,2269,2288.8,2309.6,2328.4,2346.9,2363,2379.1,2394.6,2410.4,2424.8,2438.9,2451.9,2464.2,2479.1,2494.8,2503.8,2517,2526.9,2542.7,2559,2564.1,2578.8,2590.6,2601.4,2621.4,2630.6,2636.8,2642.7,2645.5,2649.3,2652.6,2655.9,2658.6,2661.1,2663.4,2664.9,2665.4,2666.6,2668.1,2668.8,2669.4,2669.6,2669.7
0.019158,0.019366,0.019767,0.020596,0.02144,0.023461,0.021833,0.020489,0.021747,0.020909,0.02186,0.020742,0.021589,0.020441,0.021558,0.020141,0.020798,0.020698,0.020286,0.020198,0.020195,0.019846,0.020054,0.01957,0.020052,0.019071,0.020017,0.018785,0.019001,0.019475,0.018235,0.019052,0.017935,0.018451,0.017939,0.018124,0.017647,0.017806,0.017236,0.017401,0.016891,0.017132,0.016668,0.016799,0.016348,0.016669,0.016323,0.016167,0.015864,0.015896,0.015618,0.015586,0.015301,0.015335,0.014922,0.015026,0.014702,0.014555,0.014494,0.014364,0.014352,0.013896,0.014144,0.013839,0.013885,0.013706,0.013737,0.013509,0.013607,0.013371,0.013456,0.013159,0.013473,0.013042,0.013204,0.012905,0.013126,0.012785,0.013068,0.012577,0.01283,0.012775,0.012517,0.012577,0.012995,0.011558,0.013478,0.01258,0.011576,0.013366,0.01186,0.013133,0.011504,0.013872,0.010974,0.011935,0.013353,0.012257,0.012757,0.012906
994,993.71,993.04,991.98,990.52,988.69,986.45,983.84,980.82,977.43,973.61,969.44,964.81,959.85,954.4,948.66,942.36,936.13,929.23,921.74,914,906.08,896.47,885.05,873.42,860.98,848.14,834.66,822.46,812.76,799.47,783.28,766.13,751.84,737.79,721.33,710.82,694.2,679.53,663.97,647.59,634.68,620.11,605.79,590.34,575.09,558.18,539.89,522.43,505.68,488.37,471.08,454.87,438.36,422.21,405.62,389.23,373.2,356.94,339.71,324.16,308.56,293.63,278.08,263.74,249.04,234.6,221.15,206.37,192.77,180.21,169.88,158.93,148.51,138.28,128.51,117.63,108.8,99.09,89.886,82.009,71.638,61.594,54.519,47.961,41.558,35.773,30.653,25.904,21.621,17.512,14.188,10.965,7.7297,5.4497,3.7142,2.2918,1.1888,0.45532,0.12196
0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.0016969,0.0014449,0.0015682,0.0014651,0.0012345,0.0010016,0.002,0.002,0.002,0.002,0.002,0.002,0.00016261,-0.00042936,0.002,0.002,0.002,-0.0003382,0.002,-0.00044805,-0.00065148,0.002,-0.001,0.002,-0.001,-0.001,-0.001,-0.001,-0.001,-0.001,0.002,0.0018077,-0.001,-0.001,0.0014486,-0.001,-0.001,-0.001,-0.00099331,-0.00053755,-0.00080405,-0.00096973,0.0003501,0.00016185,-0.00029902,0.00033583,7.1108e-05,0.00081906,-0.00060908,0.0015149,-0.00097133,0.0014686,0.0012792,0.0011924,-0.001,-0.001,-0.00067724,-0.00033348,-0.001,0.00072434,0.0006248,-0.001,-0.001,-0.001,0.00025678,-0.001,-8.5739e-05,-0.00064663,0.00087561,0.00058393,0.00015551,-0.00017755,1.5529e-05,0.00022706,5.9093e-05,-0.001,0.0016407,0.002,-0.00084407,-0.00071738,0.00029192,0.00060726,0.002,0.002
-7.6836e-05,3.142e-05,-2.3981e-05,2.0602e-05,-1.8835e-05,1.7913e-05,-1.7529e-05,1.7535e-05,-1.7848e-05,1.8413e-05,-1.9168e-05,1.9999e-05,-2.0603e-05,2.0023e-05,-1.4379e-05,-2.2765e-05,-0.0001,5.3936e-05,-2.8618e-05,-1.044e-05,-0.0001,0.0001,0.0001,-0.0001,7.7487e-05,-6.1536e-05,7.6199e-05,-0.0001,-0.0001,0.0001,0.0001,6.772e-06,-0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,0.0001,-2.4982e-05,-0.0001,0.0001,-0.0001,0.0001,-0.0001,1.3079e-05,4.5785e-06,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,-0.0001,0.0001,-0.0001,-5.2652e-05,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-0.0001,0.0001,-2.9033e-05,0.0001,0.0001,-0.0001,-0.0001,-8.6356e-05,0.0001,0.0001,-0.0001,0.0001,0.0001,-0.0001,-0.0001,0.0001,0.0001,0.0001,0.0001,-0.0001
0,0.096641,0.32387,0.68075,1.1669,1.7818,2.5249,3.3953,4.3924,5.5149,6.7619,8.1321,9.6242,11.237,12.968,14.816,16.779,18.855,21.043,23.34,25.743,28.25,30.86,33.568,36.373,39.271,42.261,45.338,48.5,51.743,55.065,58.462,61.93,65.467,69.069,72.731,76.451,80.225,84.048,87.918,91.83,95.78,99.765,103.78,107.82,111.89,115.97,120.07,124.17,128.29,132.4,136.52,140.62,144.72,148.8,152.87,156.91,160.92,164.91,168.86,172.77,176.64,180.47,184.24,187.96,191.62,195.22,198.76,202.23,205.62,208.95,212.19,215.35,218.43,221.42,224.32,227.12,229.83,232.44,234.95,237.35,239.65,241.83,243.91,245.87,247.72,249.45,251.07,252.56,253.93,255.17,256.3,257.29,258.16,258.91,259.52,260.01,260.37,260.59,260.69
50785,50794,50813,50844,50874,50911,50936,51008,51056,51142,51193,51298,51352,51482,51532,51692,51677,51734,51735,51971,51951,52377,51620,51382,51398,51346,51254,50588,51544,50933,51249,51454,51571,51568,51282,50682,51020,50766,50940,50783,51029,50595,50539,50332,50388,49721,49297,49366,49368,49213,48892,48875,48621,48804,48750,48804,48677,48647,48490,48387,48187,48002,47718,47443,47157,46891,46584,46283,45953,45615,45389,45213,44807,44570,44244,44141,44072,43642,43539,43348,43160,43284,43083,42814,42545,42226,41971,41684,41484,41258,41065,40886,40722,40546,40418,40348,40261,40201,40160,40142
1444.4,1444.1,1443.3,1442,1440.2,1437.8,1434.6,1431.3,1427.3,1422.8,1417.7,1412.3,1406.5,1400.6,1394.5,1388.4,1409.8,1429.3,1408.7,1411.3,1425.8,1437.5,1582.1,1580.5,1581.5,1581.5,1581.1,1575.4,1428.1,1477.8,1573.8,1568.2,1551.3,1394.9,1501.7,1395.1,1376.6,1424.8,1372.9,1364.8,1328,1325.5,1316.8,1310.2,1299.7,1298.7,1201.4,1191.4,1285.1,1267.9,1129.8,1238.1,1224.6,1204.4,1182.7,1084,1088.2,1077.2,967.65,969.3,998.69,890.35,899.52,803.24,934.97,765.91,885.26,723.79,728.3,714.34,843.18,825.23,765.22,706.92,791.17,641.34,630.81,717.13,689.85,664.51,588.97,616.35,526.08,555.63,386.59,422.23,515.47,505.49,514.78,447.71,482.75,505.52,216.66,112.16,484.53,469.01,372,320.02,90.259,89.411
7.0175,7.0166,7.0148,7.0117,7.0087,7.005,7.0026,6.996,6.9912,6.983,6.9773,6.9661,6.9583,6.9419,6.931,6.9067,6.7317,6.5568,6.6179,6.5131,6.3534,6.1628,6.788,6.7893,6.7628,6.7425,6.725,6.7721,5.6263,5.2561,6.6145,6.5733,6.5493,5.1229,6.5667,5.0533,4.8051,6.5861,4.4422,6.5586,4.3574,4.3577,4.3212,4.2989,4.2542,4.2734,6.6892,6.5122,4.1802,4.1542,6.2752,4.1097,4.0982,4.0514,4.033,4.4232,4.1536,3.9824,5.2731,5.0682,4.5686,5.2572,4.9833,5.7519,4.2691,6.484,3.9148,6.4813,6.3019,6.2592,3.8952,3.8888,4.2533,4.6715,3.9202,5.9101,5.8192,3.9332,3.9281,3.9301,5.5078,3.9094,5.0684,4.3569,6.2997,5.9596,5.4866,5.0786,5.3587,5.6458,5.4588,4.0398,7.4975,8.0092,4.2677,4.4345,5.831,6.2222,8.0747,8.0777
