25090,25101,25127,25167,25222,25289,25369,25459,25560,25669,25784,25906,26037,26182,26340,26514,26704,26906,27113,27316,27517,27722,27944,28166,28379,28587,28797,28991,29165,29354,29566,29783,30007,30202,30364,30499,30615,30753,30907,31082,31285,31484,31626,31722,31795,31837,31858,31903,31980,32083,32206,32344,32492,32651,32835,33048,33286,33541,33799,34050,34287,34507,34705,34877,35018,35124,35192,35221
1521,1522,1524.5,1528.3,1533.5,1540.1,1548,1557.1,1567.5,1579.3,1592.1,1606,1620.7,1636.5,1653.3,1672.1,1692.7,1714.6,1737.5,1763.1,1796,1833.1,1871.2,1909.5,1947.5,1984.8,2021.4,2058.2,2093.1,2125.9,2158,2191.4,2224.7,2255.2,2285.7,2316,2344.7,2371.9,2398.5,2423.4,2447.2,2470.9,2493.7,2514.6,2534.3,2553.2,2571.6,2590,2607.8,2624.6,2640.4,2654.9,2668,2678.7,2687.8,2695.9,2702.5,2708.2,2713.5,2717.9,2721.1,2723.5,2725.4,2726.8,2727.9,2728.7,2729.2,2729.4
0.033822,0.033721,0.033493,0.033104,0.032561,0.031754,0.030778,0.029871,0.028812,0.027291,0.025962,0.025219,0.025278,0.025738,0.026034,0.02703,0.02716,0.026877,0.025273,0.023555,0.022189,0.022419,0.022538,0.020694,0.019127,0.018273,0.017534,0.01468,0.013891,0.015781,0.016211,0.016441,0.015682,0.012423,0.010598,0.0082359,0.0085457,0.010139,0.011059,0.013058,0.014512,0.012122,0.0079074,0.0058831,0.0042588,0.0019083,0.0019607,0.0048339,0.0070979,0.0093915,0.011044,0.012707,0.014015,0.016594,0.020483,0.025018,0.029519,0.033418,0.036303,0.038585,0.040908,0.043207,0.04537,0.047055,0.048322,0.049206,0.049766,0.05
994,993.45,992.17,990.14,987.39,983.92,979.73,974.8,969.16,962.82,955.76,947.94,939.38,930.07,920.07,908.96,897,884.27,871,856.34,838.47,818.25,797.1,775.47,753.3,730.63,707.57,684.17,660.44,636.57,612.93,588.18,563.29,539.99,515.77,490.91,465.91,441.02,416.34,391.42,367.07,344.37,322.46,300.61,279.19,258.51,237.31,215.67,194.83,174.74,155.69,137.61,120.64,104.46,89.081,74.778,61.723,50.087,39.891,31.018,23.329,17.054,11.927,7.729,4.4835,2.1236,0.6328,-2.0889e-13
-0.00046725,-0.00045755,-0.00046114,-0.00050233,-0.00052427,-0.00063632,-0.00052528,-0.00044565,-0.00055056,-0.00062063,-0.00034477,-0.00015102,0.00016482,4.2945e-05,0.00020558,0.00017252,-3.3283e-05,-0.00017573,-0.00043632,-0.00029936,-0.00018263,0.00019763,-0.00023345,-0.00033286,-0.00024446,-4.6369e-05,-0.00033005,-0.00046007,0.00020896,0.000253,-3.8688e-05,9.3837e-05,-0.00043075,-0.00042474,-0.00030645,-0.00029001,0.00031618,0.00013634,0.00024325,0.00036607,-3.2021e-06,-0.00074601,-0.00055107,-0.00024659,-0.0003833,-0.00036004,0.00042161,0.00053051,0.00046371,0.00042902,0.00035693,0.00034507,0.00039302,0.0009076,0.0011714,0.0014028,0.0013539,0.0012188,0.00091351,0.0009952,0.0011099,0.0012939,0.0012825,0.0012,0.0011329,0.0011085,0.0010925,0.001085
-9.4892e-05,9.4856e-05,-9.385e-05,1.338e-05,-9.2153e-05,-6.7683e-06,8.4693e-05,-1.1965e-06,-8.1306e-05,6.0038e-05,8.5008e-05,8.7762e-05,4.4831e-05,-4.3004e-05,8.271e-05,-8.8007e-05,3.4513e-06,-8.8802e-05,1.2487e-05,4.8626e-06,8.0163e-05,-2.1934e-06,-8.9476e-05,2.5606e-05,1.7891e-05,2.0135e-05,-9.1926e-05,7.5673e-05,8.8164e-05,-6.1767e-05,2.9168e-06,-1.7005e-05,-9.4075e-05,7.2457e-05,-4.6494e-05,9.3801e-05,2.931e-05,-3.0202e-05,4.2586e-05,-7.8783e-06,-8.9236e-05,-6.4026e-05,8.8849e-05,6.2004e-06,-4.2054e-05,9.0375e-05,0.0001,-5.2358e-05,2.7086e-05,-4.6079e-05,2.4114e-05,-4.1137e-05,0.00010017,0.0001,7.5986e-05,2.2954e-05,-2.399e-05,-9.8962e-05,-5.6729e-05,7.4045e-05,5.8742e-05,8.6612e-05,-8.1855e-05,-3.5565e-05,-7.9703e-05,1.3961e-05,-8.7631e-05,9.3082e-05
2.8422e-14,0.21544,0.72175,1.5162,2.5971,3.962,5.608,7.5314,9.7283,12.194,14.922,17.908,21.145,24.626,28.343,32.288,36.453,40.829,45.406,50.174,55.123,60.243,65.522,70.948,76.51,82.197,87.995,93.892,99.875,105.93,112.05,118.21,124.41,130.63,136.85,143.07,149.27,155.43,161.55,167.61,173.59,179.49,185.28,190.97,196.53,201.96,207.24,212.36,217.31,222.08,226.65,231.03,235.19,239.14,242.86,246.34,249.57,252.56,255.29,257.75,259.95,261.87,263.52,264.88,265.96,266.76,267.27,267.48
45004,44987,44946,44884,44802,44707,44601,44489,44372,44271,44183,44098,43989,43833,43641,43430,43191,42932,42675,42562,42792,43167,43445,43695,43962,44204,44374,44627,44928,44999,44869,44728,44523,44387,44467,44713,45008,45091,45025,44736,44209,43710,43554,43635,43835,44199,44691,45026,45112,44947,44592,44094,43483,42725,41764,40612,39290,37895,36515,35215,34003,32907,31943,31128,30477,29997,29689,29558
1598.8,1596.8,1594.7,1594.8,1592.2,1596.7,1580.3,1564.9,1566.1,1563.1,1525.1,1492.3,1438.5,1437.5,1422.7,1447.1,1452,1460.5,1455.5,1530.6,1592.6,1554.5,1528.4,1484.3,1431.9,1363.9,1339,1304.2,1188.4,1141.3,1133.8,1119.3,1104.4,1065.7,1034.3,991.65,918.8,901.64,855.59,786.97,814.5,862.09,812.61,754.31,752.55,728.31,695.03,692.41,679.37,662.94,647.01,619.01,568.9,465.34,442.22,388.21,355.68,344.43,362.58,302.13,243.36,214.68,187.01,174.18,164.03,152.22,145.86,143.58
6.0954,6.1018,6.1003,6.075,6.0589,5.9856,6.0429,6.0816,6.0058,5.9473,6.1044,6.2084,6.409,6.3128,6.4074,6.3611,6.2036,6.0813,5.8845,5.9047,5.8708,6.0597,5.6744,5.5315,5.5314,5.6261,5.3385,5.1272,5.6772,5.6831,5.3992,5.489,4.9397,4.9257,5.0105,4.9734,5.5662,5.3565,5.4585,5.6044,5.2257,4.34,4.551,4.9166,4.6945,4.6762,5.5854,5.6613,5.5745,5.5464,5.4928,5.522,5.6368,6.3069,6.7761,7.2291,7.3571,7.3745,7.1829,7.5196,7.9258,8.3938,8.5875,8.6361,8.67,8.7486,8.8027,8.8243
