26544,26553,26572,26606,26655,26719,26797,26886,26989,27106,27234,27375,27529,27695,27874,28065,28267,28482,28704,28922,29132,29336,29531,29717,29896,30065,30225,30376,30520,30660,30794,30922,31045,31162,31273,31379,31479,31574,31663,31747,31826,31900,31970,32033,32090,32142,32191,32235,32276,32312,32345,32375,32401,32423,32442,32458,32470,32479,32485,32488
1797.9,1799.2,1802.4,1807.4,1814.3,1823.4,1834.5,1847.6,1862.5,1879.6,1898.7,1919.9,1943.2,1968.7,1996.4,2026.6,2058.9,2093.7,2130.3,2166.7,2202.6,2237.7,2271.9,2305.1,2337.3,2368.2,2397.8,2425.9,2453.2,2479.8,2505.6,2530.6,2554.7,2577.9,2600.1,2621.4,2641.7,2661,2679.4,2696.9,2713.3,2728.8,2743.4,2757.1,2769.8,2781.5,2792.4,2802.5,2811.6,2820,2827.5,2834.2,2840.1,2845.3,2849.6,2853.2,2856.2,2858,2858.9,2859.3
0.019759,0.020215,0.021267,0.022957,0.024537,0.024894,0.024304,0.02395,0.02431,0.024007,0.023893,0.023852,0.023657,0.023546,0.023533,0.023353,0.023157,0.023146,0.021854,0.020137,0.018577,0.017117,0.015795,0.01457,0.013457,0.012427,0.011408,0.010568,0.010071,0.0095611,0.0090762,0.0086346,0.0081933,0.0078015,0.0074338,0.0070954,0.0067929,0.0065013,0.0062257,0.0059889,0.0057324,0.0055643,0.0053371,0.0049328,0.0047122,0.0045962,0.0044898,0.0043524,0.0042598,0.0041661,0.0040833,0.0040206,0.0039488,0.0038937,0.0038667,0.0037633,0.0035756,0.0039902,0.0045797,0.0048522
994,993.13,991.07,987.83,983.48,978.14,971.74,964.14,955.32,945.33,934.08,921.52,907.66,892.41,875.77,857.69,838.15,816.98,794.71,771.75,748.09,723.83,699.02,673.75,648.09,622.09,595.86,569.44,542.81,516.08,489.34,462.65,436.08,409.71,383.61,357.87,332.57,307.76,283.5,259.85,236.89,214.68,193.3,172.86,153.32,134.75,117.21,100.77,85.443,71.288,58.334,46.614,36.162,27.003,19.15,12.662,7.5456,3.6467,1.0909,5.1884e-16
0.002,0.002,0.002,0.001918,0.00080104,-0.00014894,-0.00039996,9.3298e-05,4.9642e-05,-0.00016118,4.0326e-05,-7.2181e-05,-3.0455e-05,-3.0371e-05,8.6878e-06,-9.3433e-05,2.8659e-05,-0.00012067,-0.00037408,-0.00032431,-0.00030519,-0.00026263,-0.00024209,-0.00021289,-0.00019404,-0.00017921,-0.00017688,-0.00010976,-8.0012e-05,-9.2065e-05,-7.634e-05,-7.8766e-05,-7.2639e-05,-6.6422e-05,-6.3445e-05,-5.7785e-05,-5.3468e-05,-5.5048e-05,-4.7765e-05,-4.8672e-05,-4.785e-05,-2.7545e-05,-7.9697e-05,-8.0222e-05,-3.0595e-05,-2.8486e-05,-3.106e-05,-3.8958e-05,-2.0486e-05,-3.8841e-05,-1.7488e-05,-3.5975e-05,-2.1568e-05,-3.4949e-05,1.8033e-06,-0.00019406,5.8628e-05,0.00095409,0.0011766,0.0012627
0.00050362,-0.00022654,0.00022129,-0.00062341,-0.001,-0.00037866,9.654e-05,0.00022309,-0.00018633,6.6033e-05,4.5912e-07,-1.6286e-05,9.6173e-06,9.536e-06,-1.212e-05,-5.4092e-06,2.6971e-05,-8.0097e-05,-9.8631e-06,1.0004e-05,5.1568e-06,6.7959e-06,4.1042e-06,4.6938e-06,3.579e-06,-2.2097e-09,5.2746e-06,1.3315e-05,-2.6227e-06,1.4533e-06,1.3572e-06,-4.5908e-07,1.8391e-06,4.0281e-07,8.2896e-07,1.113e-06,1.3076e-07,6.2995e-08,1.9481e-06,-2.3171e-06,4.7677e-06,-2.389e-06,-1.3166e-05,1.307e-05,4.2476e-06,8.5525e-07,-4.6208e-06,5.0671e-06,-2.0022e-06,3.1585e-07,3.1888e-06,-5.3935e-06,4.4316e-06,4.1779e-06,-1.7839e-05,-0.00017172,0.00082663,0.00091276,7.3928e-05,0.001
2.8422e-14,0.22655,0.75886,1.5937,2.7288,4.1608,5.8859,7.8991,10.195,12.767,15.608,18.71,22.065,25.663,29.493,33.546,37.811,42.274,46.925,51.749,56.733,61.864,67.127,72.508,77.991,83.561,89.203,94.901,100.64,106.4,112.17,117.93,123.67,129.37,135.01,140.58,146.07,151.45,156.71,161.84,166.83,171.65,176.3,180.76,185.03,189.08,192.91,196.51,199.86,202.97,205.81,208.38,210.67,212.69,214.41,215.84,216.98,217.81,218.35,218.57
49967,49978,49997,50011,50008,49996,49995,50005,50001,49998,50001,50001,49999,50001,50000,50000,50000,50000,50001,50000,50000,50000,50001,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50000,50001,50007,50000,49982,49971
1342.2,1341.9,1340.7,1344.8,1426.7,1491.4,1509.4,1465.7,1466.9,1474.1,1456,1453.8,1440,1436.2,1430,1427.3,1407.7,1414.2,1383.1,1320.1,1259.4,1198.7,1140.2,1083,1029.2,975.1,918.31,868.74,843.06,816.3,788.65,762.92,736.38,711.13,687.52,666.49,645.92,625.46,605.98,588.18,571.04,553.46,542.76,529.65,512.54,500.34,489.6,480.54,470.05,464.34,455.04,450.82,443.73,440.38,433.2,449.19,422.73,315.34,285.25,272.35
6.0956,6.0934,6.092,6.0444,5.3728,4.7528,4.5604,4.8855,4.8338,4.6664,4.7818,4.6853,4.6978,4.6568,4.6434,4.5379,4.6013,4.4409,4.198,4.2144,4.1991,4.1974,4.1866,4.1749,4.1672,4.1633,4.1352,4.1599,4.1736,4.1457,4.1451,4.1312,4.1297,4.1238,4.1075,4.0841,4.065,4.0536,4.0558,4.0459,4.0319,4.0385,3.973,3.9582,3.9966,3.9871,3.9736,3.9549,3.9657,3.9362,3.9517,3.9236,3.9331,3.9122,3.9477,3.7176,4.0033,4.9336,5.156,5.2381
