
List of user-set options:

                                    Name   Value                used
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                  ma57_automatic_scaling = yes                    no
                                max_iter = 300                   yes
                             mu_strategy = adaptive              yes
                             output_file = Goddard-Rocket-ProblemIPOPTinfo.txt  yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                     tol = 1e-007                yes
This is Ipopt version 3.11.0, running with linear solver mumps.

Number of nonzeros in equality constraint Jacobian...:    22142
Number of nonzeros in inequality constraint Jacobian.:      553
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:     2492
                     variables with only lower bounds:        0
                variables with lower and upper bounds:     2492
                     variables with only upper bounds:        0
Total number of equality constraints.................:     2216
Total number of inequality constraints...............:      278
        inequality constraints with only lower bounds:        0
   inequality constraints with lower and upper bounds:      278
        inequality constraints with only upper bounds:        0

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
   0 2.9608755e+004 4.14e-001 1.00e+002   0.0 0.00e+000    -  0.00e+000 0.00e+000   0
   1 2.9615360e+004 4.12e-001 1.00e+002   0.7 2.26e+001    -  2.10e-002 4.82e-003f  1
   2 2.9663518e+004 4.06e-001 2.06e+002   0.1 2.16e+001    -  1.72e-001 1.52e-002f  2
   3 2.9681398e+004 4.04e-001 6.23e+002   0.1 2.08e+001    -  3.70e-001 4.09e-003f  5
   4 2.9819943e+004 3.92e-001 4.35e+003   0.1 2.08e+001    -  6.20e-001 3.09e-002f  2
   5 2.9828659e+004 3.91e-001 1.29e+005   0.1 1.94e+001    -  9.10e-001 2.01e-003h  5
   6 2.9836323e+004 3.90e-001 3.48e+006   0.1 1.76e+001    -  8.60e-001 1.98e-003h  5
   7 2.9953127e+004 3.81e-001 3.88e+007   0.1 9.43e+000    -  6.24e-001 5.26e-002f  1
   8 3.0466668e+004 3.85e-001 1.03e+008   0.1 8.25e+000    -  8.12e-001 2.44e-001f  1
  46r2.9579427e+004 4.78e-001 4.85e-001  -2.7 4.52e-001    -  1.00e+000 1.00e+000f  1
  47r2.9580317e+004 4.78e-001 7.50e+000  -3.0 2.93e-001    -  9.95e-001 7.59e-001f  1
  48r2.9586108e+004 4.78e-001 2.89e+000  -3.0 1.48e+000    -  1.00e+000 6.44e-001f  1
  49r2.9585476e+004 4.78e-001 9.84e+000  -2.7 1.76e+000    -  1.00e+000 6.42e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50r2.9580286e+004 4.78e-001 1.07e+001  -2.8 1.69e+000    -  3.52e-001 8.32e-001h  1
  51r2.9581828e+004 4.78e-001 7.58e+000  -2.8 2.62e+000    -  2.60e-001 5.09e-001H  1
  52r2.9581881e+004 4.78e-001 3.75e+000  -2.8 2.86e+000    -  1.00e+000 4.58e-002h  1
  53r2.9582671e+004 4.78e-001 3.91e+000  -2.8 3.28e-001    -  3.22e-001 1.00e+000h  1
  54r2.9584129e+004 4.78e-001 2.41e+000  -2.8 2.85e+000    -  3.94e-001 3.57e-001h  1
  55r2.9583810e+004 4.78e-001 8.19e-001  -2.8 7.18e-001    -  3.41e-001 1.00e+000f  1
  56r2.9583798e+004 4.78e-001 1.82e-001  -2.8 1.43e-001    -  1.00e+000 1.00e+000h  1
  57r2.9585067e+004 4.78e-001 6.59e-001  -3.1 1.29e-001    -  9.91e-001 9.74e-001f  1
  58r2.9585406e+004 4.78e-001 1.37e+000  -2.9 6.95e-001    -  1.00e+000 9.85e-001f  1
  59r2.9585116e+004 4.78e-001 7.02e+000  -3.0 6.96e-001    -  3.06e-001 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60r2.9584913e+004 4.78e-001 7.88e-001  -3.0 8.42e-001    -  1.00e+000 5.63e-001h  1
  61r2.9585360e+004 4.78e-001 4.26e-001  -3.0 3.75e-001    -  1.00e+000 9.73e-001h  1
  62r2.9585427e+004 4.78e-001 5.03e-001  -3.0 3.41e-001    -  6.96e-001 1.00e+000f  1
  63r2.9585356e+004 4.78e-001 8.53e-001  -3.0 4.98e-001    -  1.00e+000 1.00e+000h  1
  64r2.9585082e+004 4.78e-001 2.10e-001  -3.0 3.65e-001    -  7.16e-001 1.00e+000h  1
  65r2.9585342e+004 4.78e-001 1.06e-001  -3.0 1.16e-001    -  1.00e+000 1.00e+000h  1
  66r2.9583587e+004 4.78e-001 2.77e+000  -3.4 3.64e-001    -  9.98e-001 8.67e-001f  1
  67r2.9586295e+004 4.78e-001 2.72e+000  -3.4 8.23e-001    -  1.00e+000 5.59e-001f  1
  68r2.9587283e+004 4.78e-001 3.54e+000  -3.0 1.61e+000    -  7.91e-001 5.83e-001f  1
  69r2.9586019e+004 4.78e-001 7.83e+000  -3.2 6.24e-001    -  1.29e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70r2.9586257e+004 4.78e-001 3.87e+000  -3.2 8.71e-001    -  1.00e+000 3.43e-001h  1
  71r2.9587436e+004 4.78e-001 7.76e-001  -3.2 3.06e-001    -  6.35e-001 1.00e+000h  1
  72r2.9586834e+004 4.78e-001 2.15e+000  -3.2 1.70e+000    -  1.00e+000 1.83e-001h  2
  73r2.9587344e+004 4.78e-001 7.61e-001  -3.2 2.57e-001    -  7.29e-001 1.00e+000h  1
  74r2.9588100e+004 4.78e-001 1.35e+000  -3.5 2.49e-001    -  1.00e+000 8.89e-001f  1
  75r2.9591237e+004 4.78e-001 1.20e+000  -3.3 6.14e-001    -  1.00e+000 1.00e+000f  1
  76r2.9591055e+004 4.78e-001 2.60e+000  -3.4 5.95e-001    -  3.68e-001 1.00e+000h  1
  77r2.9590183e+004 4.78e-001 1.33e+000  -3.4 5.80e-001    -  1.00e+000 6.21e-001h  1
  78r2.9593070e+004 4.78e-001 4.85e-001  -3.4 3.49e-001    -  1.00e+000 1.00e+000h  1
  79r2.9593115e+004 4.78e-001 7.23e-001  -3.4 8.47e-001    -  8.53e-001 2.05e-001h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80r2.9591754e+004 4.78e-001 3.45e-001  -3.4 2.81e-001    -  9.05e-001 1.00e+000h  1
  81r2.9591719e+004 4.78e-001 3.17e-001  -3.4 1.30e+000    -  4.07e-001 1.43e-001h  2
  82r2.9592520e+004 4.78e-001 2.83e-002  -3.4 1.01e-001    -  1.00e+000 1.00e+000h  1
  83r2.9594642e+004 4.78e-001 2.31e+000  -3.7 2.24e-001    -  9.97e-001 7.11e-001f  1
  84r2.9594604e+004 4.78e-001 1.81e+000  -3.1 3.24e+000    -  3.91e-001 2.90e-001f  1
  85r2.9593931e+004 4.78e-001 2.21e+000  -3.5 1.66e+000    -  1.99e-001 4.29e-001h  1
  86r2.9590618e+004 4.78e-001 1.91e+000  -3.5 3.35e+000    -  8.22e-002 2.93e-001h  1
  87r2.9588422e+004 4.78e-001 1.71e+000  -3.5 1.08e+000    -  1.78e-001 1.61e-001h  2
  88r2.9584190e+004 4.78e-001 1.81e+000  -3.5 7.92e-001    -  1.00e+000 8.87e-001h  1
  89r2.9585075e+004 4.78e-001 2.22e+000  -3.5 1.33e+000    -  4.12e-001 5.58e-001H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90r2.9584050e+004 4.78e-001 1.97e+000  -3.5 6.44e-001    -  6.52e-001 1.00e+000f  1
  91r2.9584013e+004 4.78e-001 5.28e-001  -3.5 3.89e-001    -  1.00e+000 1.00e+000h  1
  92r2.9584411e+004 4.78e-001 1.01e-001  -3.5 2.42e-001    -  1.00e+000 1.00e+000h  1
  93r2.9586173e+004 4.78e-001 2.63e+000  -4.1 8.00e-002    -  9.97e-001 8.08e-001f  1
  94r2.9582188e+004 4.78e-001 2.28e+000  -3.4 5.34e-001    -  8.02e-001 6.44e-001f  1
  95r2.9581298e+004 4.78e-001 2.14e+000  -3.6 2.07e+000    -  2.43e-001 4.53e-001h  1
  96r2.9581620e+004 4.78e-001 2.08e+000  -3.6 1.53e+000    -  5.56e-002 3.68e-001f  1
  97r2.9581397e+004 4.78e-001 2.30e+000  -3.6 9.59e+000    -  2.37e-001 2.83e-002f  1
  98r2.9584330e+004 4.78e-001 1.68e+000  -3.6 8.99e-001    -  3.96e-001 7.88e-001h  1
  99r2.9586848e+004 4.78e-001 1.70e+000  -3.6 3.05e+000    -  2.88e-001 3.81e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100r2.9584309e+004 4.78e-001 2.28e+000  -3.6 8.25e-001    -  1.54e-001 1.00e+000h  1
 101r2.9583755e+004 4.78e-001 1.99e+000  -3.6 3.37e+000    -  1.29e-001 1.13e-001h  1
 102r2.9582487e+004 4.78e-001 1.06e+000  -3.6 1.00e+000    -  8.77e-001 5.09e-001h  1
 103r2.9586983e+004 4.78e-001 1.64e+000  -3.6 8.33e-001    -  2.84e-001 9.14e-001H  1
 104r2.9587693e+004 4.78e-001 9.21e-001  -3.6 1.41e+000    -  2.99e-001 2.32e-001f  1
 105r2.9585147e+004 4.78e-001 1.64e+000  -3.6 2.47e+000    -  2.19e-002 2.92e-001F  1
 106r2.9583642e+004 4.78e-001 1.77e+000  -3.6 2.60e+000    -  8.28e-003 1.49e-001f  1
 107r2.9585427e+004 4.78e-001 2.37e-001  -3.6 4.11e-001    -  8.43e-001 1.00e+000h  1
 108r2.9585398e+004 4.78e-001 7.65e-001  -3.6 6.32e-001    -  7.55e-001 7.24e-001H  1
 109r2.9585341e+004 4.78e-001 4.76e-001  -3.6 3.61e-001    -  6.70e-001 1.00e+000h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110r2.9584752e+004 4.78e-001 1.02e+000  -3.6 1.10e+000    -  8.34e-001 1.74e-001h  2
 111r2.9585103e+004 4.78e-001 4.15e-001  -3.6 2.63e-001    -  7.16e-001 1.00e+000h  1
 112r2.9586514e+004 4.78e-001 1.92e-001  -3.6 2.32e-001    -  9.06e-001 1.00e+000h  1
 113r2.9585495e+004 4.78e-001 6.15e-001  -3.6 1.58e+000    -  2.66e-001 1.85e-001h  2
 114r2.9585205e+004 4.78e-001 4.84e-001  -3.6 1.26e+000    -  3.56e-001 1.48e-001h  3
 115r2.9585158e+004 4.78e-001 3.75e-001  -3.6 8.30e-001    -  6.00e-001 1.76e-001h  2
 116r2.9585783e+004 4.78e-001 2.47e-001  -3.6 2.59e-001    -  1.00e+000 1.00e+000h  1
 117r2.9585513e+004 4.78e-001 3.42e-001  -3.6 3.10e-001    -  1.00e+000 3.46e-001h  2
 118r2.9585121e+004 4.78e-001 1.84e+000  -3.6 9.12e-001    -  4.72e-001 1.00e+000H  1
 119r2.9585753e+004 4.78e-001 4.94e-001  -3.3 9.47e-001    -  1.00e+000 1.00e+000f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120r2.9585584e+004 4.78e-001 4.21e-001  -3.4 1.79e+000    -  2.20e-001 2.17e-001h  1
 121r2.9585165e+004 4.78e-001 1.05e-001  -3.4 1.51e-001    -  1.00e+000 1.00e+000f  1
 122r2.9584614e+004 4.78e-001 1.05e+000  -3.4 1.26e+000    -  3.69e-001 4.81e-001h  2
 123r2.9584771e+004 4.78e-001 3.33e-002  -3.4 5.35e-001    -  1.00e+000 1.00e+000h  1
 124r2.9584959e+004 4.78e-001 4.84e-002  -3.4 2.46e-002    -  1.00e+000 1.00e+000h  1
 125r2.9585057e+004 4.78e-001 5.04e+000  -4.0 1.34e-001    -  9.98e-001 6.85e-001f  1
 126r2.9584400e+004 4.78e-001 4.62e-001  -3.5 2.30e-001    -  1.00e+000 1.00e+000f  1
 127r2.9585630e+004 4.78e-001 1.01e+000  -3.6 7.44e-001    -  9.95e-001 9.43e-001h  1
 128r2.9586199e+004 4.78e-001 3.61e-001  -3.6 6.10e-001    -  9.25e-001 7.15e-001f  1
 129r2.9583224e+004 4.78e-001 1.79e+000  -3.6 9.08e-001    -  4.88e-002 7.52e-001f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130r2.9585963e+004 4.78e-001 1.16e+000  -3.6 9.40e-001    -  3.64e-001 7.29e-001H  1
 131r2.9585544e+004 4.78e-001 1.41e+000  -3.6 7.10e+000    -  1.20e-002 5.58e-002f  1
 132r2.9587859e+004 4.78e-001 2.13e+000  -3.6 2.17e+000    -  3.88e-001 5.78e-001f  1
 133r2.9583459e+004 4.78e-001 3.46e+000  -3.6 9.22e-001    -  4.46e-002 5.73e-001f  1
 134r2.9584902e+004 4.78e-001 2.10e+000  -3.6 9.01e+000    -  9.66e-003 1.04e-001f  1
 135r2.9584810e+004 4.78e-001 1.85e+000  -3.6 1.63e+000    -  3.51e-002 1.51e-001h  1
 136r2.9586385e+004 4.78e-001 3.71e+000  -3.6 1.64e+000    -  6.38e-001 2.59e-001h  1
